# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.3	0.006
2	0.2	0.3	0.003
3	0.2	0.3	0.001
4	0.2	0.3	0.001
5	0.2	0.3	0.003
6	0.2	0.3	0.006
7	0.2	0.3	0.018
8	0.2	0.3	0.019
9	0.2	0.3	0.019
10	0.2	0.3	0.020
11	0.2	0.3	0.019
12	0.2	0.3	0.018
13	0.2	0.3	0.017
14	0.2	0.3	0.015
15	0.2	0.3	0.014
16	0.2	0.3	0.013
17	0.2	0.3	0.013
18	0.2	0.3	0.016
19	0.2	0.3	0.018
20	0.2	0.3	0.023
21	0.2	0.3	0.023
22	0.2	0.3	0.022
23	0.2	0.3	0.013
24	0.2	0.3	0.008
25	0.2	0.3	0.006
26	0.2	0.3	0.003
27	0.2	0.3	0.001
28	0.2	0.2	0.001
29	0.2	0.2	0.003
30	0.2	0.2	0.006
31	0.2	0.2	0.018
32	0.2	0.2	0.019
33	0.2	0.2	0.019
34	0.2	0.2	0.020
35	0.2	0.2	0.019
36	0.2	0.2	0.018
37	0.2	0.2	0.017
38	0.2	0.2	0.015
39	0.2	0.2	0.014
40	0.2	0.2	0.013
41	0.2	0.2	0.013
42	0.2	0.2	0.016
43	0.2	0.2	0.018
44	0.2	0.2	0.023
45	0.2	0.2	0.023
46	0.2	0.2	0.022
47	0.2	0.2	0.013
48	0.2	0.2	0.008
49	0.2	0.2	0.006
50	0.2	0.2	0.003
51	0.2	0.2	0.001
52	0.2	0.2	0.001
53	0.2	0.2	0.003
54	0.2	0.2	0.006
55	0.2	0.2	0.018
56	0.2	0.2	0.019
57	0.2	0.2	0.019
58	0.2	0.2	0.020
59	0.2	0.2	0.019
60	0.2	0.2	0.018
61	0.2	0.2	0.017
62	0.2	0.2	0.015
63	0.2	0.2	0.014
64	0.2	0.2	0.013
65	0.2	0.2	0.013
66	0.2	0.2	0.016
67	0.2	0.2	0.018
68	0.2	0.2	0.023
69	0.2	0.2	0.023
70	0.2	0.2	0.022
71	0.2	0.2	0.013
72	0.2	0.2	0.008
73	0.2	0.2	0.006
74	0.2	0.2	0.003
75	0.2	0.2	0.001
76	0.2	0.2	0.001
77	0.2	0.2	0.003
78	0.2	0.2	0.006
79	0.2	0.2	0.018
80	0.2	0.2	0.019
81	0.2	0.2	0.019
82	0.2	0.2	0.020
83	0.2	0.2	0.019
84	0.2	0.2	0.018
85	0.2	0.2	0.017
86	0.2	0.2	0.015
87	0.2	0.2	0.014
88	0.2	0.2	0.013
89	0.2	0.2	0.013
90	0.2	0.2	0.016
91	0.2	0.2	0.018
92	0.2	0.2	0.023
93	0.2	0.2	0.023
94	0.2	0.2	0.022
95	0.2	0.2	0.013
96	0.2	0.2	0.008
97	0.2	0.2	0.006
98	0.2	0.2	0.003
99	0.2	0.2	0.001
100	0.2	0.2	0.001
101	0.2	0.2	0.003
102	0.2	0.2	0.006
103	0.2	0.2	0.018
104	0.2	0.2	0.019
105	0.2	0.2	0.019
106	0.2	0.2	0.020
107	0.2	0.2	0.019
108	0.2	0.2	0.018
109	0.2	0.2	0.017
110	0.2	0.2	0.015
111	0.2	0.2	0.014
112	0.2	0.2	0.013
113	0.2	0.2	0.013
114	0.2	0.2	0.016
115	0.2	0.2	0.018
116	0.2	0.2	0.023
117	0.2	0.2	0.023
118	0.3	0.2	0.022
119	0.3	0.2	0.013
120	0.3	0.2	0.008
121	0.3	0.2	0.006
122	0.3	0.2	0.003
123	0.3	0.2	0.001
124	0.3	0.2	0.001
125	0.3	0.2	0.003
126	0.2	0.2	0.006
127	0.2	0.2	0.018
128	0.2	0.2	0.019
129	0.2	0.2	0.019
130	0.2	0.2	0.020
131	0.2	0.2	0.019
132	0.2	0.2	0.018
133	0.2	0.2	0.017
134	0.2	0.2	0.015
135	0.2	0.2	0.014
136	0.2	0.2	0.013
137	0.2	0.2	0.013
138	0.2	0.2	0.016
139	0.2	0.2	0.018
140	0.2	0.2	0.023
141	0.2	0.2	0.023
142	0.2	0.2	0.022
143	0.2	0.2	0.013
144	0.2	0.2	0.008
145	0.2	0.2	0.006
146	0.2	0.2	0.003
147	0.2	0.2	0.001
148	0.2	0.2	0.001
149	0.2	0.2	0.003
150	0.2	0.2	0.006
151	0.2	0.2	0.018
152	0.2	0.2	0.019
153	0.2	0.2	0.019
154	0.2	0.2	0.020
155	0.2	0.2	0.019
156	0.1	0.2	0.018
157	0.1	0.2	0.017
158	0.1	0.2	0.015
159	0.1	0.2	0.014
160	0.1	0.2	0.013
161	0.1	0.2	0.013
162	0.1	0.2	0.016
163	0.2	0.2	0.018
164	0.2	0.2	0.023
165	0.2	0.2	0.023
166	0.2	0.2	0.022
167	0.2	0.2	0.013
168	0.2	0.2	0.008
169	0.2	0.2	0.006
170	0.2	0.2	0.003
171	0.2	0.2	0.001
172	0.2	0.2	0.001
173	0.2	0.2	0.003
174	0.2	0.2	0.006
175	0.2	0.2	0.018
176	0.2	0.2	0.019
177	0.2	0.2	0.019
178	0.2	0.2	0.020
179	0.2	0.2	0.019
180	0.1	0.2	0.018
181	0.1	0.2	0.017
182	0.1	0.2	0.015
183	0.1	0.2	0.014
184	0.1	0.2	0.013
185	0.1	0.2	0.013
186	0.1	0.2	0.016
187	0.2	0.2	0.018
188	0.1	0.2	0.023
189	0.1	0.2	0.023
190	0.1	0.2	0.022
191	0.1	0.2	0.013
192	0.1	0.2	0.008
193	0.1	0.2	0.006
194	0.1	0.2	0.003
195	0.1	0.2	0.001
196	0.1	0.2	0.001
197	0.1	0.2	0.003
198	0.1	0.2	0.006
199	0.1	0.2	0.018
200	0.1	0.2	0.019
201	0.1	0.2	0.019
202	0.1	0.2	0.020
203	0.1	0.2	0.019
204	0.1	0.2	0.018
205	0.1	0.2	0.017
206	0.1	0.2	0.015
207	0.1	0.2	0.014
208	0.1	0.2	0.013
209	0.1	0.2	0.013
210	0.1	0.2	0.016
211	0.1	0.2	0.018
212	0.1	0.2	0.023
213	0.1	0.2	0.023
214	0.1	0.2	0.022
215	0.1	0.2	0.013
216	0.1	0.2	0.008
217	0.1	0.2	0.006
218	0.1	0.2	0.003
219	0.1	0.2	0.001
220	0.1	0.2	0.001
221	0.1	0.2	0.003
222	0.1	0.2	0.006
223	0.1	0.2	0.018
224	0.1	0.2	0.019
225	0.1	0.2	0.019
226	0.1	0.2	0.020
227	0.1	0.2	0.019
228	0.1	0.2	0.018
229	0.1	0.2	0.017
230	0.1	0.2	0.015
231	0.1	0.2	0.014
232	0.1	0.2	0.013
233	0.1	0.2	0.013
234	0.1	0.2	0.016
235	0.1	0.2	0.018
236	0.1	0.2	0.023
237	0.2	0.2	0.023
238	0.2	0.2	0.022
239	0.2	0.2	0.013
240	0.2	0.2	0.008
241	0.2	0.2	0.006
242	0.2	0.2	0.003
243	0.2	0.2	0.001
244	0.2	0.2	0.001
245	0.2	0.2	0.003
246	0.2	0.2	0.006
247	0.2	0.2	0.018
248	0.2	0.2	0.019
249	0.2	0.2	0.019
250	0.2	0.2	0.020
251	0.2	0.2	0.019
252	0.2	0.2	0.018
253	0.2	0.2	0.017
254	0.2	0.2	0.015
255	0.2	0.2	0.014
256	0.2	0.2	0.013
257	0.2	0.2	0.013
258	0.2	0.2	0.016
259	0.2	0.2	0.018
260	0.2	0.2	0.023
261	0.2	0.2	0.023
262	0.2	0.2	0.022
263	0.2	0.2	0.013
264	0.2	0.2	0.008
265	0.2	0.2	0.006
266	0.2	0.2	0.003
267	0.2	0.2	0.001
268	0.2	0.2	0.001
269	0.2	0.2	0.003
270	0.2	0.2	0.006
271	0.2	0.2	0.018
272	0.2	0.2	0.019
273	0.2	0.2	0.019
274	0.2	0.2	0.020
275	0.2	0.2	0.019
276	0.2	0.2	0.018
277	0.2	0.2	0.017
278	0.2	0.2	0.015
279	0.2	0.2	0.014
280	0.2	0.2	0.013
281	0.1	0.2	0.013
282	0.2	0.2	0.016
283	0.2	0.2	0.018
284	0.2	0.2	0.023
285	0.2	0.2	0.023
286	0.2	0.2	0.022
287	0.2	0.2	0.013
288	0.2	0.2	0.008
289	0.2	0.2	0.006
290	0.2	0.2	0.003
291	0.2	0.2	0.001
292	0.2	0.2	0.001
293	0.2	0.2	0.003
294	0.2	0.2	0.006
295	0.2	0.2	0.018
296	0.2	0.2	0.019
297	0.2	0.2	0.019
298	0.2	0.2	0.020
299	0.1	0.2	0.019
300	0.1	0.2	0.018
301	0.1	0.2	0.017
302	0.1	0.2	0.015
303	0.1	0.2	0.014
304	0.1	0.2	0.013
305	0.1	0.2	0.013
306	0.1	0.2	0.016
307	0.1	0.2	0.018
308	0.1	0.2	0.023
309	0.1	0.2	0.023
310	0.1	0.2	0.022
311	0.1	0.2	0.013
312	0.1	0.2	0.008
313	0.1	0.2	0.006
314	0.1	0.2	0.003
315	0.1	0.2	0.001
316	0.1	0.2	0.001
317	0.1	0.2	0.003
318	0.1	0.2	0.006
319	0.1	0.2	0.018
320	0.1	0.2	0.019
321	0.1	0.2	0.019
322	0.1	0.2	0.020
323	0.1	0.2	0.019
324	0.1	0.2	0.018
325	0.1	0.2	0.017
326	0.1	0.2	0.015
327	0.1	0.2	0.014
328	0.1	0.2	0.013
329	0.1	0.2	0.013
330	0.1	0.2	0.016
331	0.1	0.2	0.018
332	0.1	0.2	0.023
333	0.1	0.2	0.023
334	0.1	0.2	0.022
335	0.1	0.2	0.013
336	0.1	0.2	0.008
337	0.1	0.2	0.006
338	0.1	0.2	0.003
339	0.1	0.2	0.001
340	0.1	0.2	0.001
341	0.2	0.2	0.003
342	0.2	0.2	0.006
343	0.2	0.2	0.018
344	0.2	0.2	0.019
345	0.2	0.2	0.019
346	0.2	0.2	0.020
347	0.2	0.2	0.019
348	0.2	0.2	0.018
349	0.2	0.2	0.017
350	0.2	0.2	0.015
351	0.2	0.2	0.014
352	0.2	0.2	0.013
353	0.2	0.2	0.013
354	0.2	0.2	0.016
355	0.2	0.2	0.018
356	0.2	0.2	0.023
357	0.2	0.2	0.023
358	0.2	0.2	0.022
359	0.2	0.2	0.013
360	0.2	0.2	0.008
361	0.2	0.2	0.006
362	0.2	0.2	0.003
363	0.2	0.2	0.001
364	0.2	0.2	0.001
365	0.2	0.2	0.003
366	0.2	0.2	0.006
367	0.2	0.2	0.018
368	0.2	0.2	0.019
369	0.2	0.2	0.019
370	0.2	0.2	0.020
371	0.2	0.2	0.019
372	0.2	0.2	0.018
373	0.2	0.2	0.017
374	0.2	0.2	0.015
