# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.9	16.9	0.250
2	11.1	16.9	0.135
3	11.6	16.6	0.053
4	11.4	16.5	0.038
5	11.6	16.5	0.115
6	11.6	16.4	0.288
7	11.4	15.8	0.779
8	11.3	15.8	0.834
9	11.4	15.3	0.838
10	10.8	15.3	0.878
11	10.8	15.2	0.838
12	10.2	15.2	0.812
13	9.9	15.1	0.752
14	9.9	15.1	0.661
15	9.9	15.1	0.602
16	10.2	15.1	0.562
17	10.8	15.1	0.584
18	11.7	15.1	0.725
19	12.5	15.1	0.809
20	12.7	15.1	1.000
21	12.8	15.1	1.028
22	13.2	15.0	0.958
23	13.5	15.0	0.577
24	14.0	15.0	0.361
25	14.4	15.0	0.250
26	14.1	14.9	0.135
27	14.2	14.9	0.053
28	14.2	14.9	0.038
29	14.0	14.8	0.115
30	13.8	14.8	0.288
31	14.1	14.8	0.779
32	14.2	14.7	0.834
33	13.9	14.7	0.838
34	13.6	14.7	0.878
35	13.2	14.7	0.838
36	12.6	14.7	0.812
37	12.4	14.5	0.752
38	12.2	14.5	0.661
39	11.8	14.5	0.602
40	12.1	14.5	0.562
41	12.6	14.5	0.584
42	13.2	14.4	0.725
43	13.3	14.4	0.809
44	13.3	14.4	1.000
45	13.5	14.4	1.028
46	13.5	14.4	0.958
47	13.5	14.4	0.577
48	13.6	14.4	0.361
49	13.5	14.3	0.250
50	13.5	14.3	0.135
51	13.6	14.3	0.053
52	13.9	14.3	0.038
53	14.0	14.3	0.115
54	13.8	14.3	0.288
55	14.2	14.3	0.779
56	14.0	14.2	0.834
57	13.9	14.2	0.838
58	14.0	14.2	0.878
59	13.6	14.2	0.838
60	13.5	14.2	0.812
61	12.9	14.2	0.752
62	12.6	14.2	0.661
63	12.4	14.2	0.602
64	12.3	14.2	0.562
65	12.5	14.1	0.584
66	13.0	14.1	0.725
67	13.4	14.1	0.809
68	13.7	14.1	1.000
69	14.1	14.1	1.028
70	14.5	14.1	0.958
71	14.7	14.0	0.577
72	14.9	14.0	0.361
73	15.1	14.0	0.250
74	15.1	14.0	0.135
75	15.0	14.0	0.053
76	15.1	14.0	0.038
77	15.1	14.0	0.115
78	15.0	14.0	0.288
79	14.7	13.9	0.779
80	14.2	13.9	0.834
81	13.8	13.9	0.838
82	13.1	13.9	0.878
83	11.9	13.9	0.838
84	11.0	13.9	0.812
85	10.1	13.8	0.752
86	9.8	13.8	0.661
87	9.9	13.8	0.602
88	9.8	13.8	0.562
89	10.0	13.8	0.584
90	10.1	13.8	0.725
91	10.1	13.8	0.809
92	9.8	13.8	1.000
93	10.1	13.8	1.028
94	10.3	13.7	0.958
95	10.4	13.7	0.577
96	10.4	13.7	0.361
97	10.4	13.7	0.250
98	10.5	13.7	0.135
99	11.0	13.7	0.053
100	11.2	13.7	0.038
101	11.5	13.7	0.115
102	11.7	13.6	0.288
103	12.1	13.6	0.779
104	12.3	13.6	0.834
105	12.5	13.6	0.838
106	12.5	13.6	0.878
107	12.7	13.6	0.838
108	12.8	13.6	0.812
109	12.8	13.6	0.752
110	13.1	13.6	0.661
111	13.8	13.5	0.602
112	13.7	13.5	0.562
113	14.4	13.5	0.584
114	15.0	13.5	0.725
115	15.1	13.5	0.809
116	14.8	13.5	1.000
117	15.2	13.5	1.028
118	15.8	13.5	0.958
119	16.4	13.5	0.577
120	16.5	13.5	0.361
121	16.9	13.5	0.250
122	16.9	13.5	0.135
123	16.6	13.5	0.053
124	16.5	13.5	0.038
125	15.8	13.5	0.115
126	15.3	13.5	0.288
127	15.1	13.4	0.779
128	15.0	13.4	0.834
129	14.8	13.4	0.838
130	14.3	13.4	0.878
131	13.5	13.4	0.838
132	12.8	13.4	0.812
133	11.8	13.4	0.752
134	11.1	13.4	0.661
135	10.7	13.4	0.602
