# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.5	8.6	0.394
2	4.7	8.6	0.213
3	4.9	8.2	0.083
4	4.8	8.2	0.060
5	4.9	8.2	0.181
6	4.9	8.2	0.454
7	4.8	8.1	1.227
8	5.9	8.1	1.313
9	5.9	8.0	1.319
10	5.6	8.0	1.382
11	5.6	8.0	1.319
12	5.3	8.0	1.279
13	5.1	8.0	1.184
14	5.2	7.9	1.040
15	5.2	7.9	0.948
16	5.3	7.9	0.885
17	5.6	7.9	0.920
18	6.1	7.9	1.141
19	6.5	7.9	1.273
20	6.6	7.9	1.575
21	6.7	7.9	1.618
22	6.9	7.8	1.509
23	7.0	7.8	0.908
24	7.3	7.8	0.569
25	6.4	7.8	0.394
26	6.2	7.8	0.213
27	6.2	7.8	0.083
28	6.2	7.8	0.060
29	6.2	7.8	0.181
30	6.0	7.8	0.454
31	6.2	7.7	1.227
32	7.4	7.7	1.313
33	7.2	7.7	1.319
34	7.1	7.7	1.382
35	6.9	7.7	1.319
36	6.6	7.7	1.279
37	6.4	7.7	1.184
38	6.4	7.7	1.040
39	6.1	7.7	0.948
40	6.3	7.7	0.885
41	6.6	7.7	0.920
42	6.9	7.6	1.141
43	6.9	7.6	1.273
44	6.9	7.6	1.575
45	7.0	7.5	1.618
46	7.0	7.5	1.509
47	7.1	7.5	0.908
48	7.1	7.5	0.569
49	5.9	7.5	0.394
50	5.9	7.5	0.213
51	5.9	7.5	0.083
52	6.1	7.5	0.060
53	6.1	7.5	0.181
54	6.1	7.4	0.454
55	6.3	7.4	1.227
56	7.3	7.4	1.313
57	7.2	7.4	1.319
58	7.3	7.4	1.382
59	7.1	7.4	1.319
60	7.0	7.4	1.279
61	6.7	7.4	1.184
62	6.6	7.3	1.040
63	6.5	7.3	0.948
64	6.4	7.3	0.885
65	6.5	7.3	0.920
66	6.8	7.3	1.141
67	7.0	7.3	1.273
68	7.2	7.3	1.575
69	7.4	7.3	1.618
70	7.5	7.2	1.509
71	7.7	7.2	0.908
72	7.8	7.2	0.569
73	6.7	7.2	0.394
74	6.7	7.2	0.213
75	6.7	7.2	0.083
76	6.7	7.2	0.060
77	6.7	7.2	0.181
78	6.7	7.2	0.454
79	6.5	7.2	1.227
80	7.4	7.2	1.313
81	7.2	7.2	1.319
82	6.8	7.1	1.382
83	6.2	7.1	1.319
84	5.7	7.1	1.279
85	5.3	7.1	1.184
86	5.1	7.1	1.040
87	5.2	7.1	0.948
88	5.1	7.1	0.885
89	5.2	7.1	0.920
90	5.3	7.1	1.141
91	5.2	7.1	1.273
92	5.1	7.1	1.575
93	5.3	7.1	1.618
94	5.4	7.1	1.509
95	5.4	7.1	0.908
96	5.4	7.1	0.569
97	4.3	7.1	0.394
98	4.3	7.1	0.213
99	4.6	7.1	0.083
100	4.7	7.1	0.060
101	4.9	7.1	0.181
102	4.9	7.1	0.454
103	5.2	7.0	1.227
104	6.4	7.0	1.313
105	6.5	7.0	1.319
106	6.5	7.0	1.382
107	6.6	7.0	1.319
108	6.7	7.0	1.279
109	6.7	7.0	1.184
110	6.9	7.0	1.040
111	7.2	7.0	0.948
112	7.2	7.0	0.885
113	7.5	7.0	0.920
114	7.8	7.0	1.141
115	7.9	7.0	1.273
116	7.7	7.0	1.575
117	7.9	7.0	1.618
118	8.2	7.0	1.509
119	8.6	7.0	0.908
120	8.6	7.0	0.569
121	7.7	7.0	0.394
122	7.7	7.0	0.213
123	7.5	7.0	0.083
124	7.5	7.0	0.060
125	7.1	7.0	0.181
126	6.8	6.9	0.454
127	6.7	6.9	1.227
128	7.8	6.9	1.313
129	7.7	6.9	1.319
130	7.4	6.9	1.382
131	7.0	6.9	1.319
132	6.6	6.9	1.279
133	6.1	6.9	1.184
134	5.7	6.9	1.040
135	5.5	6.9	0.948
136	5.3	6.9	0.885
137	5.3	6.9	0.920
138	5.4	6.9	1.141
139	5.2	6.9	1.273
140	5.2	6.9	1.575
141	5.2	6.8	1.618
142	5.2	6.8	1.509
143	5.2	6.8	0.908
144	5.2	6.8	0.569
145	4.0	6.8	0.394
146	4.1	6.8	0.213
147	4.1	6.8	0.083
148	4.2	6.8	0.060
149	4.4	6.8	0.181
150	4.3	6.8	0.454
151	4.3	6.8	1.227
152	5.6	6.8	1.313
153	5.5	6.8	1.319
154	5.1	6.7	1.382
155	5.0	6.7	1.319
156	4.8	6.7	1.279
157	4.6	6.7	1.184
158	4.2	6.7	1.040
159	4.0	6.7	0.948
160	4.0	6.7	0.885
161	4.4	6.7	0.920
162	4.6	6.7	1.141
163	5.0	6.7	1.273
164	5.0	6.7	1.575
165	5.3	6.7	1.618
166	5.4	6.7	1.509
167	5.7	6.7	0.908
168	5.8	6.7	0.569
169	4.8	6.7	0.394
170	4.7	6.7	0.213
171	4.8	6.7	0.083
172	4.6	6.7	0.060
173	4.5	6.7	0.181
174	4.3	6.7	0.454
175	4.3	6.7	1.227
176	5.3	6.7	1.313
177	5.3	6.7	1.319
178	5.2	6.7	1.382
179	4.9	6.7	1.319
180	4.7	6.7	1.279
181	4.7	6.7	1.184
182	4.6	6.7	1.040
183	4.7	6.7	0.948
184	4.7	6.7	0.885
185	4.6	6.7	0.920
186	4.7	6.7	1.141
187	4.8	6.6	1.273
188	4.5	6.6	1.575
189	4.4	6.6	1.618
190	4.4	6.6	1.509
