# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.1	15.5	0.245
2	8.4	15.4	0.132
3	8.8	14.9	0.052
4	8.6	14.8	0.038
5	8.8	14.8	0.113
6	8.8	14.8	0.282
7	8.6	14.7	0.763
8	10.6	14.6	0.816
9	10.7	14.5	0.820
10	10.1	14.5	0.859
11	10.1	14.5	0.820
12	9.5	14.5	0.795
13	9.2	14.4	0.736
14	9.3	14.4	0.646
15	9.3	14.3	0.589
16	9.5	14.3	0.550
17	10.1	14.3	0.571
18	11.0	14.2	0.709
19	11.7	14.2	0.791
20	11.9	14.2	0.979
21	12.0	14.2	1.005
22	12.4	14.2	0.938
23	12.7	14.2	0.564
24	13.1	14.1	0.354
25	11.5	14.1	0.245
26	11.1	14.1	0.132
27	11.2	14.1	0.052
28	11.2	14.1	0.038
29	11.1	14.0	0.113
30	10.9	14.0	0.282
31	11.1	14.0	0.763
32	13.3	13.9	0.816
33	13.0	13.9	0.820
34	12.7	13.9	0.859
35	12.3	13.9	0.820
36	11.8	13.9	0.795
37	11.6	13.9	0.736
38	11.4	13.8	0.646
39	11.0	13.8	0.589
40	11.3	13.8	0.550
41	11.8	13.8	0.571
42	12.3	13.8	0.709
43	12.4	13.8	0.791
44	12.5	13.7	0.979
45	12.6	13.6	1.005
46	12.7	13.6	0.938
47	12.7	13.6	0.564
48	12.7	13.5	0.354
49	10.6	13.5	0.245
50	10.6	13.5	0.132
51	10.7	13.5	0.052
52	10.9	13.4	0.038
53	11.1	13.4	0.113
54	10.9	13.4	0.282
55	11.3	13.4	0.763
56	13.2	13.4	0.816
57	13.0	13.4	0.820
58	13.1	13.4	0.859
59	12.8	13.3	0.820
60	12.6	13.3	0.795
61	12.1	13.3	0.736
62	11.8	13.3	0.646
63	11.6	13.3	0.589
64	11.5	13.2	0.550
65	11.7	13.2	0.571
66	12.1	13.2	0.709
67	12.6	13.2	0.791
68	12.9	13.1	0.979
69	13.2	13.1	1.005
70	13.5	13.1	0.938
71	13.8	13.1	0.564
72	14.0	13.1	0.354
73	12.1	13.1	0.245
74	12.1	13.0	0.132
75	12.0	13.0	0.052
76	12.1	13.0	0.038
77	12.0	13.0	0.113
78	12.0	13.0	0.282
79	11.7	13.0	0.763
80	13.3	13.0	0.816
81	12.9	12.9	0.820
82	12.2	12.9	0.859
83	11.1	12.9	0.820
84	10.3	12.9	0.795
85	9.5	12.9	0.736
86	9.2	12.9	0.646
87	9.3	12.9	0.589
88	9.2	12.9	0.550
89	9.4	12.9	0.571
90	9.5	12.9	0.709
91	9.4	12.8	0.791
92	9.2	12.8	0.979
93	9.5	12.8	1.005
94	9.7	12.8	0.938
95	9.8	12.8	0.564
96	9.8	12.8	0.354
97	7.7	12.8	0.245
98	7.8	12.8	0.132
99	8.2	12.8	0.052
100	8.4	12.8	0.038
101	8.7	12.8	0.113
102	8.9	12.8	0.282
103	9.3	12.7	0.763
104	11.5	12.7	0.816
105	11.7	12.7	0.820
106	11.7	12.7	0.859
