# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.7	16.5	0.238
2	8.9	16.4	0.128
3	9.3	15.8	0.050
4	9.2	15.7	0.036
5	9.3	15.7	0.109
6	9.4	15.7	0.274
7	9.2	15.6	0.741
8	11.3	15.5	0.793
9	11.4	15.4	0.797
10	10.7	15.4	0.835
11	10.8	15.4	0.797
12	10.1	15.4	0.772
13	9.8	15.3	0.715
14	9.9	15.3	0.628
15	9.9	15.3	0.573
16	10.1	15.2	0.535
17	10.8	15.2	0.555
18	11.6	15.1	0.689
19	12.4	15.1	0.769
20	12.6	15.1	0.951
21	12.8	15.1	0.977
22	13.2	15.1	0.911
23	13.5	15.1	0.548
24	14.0	15.0	0.344
25	12.2	15.0	0.238
26	11.8	15.0	0.128
27	11.9	15.0	0.050
28	11.9	15.0	0.036
29	11.8	14.9	0.109
30	11.5	14.9	0.274
31	11.8	14.9	0.741
32	14.2	14.8	0.793
33	13.8	14.8	0.797
34	13.6	14.8	0.835
35	13.1	14.8	0.797
36	12.6	14.8	0.772
37	12.3	14.8	0.715
38	12.2	14.7	0.628
39	11.7	14.7	0.573
40	12.0	14.7	0.535
41	12.5	14.7	0.555
42	13.1	14.7	0.689
43	13.2	14.7	0.769
44	13.3	14.6	0.951
45	13.4	14.5	0.977
46	13.5	14.5	0.911
47	13.5	14.5	0.548
48	13.5	14.4	0.344
49	11.3	14.4	0.238
50	11.3	14.3	0.128
51	11.4	14.3	0.050
52	11.6	14.3	0.036
53	11.8	14.3	0.109
54	11.6	14.3	0.274
55	12.0	14.2	0.741
56	14.0	14.2	0.793
57	13.8	14.2	0.797
58	13.9	14.2	0.835
59	13.6	14.2	0.797
60	13.4	14.2	0.772
61	12.9	14.2	0.715
62	12.6	14.1	0.628
63	12.3	14.1	0.573
64	12.3	14.1	0.535
65	12.4	14.1	0.555
66	12.9	14.0	0.689
67	13.4	14.0	0.769
68	13.7	14.0	0.951
69	14.1	14.0	0.977
70	14.4	13.9	0.911
71	14.7	13.9	0.548
72	14.9	13.9	0.344
73	12.9	13.9	0.238
74	12.9	13.8	0.128
75	12.7	13.8	0.050
76	12.8	13.8	0.036
77	12.8	13.8	0.109
78	12.7	13.8	0.274
79	12.4	13.8	0.741
80	14.1	13.8	0.793
81	13.7	13.8	0.797
82	13.0	13.8	0.835
83	11.8	13.7	0.797
84	10.9	13.7	0.772
85	10.1	13.7	0.715
86	9.7	13.7	0.628
87	9.9	13.7	0.573
88	9.8	13.7	0.535
89	10.0	13.7	0.555
90	10.1	13.7	0.689
91	10.0	13.7	0.769
92	9.8	13.6	0.951
93	10.1	13.6	0.977
94	10.3	13.6	0.911
95	10.4	13.6	0.548
96	10.4	13.6	0.344
97	8.2	13.6	0.238
98	8.3	13.6	0.128
99	8.7	13.6	0.050
100	9.0	13.6	0.036
101	9.3	13.6	0.109
102	9.5	13.6	0.274
103	9.9	13.6	0.741
104	12.2	13.5	0.793
105	12.5	13.5	0.797
106	12.4	13.5	0.835
107	12.6	13.5	0.797
108	12.8	13.5	0.772
109	12.8	13.5	0.715
110	13.1	13.5	0.628
111	13.8	13.5	0.573
112	13.7	13.5	0.535
113	14.3	13.5	0.555
114	15.0	13.4	0.689
115	15.0	13.4	0.769
116	14.8	13.4	0.951
117	15.2	13.4	0.977
118	15.7	13.4	0.911
119	16.4	13.4	0.548
120	16.5	13.4	0.344
121	14.7	13.4	0.238
122	14.7	13.4	0.128
123	14.3	13.4	0.050
124	14.3	13.4	0.036
125	13.6	13.4	0.109
126	13.1	13.4	0.274
127	12.9	13.4	0.741
128	15.0	13.4	0.793
129	14.8	13.4	0.797
130	14.2	13.3	0.835
131	13.4	13.3	0.797
132	12.7	13.3	0.772
133	11.7	13.3	0.715
134	10.9	13.3	0.628
135	10.6	13.3	0.573
136	10.1	13.2	0.535
137	10.1	13.2	0.555
138	10.4	13.2	0.689
139	10.0	13.2	0.769
140	9.9	13.2	0.951
141	10.0	13.2	0.977
142	10.0	13.2	0.911
143	10.0	13.2	0.548
144	10.0	13.2	0.344
145	7.6	13.1	0.238
146	7.8	13.1	0.128
147	7.9	13.1	0.050
148	8.0	13.1	0.036
149	8.4	13.1	0.109
150	8.2	13.1	0.274
