# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.8	7.2	0.285
2	3.9	7.2	0.154
3	4.1	6.9	0.060
4	4.0	6.9	0.044
5	4.1	6.8	0.131
6	4.1	6.8	0.329
7	4.0	6.8	0.889
8	4.9	6.8	0.951
9	5.0	6.7	0.956
10	4.7	6.7	1.001
11	4.7	6.7	0.956
12	4.4	6.7	0.926
13	4.3	6.7	0.858
14	4.3	6.6	0.754
15	4.3	6.6	0.687
16	4.4	6.6	0.641
17	4.7	6.6	0.666
18	5.1	6.6	0.826
19	5.4	6.6	0.922
20	5.5	6.6	1.141
21	5.6	6.6	1.172
22	5.8	6.6	1.093
23	5.9	6.6	0.658
24	6.1	6.6	0.412
25	5.3	6.5	0.285
26	5.2	6.5	0.154
27	5.2	6.5	0.060
28	5.2	6.5	0.044
29	5.1	6.5	0.131
30	5.0	6.5	0.329
31	5.2	6.5	0.889
32	6.2	6.5	0.951
33	6.0	6.5	0.956
34	5.9	6.4	1.001
35	5.7	6.4	0.956
36	5.5	6.4	0.926
37	5.4	6.4	0.858
38	5.3	6.4	0.754
39	5.1	6.4	0.687
40	5.3	6.4	0.641
41	5.5	6.4	0.666
42	5.7	6.4	0.826
43	5.8	6.4	0.922
44	5.8	6.3	1.141
45	5.9	6.3	1.172
46	5.9	6.3	1.093
47	5.9	6.3	0.658
48	5.9	6.3	0.412
49	4.9	6.3	0.285
50	4.9	6.3	0.154
51	5.0	6.2	0.060
52	5.1	6.2	0.044
53	5.1	6.2	0.131
54	5.1	6.2	0.329
55	5.2	6.2	0.889
56	6.1	6.2	0.951
57	6.1	6.2	0.956
58	6.1	6.2	1.001
59	5.9	6.2	0.956
60	5.9	6.2	0.926
61	5.6	6.2	0.858
62	5.5	6.1	0.754
63	5.4	6.1	0.687
64	5.4	6.1	0.641
65	5.4	6.1	0.666
66	5.6	6.1	0.826
67	5.8	6.1	0.922
68	6.0	6.1	1.141
69	6.2	6.1	1.172
70	6.3	6.1	1.093
71	6.4	6.0	0.658
72	6.5	6.0	0.412
73	5.6	6.0	0.285
74	5.6	6.0	0.154
75	5.6	6.0	0.060
76	5.6	6.0	0.044
77	5.6	6.0	0.131
78	5.6	6.0	0.329
79	5.4	6.0	0.889
80	6.2	6.0	0.951
81	6.0	6.0	0.956
82	5.7	6.0	1.001
83	5.2	6.0	0.956
84	4.8	6.0	0.926
85	4.4	5.9	0.858
86	4.3	5.9	0.754
87	4.3	5.9	0.687
88	4.3	5.9	0.641
89	4.4	5.9	0.666
90	4.4	5.9	0.826
91	4.4	5.9	0.922
92	4.3	5.9	1.141
93	4.4	5.9	1.172
94	4.5	5.9	1.093
95	4.5	5.9	0.658
96	4.5	5.9	0.412
97	3.6	5.9	0.285
98	3.6	5.9	0.154
99	3.8	5.9	0.060
100	3.9	5.9	0.044
101	4.1	5.9	0.131
102	4.1	5.9	0.329
103	4.3	5.9	0.889
104	5.3	5.9	0.951
105	5.5	5.9	0.956
106	5.4	5.9	1.001
107	5.5	5.9	0.956
108	5.6	5.9	0.926
109	5.6	5.9	0.858
110	5.7	5.9	0.754
111	6.0	5.9	0.687
112	6.0	5.9	0.641
113	6.3	5.8	0.666
