# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.4	12.1	0.167
2	6.5	12.1	0.090
3	6.9	11.7	0.035
4	6.8	11.6	0.026
5	6.9	11.6	0.077
6	6.9	11.6	0.193
7	6.8	11.5	0.522
8	8.3	11.4	0.558
9	8.4	11.4	0.561
10	7.9	11.3	0.587
11	7.9	11.3	0.561
12	7.5	11.3	0.543
13	7.2	11.3	0.503
14	7.3	11.2	0.442
15	7.3	11.2	0.403
16	7.5	11.2	0.376
17	7.9	11.2	0.391
18	8.6	11.1	0.485
19	9.2	11.1	0.541
20	9.3	11.1	0.669
21	9.4	11.1	0.688
22	9.7	11.1	0.641
23	9.9	11.1	0.386
24	10.3	11.1	0.242
25	9.0	11.1	0.167
26	8.7	11.0	0.090
27	8.8	11.0	0.035
28	8.8	11.0	0.026
29	8.7	11.0	0.077
30	8.5	11.0	0.193
31	8.7	10.9	0.522
32	10.5	10.9	0.558
33	10.2	10.9	0.561
34	10.0	10.9	0.587
35	9.7	10.9	0.561
36	9.3	10.9	0.543
37	9.1	10.9	0.503
38	9.0	10.8	0.442
39	8.7	10.8	0.403
40	8.9	10.8	0.376
41	9.2	10.8	0.391
42	9.7	10.8	0.485
43	9.7	10.8	0.541
44	9.8	10.7	0.669
45	9.9	10.7	0.688
46	9.9	10.7	0.641
47	9.9	10.6	0.386
48	9.9	10.6	0.242
49	8.3	10.6	0.167
50	8.3	10.6	0.090
51	8.4	10.6	0.035
52	8.6	10.6	0.026
53	8.7	10.5	0.077
54	8.5	10.5	0.193
55	8.8	10.5	0.522
56	10.3	10.5	0.558
57	10.2	10.5	0.561
58	10.3	10.5	0.587
59	10.0	10.5	0.561
60	9.9	10.5	0.543
61	9.5	10.4	0.503
62	9.2	10.4	0.442
63	9.1	10.4	0.403
64	9.0	10.4	0.376
65	9.2	10.3	0.391
66	9.5	10.3	0.485
67	9.8	10.3	0.541
68	10.1	10.3	0.669
69	10.4	10.3	0.688
70	10.6	10.3	0.641
71	10.8	10.3	0.386
72	11.0	10.2	0.242
73	9.5	10.2	0.167
74	9.5	10.2	0.090
75	9.4	10.2	0.035
76	9.5	10.2	0.026
77	9.4	10.2	0.077
78	9.4	10.2	0.193
79	9.2	10.1	0.522
80	10.4	10.1	0.558
81	10.1	10.1	0.561
82	9.6	10.1	0.587
83	8.7	10.1	0.561
84	8.0	10.1	0.543
85	7.4	10.1	0.503
86	7.2	10.1	0.442
87	7.3	10.1	0.403
88	7.2	10.1	0.376
89	7.3	10.1	0.391
90	7.4	10.1	0.485
91	7.4	10.1	0.541
92	7.2	10.0	0.669
93	7.4	10.0	0.688
94	7.6	10.0	0.641
95	7.6	10.0	0.386
96	7.7	10.0	0.242
97	6.0	10.0	0.167
98	6.1	10.0	0.090
99	6.4	10.0	0.035
100	6.6	10.0	0.026
101	6.8	10.0	0.077
102	7.0	10.0	0.193
103	7.3	10.0	0.522
104	9.0	10.0	0.558
105	9.2	10.0	0.561
106	9.2	10.0	0.587
107	9.3	9.9	0.561
108	9.4	9.9	0.543
109	9.4	9.9	0.503
110	9.6	9.9	0.442
111	10.1	9.9	0.403
112	10.1	9.9	0.376
113	10.6	9.9	0.391
114	11.0	9.9	0.485
115	11.1	9.9	0.541
116	10.9	9.9	0.669
117	11.2	9.9	0.688
118	11.6	9.9	0.641
119	12.1	9.9	0.386
120	12.1	9.9	0.242
121	10.8	9.9	0.167
122	10.8	9.9	0.090
123	10.5	9.9	0.035
124	10.5	9.9	0.026
125	10.0	9.9	0.077
126	9.6	9.9	0.193
127	9.5	9.8	0.522
128	11.0	9.8	0.558
129	10.9	9.8	0.561
130	10.5	9.8	0.587
131	9.8	9.8	0.561
132	9.3	9.8	0.543
133	8.6	9.8	0.503
134	8.0	9.8	0.442
135	7.8	9.8	0.403
136	7.4	9.8	0.376
137	7.4	9.8	0.391
138	7.7	9.8	0.485
139	7.3	9.8	0.541
140	7.3	9.8	0.669
141	7.4	9.7	0.688
142	7.4	9.7	0.641
143	7.4	9.7	0.386
144	7.3	9.7	0.242
145	5.6	9.7	0.167
146	5.8	9.7	0.090
147	5.8	9.7	0.035
148	5.9	9.7	0.026
149	6.2	9.7	0.077
150	6.1	9.7	0.193
151	6.1	9.7	0.522
152	7.9	9.7	0.558
153	7.7	9.6	0.561
154	7.2	9.6	0.587
155	7.1	9.6	0.561
156	6.7	9.6	0.543
157	6.4	9.6	0.503
158	5.9	9.6	0.442
159	5.7	9.6	0.403
160	5.6	9.6	0.376
161	6.2	9.6	0.391
162	6.5	9.6	0.485
163	7.0	9.6	0.541
164	7.1	9.5	0.669
165	7.5	9.5	0.688
166	7.6	9.5	0.641
167	8.1	9.5	0.386
168	8.2	9.5	0.242
169	6.7	9.5	0.167
170	6.7	9.5	0.090
171	6.7	9.5	0.035
172	6.4	9.5	0.026
173	6.3	9.5	0.077
174	6.0	9.5	0.193
175	6.0	9.5	0.522
176	7.5	9.5	0.558
177	7.5	9.5	0.561
178	7.3	9.5	0.587
179	6.9	9.5	0.561
180	6.6	9.5	0.543
181	6.7	9.5	0.503
182	6.5	9.5	0.442
183	6.7	9.5	0.403
184	6.6	9.5	0.376
185	6.5	9.5	0.391
186	6.6	9.4	0.485
187	6.8	9.4	0.541
188	6.4	9.4	0.669
189	6.2	9.4	0.688
190	6.2	9.4	0.641
191	5.9	9.4	0.386
192	5.7	9.4	0.242
193	3.7	9.4	0.167
194	3.7	9.4	0.090
195	3.9	9.4	0.035
196	4.0	9.4	0.026
197	3.7	9.4	0.077
198	3.5	9.4	0.193
199	3.7	9.4	0.522
200	5.3	9.4	0.558
201	5.4	9.4	0.561
202	5.0	9.4	0.587
203	4.9	9.4	0.561
204	5.0	9.4	0.543
205	4.9	9.4	0.503
206	4.5	9.4	0.442
207	4.1	9.4	0.403
208	4.0	9.4	0.376
209	4.0	9.4	0.391
210	3.9	9.3	0.485
211	4.0	9.3	0.541
212	4.0	9.3	0.669
213	3.9	9.3	0.688
214	3.9	9.3	0.641
215	3.9	9.3	0.386
216	3.6	9.3	0.242
217	2.1	9.3	0.167
218	2.2	9.3	0.090
219	2.4	9.3	0.035
220	2.6	9.3	0.026
221	2.8	9.3	0.077
222	3.0	9.3	0.193
223	3.3	9.3	0.522
224	5.0	9.3	0.558
225	5.0	9.3	0.561
226	5.1	9.3	0.587
227	5.2	9.2	0.561
228	5.1	9.2	0.543
229	4.9	9.2	0.503
230	5.0	9.2	0.442
231	4.9	9.2	0.403
232	5.4	9.2	0.376
233	5.7	9.2	0.391
234	6.2	9.2	0.485
235	6.2	9.2	0.541
236	6.6	9.2	0.669
237	7.0	9.2	0.688
238	7.6	9.2	0.641
239	8.0	9.2	0.386
240	8.3	9.2	0.242
241	7.0	9.2	0.167
242	7.0	9.2	0.090
243	7.0	9.2	0.035
244	7.0	9.2	0.026
245	7.0	9.2	0.077
246	6.9	9.1	0.193
247	6.9	9.1	0.522
248	8.3	9.1	0.558
249	8.5	9.1	0.561
250	8.1	9.1	0.587
251	8.1	9.1	0.561
252	7.4	9.1	0.543
253	7.3	9.1	0.503
254	6.8	9.1	0.442
255	6.9	9.1	0.403
256	7.1	9.1	0.376
257	7.7	9.1	0.391
258	7.7	9.1	0.485
259	7.8	9.1	0.541
260	8.1	9.1	0.669
261	8.3	9.1	0.688
262	8.6	9.1	0.641
263	8.6	9.0	0.386
264	8.7	9.0	0.242
265	7.1	9.0	0.167
266	7.2	9.0	0.090
267	7.2	9.0	0.035
268	7.1	9.0	0.026
269	6.9	9.0	0.077
270	7.1	9.0	0.193
271	7.0	9.0	0.522
272	8.7	9.0	0.558
273	8.7	9.0	0.561
274	8.4	9.0	0.587
275	8.1	9.0	0.561
276	7.6	9.0	0.543
277	7.3	9.0	0.503
278	7.0	9.0	0.442
279	6.8	9.0	0.403
280	6.8	9.0	0.376
281	6.7	9.0	0.391
282	6.9	9.0	0.485
283	6.9	9.0	0.541
284	6.9	8.9	0.669
285	7.2	8.9	0.688
286	7.2	8.9	0.641
287	7.2	8.9	0.386
288	7.3	8.9	0.242
289	5.4	8.9	0.167
290	5.4	8.9	0.090
291	5.4	8.9	0.035
292	5.4	8.9	0.026
293	5.5	8.9	0.077
294	5.6	8.9	0.193
295	5.4	8.9	0.522
296	7.0	8.9	0.558
297	7.0	8.9	0.561
298	7.0	8.9	0.587
299	6.6	8.9	0.561
300	6.3	8.9	0.543
301	6.0	8.9	0.503
302	5.9	8.9	0.442
303	5.8	8.9	0.403
304	5.6	8.8	0.376
305	5.9	8.8	0.391
306	5.8	8.8	0.485
307	5.9	8.8	0.541
308	6.0	8.8	0.669
309	6.1	8.8	0.688
310	6.5	8.8	0.641
311	6.4	8.8	0.386
312	6.5	8.8	0.242
313	5.0	8.8	0.167
314	5.0	8.8	0.090
315	5.0	8.8	0.035
316	4.8	8.8	0.026
317	4.6	8.8	0.077
318	4.5	8.8	0.193
319	4.7	8.8	0.522
320	6.4	8.8	0.558
321	6.5	8.8	0.561
322	6.3	8.8	0.587
