# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.0	1.5	0.057
2	1.0	1.5	0.031
3	1.1	1.5	0.012
4	1.0	1.5	0.009
5	1.1	1.5	0.026
6	1.1	1.5	0.066
7	1.0	1.5	0.179
8	1.0	1.4	0.191
9	1.0	1.4	0.192
10	1.0	1.4	0.202
11	1.0	1.4	0.192
12	0.9	1.4	0.186
13	0.9	1.4	0.173
14	0.9	1.4	0.152
15	0.9	1.4	0.138
16	0.9	1.4	0.129
17	1.0	1.4	0.134
18	1.1	1.4	0.166
19	1.1	1.4	0.186
20	1.2	1.4	0.230
21	1.2	1.4	0.236
22	1.2	1.4	0.220
23	1.2	1.4	0.132
24	1.3	1.4	0.083
25	1.3	1.4	0.057
26	1.3	1.4	0.031
27	1.3	1.4	0.012
28	1.3	1.4	0.009
29	1.3	1.4	0.026
30	1.3	1.4	0.066
31	1.3	1.4	0.179
32	1.3	1.4	0.191
33	1.3	1.4	0.192
34	1.2	1.4	0.202
35	1.2	1.4	0.192
36	1.2	1.4	0.186
37	1.1	1.4	0.173
38	1.1	1.4	0.152
39	1.1	1.4	0.138
40	1.1	1.4	0.129
41	1.1	1.4	0.134
42	1.2	1.4	0.166
43	1.2	1.4	0.186
44	1.2	1.4	0.230
45	1.2	1.4	0.236
46	1.2	1.4	0.220
47	1.2	1.4	0.132
48	1.2	1.4	0.083
49	1.2	1.4	0.057
50	1.2	1.4	0.031
51	1.2	1.4	0.012
52	1.3	1.4	0.009
53	1.3	1.4	0.026
54	1.3	1.4	0.066
55	1.3	1.4	0.179
56	1.3	1.4	0.191
57	1.3	1.4	0.192
58	1.3	1.4	0.202
59	1.2	1.4	0.192
60	1.2	1.4	0.186
61	1.2	1.4	0.173
62	1.1	1.4	0.152
63	1.1	1.4	0.138
64	1.1	1.4	0.129
65	1.1	1.4	0.134
66	1.2	1.4	0.166
67	1.2	1.4	0.186
68	1.3	1.4	0.230
69	1.3	1.4	0.236
70	1.3	1.3	0.220
71	1.3	1.3	0.132
72	1.4	1.3	0.083
73	1.4	1.3	0.057
74	1.4	1.3	0.031
75	1.4	1.3	0.012
76	1.4	1.3	0.009
77	1.4	1.3	0.026
78	1.4	1.3	0.066
79	1.3	1.3	0.179
80	1.3	1.3	0.191
81	1.3	1.3	0.192
82	1.2	1.3	0.202
83	1.1	1.3	0.192
84	1.0	1.3	0.186
85	0.9	1.3	0.173
86	0.9	1.3	0.152
87	0.9	1.3	0.138
88	0.9	1.3	0.129
89	0.9	1.3	0.134
90	0.9	1.3	0.166
91	0.9	1.3	0.186
92	0.9	1.3	0.230
93	0.9	1.3	0.236
94	0.9	1.3	0.220
95	0.9	1.3	0.132
96	1.0	1.3	0.083
97	1.0	1.3	0.057
98	1.0	1.3	0.031
99	1.0	1.3	0.012
100	1.0	1.3	0.009
101	1.1	1.3	0.026
102	1.1	1.3	0.066
103	1.1	1.3	0.179
104	1.1	1.3	0.191
105	1.1	1.3	0.192
106	1.1	1.3	0.202
107	1.2	1.3	0.192
108	1.2	1.3	0.186
109	1.2	1.3	0.173
110	1.2	1.3	0.152
111	1.3	1.3	0.138
112	1.3	1.3	0.129
113	1.3	1.3	0.134
114	1.4	1.3	0.166
115	1.4	1.3	0.186
116	1.4	1.3	0.230
117	1.4	1.3	0.236
118	1.4	1.3	0.220
119	1.5	1.3	0.132
120	1.5	1.3	0.083
121	1.5	1.3	0.057
122	1.5	1.3	0.031
123	1.5	1.3	0.012
124	1.5	1.3	0.009
125	1.4	1.3	0.026
126	1.4	1.3	0.066
127	1.4	1.2	0.179
128	1.4	1.2	0.191
129	1.4	1.2	0.192
130	1.3	1.2	0.202
131	1.2	1.2	0.192
132	1.2	1.2	0.186
133	1.1	1.2	0.173
134	1.0	1.2	0.152
135	1.0	1.2	0.138
136	0.9	1.2	0.129
137	0.9	1.2	0.134
138	1.0	1.2	0.166
139	0.9	1.2	0.186
140	0.9	1.2	0.230
141	0.9	1.2	0.236
142	0.9	1.2	0.220
143	0.9	1.2	0.132
144	0.9	1.2	0.083
145	0.9	1.2	0.057
146	0.9	1.2	0.031
147	0.9	1.2	0.012
148	0.9	1.2	0.009
149	1.0	1.2	0.026
150	1.0	1.2	0.066
151	1.0	1.2	0.179
152	1.0	1.2	0.191
153	1.0	1.2	0.192
154	0.9	1.2	0.202
155	0.9	1.2	0.192
156	0.8	1.2	0.186
157	0.8	1.2	0.173
158	0.7	1.2	0.152
159	0.7	1.2	0.138
160	0.7	1.2	0.129
161	0.8	1.2	0.134
162	0.8	1.2	0.166
163	0.9	1.2	0.186
164	0.9	1.2	0.230
165	0.9	1.2	0.236
166	0.9	1.2	0.220
167	1.0	1.2	0.132
168	1.0	1.2	0.083
169	1.0	1.2	0.057
170	1.0	1.2	0.031
171	1.0	1.2	0.012
172	1.0	1.2	0.009
173	1.0	1.2	0.026
174	0.9	1.2	0.066
175	0.9	1.2	0.179
176	0.9	1.2	0.191
177	0.9	1.2	0.192
178	0.9	1.2	0.202
179	0.9	1.2	0.192
180	0.8	1.2	0.186
181	0.8	1.2	0.173
182	0.8	1.2	0.152
183	0.8	1.2	0.138
184	0.8	1.2	0.129
185	0.8	1.2	0.134
186	0.8	1.2	0.166
187	0.8	1.2	0.186
188	0.8	1.2	0.230
189	0.8	1.2	0.236
190	0.8	1.2	0.220
191	0.7	1.2	0.132
192	0.7	1.2	0.083
