# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	16.1	25.0	0.303
2	16.4	24.9	0.163
3	17.1	24.4	0.064
4	16.9	24.4	0.046
5	17.1	24.3	0.139
6	17.1	24.2	0.349
7	16.8	23.3	0.943
8	16.7	23.3	1.009
9	16.8	22.6	1.014
10	15.9	22.5	1.062
11	15.9	22.4	1.014
12	15.0	22.4	0.983
13	14.6	22.3	0.910
14	14.7	22.3	0.800
15	14.6	22.3	0.729
16	15.1	22.3	0.680
17	16.0	22.3	0.707
18	17.3	22.2	0.877
19	18.4	22.2	0.979
20	18.7	22.2	1.210
21	18.9	22.2	1.244
22	19.5	22.1	1.160
23	19.9	22.1	0.698
24	20.6	22.1	0.437
25	21.3	22.1	0.303
26	20.8	22.0	0.163
27	20.9	22.0	0.064
28	20.9	21.9	0.046
29	20.7	21.9	0.139
30	20.3	21.8	0.349
31	20.7	21.8	0.943
32	21.0	21.7	1.009
33	20.4	21.7	1.014
34	20.1	21.7	1.062
35	19.4	21.6	1.014
36	18.6	21.6	0.983
37	18.2	21.4	0.910
38	18.0	21.4	0.800
39	17.4	21.4	0.729
40	17.8	21.4	0.680
41	18.6	21.4	0.707
42	19.4	21.3	0.877
43	19.6	21.3	0.979
44	19.6	21.3	1.210
45	19.9	21.3	1.244
46	19.9	21.3	1.160
47	20.0	21.3	0.698
48	20.0	21.2	0.437
49	20.0	21.2	0.303
50	19.9	21.2	0.163
51	20.1	21.2	0.064
52	20.5	21.1	0.046
53	20.6	21.1	0.139
54	20.4	21.0	0.349
55	21.0	21.0	0.943
56	20.7	21.0	1.009
57	20.5	21.0	1.014
58	20.6	21.0	1.062
59	20.1	20.9	1.014
60	19.9	20.9	0.983
61	19.1	20.9	0.910
62	18.6	20.9	0.800
63	18.3	20.9	0.729
64	18.2	20.9	0.680
65	18.4	20.9	0.707
66	19.1	20.8	0.877
67	19.8	20.8	0.979
68	20.2	20.8	1.210
69	20.8	20.8	1.244
70	21.3	20.7	1.160
71	21.7	20.7	0.698
72	22.0	20.7	0.437
73	22.3	20.7	0.303
74	22.3	20.7	0.163
75	22.1	20.6	0.064
76	22.2	20.6	0.046
77	22.2	20.6	0.139
78	22.1	20.6	0.349
79	21.6	20.6	0.943
80	20.9	20.5	1.009
81	20.3	20.5	1.014
82	19.3	20.5	1.062
83	17.5	20.5	1.014
84	16.2	20.5	0.983
85	14.9	20.5	0.910
86	14.4	20.4	0.800
87	14.6	20.4	0.729
88	14.5	20.4	0.680
89	14.8	20.4	0.707
90	14.9	20.4	0.877
91	14.9	20.3	0.979
92	14.5	20.3	1.210
93	15.0	20.3	1.244
94	15.2	20.3	1.160
95	15.4	20.3	0.698
96	15.4	20.3	0.437
97	15.4	20.2	0.303
98	15.5	20.2	0.163
99	16.2	20.2	0.064
100	16.6	20.2	0.046
101	17.0	20.2	0.139
102	17.3	20.2	0.349
103	17.9	20.2	0.943
104	18.1	20.1	1.009
105	18.5	20.1	1.014
106	18.4	20.1	1.062
107	18.7	20.1	1.014
108	18.9	20.1	0.983
109	18.9	20.1	0.910
110	19.4	20.1	0.800
111	20.4	20.0	0.729
112	20.3	20.0	0.680
113	21.2	20.0	0.707
114	22.1	20.0	0.877
115	22.2	20.0	0.979
116	21.8	20.0	1.210
117	22.4	20.0	1.244
118	23.3	20.0	1.160
119	24.2	19.9	0.698
120	24.4	19.9	0.437
121	24.9	19.9	0.303
122	25.0	19.9	0.163
123	24.4	19.9	0.064
124	24.3	19.9	0.046
125	23.3	19.9	0.139
126	22.6	19.9	0.349
127	22.3	19.9	0.943
128	22.1	19.9	1.009
129	21.8	19.9	1.014
130	21.0	19.8	1.062
131	19.8	19.8	1.014
132	18.8	19.8	0.983
133	17.4	19.8	0.910
134	16.3	19.8	0.800
135	15.8	19.8	0.729
136	15.1	19.8	0.680
137	15.1	19.8	0.707
138	15.5	19.8	0.877
139	14.9	19.8	0.979
140	14.8	19.8	1.210
141	14.9	19.8	1.244
