# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.5	11.6	0.151
2	7.6	11.6	0.082
3	8.0	11.4	0.032
4	7.9	11.4	0.023
5	7.9	11.3	0.070
6	8.0	11.3	0.175
7	7.8	10.9	0.472
8	7.8	10.8	0.505
9	7.8	10.5	0.507
10	7.4	10.5	0.532
11	7.4	10.4	0.507
12	7.0	10.4	0.492
13	6.8	10.4	0.456
14	6.8	10.4	0.400
15	6.8	10.4	0.365
16	7.0	10.4	0.341
17	7.4	10.4	0.354
18	8.0	10.4	0.439
19	8.6	10.4	0.490
20	8.7	10.3	0.606
21	8.8	10.3	0.622
22	9.1	10.3	0.580
23	9.3	10.3	0.349
24	9.6	10.3	0.219
25	9.9	10.3	0.151
26	9.7	10.3	0.082
27	9.7	10.3	0.032
28	9.7	10.2	0.023
29	9.6	10.2	0.070
30	9.5	10.2	0.175
31	9.7	10.1	0.472
32	9.8	10.1	0.505
33	9.5	10.1	0.507
34	9.3	10.1	0.532
35	9.0	10.1	0.507
36	8.7	10.0	0.492
37	8.5	10.0	0.456
38	8.4	10.0	0.400
39	8.1	10.0	0.365
40	8.3	9.9	0.341
41	8.6	9.9	0.354
42	9.0	9.9	0.439
43	9.1	9.9	0.490
44	9.1	9.9	0.606
45	9.3	9.9	0.622
46	9.3	9.9	0.580
47	9.3	9.9	0.349
48	9.3	9.8	0.219
49	9.3	9.8	0.151
50	9.3	9.8	0.082
51	9.3	9.8	0.032
52	9.5	9.8	0.023
53	9.6	9.8	0.070
54	9.5	9.8	0.175
55	9.8	9.8	0.472
56	9.6	9.8	0.505
57	9.5	9.7	0.507
58	9.6	9.7	0.532
59	9.3	9.7	0.507
60	9.3	9.7	0.492
61	8.9	9.7	0.456
62	8.7	9.7	0.400
63	8.5	9.7	0.365
64	8.5	9.7	0.341
65	8.6	9.7	0.354
66	8.9	9.7	0.439
67	9.2	9.7	0.490
68	9.4	9.7	0.606
69	9.7	9.7	0.622
70	9.9	9.6	0.580
71	10.1	9.6	0.349
72	10.3	9.6	0.219
73	10.4	9.6	0.151
74	10.4	9.6	0.082
75	10.3	9.6	0.032
76	10.4	9.6	0.023
77	10.3	9.6	0.070
78	10.3	9.5	0.175
79	10.1	9.5	0.472
80	9.7	9.5	0.505
81	9.5	9.5	0.507
82	9.0	9.5	0.532
83	8.2	9.5	0.507
84	7.5	9.5	0.492
85	7.0	9.5	0.456
86	6.7	9.5	0.400
87	6.8	9.5	0.365
88	6.8	9.5	0.341
89	6.9	9.5	0.354
90	6.9	9.5	0.439
91	6.9	9.4	0.490
92	6.7	9.4	0.606
93	7.0	9.4	0.622
94	7.1	9.4	0.580
95	7.2	9.4	0.349
96	7.2	9.4	0.219
97	7.2	9.4	0.151
98	7.2	9.4	0.082
99	7.5	9.4	0.032
100	7.7	9.4	0.023
101	7.9	9.4	0.070
102	8.0	9.3	0.175
103	8.3	9.3	0.472
104	8.4	9.3	0.505
105	8.6	9.3	0.507
106	8.6	9.3	0.532
107	8.7	9.3	0.507
108	8.8	9.3	0.492
109	8.8	9.3	0.456
110	9.0	9.3	0.400
111	9.5	9.3	0.365
112	9.4	9.3	0.341
113	9.9	9.3	0.354
114	10.3	9.3	0.439
115	10.4	9.3	0.490
116	10.2	9.3	0.606
117	10.4	9.3	0.622
118	10.8	9.3	0.580
119	11.3	9.3	0.349
120	11.4	9.3	0.219
121	11.6	9.2	0.151
122	11.6	9.2	0.082
123	11.4	9.2	0.032
124	11.3	9.2	0.023
125	10.9	9.2	0.070
126	10.5	9.2	0.175
127	10.4	9.2	0.472
128	10.3	9.2	0.505
129	10.2	9.2	0.507
130	9.8	9.2	0.532
131	9.2	9.2	0.507
132	8.8	9.2	0.492
133	8.1	9.2	0.456
134	7.6	9.2	0.400
135	7.4	9.2	0.365
136	7.0	9.2	0.341
137	7.0	9.1	0.354
138	7.2	9.1	0.439
139	6.9	9.1	0.490
140	6.9	9.1	0.606
141	6.9	9.1	0.622
142	6.9	9.1	0.580
143	6.9	9.1	0.349
144	6.9	9.1	0.219
145	6.8	9.1	0.151
146	6.9	9.1	0.082
147	7.0	9.1	0.032
148	7.1	9.1	0.023
149	7.3	9.1	0.070
150	7.2	9.1	0.175
151	7.2	9.1	0.472
152	7.4	9.1	0.505
153	7.3	9.1	0.507
154	6.8	9.1	0.532
155	6.6	9.1	0.507
156	6.3	9.1	0.492
157	6.0	9.1	0.456
158	5.5	9.1	0.400
159	5.3	9.1	0.365
160	5.2	9.0	0.341
161	5.7	9.0	0.354
162	6.1	9.0	0.439
163	6.5	9.0	0.490
164	6.6	9.0	0.606
165	7.0	9.0	0.622
166	7.1	9.0	0.580
167	7.5	9.0	0.349
168	7.6	9.0	0.219
169	7.8	9.0	0.151
170	7.7	9.0	0.082
171	7.8	9.0	0.032
172	7.5	9.0	0.023
173	7.4	9.0	0.070
174	7.2	9.0	0.175
175	7.1	9.0	0.472
176	7.0	9.0	0.505
177	7.0	9.0	0.507
178	6.9	9.0	0.532
179	6.5	9.0	0.507
180	6.1	9.0	0.492
181	6.3	9.0	0.456
182	6.1	9.0	0.400
183	6.2	9.0	0.365
184	6.2	9.0	0.341
185	6.1	9.0	0.354
186	6.2	9.0	0.439
187	6.4	9.0	0.490
188	6.0	9.0	0.606
