# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.7	4.2	0.172
2	2.7	4.2	0.093
3	2.8	4.1	0.036
4	2.8	4.1	0.026
5	2.8	4.1	0.079
6	2.9	4.0	0.199
7	2.8	3.9	0.537
8	2.8	3.9	0.575
9	2.8	3.9	0.578
10	2.6	3.9	0.605
11	2.7	3.9	0.578
12	2.5	3.9	0.560
13	2.4	3.9	0.518
14	2.4	3.9	0.456
15	2.4	3.9	0.415
16	2.5	3.8	0.388
17	2.7	3.8	0.403
18	2.9	3.8	0.500
19	3.1	3.8	0.557
20	3.1	3.8	0.690
21	3.1	3.8	0.708
22	3.2	3.8	0.661
23	3.3	3.8	0.398
24	3.4	3.8	0.249
25	3.5	3.8	0.172
26	3.5	3.8	0.093
27	3.5	3.8	0.036
28	3.5	3.8	0.026
29	3.4	3.8	0.079
30	3.4	3.8	0.199
31	3.5	3.7	0.537
32	3.5	3.7	0.575
33	3.4	3.7	0.578
34	3.3	3.7	0.605
35	3.2	3.7	0.578
36	3.1	3.7	0.560
37	3.0	3.7	0.518
38	3.0	3.7	0.456
39	2.9	3.7	0.415
40	3.0	3.7	0.388
41	3.1	3.7	0.403
42	3.2	3.7	0.500
43	3.3	3.7	0.557
44	3.3	3.7	0.690
45	3.3	3.7	0.708
46	3.3	3.7	0.661
47	3.3	3.7	0.398
48	3.3	3.7	0.249
49	3.3	3.7	0.172
50	3.3	3.7	0.093
51	3.3	3.7	0.036
52	3.4	3.7	0.026
53	3.4	3.7	0.079
54	3.4	3.7	0.199
55	3.5	3.7	0.537
56	3.4	3.7	0.575
57	3.4	3.7	0.578
58	3.4	3.7	0.605
59	3.3	3.7	0.578
60	3.3	3.7	0.560
61	3.2	3.7	0.518
62	3.1	3.7	0.456
63	3.0	3.7	0.415
64	3.0	3.7	0.388
65	3.1	3.7	0.403
66	3.2	3.6	0.500
67	3.3	3.6	0.557
68	3.4	3.6	0.690
69	3.5	3.6	0.708
70	3.5	3.6	0.661
71	3.6	3.6	0.398
72	3.7	3.6	0.249
73	3.7	3.6	0.172
74	3.7	3.6	0.093
75	3.7	3.6	0.036
76	3.7	3.6	0.026
77	3.7	3.6	0.079
78	3.7	3.6	0.199
79	3.6	3.6	0.537
80	3.5	3.6	0.575
81	3.4	3.6	0.578
82	3.2	3.6	0.605
83	2.9	3.6	0.578
84	2.7	3.5	0.560
85	2.5	3.5	0.518
86	2.4	3.5	0.456
87	2.4	3.5	0.415
88	2.4	3.5	0.388
89	2.5	3.5	0.403
90	2.5	3.5	0.500
91	2.5	3.5	0.557
92	2.4	3.5	0.690
93	2.5	3.5	0.708
94	2.5	3.5	0.661
95	2.6	3.5	0.398
96	2.6	3.5	0.249
97	2.6	3.5	0.172
98	2.6	3.5	0.093
99	2.7	3.5	0.036
100	2.8	3.5	0.026
101	2.8	3.5	0.079
102	2.9	3.5	0.199
103	3.0	3.5	0.537
104	3.0	3.5	0.575
105	3.1	3.5	0.578
106	3.1	3.5	0.605
107	3.1	3.4	0.578
108	3.1	3.4	0.560
109	3.2	3.4	0.518
