# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.5	6.7	0.268
2	3.6	6.7	0.144
3	3.8	6.4	0.057
4	3.7	6.4	0.041
5	3.8	6.4	0.123
6	3.8	6.3	0.309
7	3.7	6.3	0.834
8	4.6	6.3	0.892
9	4.6	6.2	0.896
10	4.4	6.2	0.939
11	4.4	6.2	0.896
12	4.1	6.2	0.869
13	4.0	6.2	0.804
14	4.0	6.2	0.707
15	4.0	6.2	0.644
16	4.1	6.2	0.601
17	4.4	6.1	0.625
18	4.7	6.1	0.775
19	5.0	6.1	0.865
20	5.1	6.1	1.070
21	5.2	6.1	1.099
22	5.4	6.1	1.025
23	5.5	6.1	0.617
24	5.7	6.1	0.387
25	5.0	6.1	0.268
26	4.8	6.1	0.144
27	4.8	6.1	0.057
28	4.8	6.1	0.041
29	4.8	6.0	0.123
30	4.7	6.0	0.309
31	4.8	6.0	0.834
32	5.8	6.0	0.892
33	5.6	6.0	0.896
34	5.5	6.0	0.939
35	5.3	6.0	0.896
36	5.1	6.0	0.869
37	5.0	6.0	0.804
38	4.9	6.0	0.707
39	4.8	6.0	0.644
40	4.9	6.0	0.601
41	5.1	6.0	0.625
42	5.3	5.9	0.775
43	5.4	5.9	0.865
44	5.4	5.9	1.070
45	5.5	5.9	1.099
46	5.5	5.9	1.025
47	5.5	5.8	0.617
48	5.5	5.8	0.387
49	4.6	5.8	0.268
50	4.6	5.8	0.144
51	4.6	5.8	0.057
52	4.7	5.8	0.041
53	4.8	5.8	0.123
54	4.7	5.8	0.309
55	4.9	5.8	0.834
56	5.7	5.8	0.892
57	5.6	5.8	0.896
58	5.7	5.7	0.939
59	5.5	5.7	0.896
60	5.5	5.7	0.869
61	5.2	5.7	0.804
62	5.1	5.7	0.707
63	5.0	5.7	0.644
64	5.0	5.7	0.601
65	5.1	5.7	0.625
66	5.2	5.7	0.775
67	5.4	5.7	0.865
68	5.6	5.7	1.070
69	5.7	5.6	1.099
70	5.9	5.6	1.025
71	6.0	5.6	0.617
72	6.1	5.6	0.387
73	5.2	5.6	0.268
74	5.2	5.6	0.144
75	5.2	5.6	0.057
76	5.2	5.6	0.041
77	5.2	5.6	0.123
78	5.2	5.6	0.309
79	5.0	5.6	0.834
80	5.7	5.6	0.892
81	5.6	5.6	0.896
82	5.3	5.6	0.939
83	4.8	5.5	0.896
84	4.4	5.5	0.869
85	4.1	5.5	0.804
86	4.0	5.5	0.707
87	4.0	5.5	0.644
88	4.0	5.5	0.601
89	4.0	5.5	0.625
90	4.1	5.5	0.775
91	4.1	5.5	0.865
92	4.0	5.5	1.070
93	4.1	5.5	1.099
94	4.2	5.5	1.025
95	4.2	5.5	0.617
96	4.2	5.5	0.387
97	3.3	5.5	0.268
98	3.4	5.5	0.144
99	3.5	5.5	0.057
100	3.7	5.5	0.041
101	3.8	5.5	0.123
102	3.8	5.5	0.309
103	4.0	5.5	0.834
104	5.0	5.5	0.892
105	5.1	5.5	0.896
106	5.1	5.5	0.939
107	5.1	5.5	0.896
108	5.2	5.5	0.869
109	5.2	5.4	0.804
110	5.3	5.4	0.707
111	5.6	5.4	0.644
112	5.6	5.4	0.601
113	5.8	5.4	0.625
114	6.1	5.4	0.775
115	6.1	5.4	0.865
116	6.0	5.4	1.070
117	6.2	5.4	1.099
118	6.4	5.4	1.025
119	6.7	5.4	0.617
120	6.7	5.4	0.387
121	6.0	5.4	0.268
122	6.0	5.4	0.144
123	5.8	5.4	0.057
124	5.8	5.4	0.041
125	5.5	5.4	0.123
126	5.3	5.4	0.309
