# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.9	7.5	0.317
2	4.0	7.4	0.171
3	4.2	7.1	0.067
4	4.2	7.1	0.049
5	4.2	7.1	0.146
6	4.2	7.1	0.366
7	4.2	7.0	0.989
8	5.1	7.0	1.059
9	5.1	6.9	1.064
10	4.9	6.9	1.115
11	4.9	6.9	1.064
12	4.6	6.9	1.031
13	4.4	6.9	0.955
14	4.5	6.9	0.839
15	4.5	6.9	0.765
16	4.6	6.9	0.714
17	4.9	6.9	0.742
18	5.3	6.8	0.920
19	5.6	6.8	1.027
20	5.7	6.8	1.270
21	5.8	6.8	1.305
22	6.0	6.8	1.217
23	6.1	6.8	0.732
24	6.3	6.8	0.459
25	5.5	6.8	0.317
26	5.4	6.8	0.171
27	5.4	6.8	0.067
28	5.4	6.7	0.049
29	5.3	6.7	0.146
30	5.2	6.7	0.366
31	5.3	6.7	0.989
32	6.4	6.7	1.059
33	6.3	6.7	1.064
34	6.1	6.7	1.115
35	5.9	6.7	1.064
36	5.7	6.7	1.031
37	5.6	6.7	0.955
38	5.5	6.6	0.839
39	5.3	6.6	0.765
40	5.4	6.6	0.714
41	5.7	6.6	0.742
42	5.9	6.6	0.920
43	6.0	6.6	1.027
44	6.0	6.6	1.270
45	6.1	6.5	1.305
46	6.1	6.5	1.217
47	6.1	6.5	0.732
48	6.1	6.5	0.459
49	5.1	6.5	0.317
50	5.1	6.5	0.171
51	5.1	6.5	0.067
52	5.3	6.5	0.049
53	5.3	6.5	0.146
54	5.2	6.4	0.366
55	5.4	6.4	0.989
56	6.3	6.4	1.059
57	6.3	6.4	1.064
58	6.3	6.4	1.115
59	6.1	6.4	1.064
60	6.1	6.4	1.031
61	5.8	6.4	0.955
62	5.7	6.4	0.839
63	5.6	6.3	0.765
64	5.6	6.3	0.714
65	5.6	6.3	0.742
66	5.8	6.3	0.920
67	6.0	6.3	1.027
68	6.2	6.3	1.270
69	6.4	6.3	1.305
70	6.5	6.3	1.217
71	6.7	6.3	0.732
72	6.7	6.3	0.459
73	5.8	6.2	0.317
74	5.8	6.2	0.171
75	5.8	6.2	0.067
76	5.8	6.2	0.049
77	5.8	6.2	0.146
78	5.8	6.2	0.366
79	5.6	6.2	0.989
80	6.4	6.2	1.059
81	6.2	6.2	1.064
82	5.9	6.2	1.115
83	5.4	6.2	1.064
84	4.9	6.2	1.031
85	4.6	6.2	0.955
86	4.4	6.2	0.839
87	4.5	6.1	0.765
88	4.4	6.1	0.714
89	4.5	6.1	0.742
90	4.6	6.1	0.920
91	4.5	6.1	1.027
92	4.4	6.1	1.270
93	4.6	6.1	1.305
94	4.7	6.1	1.217
95	4.7	6.1	0.732
96	4.7	6.1	0.459
97	3.7	6.1	0.317
98	3.8	6.1	0.171
99	4.0	6.1	0.067
100	4.1	6.1	0.049
101	4.2	6.1	0.146
102	4.3	6.1	0.366
103	4.5	6.1	0.989
104	5.5	6.1	1.059
105	5.6	6.1	1.064
106	5.6	6.1	1.115
107	5.7	6.1	1.064
108	5.8	6.1	1.031
109	5.8	6.1	0.955
110	5.9	6.1	0.839
111	6.2	6.1	0.765
112	6.2	6.1	0.714
113	6.5	6.1	0.742
114	6.8	6.1	0.920
115	6.8	6.1	1.027
116	6.7	6.0	1.270
117	6.9	6.0	1.305
118	7.1	6.0	1.217
119	7.4	6.0	0.732
120	7.5	6.0	0.459
121	6.6	6.0	0.317
122	6.7	6.0	0.171
123	6.5	6.0	0.067
124	6.5	6.0	0.049
125	6.2	6.0	0.146
126	5.9	6.0	0.366
127	5.8	6.0	0.989
128	6.8	6.0	1.059
129	6.7	6.0	1.064
130	6.4	6.0	1.115
131	6.1	6.0	1.064
132	5.7	6.0	1.031
133	5.3	6.0	0.955
134	4.9	6.0	0.839
135	4.8	5.9	0.765
136	4.6	5.9	0.714
137	4.6	5.9	0.742
138	4.7	5.9	0.920
139	4.5	5.9	1.027
140	4.5	5.9	1.270
141	4.5	5.9	1.305
142	4.5	5.9	1.217
143	4.5	5.9	0.732
144	4.5	5.9	0.459
145	3.4	5.9	0.317
146	3.6	5.9	0.171
147	3.6	5.9	0.067
148	3.6	5.9	0.049
149	3.8	5.9	0.146
150	3.7	5.8	0.366
151	3.8	5.8	0.989
152	4.8	5.8	1.059
153	4.8	5.8	1.064
154	4.5	5.8	1.115
155	4.3	5.8	1.064
156	4.1	5.8	1.031
157	4.0	5.8	0.955
158	3.6	5.8	0.839
159	3.5	5.8	0.765
160	3.5	5.8	0.714
161	3.8	5.8	0.742
162	4.0	5.8	0.920
163	4.3	5.8	1.027
164	4.4	5.8	1.270
165	4.6	5.8	1.305
166	4.7	5.8	1.217
167	5.0	5.8	0.732
168	5.0	5.8	0.459
169	4.1	5.8	0.317
170	4.1	5.8	0.171
171	4.1	5.8	0.067
172	4.0	5.8	0.049
173	3.9	5.8	0.146
174	3.7	5.8	0.366
175	3.7	5.8	0.989
176	4.6	5.8	1.059
177	4.6	5.8	1.064
178	4.5	5.8	1.115
179	4.2	5.8	1.064
180	4.0	5.8	1.031
181	4.1	5.8	0.955
182	4.0	5.8	0.839
183	4.1	5.8	0.765
184	4.1	5.8	0.714
185	4.0	5.8	0.742
186	4.1	5.7	0.920
187	4.2	5.7	1.027
188	3.9	5.7	1.270
189	3.8	5.7	1.305
190	3.8	5.7	1.217
191	3.6	5.7	0.732
192	3.5	5.7	0.459
193	2.3	5.7	0.317
194	2.3	5.7	0.171
195	2.4	5.7	0.067
196	2.4	5.7	0.049
197	2.3	5.7	0.146
198	2.1	5.7	0.366
199	2.3	5.7	0.989
200	3.2	5.7	1.059
201	3.3	5.7	1.064
202	3.1	5.7	1.115
203	3.0	5.7	1.064
204	3.1	5.7	1.031
205	3.0	5.7	0.955
206	2.8	5.7	0.839
207	2.5	5.7	0.765
208	2.4	5.6	0.714
209	2.5	5.6	0.742
210	2.4	5.6	0.920
211	2.4	5.6	1.027
