# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.1	13.5	0.232
2	7.3	13.5	0.125
3	7.7	13.0	0.049
4	7.5	12.9	0.036
5	7.7	12.9	0.107
6	7.7	12.9	0.268
7	7.5	12.8	0.723
8	9.3	12.7	0.774
9	9.3	12.6	0.777
10	8.8	12.6	0.814
11	8.8	12.6	0.777
12	8.3	12.6	0.753
13	8.1	12.5	0.698
14	8.1	12.5	0.613
15	8.1	12.5	0.559
16	8.3	12.5	0.521
17	8.9	12.4	0.542
18	9.6	12.4	0.672
19	10.2	12.4	0.750
20	10.4	12.4	0.928
21	10.5	12.4	0.953
22	10.8	12.4	0.889
23	11.1	12.4	0.535
24	11.5	12.3	0.335
25	10.0	12.3	0.232
26	9.7	12.3	0.125
27	9.8	12.3	0.049
28	9.8	12.2	0.036
29	9.7	12.2	0.107
30	9.5	12.2	0.268
31	9.7	12.2	0.723
32	11.7	12.1	0.774
33	11.3	12.1	0.777
34	11.1	12.1	0.814
35	10.8	12.1	0.777
36	10.3	12.1	0.753
37	10.1	12.1	0.698
38	10.0	12.1	0.613
39	9.6	12.1	0.559
40	9.9	12.0	0.521
41	10.3	12.0	0.542
42	10.8	12.0	0.672
43	10.9	12.0	0.750
44	10.9	11.9	0.928
45	11.0	11.9	0.953
46	11.0	11.8	0.889
47	11.1	11.8	0.535
48	11.1	11.8	0.335
49	9.3	11.8	0.232
50	9.3	11.8	0.125
51	9.3	11.8	0.049
52	9.6	11.7	0.036
53	9.7	11.7	0.107
54	9.5	11.7	0.268
55	9.8	11.7	0.723
56	11.5	11.7	0.774
57	11.4	11.7	0.777
58	11.4	11.7	0.814
59	11.1	11.6	0.777
60	11.0	11.6	0.753
61	10.6	11.6	0.698
62	10.3	11.6	0.613
63	10.1	11.5	0.559
64	10.1	11.5	0.521
65	10.2	11.5	0.542
66	10.6	11.5	0.672
67	11.0	11.5	0.750
68	11.2	11.5	0.928
69	11.6	11.4	0.953
70	11.8	11.4	0.889
71	12.1	11.4	0.535
72	12.2	11.4	0.335
73	10.6	11.4	0.232
74	10.6	11.4	0.125
75	10.5	11.3	0.049
76	10.5	11.3	0.036
77	10.5	11.3	0.107
78	10.5	11.3	0.268
79	10.2	11.3	0.723
80	11.6	11.3	0.774
81	11.3	11.3	0.777
82	10.7	11.3	0.814
83	9.7	11.3	0.777
84	9.0	11.2	0.753
85	8.3	11.2	0.698
86	8.0	11.2	0.613
87	8.1	11.2	0.559
88	8.0	11.2	0.521
89	8.2	11.2	0.542
90	8.3	11.2	0.672
91	8.2	11.2	0.750
92	8.0	11.2	0.928
93	8.3	11.2	0.953
94	8.4	11.1	0.889
95	8.5	11.1	0.535
96	8.5	11.1	0.335
97	6.7	11.1	0.232
98	6.8	11.1	0.125
99	7.2	11.1	0.049
100	7.4	11.1	0.036
101	7.6	11.1	0.107
102	7.8	11.1	0.268
103	8.1	11.1	0.723
104	10.0	11.1	0.774
105	10.2	11.1	0.777
106	10.2	11.1	0.814
107	10.4	11.1	0.777
108	10.5	11.1	0.753
109	10.5	11.0	0.698
110	10.8	11.0	0.613
111	11.3	11.0	0.559
112	11.3	11.0	0.521
113	11.8	11.0	0.542
114	12.3	11.0	0.672
115	12.3	11.0	0.750
116	12.1	11.0	0.928
117	12.4	11.0	0.953
118	12.9	11.0	0.889
119	13.5	11.0	0.535
120	13.5	11.0	0.335
121	12.0	11.0	0.232
122	12.1	11.0	0.125
123	11.8	11.0	0.049
124	11.7	11.0	0.036
125	11.2	11.0	0.107
126	10.7	10.9	0.268
127	10.6	10.9	0.723
128	12.3	10.9	0.774
129	12.1	10.9	0.777
130	11.7	10.9	0.814
131	11.0	10.9	0.777
132	10.4	10.9	0.753
133	9.6	10.9	0.698
134	9.0	10.9	0.613
135	8.7	10.8	0.559
136	8.3	10.8	0.521
137	8.3	10.8	0.542
138	8.5	10.8	0.672
139	8.2	10.8	0.750
140	8.1	10.8	0.928
141	8.2	10.8	0.953
142	8.2	10.8	0.889
143	8.2	10.8	0.535
144	8.2	10.8	0.335
145	6.3	10.8	0.232
146	6.4	10.7	0.125
147	6.5	10.7	0.049
148	6.6	10.7	0.036
149	6.9	10.7	0.107
150	6.8	10.7	0.268
151	6.8	10.7	0.723
152	8.8	10.7	0.774
153	8.6	10.7	0.777
154	8.1	10.7	0.814
155	7.9	10.6	0.777
156	7.5	10.6	0.753
157	7.2	10.6	0.698
158	6.6	10.6	0.613
159	6.3	10.6	0.559
160	6.3	10.6	0.521
161	6.9	10.6	0.542
162	7.2	10.6	0.672
163	7.8	10.6	0.750
164	7.9	10.6	0.928
165	8.4	10.6	0.953
166	8.4	10.6	0.889
167	9.0	10.6	0.535
168	9.1	10.6	0.335
169	7.5	10.6	0.232
170	7.4	10.6	0.125
171	7.5	10.6	0.049
172	7.2	10.6	0.036
173	7.1	10.6	0.107
174	6.7	10.5	0.268
175	6.7	10.5	0.723
176	8.4	10.5	0.774
177	8.4	10.5	0.777
178	8.2	10.5	0.814
179	7.7	10.5	0.777
180	7.3	10.5	0.753
181	7.5	10.5	0.698
182	7.2	10.5	0.613
183	7.4	10.5	0.559
184	7.4	10.5	0.521
185	7.3	10.5	0.542
186	7.4	10.5	0.672
187	7.6	10.5	0.750
188	7.1	10.5	0.928
189	6.9	10.5	0.953
190	6.9	10.5	0.889
191	6.5	10.5	0.535
192	6.3	10.5	0.335
193	4.1	10.5	0.232
194	4.1	10.4	0.125
195	4.4	10.4	0.049
196	4.4	10.4	0.036
197	4.2	10.4	0.107
198	3.9	10.4	0.268
199	4.1	10.4	0.723
200	5.9	10.4	0.774
201	6.0	10.4	0.777
202	5.6	10.4	0.814
203	5.5	10.4	0.777
204	5.6	10.4	0.753
205	5.5	10.4	0.698
206	5.0	10.4	0.613
207	4.6	10.4	0.559
208	4.4	10.4	0.521
209	4.5	10.4	0.542
210	4.4	10.3	0.672
211	4.4	10.3	0.750
212	4.4	10.3	0.928
213	4.4	10.3	0.953
214	4.4	10.3	0.889
215	4.3	10.3	0.535
216	4.0	10.3	0.335
217	2.3	10.3	0.232
218	2.5	10.3	0.125
219	2.7	10.3	0.049
220	2.9	10.3	0.036
221	3.1	10.3	0.107
222	3.4	10.2	0.268
223	3.7	10.2	0.723
224	5.6	10.2	0.774
225	5.6	10.2	0.777
226	5.7	10.2	0.814
227	5.7	10.2	0.777
228	5.6	10.2	0.753
229	5.5	10.2	0.698
230	5.6	10.2	0.613
231	5.5	10.2	0.559
232	6.0	10.2	0.521
233	6.4	10.2	0.542
234	6.9	10.2	0.672
235	6.9	10.2	0.750
236	7.3	10.2	0.928
237	7.8	10.2	0.953
238	8.5	10.2	0.889
239	8.9	10.2	0.535
240	9.2	10.2	0.335
241	7.8	10.2	0.232
242	7.8	10.2	0.125
243	7.8	10.2	0.049
244	7.8	10.1	0.036
245	7.8	10.1	0.107
246	7.7	10.1	0.268
247	7.7	10.1	0.723
248	9.3	10.1	0.774
249	9.4	10.1	0.777
250	9.0	10.1	0.814
251	9.0	10.1	0.777
252	8.3	10.1	0.753
253	8.1	10.1	0.698
254	7.6	10.1	0.613
255	7.7	10.1	0.559
256	7.9	10.1	0.521
257	8.6	10.1	0.542
258	8.6	10.0	0.672
259	8.7	10.0	0.750
260	9.1	10.0	0.928
261	9.3	10.0	0.953
262	9.6	10.0	0.889
263	9.6	10.0	0.535
264	9.7	10.0	0.335
265	7.9	10.0	0.232
266	8.0	10.0	0.125
267	8.0	10.0	0.049
268	7.9	10.0	0.036
269	7.7	10.0	0.107
270	7.9	10.0	0.268
271	7.8	10.0	0.723
272	9.7	10.0	0.774
273	9.7	9.9	0.777
274	9.4	9.9	0.814
275	9.1	9.9	0.777
276	8.5	9.9	0.753
277	8.1	9.9	0.698
278	7.8	9.9	0.613
279	7.6	9.9	0.559
280	7.6	9.9	0.521
281	7.5	9.9	0.542
282	7.7	9.9	0.672
283	7.7	9.9	0.750
284	7.7	9.9	0.928
285	8.0	9.9	0.953
286	8.0	9.9	0.889
287	8.0	9.9	0.535
288	8.2	9.8	0.335
289	6.1	9.8	0.232
290	6.1	9.8	0.125
291	6.0	9.8	0.049
292	6.0	9.8	0.036
293	6.1	9.8	0.107
294	6.2	9.8	0.268
295	6.0	9.8	0.723
296	7.8	9.8	0.774
297	7.8	9.8	0.777
298	7.8	9.8	0.814
299	7.3	9.8	0.777
300	7.1	9.8	0.753
301	6.7	9.8	0.698
302	6.6	9.8	0.613
303	6.5	9.8	0.559
304	6.3	9.8	0.521
305	6.6	9.8	0.542
306	6.5	9.7	0.672
307	6.6	9.7	0.750
308	6.7	9.7	0.928
309	6.8	9.7	0.953
310	7.2	9.7	0.889
311	7.1	9.7	0.535
312	7.3	9.7	0.335
313	5.6	9.7	0.232
314	5.5	9.7	0.125
315	5.6	9.7	0.049
316	5.3	9.7	0.036
317	5.2	9.7	0.107
318	5.1	9.7	0.268
319	5.2	9.7	0.723
320	7.1	9.7	0.774
321	7.2	9.7	0.777
322	7.1	9.7	0.814
323	6.9	9.7	0.777
324	7.1	9.7	0.753
325	6.8	9.7	0.698
326	6.6	9.7	0.613
327	6.2	9.7	0.559
328	5.9	9.7	0.521
329	6.2	9.7	0.542
330	6.3	9.7	0.672
331	6.5	9.7	0.750
332	6.7	9.7	0.928
333	6.7	9.6	0.953
334	6.8	9.6	0.889
335	6.9	9.6	0.535
336	6.8	9.6	0.335
337	5.1	9.6	0.232
338	5.2	9.6	0.125
339	5.4	9.6	0.049
340	5.7	9.6	0.036
341	5.8	9.6	0.107
342	5.8	9.6	0.268
343	5.8	9.6	0.723
344	7.9	9.6	0.774
345	8.0	9.6	0.777
346	8.2	9.6	0.814
347	7.9	9.6	0.777
348	7.7	9.6	0.753
349	7.6	9.6	0.698
350	7.9	9.6	0.613
351	7.9	9.6	0.559
352	8.0	9.6	0.521
353	8.2	9.6	0.542
354	8.5	9.5	0.672
355	8.6	9.5	0.750
356	8.9	9.5	0.928
357	8.9	9.5	0.953
358	9.2	9.5	0.889
359	9.1	9.5	0.535
360	8.9	9.5	0.335
361	7.0	9.5	0.232
362	7.2	9.5	0.125
363	7.4	9.5	0.049
364	7.3	9.5	0.036
365	7.2	9.5	0.107
366	7.6	9.5	0.268
367	7.7	9.5	0.723
368	9.6	9.5	0.774
369	9.5	9.5	0.777
370	9.6	9.5	0.814
371	9.0	9.5	0.777
372	8.8	9.5	0.753
373	8.6	9.5	0.698
374	8.4	9.5	0.613
375	8.5	9.4	0.559
376	8.9	9.4	0.521
377	9.5	9.4	0.542
378	9.9	9.4	0.672
379	10.2	9.4	0.750
380	10.4	9.4	0.928
381	10.6	9.4	0.953
382	11.0	9.4	0.889
383	11.4	9.4	0.535
384	11.7	9.4	0.335
385	10.5	9.4	0.232
386	10.6	9.4	0.125
387	10.7	9.4	0.049
388	10.5	9.4	0.036
389	10.6	9.4	0.107
390	10.4	9.4	0.268
391	10.4	9.4	0.723
392	12.0	9.4	0.774
393	11.5	9.4	0.777
394	11.0	9.3	0.814
395	10.5	9.3	0.777
396	9.9	9.3	0.753
397	9.2	9.3	0.698
398	8.5	9.3	0.613
399	8.6	9.3	0.559
400	8.4	9.3	0.521
