# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.2	6.2	0.102
2	3.3	6.1	0.055
3	3.5	5.9	0.022
4	3.4	5.9	0.016
5	3.5	5.9	0.047
6	3.5	5.9	0.118
7	3.4	5.9	0.318
8	4.2	5.8	0.341
9	4.2	5.8	0.342
10	4.0	5.8	0.359
11	4.0	5.8	0.342
12	3.8	5.8	0.332
13	3.7	5.8	0.307
14	3.7	5.7	0.270
15	3.7	5.7	0.246
16	3.8	5.7	0.230
17	4.0	5.7	0.239
18	4.4	5.7	0.296
19	4.6	5.7	0.330
20	4.7	5.7	0.409
21	4.8	5.7	0.420
22	4.9	5.7	0.392
23	5.0	5.7	0.236
24	5.2	5.6	0.148
25	4.6	5.6	0.102
26	4.4	5.6	0.055
27	4.5	5.6	0.022
28	4.5	5.6	0.016
29	4.4	5.6	0.047
30	4.3	5.6	0.118
31	4.4	5.6	0.318
32	5.3	5.6	0.341
33	5.2	5.6	0.342
34	5.1	5.6	0.359
35	4.9	5.6	0.342
36	4.7	5.5	0.332
37	4.6	5.5	0.307
38	4.5	5.5	0.270
39	4.4	5.5	0.246
40	4.5	5.5	0.230
41	4.7	5.5	0.239
42	4.9	5.5	0.296
43	4.9	5.5	0.330
44	5.0	5.5	0.409
45	5.0	5.5	0.420
46	5.0	5.4	0.392
47	5.0	5.4	0.236
48	5.0	5.4	0.148
49	4.2	5.4	0.102
50	4.2	5.4	0.055
51	4.2	5.4	0.022
52	4.3	5.4	0.016
53	4.4	5.4	0.047
54	4.3	5.4	0.118
55	4.5	5.3	0.318
56	5.2	5.3	0.341
57	5.2	5.3	0.342
58	5.2	5.3	0.359
59	5.1	5.3	0.342
60	5.0	5.3	0.332
61	4.8	5.3	0.307
62	4.7	5.3	0.270
63	4.6	5.3	0.246
64	4.6	5.3	0.230
65	4.6	5.3	0.239
66	4.8	5.2	0.296
67	5.0	5.2	0.330
68	5.1	5.2	0.409
69	5.3	5.2	0.420
70	5.4	5.2	0.392
71	5.5	5.2	0.236
72	5.6	5.2	0.148
73	4.8	5.2	0.102
74	4.8	5.2	0.055
75	4.8	5.2	0.022
76	4.8	5.2	0.016
77	4.8	5.2	0.047
78	4.8	5.2	0.118
79	4.6	5.2	0.318
80	5.3	5.2	0.341
81	5.1	5.2	0.342
82	4.9	5.2	0.359
83	4.4	5.2	0.342
84	4.1	5.1	0.332
85	3.8	5.1	0.307
86	3.6	5.1	0.270
87	3.7	5.1	0.246
88	3.7	5.1	0.230
89	3.7	5.1	0.239
90	3.8	5.1	0.296
91	3.7	5.1	0.330
92	3.7	5.1	0.409
93	3.8	5.1	0.420
94	3.8	5.1	0.392
95	3.9	5.1	0.236
96	3.9	5.1	0.148
97	3.1	5.1	0.102
98	3.1	5.1	0.055
99	3.3	5.1	0.022
100	3.4	5.1	0.016
101	3.5	5.1	0.047
102	3.5	5.1	0.118
103	3.7	5.1	0.318
104	4.6	5.1	0.341
105	4.7	5.1	0.342
106	4.6	5.1	0.359
107	4.7	5.1	0.342
108	4.8	5.1	0.332
109	4.8	5.1	0.307
110	4.9	5.1	0.270
111	5.1	5.0	0.246
112	5.1	5.0	0.230
113	5.4	5.0	0.239
114	5.6	5.0	0.296
115	5.6	5.0	0.330
116	5.5	5.0	0.409
117	5.7	5.0	0.420
118	5.9	5.0	0.392
119	6.1	5.0	0.236
120	6.2	5.0	0.148
121	5.5	5.0	0.102
122	5.5	5.0	0.055
123	5.3	5.0	0.022
124	5.3	5.0	0.016
125	5.1	5.0	0.047
126	4.9	5.0	0.118
127	4.8	5.0	0.318
128	5.6	5.0	0.341
129	5.5	5.0	0.342
130	5.3	5.0	0.359
131	5.0	5.0	0.342
132	4.7	5.0	0.332
133	4.4	5.0	0.307
134	4.1	5.0	0.270
135	3.9	5.0	0.246
136	3.8	5.0	0.230
137	3.8	5.0	0.239
138	3.9	5.0	0.296
139	3.7	5.0	0.330
140	3.7	5.0	0.409
141	3.7	5.0	0.420
142	3.7	5.0	0.392
143	3.7	4.9	0.236
144	3.7	4.9	0.148
145	2.8	4.9	0.102
146	2.9	4.9	0.055
147	2.9	4.9	0.022
148	3.0	4.9	0.016
149	3.2	4.9	0.047
150	3.1	4.9	0.118
151	3.1	4.9	0.318
152	4.0	4.9	0.341
153	3.9	4.9	0.342
154	3.7	4.9	0.359
155	3.6	4.9	0.342
156	3.4	4.9	0.332
157	3.3	4.9	0.307
158	3.0	4.9	0.270
159	2.9	4.9	0.246
160	2.9	4.9	0.230
161	3.1	4.9	0.239
162	3.3	4.9	0.296
163	3.5	4.9	0.330
164	3.6	4.9	0.409
165	3.8	4.9	0.420
166	3.8	4.9	0.392
167	4.1	4.8	0.236
168	4.1	4.8	0.148
169	3.4	4.8	0.102
170	3.4	4.8	0.055
171	3.4	4.8	0.022
172	3.3	4.8	0.016
173	3.2	4.8	0.047
174	3.1	4.8	0.118
175	3.1	4.8	0.318
176	3.8	4.8	0.341
177	3.8	4.8	0.342
178	3.7	4.8	0.359
179	3.5	4.8	0.342
180	3.3	4.8	0.332
181	3.4	4.8	0.307
182	3.3	4.8	0.270
183	3.4	4.8	0.246
184	3.4	4.8	0.230
185	3.3	4.8	0.239
186	3.4	4.8	0.296
187	3.4	4.8	0.330
188	3.2	4.8	0.409
189	3.1	4.8	0.420
190	3.1	4.8	0.392
191	3.0	4.8	0.236
192	2.9	4.8	0.148
193	1.9	4.8	0.102
194	1.9	4.8	0.055
195	2.0	4.8	0.022
196	2.0	4.8	0.016
197	1.9	4.8	0.047
198	1.8	4.8	0.118
199	1.9	4.8	0.318
200	2.7	4.8	0.341
201	2.7	4.8	0.342
202	2.5	4.8	0.359
203	2.5	4.8	0.342
204	2.5	4.8	0.332
205	2.5	4.8	0.307
206	2.3	4.8	0.270
207	2.1	4.8	0.246
208	2.0	4.8	0.230
209	2.0	4.8	0.239
210	2.0	4.8	0.296
211	2.0	4.7	0.330
212	2.0	4.7	0.409
213	2.0	4.7	0.420
214	2.0	4.7	0.392
215	2.0	4.7	0.236
216	1.8	4.7	0.148
217	1.1	4.7	0.102
218	1.1	4.7	0.055
219	1.2	4.7	0.022
220	1.3	4.7	0.016
221	1.4	4.7	0.047
222	1.5	4.7	0.118
223	1.7	4.7	0.318
224	2.6	4.7	0.341
225	2.5	4.7	0.342
226	2.6	4.7	0.359
227	2.6	4.7	0.342
228	2.6	4.7	0.332
229	2.5	4.7	0.307
230	2.5	4.7	0.270
231	2.5	4.7	0.246
232	2.7	4.7	0.230
233	2.9	4.7	0.239
234	3.1	4.7	0.296
235	3.2	4.7	0.330
236	3.3	4.7	0.409
237	3.6	4.7	0.420
238	3.9	4.7	0.392
239	4.1	4.7	0.236
240	4.2	4.7	0.148
241	3.5	4.7	0.102
242	3.5	4.6	0.055
243	3.5	4.6	0.022
244	3.6	4.6	0.016
245	3.5	4.6	0.047
246	3.5	4.6	0.118
247	3.5	4.6	0.318
248	4.2	4.6	0.341
249	4.3	4.6	0.342
250	4.1	4.6	0.359
251	4.1	4.6	0.342
252	3.8	4.6	0.332
253	3.7	4.6	0.307
254	3.4	4.6	0.270
255	3.5	4.6	0.246
256	3.6	4.6	0.230
257	3.9	4.6	0.239
258	3.9	4.6	0.296
259	4.0	4.6	0.330
260	4.1	4.6	0.409
261	4.2	4.6	0.420
262	4.4	4.6	0.392
263	4.4	4.6	0.236
