# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.4	19.3	0.317
2	12.7	19.2	0.171
3	13.2	18.8	0.067
4	13.0	18.8	0.049
5	13.2	18.8	0.146
6	13.2	18.7	0.366
7	13.0	18.0	0.989
8	12.9	18.0	1.059
9	13.0	17.4	1.063
10	12.3	17.4	1.114
11	12.3	17.3	1.063
12	11.6	17.3	1.031
13	11.3	17.2	0.955
14	11.3	17.2	0.839
15	11.3	17.2	0.765
16	11.6	17.2	0.714
17	12.3	17.2	0.741
18	13.3	17.2	0.920
19	14.2	17.2	1.026
20	14.4	17.1	1.270
21	14.6	17.1	1.304
22	15.0	17.1	1.216
23	15.4	17.1	0.732
24	15.9	17.1	0.459
25	16.4	17.1	0.317
26	16.0	17.0	0.171
27	16.1	17.0	0.067
28	16.1	16.9	0.049
29	16.0	16.9	0.146
30	15.7	16.9	0.366
31	16.0	16.8	0.989
32	16.2	16.8	1.059
33	15.8	16.7	1.063
34	15.5	16.7	1.114
35	15.0	16.7	1.063
36	14.4	16.7	1.031
37	14.1	16.5	0.955
38	13.9	16.5	0.839
39	13.4	16.5	0.765
40	13.7	16.5	0.714
41	14.3	16.4	0.741
42	15.0	16.4	0.920
43	15.1	16.4	1.026
44	15.1	16.4	1.270
45	15.3	16.4	1.304
46	15.4	16.4	1.216
47	15.4	16.4	0.732
48	15.4	16.3	0.459
49	15.4	16.3	0.317
50	15.4	16.3	0.171
51	15.5	16.3	0.067
52	15.8	16.3	0.049
53	15.9	16.3	0.146
54	15.7	16.2	0.366
55	16.2	16.2	0.989
56	16.0	16.2	1.059
57	15.8	16.2	1.063
58	15.9	16.2	1.114
59	15.5	16.2	1.063
60	15.4	16.2	1.031
61	14.7	16.1	0.955
62	14.4	16.1	0.839
63	14.1	16.1	0.765
64	14.0	16.1	0.714
65	14.2	16.1	0.741
66	14.8	16.1	0.920
67	15.3	16.0	1.026
68	15.6	16.0	1.270
69	16.1	16.0	1.304
70	16.5	16.0	1.216
71	16.8	16.0	0.732
72	17.0	16.0	0.459
73	17.2	16.0	0.317
74	17.2	15.9	0.171
75	17.1	15.9	0.067
76	17.2	15.9	0.049
77	17.1	15.9	0.146
78	17.1	15.9	0.366
79	16.7	15.8	0.989
80	16.2	15.8	1.059
81	15.7	15.8	1.063
82	14.9	15.8	1.114
83	13.5	15.8	1.063
84	12.5	15.8	1.031
85	11.5	15.7	0.955
86	11.2	15.7	0.839
87	11.3	15.7	0.765
88	11.2	15.7	0.714
89	11.4	15.7	0.741
90	11.5	15.7	0.920
91	11.5	15.7	1.026
92	11.2	15.7	1.270
93	11.5	15.7	1.304
94	11.8	15.6	1.216
95	11.9	15.6	0.732
96	11.9	15.6	0.459
97	11.9	15.6	0.317
98	12.0	15.6	0.171
99	12.5	15.6	0.067
100	12.8	15.6	0.049
101	13.1	15.5	0.146
102	13.3	15.5	0.366
103	13.8	15.5	0.989
104	14.0	15.5	1.059
105	14.3	15.5	1.063
106	14.2	15.5	1.114
107	14.4	15.5	1.063
108	14.6	15.4	1.031
109	14.6	15.4	0.955
110	14.9	15.4	0.839
111	15.7	15.4	0.765
112	15.6	15.4	0.714
113	16.4	15.4	0.741
114	17.1	15.4	0.920
115	17.2	15.4	1.026
116	16.9	15.4	1.270
117	17.3	15.4	1.304
118	18.0	15.4	1.216
119	18.7	15.4	0.732
120	18.8	15.4	0.459
121	19.2	15.4	0.317
122	19.3	15.4	0.171
123	18.8	15.3	0.067
124	18.8	15.3	0.049
125	18.0	15.3	0.146
126	17.4	15.3	0.366
127	17.2	15.3	0.989
128	17.1	15.3	1.059
129	16.9	15.3	1.063
130	16.2	15.3	1.114
131	15.3	15.3	1.063
132	14.5	15.3	1.031
133	13.4	15.3	0.955
134	12.6	15.3	0.839
135	12.2	15.3	0.765
136	11.6	15.2	0.714
137	11.6	15.2	0.741
138	12.0	15.2	0.920
139	11.5	15.2	1.026
140	11.4	15.2	1.270
141	11.5	15.2	1.304
142	11.5	15.1	1.216
143	11.5	15.1	0.732
144	11.4	15.1	0.459
145	11.2	15.1	0.317
146	11.5	15.1	0.171
147	11.6	15.1	0.067
148	11.7	15.1	0.049
149	12.2	15.1	0.146
150	11.9	15.1	0.366
151	12.0	15.1	0.989
152	12.2	15.1	1.059
153	12.0	15.1	1.063
