# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.4	16.1	0.290
2	8.7	16.0	0.157
3	9.1	15.4	0.061
4	9.0	15.3	0.044
5	9.1	15.3	0.133
6	9.1	15.3	0.334
7	9.0	15.2	0.904
8	11.0	15.1	0.967
9	11.1	15.0	0.971
10	10.4	15.0	1.018
11	10.5	15.0	0.971
12	9.9	15.0	0.942
13	9.6	14.9	0.872
14	9.6	14.9	0.766
15	9.6	14.9	0.698
16	9.9	14.8	0.652
17	10.5	14.8	0.677
18	11.4	14.7	0.840
19	12.1	14.7	0.937
20	12.3	14.7	1.160
21	12.4	14.7	1.191
22	12.8	14.7	1.111
23	13.1	14.7	0.669
24	13.6	14.7	0.419
25	11.9	14.6	0.290
26	11.5	14.6	0.157
27	11.6	14.6	0.061
28	11.6	14.6	0.044
29	11.5	14.5	0.133
30	11.3	14.5	0.334
31	11.5	14.5	0.904
32	13.8	14.4	0.967
33	13.5	14.4	0.971
34	13.2	14.4	1.018
35	12.8	14.4	0.971
36	12.3	14.4	0.942
37	12.0	14.4	0.872
38	11.9	14.3	0.766
39	11.5	14.3	0.698
40	11.7	14.3	0.652
41	12.2	14.3	0.677
42	12.8	14.3	0.840
43	12.9	14.3	0.937
44	12.9	14.2	1.160
45	13.1	14.1	1.191
46	13.1	14.1	1.111
47	13.2	14.1	0.669
48	13.2	14.0	0.419
49	11.0	14.0	0.290
50	11.0	14.0	0.157
51	11.1	14.0	0.061
52	11.3	14.0	0.044
53	11.5	13.9	0.133
54	11.3	13.9	0.334
55	11.7	13.9	0.904
56	13.6	13.9	0.967
57	13.5	13.9	0.971
58	13.6	13.9	1.018
59	13.2	13.8	0.971
60	13.1	13.8	0.942
61	12.6	13.8	0.872
62	12.2	13.8	0.766
63	12.0	13.7	0.698
64	12.0	13.7	0.652
65	12.1	13.7	0.677
66	12.6	13.7	0.840
67	13.0	13.6	0.937
68	13.3	13.6	1.160
69	13.7	13.6	1.191
70	14.0	13.6	1.111
71	14.3	13.6	0.669
72	14.5	13.5	0.419
73	12.5	13.5	0.290
74	12.6	13.5	0.157
75	12.4	13.5	0.061
76	12.5	13.5	0.044
77	12.5	13.5	0.133
78	12.4	13.5	0.334
79	12.1	13.4	0.904
80	13.8	13.4	0.967
81	13.4	13.4	0.971
82	12.7	13.4	1.018
83	11.5	13.4	0.971
84	10.6	13.4	0.942
85	9.8	13.4	0.872
86	9.5	13.4	0.766
87	9.6	13.3	0.698
88	9.5	13.3	0.652
89	9.7	13.3	0.677
90	9.8	13.3	0.840
91	9.8	13.3	0.937
92	9.5	13.3	1.160
93	9.8	13.2	1.191
94	10.0	13.2	1.111
95	10.1	13.2	0.669
96	10.1	13.2	0.419
97	8.0	13.2	0.290
98	8.1	13.2	0.157
99	8.5	13.2	0.061
100	8.8	13.2	0.044
101	9.1	13.2	0.133
102	9.2	13.2	0.334
103	9.6	13.2	0.904
104	11.9	13.2	0.967
105	12.2	13.2	0.971
106	12.1	13.2	1.018
107	12.3	13.2	0.971
108	12.4	13.1	0.942
109	12.5	13.1	0.872
110	12.8	13.1	0.766
111	13.4	13.1	0.698
112	13.4	13.1	0.652
113	14.0	13.1	0.677
114	14.6	13.1	0.840
115	14.7	13.1	0.937
116	14.4	13.1	1.160
117	14.8	13.1	1.191
118	15.3	13.1	1.111
119	16.0	13.0	0.669
120	16.1	13.0	0.419
121	14.3	13.0	0.290
122	14.3	13.0	0.157
123	14.0	13.0	0.061
124	13.9	13.0	0.044
125	13.2	13.0	0.133
126	12.8	13.0	0.334
127	12.6	13.0	0.904
128	14.6	13.0	0.967
129	14.4	13.0	0.971
130	13.8	13.0	1.018
131	13.0	13.0	0.971
132	12.4	13.0	0.942
133	11.4	12.9	0.872
134	10.6	12.9	0.766
135	10.3	12.9	0.698
136	9.8	12.9	0.652
137	9.8	12.9	0.677
138	10.1	12.9	0.840
139	9.7	12.9	0.937
140	9.7	12.9	1.160
141	9.8	12.9	1.191
142	9.8	12.8	1.111
143	9.8	12.8	0.669
144	9.7	12.8	0.419
145	7.4	12.8	0.290
146	7.6	12.8	0.157
147	7.7	12.8	0.061
148	7.8	12.8	0.044
149	8.2	12.8	0.133
150	8.0	12.8	0.334
151	8.1	12.8	0.904
152	10.4	12.7	0.967
153	10.3	12.7	0.971
154	9.6	12.7	1.018
155	9.3	12.7	0.971
156	8.9	12.7	0.942
157	8.5	12.7	0.872
