# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.7	1.4	0.063
2	0.8	1.4	0.034
3	0.8	1.3	0.013
4	0.8	1.3	0.010
5	0.8	1.3	0.029
6	0.8	1.3	0.073
7	0.8	1.3	0.198
8	1.0	1.3	0.212
9	1.0	1.3	0.212
10	0.9	1.3	0.223
11	0.9	1.3	0.212
12	0.9	1.3	0.206
13	0.8	1.3	0.191
14	0.8	1.3	0.168
15	0.8	1.3	0.153
16	0.9	1.3	0.143
17	0.9	1.3	0.148
18	1.0	1.3	0.184
19	1.1	1.3	0.205
20	1.1	1.3	0.254
21	1.1	1.3	0.261
22	1.1	1.3	0.243
23	1.1	1.3	0.146
24	1.2	1.3	0.092
25	1.0	1.3	0.063
26	1.0	1.3	0.034
27	1.0	1.3	0.013
28	1.0	1.3	0.010
29	1.0	1.3	0.029
30	1.0	1.3	0.073
31	1.0	1.3	0.198
32	1.2	1.2	0.212
33	1.2	1.2	0.212
34	1.1	1.2	0.223
35	1.1	1.2	0.212
36	1.1	1.2	0.206
37	1.0	1.2	0.191
38	1.0	1.2	0.168
39	1.0	1.2	0.153
40	1.0	1.2	0.143
41	1.1	1.2	0.148
42	1.1	1.2	0.184
43	1.1	1.2	0.205
44	1.1	1.2	0.254
45	1.1	1.2	0.261
46	1.1	1.2	0.243
47	1.1	1.2	0.146
48	1.1	1.2	0.092
49	1.0	1.2	0.063
50	1.0	1.2	0.034
51	1.0	1.2	0.013
52	1.0	1.2	0.010
53	1.0	1.2	0.029
54	1.0	1.2	0.073
55	1.0	1.2	0.198
56	1.2	1.2	0.212
57	1.2	1.2	0.212
58	1.2	1.2	0.223
59	1.1	1.2	0.212
60	1.1	1.2	0.206
61	1.1	1.2	0.191
62	1.1	1.2	0.168
63	1.0	1.2	0.153
64	1.0	1.2	0.143
65	1.1	1.2	0.148
66	1.1	1.2	0.184
67	1.1	1.2	0.205
68	1.2	1.2	0.254
69	1.2	1.2	0.261
70	1.2	1.2	0.243
71	1.2	1.2	0.146
72	1.3	1.2	0.092
73	1.1	1.2	0.063
74	1.1	1.2	0.034
75	1.1	1.2	0.013
76	1.1	1.2	0.010
77	1.1	1.2	0.029
78	1.1	1.2	0.073
79	1.1	1.2	0.198
80	1.2	1.2	0.212
81	1.2	1.2	0.212
82	1.1	1.2	0.223
83	1.0	1.2	0.212
84	0.9	1.2	0.206
85	0.9	1.2	0.191
86	0.8	1.2	0.168
87	0.8	1.2	0.153
88	0.8	1.2	0.143
89	0.8	1.1	0.148
90	0.9	1.1	0.184
91	0.8	1.1	0.205
92	0.8	1.1	0.254
93	0.9	1.1	0.261
94	0.9	1.1	0.243
95	0.9	1.1	0.146
96	0.9	1.1	0.092
97	0.7	1.1	0.063
98	0.7	1.1	0.034
99	0.7	1.1	0.013
100	0.8	1.1	0.010
101	0.8	1.1	0.029
102	0.8	1.1	0.073
103	0.8	1.1	0.198
104	1.0	1.1	0.212
105	1.1	1.1	0.212
106	1.1	1.1	0.223
107	1.1	1.1	0.212
108	1.1	1.1	0.206
109	1.1	1.1	0.191
110	1.1	1.1	0.168
111	1.2	1.1	0.153
112	1.2	1.1	0.143
113	1.2	1.1	0.148
114	1.3	1.1	0.184
115	1.3	1.1	0.205
116	1.2	1.1	0.254
117	1.3	1.1	0.261
118	1.3	1.1	0.243
119	1.4	1.1	0.146
120	1.4	1.1	0.092
121	1.2	1.1	0.063
122	1.2	1.1	0.034
123	1.2	1.1	0.013
124	1.2	1.1	0.010
125	1.1	1.1	0.029
126	1.1	1.1	0.073
127	1.1	1.1	0.198
128	1.3	1.1	0.212
129	1.2	1.1	0.212
130	1.2	1.1	0.223
131	1.1	1.1	0.212
132	1.1	1.1	0.206
133	1.0	1.1	0.191
134	0.9	1.1	0.168
135	0.9	1.1	0.153
136	0.9	1.1	0.143
137	0.9	1.1	0.148
138	0.9	1.1	0.184
139	0.8	1.1	0.205
140	0.8	1.1	0.254
141	0.8	1.1	0.261
142	0.8	1.1	0.243
143	0.8	1.1	0.146
144	0.8	1.1	0.092
145	0.6	1.1	0.063
146	0.7	1.1	0.034
147	0.7	1.1	0.013
148	0.7	1.1	0.010
149	0.7	1.1	0.029
150	0.7	1.1	0.073
151	0.7	1.1	0.198
152	0.9	1.1	0.212
153	0.9	1.1	0.212
154	0.8	1.1	0.223
155	0.8	1.1	0.212
156	0.8	1.1	0.206
