# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	13.3	20.7	0.314
2	13.6	20.7	0.170
3	14.2	20.2	0.067
4	14.0	20.2	0.048
5	14.2	20.2	0.144
6	14.2	20.1	0.362
7	14.0	19.3	0.979
8	13.9	19.3	1.048
9	14.0	18.7	1.053
10	13.2	18.6	1.103
11	13.2	18.6	1.053
12	12.5	18.6	1.020
13	12.1	18.5	0.945
14	12.2	18.5	0.830
15	12.1	18.5	0.757
16	12.5	18.5	0.706
17	13.3	18.5	0.734
18	14.3	18.4	0.910
19	15.3	18.4	1.016
20	15.5	18.4	1.257
21	15.7	18.4	1.291
22	16.2	18.4	1.204
23	16.5	18.3	0.725
24	17.1	18.3	0.454
25	17.7	18.3	0.314
26	17.2	18.3	0.170
27	17.3	18.3	0.067
28	17.3	18.2	0.048
29	17.1	18.1	0.144
30	16.9	18.1	0.362
31	17.2	18.0	0.979
32	17.4	18.0	1.048
33	17.0	18.0	1.053
34	16.6	18.0	1.103
35	16.1	17.9	1.053
36	15.4	17.9	1.020
37	15.1	17.8	0.945
38	14.9	17.8	0.830
39	14.4	17.8	0.757
40	14.7	17.7	0.706
41	15.4	17.7	0.734
42	16.1	17.7	0.910
43	16.2	17.7	1.016
44	16.3	17.6	1.257
45	16.5	17.6	1.291
46	16.5	17.6	1.204
47	16.6	17.6	0.725
48	16.6	17.5	0.454
49	16.6	17.5	0.314
50	16.5	17.5	0.170
51	16.6	17.5	0.067
52	17.0	17.5	0.048
53	17.1	17.5	0.144
54	16.9	17.4	0.362
55	17.4	17.4	0.979
56	17.2	17.4	1.048
57	17.0	17.4	1.053
58	17.1	17.4	1.103
59	16.6	17.4	1.053
60	16.5	17.3	1.020
61	15.8	17.3	0.945
62	15.4	17.3	0.830
63	15.2	17.3	0.757
64	15.1	17.3	0.706
65	15.3	17.3	0.734
66	15.9	17.3	0.910
67	16.4	17.2	1.016
68	16.8	17.2	1.257
69	17.3	17.2	1.291
70	17.7	17.2	1.204
71	18.0	17.2	0.725
72	18.3	17.1	0.454
73	18.5	17.1	0.314
74	18.5	17.1	0.170
75	18.3	17.1	0.067
76	18.4	17.1	0.048
77	18.4	17.1	0.144
78	18.3	17.1	0.362
79	17.9	17.0	0.979
80	17.3	17.0	1.048
81	16.8	17.0	1.053
82	16.0	17.0	1.103
83	14.5	17.0	1.053
84	13.4	17.0	1.020
85	12.4	16.9	0.945
86	12.0	16.9	0.830
87	12.1	16.9	0.757
88	12.0	16.9	0.706
89	12.2	16.9	0.734
90	12.4	16.8	0.910
91	12.3	16.8	1.016
92	12.0	16.8	1.257
93	12.4	16.8	1.291
94	12.6	16.8	1.204
95	12.7	16.8	0.725
96	12.8	16.8	0.454
97	12.8	16.8	0.314
98	12.9	16.8	0.170
99	13.4	16.7	0.067
100	13.7	16.7	0.048
101	14.1	16.7	0.144
102	14.3	16.7	0.362
103	14.8	16.7	0.979
104	15.0	16.6	1.048
105	15.3	16.6	1.053
106	15.3	16.6	1.103
107	15.5	16.6	1.053
108	15.6	16.6	1.020
109	15.7	16.6	0.945
110	16.1	16.6	0.830
111	16.9	16.6	0.757
112	16.8	16.6	0.706
113	17.6	16.6	0.734
114	18.3	16.5	0.910
115	18.4	16.5	1.016
116	18.1	16.5	1.257
117	18.6	16.5	1.291
118	19.3	16.5	1.204
119	20.1	16.5	0.725
120	20.2	16.5	0.454
121	20.7	16.5	0.314
122	20.7	16.5	0.170
123	20.2	16.5	0.067
124	20.2	16.5	0.048
125	19.3	16.5	0.144
126	18.7	16.4	0.362
127	18.5	16.4	0.979
128	18.4	16.4	1.048
129	18.1	16.4	1.053
130	17.4	16.4	1.103
131	16.4	16.4	1.053
132	15.6	16.4	1.020
133	14.4	16.4	0.945
134	13.5	16.4	0.830
135	13.1	16.4	0.757
136	12.5	16.4	0.706
137	12.5	16.4	0.734
138	12.8	16.4	0.910
139	12.3	16.3	1.016
140	12.2	16.3	1.257
141	12.3	16.3	1.291
142	12.3	16.3	1.204
143	12.3	16.3	0.725
144	12.3	16.2	0.454
145	12.1	16.2	0.314
146	12.3	16.2	0.170
147	12.4	16.2	0.067
148	12.6	16.2	0.048
149	13.1	16.2	0.144
150	12.8	16.2	0.362
151	12.9	16.2	0.979
152	13.1	16.2	1.048
153	12.9	16.2	1.053
154	12.1	16.2	1.103
155	11.8	16.2	1.053
156	11.1	16.2	1.020
157	10.7	16.2	0.945
158	9.8	16.2	0.830
159	9.4	16.2	0.757
160	9.3	16.2	0.706
161	10.2	16.2	0.734
162	10.8	16.1	0.910
163	11.6	16.1	1.016
164	11.8	16.1	1.257
165	12.5	16.1	1.291
166	12.6	16.1	1.204
167	13.4	16.1	0.725
168	13.6	16.1	0.454
169	13.9	16.1	0.314
170	13.8	16.1	0.170
171	13.9	16.1	0.067
172	13.4	16.1	0.048
173	13.3	16.1	0.144
174	12.7	16.1	0.362
175	12.7	16.1	0.979
176	12.5	16.1	1.048
177	12.5	16.1	1.053
178	12.2	16.0	1.103
179	11.5	16.0	1.053
180	10.9	16.0	1.020
181	11.2	16.0	0.945
182	10.9	16.0	0.830
183	11.1	16.0	0.757
184	11.0	16.0	0.706
185	10.9	16.0	0.734
186	11.0	16.0	0.910
187	11.3	16.0	1.016
188	10.7	16.0	1.257
189	10.3	16.0	1.291
190	10.3	16.0	1.204
191	9.8	16.0	0.725
192	9.4	16.0	0.454
193	8.9	16.0	0.314
194	8.9	15.9	0.170
195	9.3	15.9	0.067
196	9.3	15.9	0.048
197	9.0	15.9	0.144
198	8.5	15.9	0.362
199	8.9	15.9	0.979
200	8.8	15.9	1.048
201	9.0	15.9	1.053
202	8.3	15.9	1.103
203	8.2	15.9	1.053
204	8.3	15.9	1.020
205	8.2	15.9	0.945
206	7.5	15.9	0.830
207	6.8	15.9	0.757
208	6.6	15.9	0.706
209	6.7	15.8	0.734
210	6.5	15.8	0.910
211	6.6	15.8	1.016
212	6.7	15.8	1.257
213	6.6	15.8	1.291
214	6.6	15.8	1.204
215	6.5	15.8	0.725
216	6.0	15.8	0.454
217	6.2	15.8	0.314
218	6.4	15.8	0.170
219	6.7	15.8	0.067
220	7.0	15.7	0.048
221	7.4	15.7	0.144
222	7.8	15.7	0.362
223	8.3	15.7	0.979
224	8.4	15.7	1.048
225	8.4	15.7	1.053
226	8.6	15.7	1.103
227	8.6	15.7	1.053
228	8.5	15.7	1.020
229	8.2	15.7	0.945
230	8.4	15.7	0.830
231	8.2	15.7	0.757
232	9.0	15.7	0.706
233	9.6	15.7	0.734
234	10.4	15.7	0.910
235	10.4	15.7	1.016
236	11.0	15.7	1.257
237	11.7	15.6	1.291
238	12.7	15.6	1.204
239	13.3	15.6	0.725
240	13.8	15.6	0.454
241	14.3	15.6	0.314
242	14.3	15.6	0.170
243	14.4	15.6	0.067
244	14.4	15.6	0.048
245	14.3	15.6	0.144
246	14.2	15.6	0.362
247	14.2	15.6	0.979
