# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.3	9.8	0.454
2	6.4	9.8	0.245
3	6.7	9.6	0.096
4	6.6	9.6	0.070
5	6.7	9.6	0.209
6	6.7	9.5	0.523
7	6.6	9.3	1.414
8	6.6	9.2	1.513
9	6.6	9.2	1.520
10	6.2	9.2	1.593
11	6.3	9.2	1.520
12	5.9	9.1	1.473
13	5.7	9.1	1.364
14	5.7	9.1	1.199
15	5.7	9.1	1.093
16	5.9	9.1	1.020
17	6.3	9.1	1.060
18	6.8	9.1	1.314
19	7.2	9.0	1.467
20	7.3	9.0	1.814
21	7.4	9.0	1.864
22	7.7	9.0	1.738
23	7.8	8.9	1.046
24	8.1	8.9	0.656
25	8.4	8.9	0.454
26	8.2	8.9	0.245
27	8.2	8.9	0.096
28	8.2	8.9	0.070
29	8.1	8.9	0.209
30	8.0	8.9	0.523
31	8.1	8.8	1.414
32	8.2	8.8	1.513
33	8.0	8.8	1.520
34	7.9	8.8	1.593
35	7.6	8.8	1.520
36	7.3	8.8	1.473
37	7.2	8.8	1.364
38	7.1	8.8	1.199
39	6.8	8.8	1.093
40	7.0	8.8	1.020
41	7.3	8.8	1.060
42	7.6	8.8	1.314
43	7.7	8.8	1.467
44	7.7	8.8	1.814
45	7.8	8.7	1.864
46	7.8	8.7	1.738
47	7.8	8.7	1.046
48	7.8	8.7	0.656
49	7.8	8.7	0.454
50	7.8	8.7	0.245
51	7.9	8.7	0.096
52	8.0	8.7	0.070
53	8.1	8.7	0.209
54	8.0	8.7	0.523
55	8.2	8.7	1.414
56	8.1	8.7	1.513
57	8.0	8.7	1.520
58	8.1	8.7	1.593
59	7.9	8.7	1.520
60	7.8	8.7	1.473
61	7.5	8.7	1.364
62	7.3	8.7	1.199
63	7.2	8.7	1.093
64	7.1	8.6	1.020
65	7.2	8.6	1.060
66	7.5	8.6	1.314
67	7.8	8.6	1.467
68	7.9	8.6	1.814
69	8.2	8.6	1.864
70	8.4	8.6	1.738
71	8.5	8.6	1.046
72	8.7	8.5	0.656
73	8.8	8.5	0.454
74	8.8	8.5	0.245
75	8.7	8.5	0.096
76	8.7	8.5	0.070
77	8.7	8.5	0.209
78	8.7	8.5	0.523
79	8.5	8.5	1.414
80	8.2	8.5	1.513
81	8.0	8.5	1.520
82	7.6	8.4	1.593
83	6.9	8.4	1.520
84	6.3	8.4	1.473
85	5.9	8.4	1.364
86	5.7	8.4	1.199
87	5.7	8.3	1.093
88	5.7	8.3	1.020
89	5.8	8.3	1.060
90	5.8	8.3	1.314
91	5.8	8.3	1.467
92	5.7	8.3	1.814
93	5.9	8.2	1.864
94	6.0	8.2	1.738
95	6.0	8.2	1.046
96	6.0	8.2	0.656
97	6.0	8.2	0.454
98	6.1	8.2	0.245
99	6.3	8.2	0.096
100	6.5	8.2	0.070
101	6.7	8.2	0.209
102	6.8	8.2	0.523
103	7.0	8.2	1.414
104	7.1	8.2	1.513
105	7.2	8.2	1.520
106	7.2	8.1	1.593
107	7.3	8.1	1.520
108	7.4	8.1	1.473
109	7.4	8.1	1.364
110	7.6	8.1	1.199
111	8.0	8.1	1.093
112	8.0	8.1	1.020
113	8.3	8.1	1.060
114	8.7	8.1	1.314
115	8.7	8.0	1.467
116	8.6	8.0	1.814
117	8.8	8.0	1.864
118	9.1	8.0	1.738
119	9.5	8.0	1.046
120	9.6	8.0	0.656
121	9.8	8.0	0.454
122	9.8	8.0	0.245
123	9.6	8.0	0.096
124	9.6	8.0	0.070
125	9.2	8.0	0.209
126	8.9	7.9	0.523
127	8.8	7.9	1.414
128	8.7	7.9	1.513
129	8.6	7.9	1.520
130	8.2	7.9	1.593
131	7.8	7.9	1.520
132	7.4	7.9	1.473
133	6.8	7.9	1.364
134	6.3	7.9	1.199
135	6.1	7.9	1.093
136	5.9	7.9	1.020
137	5.9	7.9	1.060
138	6.0	7.9	1.314
139	5.8	7.8	1.467
140	5.8	7.8	1.814
141	5.8	7.8	1.864
142	5.8	7.8	1.738
143	5.8	7.8	1.046
144	5.8	7.8	0.656
145	5.7	7.8	0.454
146	5.8	7.8	0.245
147	5.9	7.8	0.096
148	5.9	7.8	0.070
149	6.2	7.8	0.209
150	6.1	7.8	0.523
151	6.1	7.8	1.414
152	6.2	7.8	1.513
153	6.1	7.8	1.520
154	5.7	7.8	1.593
155	5.6	7.8	1.520
156	5.3	7.8	1.473
157	5.1	7.8	1.364
158	4.6	7.8	1.199
159	4.5	7.8	1.093
160	4.4	7.8	1.020
161	4.9	7.8	1.060
162	5.1	7.8	1.314
163	5.5	7.8	1.467
164	5.6	7.8	1.814
165	5.9	7.8	1.864
166	6.0	7.8	1.738
167	6.4	7.8	1.046
168	6.4	7.7	0.656
169	6.6	7.7	0.454
170	6.5	7.7	0.245
171	6.6	7.7	0.096
172	6.3	7.7	0.070
173	6.3	7.7	0.209
174	6.0	7.7	0.523
175	6.0	7.7	1.414
176	5.9	7.7	1.513
177	5.9	7.7	1.520
178	5.8	7.7	1.593
179	5.4	7.7	1.520
180	5.2	7.7	1.473
181	5.3	7.7	1.364
182	5.1	7.7	1.199
183	5.3	7.7	1.093
184	5.2	7.7	1.020
185	5.2	7.7	1.060
186	5.2	7.6	1.314
187	5.4	7.6	1.467
188	5.1	7.6	1.814
189	4.9	7.6	1.864
190	4.9	7.6	1.738
191	4.6	7.6	1.046
192	4.5	7.6	0.656
193	4.2	7.6	0.454
194	4.2	7.6	0.245
195	4.4	7.6	0.096
196	4.4	7.6	0.070
197	4.2	7.6	0.209
198	4.0	7.6	0.523
199	4.2	7.6	1.414
200	4.2	7.6	1.513
201	4.3	7.6	1.520
202	3.9	7.6	1.593
203	3.9	7.6	1.520
204	3.9	7.6	1.473
205	3.9	7.6	1.364
206	3.5	7.6	1.199
207	3.2	7.5	1.093
208	3.1	7.5	1.020
209	3.2	7.5	1.060
210	3.1	7.5	1.314
211	3.1	7.5	1.467
212	3.1	7.5	1.814
213	3.1	7.5	1.864
214	3.1	7.5	1.738
215	3.0	7.5	1.046
216	2.8	7.5	0.656
217	2.9	7.5	0.454
218	3.0	7.5	0.245
219	3.2	7.5	0.096
220	3.3	7.5	0.070
221	3.5	7.5	0.209
222	3.7	7.5	0.523
223	3.9	7.4	1.414
224	4.0	7.4	1.513
225	4.0	7.4	1.520
226	4.1	7.4	1.593
227	4.1	7.4	1.520
228	4.0	7.4	1.473
229	3.9	7.4	1.364
230	3.9	7.4	1.199
231	3.9	7.4	1.093
232	4.3	7.4	1.020
233	4.5	7.4	1.060
234	4.9	7.4	1.314
235	4.9	7.4	1.467
236	5.2	7.4	1.814
237	5.5	7.4	1.864
238	6.0	7.4	1.738
239	6.3	7.4	1.046
240	6.5	7.4	0.656
241	6.8	7.4	0.454
242	6.8	7.4	0.245
243	6.8	7.4	0.096
244	6.8	7.4	0.070
245	6.8	7.4	0.209
246	6.7	7.4	0.523
247	6.7	7.4	1.414
248	6.6	7.4	1.513
249	6.7	7.4	1.520
250	6.4	7.4	1.593
251	6.4	7.3	1.520
252	5.9	7.3	1.473
253	5.7	7.3	1.364
254	5.3	7.3	1.199
255	5.4	7.3	1.093
256	5.6	7.3	1.020
257	6.1	7.3	1.060
258	6.1	7.3	1.314
