# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.4	11.4	0.087
2	7.5	11.4	0.047
3	7.8	11.2	0.019
4	7.7	11.2	0.013
5	7.8	11.1	0.040
6	7.8	11.1	0.101
7	7.7	10.7	0.272
8	7.7	10.6	0.292
9	7.7	10.3	0.293
10	7.3	10.3	0.307
11	7.3	10.3	0.293
12	6.9	10.2	0.284
13	6.7	10.2	0.263
14	6.7	10.2	0.231
15	6.7	10.2	0.211
16	6.9	10.2	0.196
17	7.3	10.2	0.204
18	7.9	10.2	0.253
19	8.4	10.2	0.283
20	8.6	10.2	0.350
21	8.6	10.2	0.359
22	8.9	10.1	0.335
23	9.1	10.1	0.202
24	9.5	10.1	0.126
25	9.8	10.1	0.087
26	9.5	10.1	0.047
27	9.6	10.1	0.019
28	9.6	10.0	0.013
29	9.5	10.0	0.040
30	9.3	10.0	0.101
31	9.5	10.0	0.272
32	9.6	9.9	0.292
33	9.4	9.9	0.293
34	9.2	9.9	0.307
35	8.9	9.8	0.293
36	8.5	9.8	0.284
37	8.3	9.8	0.263
38	8.2	9.8	0.231
39	8.0	9.7	0.211
40	8.1	9.7	0.196
41	8.5	9.7	0.204
42	8.9	9.7	0.253
43	9.0	9.7	0.283
44	9.0	9.7	0.350
45	9.1	9.6	0.359
46	9.1	9.6	0.335
47	9.1	9.6	0.202
48	9.1	9.6	0.126
49	9.1	9.6	0.087
50	9.1	9.6	0.047
51	9.2	9.6	0.019
52	9.4	9.6	0.013
53	9.5	9.6	0.040
54	9.3	9.6	0.101
55	9.6	9.6	0.272
56	9.5	9.6	0.292
57	9.4	9.5	0.293
58	9.4	9.5	0.307
59	9.2	9.5	0.293
60	9.1	9.5	0.284
61	8.7	9.5	0.263
62	8.5	9.5	0.231
63	8.4	9.5	0.211
64	8.3	9.5	0.196
65	8.4	9.5	0.204
66	8.8	9.5	0.253
67	9.1	9.5	0.283
68	9.3	9.5	0.350
69	9.5	9.5	0.359
70	9.8	9.4	0.335
71	10.0	9.4	0.202
72	10.1	9.4	0.126
73	10.2	9.4	0.087
74	10.2	9.4	0.047
75	10.1	9.4	0.019
76	10.2	9.4	0.013
77	10.2	9.4	0.040
78	10.1	9.4	0.101
79	9.9	9.3	0.272
80	9.6	9.3	0.292
81	9.3	9.3	0.293
82	8.8	9.3	0.307
83	8.0	9.3	0.293
84	7.4	9.3	0.284
85	6.8	9.3	0.263
86	6.6	9.3	0.231
