# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.7	1.1	0.006
2	0.7	1.1	0.003
3	0.7	1.1	0.001
4	0.7	1.1	0.001
5	0.7	1.1	0.003
6	0.7	1.1	0.007
7	0.7	1.0	0.020
8	0.7	1.0	0.021
9	0.7	1.0	0.021
10	0.7	1.0	0.022
11	0.7	1.0	0.021
12	0.7	1.0	0.021
13	0.6	1.0	0.019
14	0.6	1.0	0.017
15	0.6	1.0	0.015
16	0.7	1.0	0.014
17	0.7	1.0	0.015
18	0.8	1.0	0.018
19	0.8	1.0	0.021
20	0.8	1.0	0.025
21	0.8	1.0	0.026
22	0.8	1.0	0.024
23	0.9	1.0	0.015
24	0.9	1.0	0.009
25	0.9	1.0	0.006
26	0.9	1.0	0.003
27	0.9	1.0	0.001
28	0.9	1.0	0.001
29	0.9	1.0	0.003
30	0.9	1.0	0.007
31	0.9	0.9	0.020
32	0.9	0.9	0.021
33	0.9	0.9	0.021
34	0.9	0.9	0.022
35	0.8	0.9	0.021
36	0.8	0.9	0.021
37	0.8	0.9	0.019
38	0.8	0.9	0.017
39	0.8	0.9	0.015
40	0.8	0.9	0.014
41	0.8	0.9	0.015
42	0.8	0.9	0.018
43	0.9	0.9	0.021
44	0.9	0.9	0.025
45	0.9	0.9	0.026
46	0.9	0.9	0.024
47	0.9	0.9	0.015
48	0.9	0.9	0.009
49	0.9	0.9	0.006
50	0.9	0.9	0.003
51	0.9	0.9	0.001
52	0.9	0.9	0.001
53	0.9	0.9	0.003
54	0.9	0.9	0.007
55	0.9	0.9	0.020
56	0.9	0.9	0.021
57	0.9	0.9	0.021
58	0.9	0.9	0.022
59	0.9	0.9	0.021
60	0.9	0.9	0.021
61	0.8	0.9	0.019
62	0.8	0.9	0.017
63	0.8	0.9	0.015
64	0.8	0.9	0.014
65	0.8	0.9	0.015
66	0.8	0.9	0.018
67	0.9	0.9	0.021
68	0.9	0.9	0.025
69	0.9	0.9	0.026
70	0.9	0.9	0.024
71	0.9	0.9	0.015
72	1.0	0.9	0.009
73	1.0	0.9	0.006
74	1.0	0.9	0.003
75	1.0	0.9	0.001
76	1.0	0.9	0.001
77	1.0	0.9	0.003
78	1.0	0.9	0.007
79	0.9	0.9	0.020
80	0.9	0.9	0.021
81	0.9	0.9	0.021
82	0.8	0.9	0.022
83	0.8	0.9	0.021
84	0.7	0.9	0.021
85	0.7	0.9	0.019
86	0.6	0.9	0.017
87	0.6	0.9	0.015
88	0.6	0.9	0.014
89	0.6	0.9	0.015
90	0.7	0.9	0.018
91	0.6	0.9	0.021
92	0.6	0.9	0.025
93	0.7	0.9	0.026
94	0.7	0.9	0.024
95	0.7	0.9	0.015
96	0.7	0.9	0.009
97	0.7	0.9	0.006
98	0.7	0.9	0.003
99	0.7	0.9	0.001
100	0.7	0.9	0.001
101	0.7	0.9	0.003
102	0.8	0.9	0.007
103	0.8	0.9	0.020
104	0.8	0.9	0.021
105	0.8	0.9	0.021
106	0.8	0.9	0.022
107	0.8	0.9	0.021
108	0.8	0.9	0.021
109	0.8	0.9	0.019
110	0.8	0.9	0.017
111	0.9	0.9	0.015
112	0.9	0.9	0.014
113	0.9	0.9	0.015
114	1.0	0.9	0.018
115	1.0	0.9	0.021
116	1.0	0.9	0.025
117	1.0	0.9	0.026
118	1.0	0.9	0.024
119	1.1	0.9	0.015
120	1.1	0.9	0.009
121	1.1	0.9	0.006
122	1.1	0.9	0.003
123	1.1	0.9	0.001
124	1.1	0.9	0.001
125	1.0	0.9	0.003
