# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.3	4.4	0.224
2	2.4	4.4	0.121
3	2.5	4.2	0.047
4	2.4	4.1	0.034
5	2.5	4.1	0.103
6	2.5	4.1	0.259
7	2.4	4.1	0.699
8	3.0	4.1	0.748
9	3.0	4.0	0.751
10	2.9	4.0	0.787
11	2.9	4.0	0.751
12	2.7	4.0	0.729
13	2.6	4.0	0.675
14	2.6	4.0	0.593
15	2.6	4.0	0.540
16	2.7	4.0	0.504
17	2.9	4.0	0.524
18	3.1	4.0	0.650
19	3.3	4.0	0.725
20	3.4	4.0	0.897
21	3.4	4.0	0.922
22	3.5	4.0	0.860
23	3.6	4.0	0.517
24	3.7	4.0	0.324
25	3.2	4.0	0.224
26	3.1	4.0	0.121
27	3.2	4.0	0.047
28	3.2	3.9	0.034
29	3.1	3.9	0.103
30	3.1	3.9	0.259
31	3.1	3.9	0.699
32	3.8	3.9	0.748
33	3.7	3.9	0.751
34	3.6	3.9	0.787
35	3.5	3.9	0.751
36	3.3	3.9	0.729
37	3.3	3.9	0.675
38	3.2	3.9	0.593
39	3.1	3.9	0.540
40	3.2	3.9	0.504
41	3.3	3.9	0.524
42	3.5	3.8	0.650
43	3.5	3.8	0.725
44	3.5	3.8	0.897
45	3.6	3.8	0.922
46	3.6	3.8	0.860
47	3.6	3.8	0.517
48	3.6	3.8	0.324
49	3.0	3.8	0.224
50	3.0	3.8	0.121
51	3.0	3.8	0.047
52	3.1	3.8	0.034
53	3.1	3.8	0.103
54	3.1	3.8	0.259
55	3.2	3.8	0.699
56	3.7	3.8	0.748
57	3.7	3.7	0.751
58	3.7	3.7	0.787
59	3.6	3.7	0.751
60	3.6	3.7	0.729
61	3.4	3.7	0.675
62	3.3	3.7	0.593
63	3.3	3.7	0.540
64	3.3	3.7	0.504
65	3.3	3.7	0.524
66	3.4	3.7	0.650
67	3.6	3.7	0.725
68	3.6	3.7	0.897
69	3.7	3.7	0.922
70	3.8	3.7	0.860
71	3.9	3.7	0.517
72	4.0	3.7	0.324
73	3.4	3.7	0.224
74	3.4	3.6	0.121
75	3.4	3.6	0.047
76	3.4	3.6	0.034
77	3.4	3.6	0.103
78	3.4	3.6	0.259
79	3.3	3.6	0.699
80	3.8	3.6	0.748
81	3.7	3.6	0.751
82	3.5	3.6	0.787
83	3.1	3.6	0.751
84	2.9	3.6	0.729
85	2.7	3.6	0.675
86	2.6	3.6	0.593
87	2.6	3.6	0.540
88	2.6	3.6	0.504
89	2.6	3.6	0.524
90	2.7	3.6	0.650
91	2.7	3.6	0.725
92	2.6	3.6	0.897
93	2.7	3.6	0.922
94	2.7	3.6	0.860
95	2.8	3.6	0.517
96	2.8	3.6	0.324
97	2.2	3.6	0.224
98	2.2	3.6	0.121
99	2.3	3.6	0.047
100	2.4	3.6	0.034
101	2.5	3.6	0.103
102	2.5	3.6	0.259
103	2.6	3.6	0.699
104	3.2	3.6	0.748
105	3.3	3.6	0.751
106	3.3	3.6	0.787
107	3.4	3.6	0.751
108	3.4	3.6	0.729
109	3.4	3.6	0.675
110	3.5	3.6	0.593
111	3.7	3.6	0.540
112	3.6	3.6	0.504
113	3.8	3.5	0.524
114	4.0	3.5	0.650
115	4.0	3.5	0.725
116	3.9	3.5	0.897
117	4.0	3.5	0.922
118	4.2	3.5	0.860
119	4.4	3.5	0.517
120	4.4	3.5	0.324
121	3.9	3.5	0.224
122	3.9	3.5	0.121
123	3.8	3.5	0.047
124	3.8	3.5	0.034
125	3.6	3.5	0.103
126	3.5	3.5	0.259
127	3.4	3.5	0.699
128	4.0	3.5	0.748
129	3.9	3.5	0.751
130	3.8	3.5	0.787
131	3.6	3.5	0.751
132	3.4	3.5	0.729
133	3.1	3.5	0.675
134	2.9	3.5	0.593
135	2.8	3.5	0.540
136	2.7	3.5	0.504
137	2.7	3.5	0.524
138	2.8	3.5	0.650
139	2.7	3.5	0.725
140	2.6	3.5	0.897
141	2.7	3.5	0.922
142	2.7	3.4	0.860
143	2.7	3.4	0.517
144	2.7	3.4	0.324
145	2.0	3.4	0.224
146	2.1	3.4	0.121
147	2.1	3.4	0.047
148	2.1	3.4	0.034
149	2.2	3.4	0.103
150	2.2	3.4	0.259
151	2.2	3.4	0.699
152	2.8	3.4	0.748
153	2.8	3.4	0.751
154	2.6	3.4	0.787
155	2.5	3.4	0.751
156	2.4	3.4	0.729
157	2.3	3.4	0.675
158	2.1	3.4	0.593
159	2.0	3.4	0.540
160	2.0	3.4	0.504
161	2.2	3.4	0.524
162	2.3	3.4	0.650
163	2.5	3.4	0.725
164	2.6	3.4	0.897
165	2.7	3.4	0.922
166	2.7	3.4	0.860
167	2.9	3.4	0.517
168	3.0	3.4	0.324
169	2.4	3.4	0.224
170	2.4	3.4	0.121
171	2.4	3.4	0.047
172	2.3	3.4	0.034
173	2.3	3.4	0.103
174	2.2	3.4	0.259
175	2.2	3.4	0.699
176	2.7	3.4	0.748
177	2.7	3.4	0.751
178	2.6	3.4	0.787
179	2.5	3.4	0.751
180	2.4	3.4	0.729
181	2.4	3.4	0.675
182	2.3	3.4	0.593
183	2.4	3.4	0.540
184	2.4	3.4	0.504
185	2.4	3.4	0.524
186	2.4	3.4	0.650
187	2.5	3.4	0.725
188	2.3	3.3	0.897
189	2.2	3.3	0.922
190	2.2	3.3	0.860
191	2.1	3.3	0.517
192	2.0	3.3	0.324
193	1.3	3.3	0.224
194	1.3	3.3	0.121
195	1.4	3.3	0.047
196	1.4	3.3	0.034
197	1.4	3.3	0.103
198	1.3	3.3	0.259
199	1.3	3.3	0.699
200	1.9	3.3	0.748
201	1.9	3.3	0.751
202	1.8	3.3	0.787
203	1.8	3.3	0.751
204	1.8	3.3	0.729
205	1.8	3.3	0.675
206	1.6	3.3	0.593
207	1.5	3.3	0.540
208	1.4	3.3	0.504
209	1.5	3.3	0.524
210	1.4	3.3	0.650
211	1.4	3.3	0.725
212	1.4	3.3	0.897
213	1.4	3.3	0.922
214	1.4	3.3	0.860
215	1.4	3.3	0.517
216	1.3	3.3	0.324
217	0.8	3.3	0.224
218	0.8	3.3	0.121
219	0.9	3.3	0.047
220	0.9	3.3	0.034
221	1.0	3.3	0.103
222	1.1	3.3	0.259
223	1.2	3.3	0.699
224	1.8	3.3	0.748
225	1.8	3.3	0.751
226	1.9	3.3	0.787
227	1.9	3.3	0.751
228	1.8	3.2	0.729
229	1.8	3.2	0.675
230	1.8	3.2	0.593
231	1.8	3.2	0.540
232	1.9	3.2	0.504
233	2.1	3.2	0.524
234	2.2	3.2	0.650
235	2.2	3.2	0.725
236	2.4	3.2	0.897
237	2.5	3.2	0.922
238	2.7	3.2	0.860
239	2.9	3.2	0.517
240	3.0	3.2	0.324
241	2.5	3.2	0.224
242	2.5	3.2	0.121
243	2.5	3.2	0.047
244	2.5	3.2	0.034
245	2.5	3.2	0.103
246	2.5	3.2	0.259
247	2.5	3.2	0.699
248	3.0	3.2	0.748
249	3.1	3.2	0.751
250	2.9	3.2	0.787
251	2.9	3.2	0.751
252	2.7	3.2	0.729
253	2.6	3.2	0.675
254	2.4	3.2	0.593
255	2.5	3.2	0.540
256	2.6	3.2	0.504
257	2.8	3.2	0.524
258	2.8	3.2	0.650
259	2.8	3.2	0.725
260	2.9	3.2	0.897
261	3.0	3.2	0.922
262	3.1	3.2	0.860
263	3.1	3.2	0.517
264	3.1	3.2	0.324
265	2.5	3.2	0.224
266	2.6	3.2	0.121
267	2.6	3.2	0.047
268	2.6	3.1	0.034
269	2.5	3.1	0.103
270	2.6	3.1	0.259
271	2.5	3.1	0.699
272	3.1	3.1	0.748
273	3.1	3.1	0.751
274	3.0	3.1	0.787
275	2.9	3.1	0.751
276	2.8	3.1	0.729
277	2.6	3.1	0.675
278	2.5	3.1	0.593
279	2.5	3.1	0.540
280	2.5	3.1	0.504
281	2.4	3.1	0.524
282	2.5	3.1	0.650
283	2.5	3.1	0.725
284	2.5	3.1	0.897
285	2.6	3.1	0.922
286	2.6	3.1	0.860
287	2.6	3.1	0.517
288	2.6	3.1	0.324
289	2.0	3.1	0.224
290	2.0	3.1	0.121
291	2.0	3.1	0.047
292	1.9	3.1	0.034
293	2.0	3.1	0.103
294	2.0	3.1	0.259
295	1.9	3.1	0.699
296	2.5	3.1	0.748
297	2.5	3.1	0.751
298	2.5	3.1	0.787
299	2.4	3.1	0.751
300	2.3	3.1	0.729
301	2.2	3.1	0.675
302	2.1	3.1	0.593
303	2.1	3.1	0.540
304	2.0	3.1	0.504
305	2.1	3.1	0.524
306	2.1	3.1	0.650
307	2.1	3.1	0.725
308	2.2	3.1	0.897
309	2.2	3.1	0.922
310	2.3	3.1	0.860
311	2.3	3.1	0.517
312	2.4	3.1	0.324
313	1.8	3.1	0.224
314	1.8	3.1	0.121
315	1.8	3.1	0.047
316	1.7	3.1	0.034
317	1.7	3.1	0.103
318	1.6	3.1	0.259
319	1.7	3.1	0.699
320	2.3	3.1	0.748
321	2.3	3.1	0.751
322	2.3	3.1	0.787
323	2.2	3.1	0.751
324	2.3	3.0	0.729
325	2.2	3.0	0.675
326	2.1	3.0	0.593
327	2.0	3.0	0.540
328	1.9	3.0	0.504
329	2.0	3.0	0.524
330	2.0	3.0	0.650
331	2.1	3.0	0.725
332	2.2	3.0	0.897
333	2.2	3.0	0.922
334	2.2	3.0	0.860
335	2.2	3.0	0.517
336	2.2	3.0	0.324
337	1.6	3.0	0.224
338	1.7	3.0	0.121
339	1.8	3.0	0.047
340	1.8	3.0	0.034
341	1.9	3.0	0.103
342	1.9	3.0	0.259
343	1.9	3.0	0.699
344	2.6	3.0	0.748
345	2.6	3.0	0.751
346	2.6	3.0	0.787
347	2.6	3.0	0.751
348	2.5	3.0	0.729
349	2.5	3.0	0.675
350	2.6	3.0	0.593
351	2.6	3.0	0.540
352	2.6	3.0	0.504
353	2.7	3.0	0.524
354	2.8	3.0	0.650
355	2.8	3.0	0.725
356	2.9	3.0	0.897
357	2.9	3.0	0.922
358	3.0	3.0	0.860
359	3.0	3.0	0.517
360	2.9	3.0	0.324
361	2.3	3.0	0.224
362	2.3	3.0	0.121
363	2.4	3.0	0.047
364	2.4	3.0	0.034
365	2.3	3.0	0.103
366	2.5	3.0	0.259
367	2.5	3.0	0.699
368	3.1	3.0	0.748
369	3.1	3.0	0.751
370	3.1	3.0	0.787
371	2.9	3.0	0.751
372	2.9	3.0	0.729
373	2.8	2.9	0.675
374	2.7	2.9	0.593
375	2.7	2.9	0.540
376	2.9	2.9	0.504
377	3.1	2.9	0.524
378	3.2	2.9	0.650
379	3.3	2.9	0.725
380	3.4	2.9	0.897
381	3.4	2.9	0.922
382	3.6	2.9	0.860
383	3.7	2.9	0.517
384	3.8	2.9	0.324
385	3.4	2.9	0.224
386	3.4	2.9	0.121
387	3.5	2.9	0.047
388	3.4	2.9	0.034
389	3.4	2.9	0.103
390	3.4	2.9	0.259
391	3.4	2.9	0.699
392	3.9	2.9	0.748
393	3.7	2.9	0.751
394	3.6	2.9	0.787
395	3.4	2.9	0.751
396	3.2	2.9	0.729
397	3.0	2.9	0.675
398	2.8	2.9	0.593
399	2.8	2.9	0.540
400	2.7	2.9	0.504
401	2.7	2.9	0.524
402	2.8	2.9	0.650
403	2.7	2.9	0.725
404	2.7	2.9	0.897
405	2.9	2.9	0.922
406	2.8	2.9	0.860
407	2.8	2.9	0.517
408	2.8	2.9	0.324
409	2.0	2.9	0.224
410	2.1	2.9	0.121
411	2.2	2.9	0.047
412	2.2	2.9	0.034
413	2.2	2.9	0.103
414	2.2	2.9	0.259
415	2.3	2.9	0.699
416	2.9	2.9	0.748
417	2.9	2.9	0.751
418	2.8	2.9	0.787
419	2.8	2.9	0.751
420	2.7	2.9	0.729
