# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.5	14.3	0.254
2	7.7	14.2	0.137
3	8.1	13.8	0.054
4	8.0	13.7	0.039
5	8.1	13.7	0.117
6	8.1	13.6	0.293
7	8.0	13.6	0.791
8	9.8	13.5	0.847
9	9.9	13.4	0.851
10	9.3	13.4	0.891
11	9.3	13.4	0.851
12	8.8	13.4	0.825
13	8.5	13.3	0.763
14	8.6	13.3	0.671
15	8.5	13.3	0.612
16	8.8	13.2	0.571
17	9.3	13.2	0.593
18	10.1	13.2	0.736
19	10.8	13.1	0.821
20	11.0	13.1	1.015
21	11.1	13.1	1.043
22	11.4	13.1	0.973
23	11.7	13.1	0.586
24	12.1	13.1	0.367
25	10.6	13.0	0.254
26	10.3	13.0	0.137
27	10.3	13.0	0.054
28	10.3	13.0	0.039
29	10.2	13.0	0.117
30	10.0	12.9	0.293
31	10.2	12.9	0.791
32	12.3	12.9	0.847
33	12.0	12.9	0.851
34	11.8	12.9	0.891
35	11.4	12.8	0.851
36	10.9	12.8	0.825
37	10.7	12.8	0.763
38	10.6	12.8	0.671
39	10.2	12.8	0.612
40	10.4	12.7	0.571
41	10.9	12.7	0.593
42	11.4	12.7	0.736
43	11.5	12.7	0.821
44	11.5	12.7	1.015
45	11.6	12.6	1.043
46	11.7	12.6	0.973
47	11.7	12.6	0.586
48	11.7	12.6	0.367
49	9.8	12.6	0.254
50	9.8	12.5	0.137
51	9.8	12.5	0.054
52	10.1	12.4	0.039
53	10.2	12.4	0.117
54	10.0	12.4	0.293
55	10.4	12.4	0.791
56	12.1	12.4	0.847
57	12.0	12.4	0.851
58	12.1	12.4	0.891
59	11.8	12.3	0.851
60	11.7	12.3	0.825
61	11.2	12.3	0.763
62	10.9	12.3	0.671
63	10.7	12.3	0.612
64	10.6	12.2	0.571
65	10.8	12.2	0.593
66	11.2	12.2	0.736
67	11.6	12.2	0.821
68	11.9	12.1	1.015
69	12.2	12.1	1.043
70	12.5	12.1	0.973
71	12.7	12.1	0.586
72	12.9	12.1	0.367
73	11.2	12.1	0.254
74	11.2	12.1	0.137
75	11.0	12.0	0.054
76	11.1	12.0	0.039
77	11.1	12.0	0.117
78	11.0	12.0	0.293
79	10.8	12.0	0.791
80	12.3	12.0	0.847
81	11.9	12.0	0.851
82	11.3	12.0	0.891
83	10.3	11.9	0.851
84	9.5	11.9	0.825
85	8.7	11.9	0.763
86	8.4	11.9	0.671
87	8.5	11.9	0.612
88	8.5	11.9	0.571
89	8.6	11.9	0.593
90	8.7	11.9	0.736
91	8.7	11.9	0.821
92	8.5	11.9	1.015
93	8.7	11.9	1.043
94	8.9	11.8	0.973
95	9.0	11.8	0.586
96	9.0	11.8	0.367
97	7.1	11.8	0.254
98	7.2	11.8	0.137
99	7.6	11.8	0.054
100	7.8	11.8	0.039
101	8.1	11.8	0.117
102	8.2	11.8	0.293
103	8.6	11.8	0.791
104	10.6	11.8	0.847
105	10.8	11.8	0.851
106	10.8	11.8	0.891
107	11.0	11.8	0.851
108	11.1	11.7	0.825
109	11.1	11.7	0.763
110	11.4	11.7	0.671
111	11.9	11.7	0.612
112	11.9	11.7	0.571
113	12.4	11.7	0.593
114	13.0	11.7	0.736
115	13.0	11.7	0.821
116	12.8	11.7	1.015
117	13.1	11.7	1.043
118	13.6	11.7	0.973
119	14.2	11.7	0.586
120	14.3	11.7	0.367
121	12.7	11.7	0.254
122	12.7	11.7	0.137
123	12.4	11.7	0.054
124	12.4	11.6	0.039
125	11.8	11.6	0.117
126	11.3	11.6	0.293
127	11.2	11.6	0.791
128	13.0	11.6	0.847
129	12.8	11.6	0.851
130	12.3	11.6	0.891
131	11.6	11.6	0.851
132	11.0	11.6	0.825
133	10.1	11.6	0.763
134	9.5	11.6	0.671
135	9.2	11.6	0.612
136	8.7	11.6	0.571
137	8.7	11.5	0.593
138	9.0	11.5	0.736
139	8.7	11.5	0.821
140	8.6	11.5	1.015
141	8.7	11.5	1.043
142	8.7	11.5	0.973
143	8.7	11.5	0.586
