# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.0	22.8	0.481
2	12.3	22.7	0.260
3	12.9	22.0	0.102
4	12.7	21.8	0.074
5	12.9	21.8	0.221
6	13.0	21.8	0.554
7	12.7	21.7	1.498
8	15.6	21.6	1.603
9	15.7	21.4	1.610
10	14.8	21.4	1.687
11	14.9	21.3	1.610
12	14.0	21.3	1.561
13	13.6	21.3	1.445
14	13.7	21.2	1.270
15	13.6	21.2	1.157
16	14.1	21.1	1.080
17	14.9	21.0	1.122
18	16.1	21.0	1.392
19	17.2	21.0	1.554
20	17.5	21.0	1.922
21	17.7	20.9	1.975
22	18.2	20.9	1.841
23	18.6	20.9	1.108
24	19.3	20.8	0.694
25	16.9	20.8	0.481
26	16.4	20.7	0.260
27	16.5	20.7	0.102
28	16.5	20.7	0.074
29	16.3	20.7	0.221
30	16.0	20.6	0.554
31	16.4	20.6	1.498
32	19.7	20.6	1.603
33	19.1	20.6	1.610
34	18.8	20.5	1.687
35	18.2	20.5	1.610
36	17.4	20.4	1.561
37	17.0	20.4	1.445
38	16.9	20.4	1.270
39	16.3	20.4	1.157
40	16.6	20.3	1.080
41	17.4	20.3	1.122
42	18.2	20.3	1.392
43	18.3	20.3	1.554
44	18.4	20.2	1.922
45	18.6	20.1	1.975
46	18.6	20.1	1.841
47	18.7	20.1	1.108
48	18.7	20.0	0.694
49	15.6	19.9	0.481
50	15.6	19.9	0.260
51	15.7	19.8	0.102
52	16.1	19.8	0.074
53	16.3	19.8	0.221
54	16.0	19.8	0.554
55	16.6	19.8	1.498
56	19.4	19.8	1.603
57	19.2	19.8	1.610
58	19.3	19.7	1.687
59	18.8	19.7	1.610
60	18.6	19.7	1.561
61	17.8	19.7	1.445
62	17.4	19.6	1.270
63	17.1	19.6	1.157
64	17.0	19.5	1.080
65	17.2	19.5	1.122
66	17.9	19.4	1.392
67	18.5	19.4	1.554
68	18.9	19.4	1.922
69	19.5	19.3	1.975
70	19.9	19.3	1.841
71	20.3	19.3	1.108
72	20.6	19.3	0.694
73	17.8	19.3	0.481
74	17.8	19.2	0.260
75	17.6	19.2	0.102
76	17.8	19.2	0.074
77	17.7	19.2	0.221
78	17.6	19.1	0.554
79	17.2	19.1	1.498
80	19.6	19.1	1.603
81	19.0	19.1	1.610
82	18.0	19.1	1.687
83	16.4	19.1	1.610
84	15.1	19.0	1.561
85	14.0	19.0	1.445
86	13.5	19.0	1.270
87	13.6	19.0	1.157
88	13.5	19.0	1.080
89	13.8	18.9	1.122
90	13.9	18.9	1.392
91	13.9	18.9	1.554
92	13.5	18.9	1.922
93	14.0	18.9	1.975
94	14.2	18.9	1.841
95	14.4	18.9	1.108
96	14.4	18.9	0.694
97	11.3	18.8	0.481
98	11.5	18.8	0.260
99	12.1	18.8	0.102
100	12.4	18.8	0.074
101	12.9	18.8	0.221
102	13.1	18.8	0.554
103	13.7	18.8	1.498
104	16.9	18.8	1.603
105	17.3	18.8	1.610
106	17.2	18.7	1.687
107	17.5	18.7	1.610
108	17.7	18.7	1.561
109	17.7	18.7	1.445
110	18.1	18.7	1.270
111	19.1	18.7	1.157
112	19.0	18.6	1.080
113	19.8	18.6	1.122
114	20.7	18.6	1.392
115	20.8	18.6	1.554
116	20.4	18.6	1.922
117	21.0	18.6	1.975
118	21.8	18.6	1.841
119	22.7	18.6	1.108
120	22.8	18.6	0.694
121	20.3	18.6	0.481
122	20.3	18.6	0.260
123	19.8	18.6	0.102
124	19.8	18.6	0.074
125	18.8	18.5	0.221
126	18.1	18.5	0.554
127	17.9	18.5	1.498
128	20.7	18.5	1.603
129	20.4	18.5	1.610
130	19.7	18.5	1.687
