# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.0	19.0	0.289
2	10.3	18.9	0.156
3	10.8	18.3	0.061
4	10.6	18.2	0.044
5	10.8	18.1	0.133
6	10.8	18.1	0.333
7	10.6	18.0	0.900
8	13.1	17.9	0.963
9	13.1	17.8	0.967
10	12.4	17.8	1.013
11	12.4	17.7	0.967
12	11.7	17.7	0.938
13	11.3	17.7	0.868
14	11.4	17.6	0.763
15	11.4	17.6	0.695
16	11.7	17.6	0.649
17	12.5	17.5	0.674
18	13.5	17.5	0.836
19	14.4	17.4	0.933
20	14.6	17.4	1.155
21	14.7	17.4	1.186
22	15.2	17.4	1.106
23	15.6	17.4	0.666
24	16.1	17.4	0.417
25	14.1	17.3	0.289
26	13.7	17.3	0.156
27	13.8	17.3	0.061
28	13.8	17.2	0.044
29	13.6	17.2	0.133
30	13.3	17.2	0.333
31	13.6	17.1	0.900
32	16.4	17.1	0.963
33	16.0	17.1	0.967
34	15.7	17.1	1.013
35	15.2	17.1	0.967
36	14.5	17.0	0.938
37	14.2	17.0	0.868
38	14.1	17.0	0.763
39	13.6	17.0	0.695
40	13.9	16.9	0.649
41	14.5	16.9	0.674
42	15.2	16.9	0.836
43	15.3	16.9	0.933
44	15.3	16.8	1.155
45	15.5	16.7	1.186
46	15.5	16.7	1.106
47	15.6	16.7	0.666
48	15.6	16.6	0.417
49	13.1	16.6	0.289
50	13.0	16.6	0.156
51	13.1	16.6	0.061
52	13.4	16.5	0.044
53	13.6	16.5	0.133
54	13.4	16.5	0.333
55	13.9	16.5	0.900
56	16.2	16.5	0.963
57	16.0	16.4	0.967
58	16.1	16.4	1.013
59	15.7	16.4	0.967
60	15.5	16.4	0.938
61	14.9	16.4	0.868
62	14.5	16.3	0.763
63	14.3	16.3	0.695
64	14.2	16.3	0.649
65	14.4	16.2	0.674
66	14.9	16.2	0.836
67	15.4	16.2	0.933
68	15.8	16.1	1.155
69	16.3	16.1	1.186
70	16.6	16.1	1.106
71	17.0	16.1	0.666
72	17.2	16.1	0.417
73	14.9	16.0	0.289
74	14.9	16.0	0.156
75	14.7	16.0	0.061
76	14.8	16.0	0.044
77	14.8	16.0	0.133
78	14.7	15.9	0.333
79	14.4	15.9	0.900
80	16.3	15.9	0.963
81	15.9	15.9	0.967
82	15.0	15.9	1.013
83	13.7	15.9	0.967
84	12.6	15.8	0.938
85	11.6	15.8	0.868
86	11.3	15.8	0.763
87	11.4	15.8	0.695
88	11.3	15.8	0.649
89	11.5	15.8	0.674
90	11.6	15.8	0.836
91	11.6	15.8	0.933
92	11.3	15.7	1.155
93	11.7	15.7	1.186
94	11.9	15.7	1.106
95	12.0	15.7	0.666
96	12.0	15.7	0.417
97	9.5	15.7	0.289
98	9.6	15.7	0.156
99	10.1	15.7	0.061
100	10.4	15.7	0.044
101	10.7	15.7	0.133
102	10.9	15.7	0.333
103	11.4	15.6	0.900
104	14.1	15.6	0.963
105	14.4	15.6	0.967
106	14.4	15.6	1.013
107	14.6	15.6	0.967
108	14.7	15.6	0.938
109	14.8	15.6	0.868
110	15.1	15.6	0.763
111	15.9	15.5	0.695
112	15.8	15.5	0.649
113	16.6	15.5	0.674
114	17.3	15.5	0.836
115	17.4	15.5	0.933
116	17.1	15.5	1.155
117	17.5	15.5	1.186
118	18.2	15.5	1.106
119	18.9	15.5	0.666
120	19.0	15.5	0.417
121	16.9	15.5	0.289
122	17.0	15.5	0.156
123	16.5	15.4	0.061
124	16.5	15.4	0.044
125	15.7	15.4	0.133
126	15.1	15.4	0.333
127	14.9	15.4	0.900
128	17.3	15.4	0.963
129	17.1	15.4	0.967
130	16.4	15.4	1.013
131	15.5	15.4	0.967
132	14.6	15.4	0.938
133	13.5	15.4	0.868
134	12.6	15.4	0.763
135	12.2	15.4	0.695
136	11.6	15.3	0.649
