# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.1	13.6	0.221
2	7.3	13.5	0.119
3	7.7	13.1	0.047
4	7.6	13.0	0.034
5	7.7	13.0	0.102
6	7.7	13.0	0.255
7	7.6	12.9	0.688
8	9.3	12.8	0.737
9	9.4	12.8	0.740
10	8.8	12.7	0.775
11	8.9	12.7	0.740
12	8.4	12.7	0.717
13	8.1	12.7	0.664
14	8.2	12.6	0.584
15	8.1	12.6	0.532
16	8.4	12.6	0.496
17	8.9	12.5	0.516
18	9.6	12.5	0.640
19	10.2	12.5	0.714
20	10.4	12.5	0.883
21	10.5	12.5	0.908
22	10.9	12.5	0.846
23	11.1	12.5	0.509
24	11.5	12.4	0.319
25	10.1	12.4	0.221
26	9.8	12.4	0.119
27	9.8	12.4	0.047
28	9.8	12.3	0.034
29	9.7	12.3	0.102
30	9.5	12.3	0.255
31	9.7	12.3	0.688
32	11.7	12.2	0.737
33	11.4	12.2	0.740
34	11.2	12.2	0.775
35	10.8	12.2	0.740
36	10.4	12.2	0.717
37	10.2	12.2	0.664
38	10.0	12.1	0.584
39	9.7	12.1	0.532
40	9.9	12.1	0.496
41	10.4	12.1	0.516
42	10.8	12.1	0.640
43	10.9	12.1	0.714
44	10.9	12.0	0.883
45	11.1	12.0	0.908
46	11.1	11.9	0.846
47	11.1	11.9	0.509
48	11.1	11.9	0.319
49	9.3	11.9	0.221
50	9.3	11.9	0.119
51	9.4	11.9	0.047
52	9.6	11.8	0.034
53	9.7	11.8	0.102
54	9.6	11.8	0.255
55	9.9	11.8	0.688
56	11.5	11.8	0.737
57	11.4	11.8	0.740
58	11.5	11.8	0.775
59	11.2	11.7	0.740
60	11.1	11.7	0.717
61	10.6	11.7	0.664
62	10.4	11.7	0.584
63	10.2	11.7	0.532
64	10.1	11.6	0.496
65	10.2	11.6	0.516
66	10.7	11.6	0.640
67	11.0	11.5	0.714
68	11.3	11.5	0.883
69	11.6	11.5	0.908
70	11.9	11.5	0.846
71	12.1	11.5	0.509
72	12.3	11.5	0.319
73	10.6	11.5	0.221
74	10.6	11.5	0.119
75	10.5	11.4	0.047
76	10.6	11.4	0.034
77	10.6	11.4	0.102
78	10.5	11.4	0.255
79	10.2	11.4	0.688
80	11.7	11.4	0.737
81	11.3	11.4	0.740
82	10.7	11.4	0.775
83	9.8	11.3	0.740
84	9.0	11.3	0.717
85	8.3	11.3	0.664
86	8.0	11.3	0.584
87	8.1	11.3	0.532
88	8.1	11.3	0.496
89	8.2	11.3	0.516
90	8.3	11.3	0.640
91	8.3	11.3	0.714
92	8.1	11.3	0.883
93	8.3	11.3	0.908
94	8.5	11.2	0.846
95	8.6	11.2	0.509
96	8.6	11.2	0.319
97	6.8	11.2	0.221
98	6.8	11.2	0.119
99	7.2	11.2	0.047
100	7.4	11.2	0.034
101	7.7	11.2	0.102
102	7.8	11.2	0.255
103	8.1	11.2	0.688
104	10.1	11.2	0.737
105	10.3	11.2	0.740
106	10.3	11.1	0.775
107	10.4	11.1	0.740
108	10.5	11.1	0.717
109	10.6	11.1	0.664
110	10.8	11.1	0.584
111	11.4	11.1	0.532
112	11.3	11.1	0.496
113	11.8	11.1	0.516
114	12.3	11.1	0.640
115	12.4	11.1	0.714
116	12.2	11.1	0.883
117	12.5	11.1	0.908
118	13.0	11.1	0.846
119	13.5	11.1	0.509
120	13.6	11.1	0.319
121	12.1	11.1	0.221
122	12.1	11.1	0.119
123	11.8	11.1	0.047
124	11.8	11.0	0.034
125	11.2	11.0	0.102
126	10.8	11.0	0.255
127	10.6	11.0	0.688
128	12.4	11.0	0.737
129	12.2	11.0	0.740
130	11.7	11.0	0.775
131	11.0	11.0	0.740
132	10.4	11.0	0.717
133	9.6	11.0	0.664
134	9.0	11.0	0.584
135	8.7	11.0	0.532
136	8.3	11.0	0.496
137	8.3	11.0	0.516
138	8.6	10.9	0.640
139	8.2	10.9	0.714
140	8.2	10.9	0.883
141	8.3	10.9	0.908
142	8.3	10.9	0.846
143	8.3	10.9	0.509
144	8.2	10.9	0.319
145	6.3	10.9	0.221
146	6.5	10.9	0.119
147	6.5	10.9	0.047
148	6.6	10.8	0.034
149	7.0	10.8	0.102
150	6.8	10.8	0.255
151	6.8	10.8	0.688
152	8.8	10.8	0.737
153	8.7	10.8	0.740
154	8.1	10.8	0.775
155	7.9	10.8	0.740
156	7.5	10.8	0.717
157	7.2	10.7	0.664
158	6.6	10.7	0.584
159	6.3	10.7	0.532
160	6.3	10.7	0.496
161	6.9	10.7	0.516
162	7.3	10.7	0.640
163	7.8	10.7	0.714
164	7.9	10.7	0.883
165	8.4	10.7	0.908
166	8.5	10.7	0.846
167	9.0	10.7	0.509
168	9.1	10.7	0.319
169	7.5	10.7	0.221
170	7.5	10.7	0.119
171	7.5	10.7	0.047
172	7.2	10.6	0.034
173	7.1	10.6	0.102
174	6.7	10.6	0.255
175	6.7	10.6	0.688
176	8.4	10.6	0.737
177	8.4	10.6	0.740
178	8.2	10.6	0.775
179	7.7	10.6	0.740
180	7.3	10.6	0.717
181	7.5	10.6	0.664
182	7.3	10.6	0.584
183	7.5	10.6	0.532
184	7.4	10.6	0.496
185	7.3	10.6	0.516
186	7.4	10.6	0.640
187	7.6	10.6	0.714
188	7.2	10.6	0.883
189	6.9	10.6	0.908
190	6.9	10.6	0.846
191	6.6	10.5	0.509
192	6.3	10.5	0.319
193	4.1	10.5	0.221
194	4.2	10.5	0.119
195	4.4	10.5	0.047
196	4.4	10.5	0.034
197	4.2	10.5	0.102
198	3.9	10.5	0.255
199	4.2	10.5	0.688
200	5.9	10.5	0.737
201	6.0	10.5	0.740
202	5.6	10.5	0.775
203	5.5	10.5	0.740
204	5.6	10.5	0.717
205	5.5	10.5	0.664
206	5.0	10.5	0.584
207	4.6	10.5	0.532
208	4.4	10.5	0.496
209	4.5	10.5	0.516
210	4.4	10.5	0.640
211	4.4	10.5	0.714
212	4.5	10.5	0.883
213	4.4	10.5	0.908
214	4.4	10.4	0.846
215	4.3	10.4	0.509
216	4.0	10.4	0.319
217	2.3	10.4	0.221
218	2.5	10.4	0.119
219	2.7	10.4	0.047
220	2.9	10.4	0.034
221	3.1	10.4	0.102
222	3.4	10.4	0.255
223	3.7	10.4	0.688
224	5.6	10.4	0.737
225	5.6	10.4	0.740
226	5.8	10.4	0.775
227	5.8	10.4	0.740
