# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.2	3.4	0.127
2	2.2	3.4	0.069
3	2.3	3.3	0.027
4	2.3	3.3	0.019
5	2.3	3.3	0.058
6	2.3	3.3	0.146
7	2.3	3.2	0.396
8	2.3	3.2	0.423
9	2.3	3.2	0.425
10	2.2	3.2	0.446
11	2.2	3.2	0.425
12	2.0	3.2	0.412
13	2.0	3.2	0.382
14	2.0	3.2	0.335
15	2.0	3.2	0.306
16	2.0	3.2	0.285
17	2.2	3.2	0.296
18	2.4	3.2	0.368
19	2.5	3.2	0.410
20	2.6	3.1	0.508
21	2.6	3.1	0.522
22	2.7	3.1	0.486
23	2.7	3.1	0.293
24	2.8	3.1	0.183
25	2.9	3.1	0.127
26	2.8	3.1	0.069
27	2.9	3.1	0.027
28	2.9	3.1	0.019
29	2.8	3.1	0.058
30	2.8	3.1	0.146
31	2.8	3.1	0.396
32	2.9	3.1	0.423
33	2.8	3.1	0.425
34	2.7	3.1	0.446
35	2.6	3.1	0.425
36	2.5	3.1	0.412
37	2.5	3.1	0.382
38	2.5	3.1	0.335
39	2.4	3.1	0.306
40	2.4	3.1	0.285
41	2.5	3.0	0.296
42	2.6	3.0	0.368
43	2.7	3.0	0.410
44	2.7	3.0	0.508
45	2.7	3.0	0.522
46	2.7	3.0	0.486
47	2.7	3.0	0.293
48	2.7	3.0	0.183
49	2.7	3.0	0.127
50	2.7	3.0	0.069
51	2.7	3.0	0.027
52	2.8	3.0	0.019
53	2.8	3.0	0.058
54	2.8	3.0	0.146
55	2.9	3.0	0.396
56	2.8	3.0	0.423
57	2.8	3.0	0.425
58	2.8	3.0	0.446
59	2.7	3.0	0.425
60	2.7	3.0	0.412
61	2.6	3.0	0.382
62	2.5	3.0	0.335
63	2.5	3.0	0.306
64	2.5	3.0	0.285
65	2.5	3.0	0.296
66	2.6	3.0	0.368
67	2.7	3.0	0.410
68	2.8	3.0	0.508
69	2.8	3.0	0.522
70	2.9	3.0	0.486
71	3.0	3.0	0.293
72	3.0	3.0	0.183
73	3.0	3.0	0.127
74	3.0	3.0	0.069
75	3.0	3.0	0.027
76	3.0	3.0	0.019
77	3.0	3.0	0.058
78	3.0	3.0	0.146
79	3.0	3.0	0.396
80	2.9	3.0	0.423
81	2.8	2.9	0.425
82	2.6	2.9	0.446
83	2.4	2.9	0.425
84	2.2	2.9	0.412
85	2.0	2.9	0.382
86	2.0	2.9	0.335
87	2.0	2.9	0.306
88	2.0	2.9	0.285
89	2.0	2.9	0.296
90	2.0	2.9	0.368
91	2.0	2.9	0.410
92	2.0	2.9	0.508
93	2.0	2.9	0.522
94	2.1	2.9	0.486
95	2.1	2.9	0.293
96	2.1	2.9	0.183
97	2.1	2.9	0.127
98	2.1	2.9	0.069
99	2.2	2.9	0.027
100	2.3	2.9	0.019
101	2.3	2.9	0.058
102	2.4	2.8	0.146
103	2.4	2.8	0.396
104	2.5	2.8	0.423
105	2.5	2.8	0.425
106	2.5	2.8	0.446
107	2.6	2.8	0.425
108	2.6	2.8	0.412
109	2.6	2.8	0.382
110	2.6	2.8	0.335
111	2.8	2.8	0.306
112	2.8	2.8	0.285
113	2.9	2.8	0.296
114	3.0	2.8	0.368
115	3.0	2.8	0.410
116	3.0	2.8	0.508
117	3.1	2.8	0.522
118	3.2	2.8	0.486
119	3.3	2.8	0.293
120	3.3	2.8	0.183
121	3.4	2.8	0.127
122	3.4	2.8	0.069
123	3.3	2.8	0.027
124	3.3	2.8	0.019
125	3.2	2.8	0.058
126	3.1	2.8	0.146
127	3.0	2.8	0.396
128	3.0	2.8	0.423
129	3.0	2.8	0.425
130	2.9	2.8	0.446
131	2.7	2.8	0.425
132	2.6	2.7	0.412
133	2.4	2.7	0.382
134	2.2	2.7	0.335
135	2.1	2.7	0.306
136	2.0	2.7	0.285
137	2.0	2.7	0.296
138	2.1	2.7	0.368
139	2.0	2.7	0.410
140	2.0	2.7	0.508
141	2.0	2.7	0.522
142	2.0	2.7	0.486
143	2.0	2.7	0.293
144	2.0	2.7	0.183
145	2.0	2.7	0.127
146	2.0	2.7	0.069
147	2.0	2.7	0.027
148	2.1	2.7	0.019
149	2.1	2.7	0.058
150	2.1	2.7	0.146
151	2.1	2.7	0.396
152	2.2	2.7	0.423
153	2.1	2.7	0.425
154	2.0	2.7	0.446
155	1.9	2.7	0.425
156	1.8	2.7	0.412
157	1.8	2.7	0.382
158	1.6	2.7	0.335
159	1.6	2.7	0.306
160	1.5	2.7	0.285
161	1.7	2.7	0.296
162	1.8	2.7	0.368
163	1.9	2.7	0.410
164	1.9	2.7	0.508
