# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.5	8.6	0.361
2	4.6	8.5	0.195
3	4.9	8.2	0.076
4	4.8	8.2	0.055
5	4.9	8.1	0.166
6	4.9	8.1	0.417
7	4.8	8.1	1.126
8	5.9	8.0	1.205
9	5.9	8.0	1.211
10	5.6	8.0	1.269
11	5.6	8.0	1.211
12	5.3	8.0	1.174
13	5.1	7.9	1.087
14	5.1	7.9	0.955
15	5.1	7.9	0.870
16	5.3	7.9	0.812
17	5.6	7.9	0.844
18	6.1	7.8	1.047
19	6.5	7.8	1.168
20	6.6	7.8	1.445
21	6.6	7.8	1.485
22	6.8	7.8	1.385
23	7.0	7.8	0.833
24	7.3	7.8	0.522
25	6.3	7.8	0.361
26	6.2	7.8	0.195
27	6.2	7.8	0.076
28	6.2	7.7	0.055
29	6.1	7.7	0.166
30	6.0	7.7	0.417
31	6.1	7.7	1.126
32	7.4	7.7	1.205
33	7.2	7.7	1.211
34	7.0	7.7	1.269
35	6.8	7.7	1.211
36	6.5	7.6	1.174
37	6.4	7.6	1.087
38	6.3	7.6	0.955
39	6.1	7.6	0.870
40	6.2	7.6	0.812
41	6.5	7.6	0.844
42	6.8	7.6	1.047
43	6.9	7.6	1.168
44	6.9	7.5	1.445
45	7.0	7.5	1.485
46	7.0	7.5	1.385
47	7.0	7.5	0.833
48	7.0	7.5	0.522
49	5.9	7.5	0.361
50	5.9	7.4	0.195
51	5.9	7.4	0.076
52	6.0	7.4	0.055
53	6.1	7.4	0.166
54	6.0	7.4	0.417
55	6.2	7.4	1.126
56	7.3	7.4	1.205
57	7.2	7.4	1.211
58	7.2	7.4	1.269
59	7.0	7.3	1.211
60	7.0	7.3	1.174
61	6.7	7.3	1.087
62	6.5	7.3	0.955
63	6.4	7.3	0.870
64	6.4	7.3	0.812
65	6.5	7.3	0.844
66	6.7	7.3	1.047
67	6.9	7.2	1.168
68	7.1	7.2	1.445
69	7.3	7.2	1.485
70	7.5	7.2	1.385
71	7.6	7.2	0.833
72	7.7	7.2	0.522
73	6.7	7.2	0.361
74	6.7	7.2	0.195
75	6.6	7.2	0.076
76	6.7	7.2	0.055
77	6.7	7.1	0.166
78	6.6	7.1	0.417
79	6.5	7.1	1.126
80	7.3	7.1	1.205
81	7.1	7.1	1.211
82	6.8	7.1	1.269
83	6.2	7.1	1.211
84	5.7	7.1	1.174
85	5.2	7.1	1.087
86	5.1	7.1	0.955
87	5.1	7.1	0.870
88	5.1	7.1	0.812
89	5.2	7.1	0.844
90	5.2	7.1	1.047
91	5.2	7.1	1.168
92	5.1	7.1	1.445
93	5.2	7.0	1.485
94	5.3	7.0	1.385
95	5.4	7.0	0.833
96	5.4	7.0	0.522
97	4.3	7.0	0.361
98	4.3	7.0	0.195
99	4.5	7.0	0.076
100	4.7	7.0	0.055
101	4.8	7.0	0.166
102	4.9	7.0	0.417
103	5.1	7.0	1.126
104	6.3	7.0	1.205
105	6.5	7.0	1.211
106	6.5	7.0	1.269
107	6.6	7.0	1.211
108	6.6	7.0	1.174
109	6.7	7.0	1.087
110	6.8	7.0	0.955
111	7.2	7.0	0.870
112	7.1	7.0	0.812
113	7.5	7.0	0.844
114	7.8	7.0	1.047
115	7.8	7.0	1.168
116	7.7	7.0	1.445
117	7.9	7.0	1.485
118	8.2	6.9	1.385
119	8.5	6.9	0.833
120	8.6	6.9	0.522
121	7.6	6.9	0.361
122	7.6	6.9	0.195
123	7.4	6.9	0.076
