# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.9	3.6	0.126
2	1.9	3.6	0.068
3	2.0	3.5	0.027
4	2.0	3.4	0.019
5	2.0	3.4	0.058
6	2.1	3.4	0.145
7	2.0	3.4	0.392
8	2.5	3.4	0.420
9	2.5	3.4	0.421
10	2.3	3.4	0.442
11	2.4	3.4	0.421
12	2.2	3.4	0.409
13	2.2	3.4	0.378
14	2.2	3.3	0.332
15	2.2	3.3	0.303
16	2.2	3.3	0.283
17	2.4	3.3	0.294
18	2.6	3.3	0.364
19	2.7	3.3	0.407
20	2.8	3.3	0.503
21	2.8	3.3	0.517
22	2.9	3.3	0.482
23	2.9	3.3	0.290
24	3.1	3.3	0.182
25	2.7	3.3	0.126
26	2.6	3.3	0.068
27	2.6	3.3	0.027
28	2.6	3.3	0.019
29	2.6	3.3	0.058
30	2.5	3.3	0.145
31	2.6	3.3	0.392
32	3.1	3.2	0.420
33	3.0	3.2	0.421
34	3.0	3.2	0.442
35	2.9	3.2	0.421
36	2.8	3.2	0.409
37	2.7	3.2	0.378
38	2.7	3.2	0.332
39	2.6	3.2	0.303
40	2.6	3.2	0.283
41	2.7	3.2	0.294
42	2.9	3.2	0.364
43	2.9	3.2	0.407
44	2.9	3.2	0.503
45	2.9	3.2	0.517
46	2.9	3.2	0.482
47	3.0	3.2	0.290
48	3.0	3.2	0.182
49	2.5	3.1	0.126
50	2.5	3.1	0.068
51	2.5	3.1	0.027
52	2.5	3.1	0.019
53	2.6	3.1	0.058
54	2.5	3.1	0.145
55	2.6	3.1	0.392
56	3.1	3.1	0.420
57	3.0	3.1	0.421
58	3.1	3.1	0.442
59	3.0	3.1	0.421
60	2.9	3.1	0.409
61	2.8	3.1	0.378
62	2.8	3.1	0.332
63	2.7	3.1	0.303
64	2.7	3.1	0.283
65	2.7	3.1	0.294
66	2.8	3.1	0.364
67	2.9	3.1	0.407
68	3.0	3.1	0.503
69	3.1	3.0	0.517
70	3.2	3.0	0.482
71	3.2	3.0	0.290
72	3.3	3.0	0.182
73	2.8	3.0	0.126
74	2.8	3.0	0.068
75	2.8	3.0	0.027
76	2.8	3.0	0.019
77	2.8	3.0	0.058
78	2.8	3.0	0.145
79	2.7	3.0	0.392
80	3.1	3.0	0.420
81	3.0	3.0	0.421
82	2.9	3.0	0.442
83	2.6	3.0	0.421
84	2.4	3.0	0.409
85	2.2	3.0	0.378
86	2.1	3.0	0.332
87	2.2	3.0	0.303
88	2.1	3.0	0.283
89	2.2	3.0	0.294
90	2.2	3.0	0.364
91	2.2	3.0	0.407
92	2.1	3.0	0.503
93	2.2	3.0	0.517
94	2.3	3.0	0.482
95	2.3	3.0	0.290
96	2.3	3.0	0.182
97	1.8	3.0	0.126
98	1.8	3.0	0.068
99	1.9	3.0	0.027
100	2.0	3.0	0.019
101	2.0	3.0	0.058
102	2.1	3.0	0.145
103	2.2	3.0	0.392
104	2.7	3.0	0.420
105	2.7	3.0	0.421
106	2.7	3.0	0.442
107	2.8	2.9	0.421
108	2.8	2.9	0.409
109	2.8	2.9	0.378
110	2.9	2.9	0.332
111	3.0	2.9	0.303
112	3.0	2.9	0.283
113	3.1	2.9	0.294
114	3.3	2.9	0.364
115	3.3	2.9	0.407
116	3.2	2.9	0.503
117	3.3	2.9	0.517
118	3.4	2.9	0.482
119	3.6	2.9	0.290
120	3.6	2.9	0.182
121	3.2	2.9	0.126
122	3.2	2.9	0.068
123	3.1	2.9	0.027
124	3.1	2.9	0.019
125	3.0	2.9	0.058
126	2.9	2.9	0.145
127	2.8	2.9	0.392
128	3.3	2.9	0.420
129	3.2	2.9	0.421
130	3.1	2.9	0.442
131	2.9	2.9	0.421
132	2.8	2.9	0.409
133	2.6	2.9	0.378
134	2.4	2.9	0.332
135	2.3	2.9	0.303
136	2.2	2.9	0.283
137	2.2	2.9	0.294
138	2.3	2.9	0.364
139	2.2	2.9	0.407
140	2.2	2.9	0.503
141	2.2	2.9	0.517
142	2.2	2.9	0.482
143	2.2	2.9	0.290
144	2.2	2.9	0.182
145	1.7	2.9	0.126
146	1.7	2.8	0.068
147	1.7	2.8	0.027
148	1.8	2.8	0.019
149	1.8	2.8	0.058
150	1.8	2.8	0.145
151	1.8	2.8	0.392
152	2.3	2.8	0.420
153	2.3	2.8	0.421
154	2.2	2.8	0.442
155	2.1	2.8	0.421
156	2.0	2.8	0.409
157	1.9	2.8	0.378
158	1.7	2.8	0.332
