# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.7	5.1	0.223
2	2.8	5.1	0.121
3	2.9	4.9	0.047
4	2.9	4.9	0.034
5	2.9	4.9	0.103
6	2.9	4.9	0.257
7	2.9	4.8	0.696
8	3.5	4.8	0.744
9	3.5	4.8	0.748
10	3.3	4.8	0.784
11	3.3	4.7	0.748
12	3.1	4.7	0.725
13	3.1	4.7	0.671
14	3.1	4.7	0.590
15	3.1	4.7	0.538
16	3.2	4.7	0.502
17	3.4	4.7	0.521
18	3.6	4.7	0.647
19	3.9	4.7	0.722
20	3.9	4.7	0.893
21	4.0	4.7	0.917
22	4.1	4.7	0.855
23	4.2	4.7	0.515
24	4.3	4.7	0.323
25	3.8	4.7	0.223
26	3.7	4.6	0.121
27	3.7	4.6	0.047
28	3.7	4.6	0.034
29	3.7	4.6	0.103
30	3.6	4.6	0.257
31	3.7	4.6	0.696
32	4.4	4.6	0.744
33	4.3	4.6	0.748
34	4.2	4.6	0.784
35	4.1	4.6	0.748
36	3.9	4.6	0.725
37	3.8	4.6	0.671
38	3.8	4.6	0.590
39	3.7	4.6	0.538
40	3.7	4.6	0.502
41	3.9	4.6	0.521
42	4.1	4.5	0.647
43	4.1	4.5	0.722
44	4.1	4.5	0.893
45	4.2	4.5	0.917
46	4.2	4.5	0.855
47	4.2	4.5	0.515
48	4.2	4.5	0.323
49	3.5	4.5	0.223
50	3.5	4.4	0.121
51	3.5	4.4	0.047
52	3.6	4.4	0.034
53	3.7	4.4	0.103
54	3.6	4.4	0.257
55	3.7	4.4	0.696
56	4.3	4.4	0.744
57	4.3	4.4	0.748
58	4.3	4.4	0.784
59	4.2	4.4	0.748
60	4.2	4.4	0.725
61	4.0	4.4	0.671
62	3.9	4.4	0.590
63	3.8	4.4	0.538
64	3.8	4.3	0.502
65	3.9	4.3	0.521
66	4.0	4.3	0.647
67	4.2	4.3	0.722
68	4.2	4.3	0.893
69	4.4	4.3	0.917
70	4.5	4.3	0.855
71	4.6	4.3	0.515
72	4.6	4.3	0.323
73	4.0	4.3	0.223
74	4.0	4.3	0.121
75	4.0	4.3	0.047
76	4.0	4.3	0.034
77	4.0	4.3	0.103
78	4.0	4.3	0.257
79	3.9	4.3	0.696
80	4.4	4.2	0.744
81	4.3	4.2	0.748
82	4.0	4.2	0.784
83	3.7	4.2	0.748
84	3.4	4.2	0.725
85	3.1	4.2	0.671
86	3.0	4.2	0.590
87	3.1	4.2	0.538
88	3.0	4.2	0.502
89	3.1	4.2	0.521
90	3.1	4.2	0.647
91	3.1	4.2	0.722
92	3.0	4.2	0.893
93	3.1	4.2	0.917
94	3.2	4.2	0.855
95	3.2	4.2	0.515
96	3.2	4.2	0.323
97	2.5	4.2	0.223
98	2.6	4.2	0.121
99	2.7	4.2	0.047
100	2.8	4.2	0.034
101	2.9	4.2	0.103
102	2.9	4.2	0.257
103	3.1	4.2	0.696
104	3.8	4.2	0.744
105	3.9	4.2	0.748
106	3.9	4.2	0.784
107	3.9	4.2	0.748
108	4.0	4.2	0.725
109	4.0	4.2	0.671
110	4.1	4.2	0.590
111	4.3	4.2	0.538
112	4.3	4.2	0.502
113	4.5	4.2	0.521
114	4.6	4.2	0.647
115	4.7	4.2	0.722
116	4.6	4.2	0.893
117	4.7	4.2	0.917
118	4.9	4.2	0.855
119	5.1	4.1	0.515
120	5.1	4.1	0.323
121	4.6	4.1	0.223
122	4.6	4.1	0.121
123	4.4	4.1	0.047
124	4.4	4.1	0.034
125	4.2	4.1	0.103
126	4.1	4.1	0.257
127	4.0	4.1	0.696
128	4.7	4.1	0.744
129	4.6	4.1	0.748
130	4.4	4.1	0.784
131	4.2	4.1	0.748
132	3.9	4.1	0.725
133	3.6	4.1	0.671
134	3.4	4.1	0.590
135	3.3	4.1	0.538
136	3.1	4.1	0.502
137	3.1	4.1	0.521
138	3.2	4.1	0.647
139	3.1	4.1	0.722
140	3.1	4.1	0.893
141	3.1	4.1	0.917
142	3.1	4.1	0.855
143	3.1	4.1	0.515
144	3.1	4.0	0.323
145	2.4	4.0	0.223
146	2.4	4.0	0.121
147	2.5	4.0	0.047
148	2.5	4.0	0.034
149	2.6	4.0	0.103
150	2.6	4.0	0.257
151	2.6	4.0	0.696
152	3.3	4.0	0.744
153	3.3	4.0	0.748
154	3.1	4.0	0.784
155	3.0	4.0	0.748
156	2.8	4.0	0.725
157	2.7	4.0	0.671
158	2.5	4.0	0.590
159	2.4	4.0	0.538
160	2.4	4.0	0.502
161	2.6	4.0	0.521
162	2.7	4.0	0.647
163	3.0	4.0	0.722
164	3.0	4.0	0.893
165	3.2	4.0	0.917
166	3.2	4.0	0.855
167	3.4	4.0	0.515
168	3.4	4.0	0.323
169	2.8	4.0	0.223
170	2.8	4.0	0.121
171	2.8	4.0	0.047
172	2.7	4.0	0.034
173	2.7	4.0	0.103
174	2.5	4.0	0.257
175	2.5	4.0	0.696
176	3.2	4.0	0.744
177	3.2	4.0	0.748
178	3.1	4.0	0.784
179	2.9	4.0	0.748
180	2.8	4.0	0.725
181	2.8	4.0	0.671
182	2.7	4.0	0.590
183	2.8	4.0	0.538
184	2.8	4.0	0.502
185	2.8	4.0	0.521
186	2.8	3.9	0.647
187	2.9	3.9	0.722
188	2.7	3.9	0.893
189	2.6	3.9	0.917
190	2.6	3.9	0.855
191	2.5	3.9	0.515
192	2.4	3.9	0.323
193	1.6	3.9	0.223
194	1.6	3.9	0.121
195	1.7	3.9	0.047
196	1.7	3.9	0.034
197	1.6	3.9	0.103
198	1.5	3.9	0.257
199	1.6	3.9	0.696
200	2.2	3.9	0.744
201	2.3	3.9	0.748
202	2.1	3.9	0.784
203	2.1	3.9	0.748
204	2.1	3.9	0.725
205	2.1	3.9	0.671
206	1.9	3.9	0.590
207	1.7	3.9	0.538
208	1.7	3.9	0.502
209	1.7	3.9	0.521
210	1.7	3.9	0.647
211	1.7	3.9	0.722
212	1.7	3.9	0.893
213	1.7	3.9	0.917
214	1.7	3.9	0.855
215	1.6	3.9	0.515
216	1.5	3.9	0.323
217	0.9	3.9	0.223
218	0.9	3.9	0.121
219	1.0	3.9	0.047
220	1.1	3.9	0.034
221	1.2	3.9	0.103
222	1.3	3.9	0.257
223	1.4	3.9	0.696
224	2.1	3.9	0.744
225	2.1	3.9	0.748
226	2.2	3.9	0.784
227	2.2	3.8	0.748
228	2.1	3.8	0.725
229	2.1	3.8	0.671
230	2.1	3.8	0.590
231	2.1	3.8	0.538
232	2.3	3.8	0.502
233	2.4	3.8	0.521
234	2.6	3.8	0.647
235	2.6	3.8	0.722
236	2.8	3.8	0.893
237	3.0	3.8	0.917
238	3.2	3.8	0.855
239	3.4	3.8	0.515
240	3.5	3.8	0.323
241	2.9	3.8	0.223
242	2.9	3.8	0.121
243	3.0	3.8	0.047
244	3.0	3.8	0.034
245	2.9	3.8	0.103
246	2.9	3.8	0.257
247	2.9	3.8	0.696
248	3.5	3.8	0.744
249	3.6	3.8	0.748
250	3.4	3.8	0.784
251	3.4	3.8	0.748
252	3.1	3.8	0.725
253	3.1	3.8	0.671
254	2.9	3.8	0.590
255	2.9	3.8	0.538
256	3.0	3.8	0.502
257	3.3	3.8	0.521
258	3.2	3.8	0.647
259	3.3	3.8	0.722
260	3.4	3.8	0.893
261	3.5	3.8	0.917
262	3.6	3.8	0.855
263	3.6	3.8	0.515
264	3.7	3.8	0.323
265	3.0	3.8	0.223
266	3.0	3.7	0.121
267	3.0	3.7	0.047
268	3.0	3.7	0.034
269	2.9	3.7	0.103
270	3.0	3.7	0.257
271	2.9	3.7	0.696
272	3.7	3.7	0.744
273	3.7	3.7	0.748
274	3.6	3.7	0.784
275	3.4	3.7	0.748
276	3.2	3.7	0.725
277	3.1	3.7	0.671
278	3.0	3.7	0.590
279	2.9	3.7	0.538
280	2.9	3.7	0.502
281	2.8	3.7	0.521
282	2.9	3.7	0.647
283	2.9	3.7	0.722
284	2.9	3.7	0.893
285	3.0	3.7	0.917
286	3.0	3.7	0.855
287	3.0	3.7	0.515
288	3.1	3.7	0.323
289	2.3	3.7	0.223
290	2.3	3.7	0.121
291	2.3	3.7	0.047
292	2.3	3.7	0.034
293	2.3	3.7	0.103
294	2.3	3.7	0.257
295	2.3	3.7	0.696
296	3.0	3.7	0.744
297	2.9	3.7	0.748
298	2.9	3.7	0.784
299	2.8	3.7	0.748
300	2.7	3.7	0.725
301	2.5	3.7	0.671
302	2.5	3.7	0.590
303	2.5	3.7	0.538
304	2.4	3.7	0.502
305	2.5	3.7	0.521
306	2.5	3.7	0.647
307	2.5	3.7	0.722
308	2.5	3.7	0.893
309	2.6	3.7	0.917
310	2.7	3.7	0.855
311	2.7	3.7	0.515
312	2.8	3.7	0.323
313	2.1	3.7	0.223
314	2.1	3.7	0.121
315	2.1	3.7	0.047
316	2.0	3.7	0.034
317	2.0	3.6	0.103
318	1.9	3.6	0.257
319	2.0	3.6	0.696
320	2.7	3.6	0.744
321	2.7	3.6	0.748
322	2.7	3.6	0.784
323	2.6	3.6	0.748
324	2.7	3.6	0.725
325	2.6	3.6	0.671
326	2.5	3.6	0.590
327	2.3	3.6	0.538
328	2.2	3.6	0.502
329	2.3	3.6	0.521
330	2.4	3.6	0.647
331	2.5	3.6	0.722
332	2.5	3.6	0.893
333	2.5	3.6	0.917
334	2.6	3.6	0.855
335	2.6	3.6	0.515
336	2.6	3.6	0.323
337	1.9	3.6	0.223
338	2.0	3.6	0.121
339	2.0	3.6	0.047
340	2.1	3.6	0.034
341	2.2	3.6	0.103
342	2.2	3.6	0.257
343	2.2	3.6	0.696
344	3.0	3.6	0.744
345	3.0	3.6	0.748
346	3.1	3.6	0.784
347	3.0	3.6	0.748
348	2.9	3.6	0.725
349	2.9	3.6	0.671
350	3.0	3.6	0.590
351	3.0	3.6	0.538
352	3.0	3.6	0.502
353	3.1	3.6	0.521
354	3.2	3.6	0.647
355	3.3	3.6	0.722
356	3.4	3.6	0.893
357	3.4	3.6	0.917
358	3.5	3.6	0.855
359	3.4	3.6	0.515
360	3.4	3.6	0.323
361	2.7	3.6	0.223
362	2.7	3.6	0.121
363	2.8	3.6	0.047
364	2.8	3.6	0.034
365	2.7	3.6	0.103
366	2.9	3.6	0.257
367	2.9	3.6	0.696
368	3.6	3.5	0.744
369	3.6	3.5	0.748
370	3.7	3.5	0.784
371	3.4	3.5	0.748
372	3.3	3.5	0.725
373	3.2	3.5	0.671
374	3.2	3.5	0.590
375	3.2	3.5	0.538
376	3.4	3.5	0.502
377	3.6	3.5	0.521
378	3.8	3.5	0.647
379	3.9	3.5	0.722
380	3.9	3.5	0.893
381	4.0	3.5	0.917
382	4.2	3.5	0.855
383	4.3	3.5	0.515
384	4.4	3.5	0.323
385	4.0	3.5	0.223
386	4.0	3.5	0.121
387	4.0	3.5	0.047
388	4.0	3.5	0.034
389	4.0	3.5	0.103
390	3.9	3.5	0.257
391	3.9	3.5	0.696
392	4.6	3.5	0.744
393	4.4	3.5	0.748
394	4.2	3.5	0.784
395	4.0	3.5	0.748
396	3.8	3.5	0.725
397	3.5	3.5	0.671
398	3.2	3.5	0.590
399	3.3	3.5	0.538
400	3.2	3.5	0.502
401	3.1	3.5	0.521
402	3.3	3.5	0.647
403	3.2	3.5	0.722
404	3.2	3.5	0.893
405	3.4	3.5	0.917
406	3.3	3.5	0.855
407	3.3	3.5	0.515
408	3.2	3.5	0.323
409	2.3	3.5	0.223
410	2.5	3.5	0.121
411	2.5	3.5	0.047
412	2.6	3.5	0.034
413	2.6	3.5	0.103
414	2.6	3.5	0.257
415	2.7	3.5	0.696
416	3.4	3.5	0.744
417	3.4	3.5	0.748
418	3.3	3.5	0.784
419	3.3	3.4	0.748
420	3.2	3.4	0.725
421	3.1	3.4	0.671
422	3.1	3.4	0.590
423	3.1	3.4	0.538
424	3.2	3.4	0.502
425	3.3	3.4	0.521
426	3.3	3.4	0.647
427	3.4	3.4	0.722
428	3.5	3.4	0.893
429	3.6	3.4	0.917
430	3.7	3.4	0.855
431	3.7	3.4	0.515
432	3.6	3.4	0.323
433	3.0	3.4	0.223
434	3.1	3.4	0.121
435	3.2	3.4	0.047
436	3.3	3.4	0.034
437	3.2	3.4	0.103
438	3.2	3.4	0.257
439	3.1	3.4	0.696
440	3.9	3.4	0.744
441	3.8	3.4	0.748
442	3.8	3.4	0.784
443	3.8	3.4	0.748
444	3.7	3.4	0.725
445	3.6	3.4	0.671
446	3.5	3.4	0.590
447	3.3	3.4	0.538
448	3.4	3.4	0.502
449	3.4	3.4	0.521
450	3.3	3.4	0.647
451	3.4	3.4	0.722
452	3.5	3.4	0.893
453	3.6	3.4	0.917
454	3.7	3.4	0.855
455	3.7	3.4	0.515
456	3.6	3.4	0.323
457	3.0	3.4	0.223
458	3.1	3.4	0.121
459	3.1	3.4	0.047
460	3.2	3.4	0.034
461	3.2	3.4	0.103
462	3.3	3.4	0.257
463	3.3	3.4	0.696
464	3.9	3.4	0.744
465	4.0	3.4	0.748
466	3.8	3.4	0.784
467	3.7	3.4	0.748
468	3.5	3.4	0.725
469	3.4	3.4	0.671
470	3.3	3.4	0.590
471	3.2	3.4	0.538
472	3.1	3.4	0.502
473	3.2	3.4	0.521
474	3.1	3.4	0.647
475	3.2	3.4	0.722
476	3.3	3.4	0.893
477	3.3	3.4	0.917
478	3.3	3.4	0.855
479	3.4	3.4	0.515
480	3.4	3.4	0.323
481	2.7	3.4	0.223
482	2.9	3.4	0.121
483	2.9	3.4	0.047
484	3.0	3.4	0.034
485	3.0	3.4	0.103
486	2.9	3.4	0.257
487	3.0	3.4	0.696
488	3.6	3.4	0.744
489	3.6	3.4	0.748
490	3.4	3.4	0.784
491	3.3	3.4	0.748
492	3.1	3.4	0.725
493	3.1	3.4	0.671
494	3.0	3.4	0.590
495	3.0	3.4	0.538
496	3.0	3.4	0.502
497	3.0	3.4	0.521
498	3.2	3.4	0.647
499	3.2	3.4	0.722
500	3.4	3.4	0.893
501	3.4	3.4	0.917
502	3.5	3.4	0.855
503	3.6	3.4	0.515
504	3.7	3.4	0.323
505	3.1	3.4	0.223
506	3.0	3.4	0.121
507	3.0	3.4	0.047
508	3.0	3.4	0.034
509	3.1	3.4	0.103
510	3.2	3.4	0.257
511	3.3	3.4	0.696
512	4.0	3.4	0.744
513	3.9	3.4	0.748
514	3.8	3.3	0.784
515	3.7	3.3	0.748
516	3.6	3.3	0.725
517	3.5	3.3	0.671
518	3.4	3.3	0.590
519	3.4	3.3	0.538
520	3.5	3.3	0.502
521	3.6	3.3	0.521
522	3.6	3.3	0.647
523	3.7	3.3	0.722
524	3.6	3.3	0.893
525	3.6	3.3	0.917
526	3.7	3.3	0.855
527	3.9	3.3	0.515
528	4.0	3.3	0.323
529	3.3	3.3	0.223
530	3.3	3.3	0.121
531	3.5	3.3	0.047
532	3.4	3.3	0.034
533	3.4	3.3	0.103
534	3.4	3.3	0.257
535	3.5	3.3	0.696
536	4.1	3.3	0.744
537	4.0	3.3	0.748
538	3.9	3.3	0.784
539	3.7	3.3	0.748
540	3.5	3.3	0.725
541	3.3	3.3	0.671
542	3.1	3.3	0.590
543	3.1	3.3	0.538
544	3.2	3.3	0.502
545	3.2	3.3	0.521
546	3.3	3.3	0.647
547	3.3	3.3	0.722
548	3.4	3.3	0.893
549	3.4	3.3	0.917
550	3.6	3.3	0.855
551	3.7	3.3	0.515
552	3.8	3.3	0.323
553	3.1	3.3	0.223
554	3.1	3.3	0.121
555	3.1	3.3	0.047
556	3.1	3.3	0.034
557	3.2	3.3	0.103
558	3.3	3.3	0.257
559	3.2	3.3	0.696
560	3.8	3.3	0.744
561	3.7	3.3	0.748
562	3.6	3.3	0.784
563	3.5	3.3	0.748
564	3.4	3.3	0.725
565	3.3	3.3	0.671
566	3.2	3.3	0.590
567	3.2	3.3	0.538
568	3.2	3.3	0.502
569	3.2	3.3	0.521
570	3.3	3.3	0.647
571	3.3	3.3	0.722
572	3.4	3.3	0.893
573	3.4	3.3	0.917
574	3.4	3.3	0.855
575	3.4	3.3	0.515
576	3.3	3.3	0.323
577	2.6	3.3	0.223
578	2.7	3.3	0.121
579	2.7	3.3	0.047
580	2.6	3.3	0.034
581	2.5	3.3	0.103
582	2.5	3.3	0.257
583	2.5	3.3	0.696
584	3.1	3.3	0.744
585	3.0	3.3	0.748
586	3.0	3.3	0.784
587	2.8	3.3	0.748
588	2.6	3.3	0.725
589	2.5	3.3	0.671
590	2.4	3.3	0.590
591	2.3	3.3	0.538
592	2.3	3.3	0.502
593	2.3	3.3	0.521
594	2.3	3.3	0.647
595	2.3	3.3	0.722
596	2.3	3.3	0.893
597	2.3	3.3	0.917
598	2.4	3.3	0.855
599	2.5	3.3	0.515
600	2.5	3.3	0.323
601	1.8	3.3	0.223
602	1.9	3.3	0.121
603	2.1	3.3	0.047
604	2.2	3.3	0.034
605	2.3	3.3	0.103
606	2.2	3.3	0.257
607	2.2	3.2	0.696
608	2.9	3.2	0.744
609	3.0	3.2	0.748
610	3.0	3.2	0.784
611	2.9	3.2	0.748
612	2.9	3.2	0.725
613	3.0	3.2	0.671
614	2.9	3.2	0.590
615	2.8	3.2	0.538
616	2.7	3.2	0.502
617	2.9	3.2	0.521
618	3.0	3.2	0.647
619	3.2	3.2	0.722
620	3.2	3.2	0.893
621	3.4	3.2	0.917
622	3.5	3.2	0.855
623	3.6	3.2	0.515
624	3.6	3.2	0.323
625	3.1	3.2	0.223
626	3.1	3.2	0.121
627	3.1	3.2	0.047
628	3.0	3.2	0.034
629	3.0	3.2	0.103
630	3.0	3.2	0.257
631	2.9	3.2	0.696
632	3.6	3.2	0.744
633	3.5	3.2	0.748
634	3.4	3.2	0.784
635	3.2	3.2	0.748
636	3.0	3.2	0.725
637	2.9	3.2	0.671
638	2.9	3.2	0.590
639	2.9	3.2	0.538
640	3.0	3.2	0.502
641	2.9	3.2	0.521
642	3.0	3.2	0.647
643	3.2	3.2	0.722
644	3.2	3.2	0.893
645	3.2	3.2	0.917
646	3.1	3.2	0.855
647	3.1	3.2	0.515
648	3.0	3.2	0.323
649	2.3	3.2	0.223
650	2.5	3.2	0.121
651	2.5	3.2	0.047
652	2.5	3.2	0.034
653	2.6	3.2	0.103
654	2.7	3.2	0.257
655	2.7	3.2	0.696
656	3.3	3.2	0.744
657	3.3	3.2	0.748
658	3.2	3.2	0.784
659	3.2	3.2	0.748
660	3.1	3.2	0.725
661	3.1	3.2	0.671
662	3.1	3.2	0.590
663	3.1	3.2	0.538
664	3.1	3.2	0.502
665	3.2	3.2	0.521
666	3.4	3.2	0.647
667	3.5	3.2	0.722
668	3.7	3.2	0.893
669	3.8	3.2	0.917
670	4.0	3.2	0.855
671	4.2	3.2	0.515
672	4.2	3.2	0.323
673	3.6	3.2	0.223
674	3.4	3.2	0.121
675	3.4	3.2	0.047
676	3.3	3.2	0.034
677	3.0	3.2	0.103
678	2.8	3.2	0.257
679	2.7	3.2	0.696
680	3.4	3.2	0.744
681	3.4	3.2	0.748
682	3.3	3.2	0.784
683	3.1	3.2	0.748
684	3.0	3.2	0.725
685	2.9	3.2	0.671
686	2.9	3.2	0.590
687	2.9	3.2	0.538
688	2.6	3.2	0.502
689	2.5	3.2	0.521
690	2.4	3.2	0.647
691	2.3	3.2	0.722
692	2.2	3.2	0.893
693	2.0	3.2	0.917
694	1.9	3.2	0.855
695	1.8	3.2	0.515
696	1.7	3.2	0.323
697	1.0	3.2	0.223
698	0.9	3.2	0.121
699	1.0	3.2	0.047
700	1.1	3.2	0.034
701	1.1	3.2	0.103
702	1.1	3.2	0.257
703	1.2	3.2	0.696
704	2.0	3.2	0.744
705	1.9	3.2	0.748
706	1.9	3.2	0.784
707	1.9	3.2	0.748
708	1.7	3.2	0.725
709	1.7	3.2	0.671
710	1.7	3.2	0.590
711	1.8	3.2	0.538
712	1.7	3.1	0.502
713	1.7	3.1	0.521
714	1.6	3.1	0.647
715	1.6	3.1	0.722
716	1.6	3.1	0.893
717	1.6	3.1	0.917
718	1.5	3.1	0.855
719	1.5	3.1	0.515
720	1.6	3.1	0.323
721	1.0	3.1	0.223
