# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.3	2.4	0.019
2	1.3	2.4	0.010
3	1.4	2.3	0.004
4	1.4	2.3	0.003
5	1.4	2.3	0.009
6	1.4	2.3	0.022
7	1.4	2.3	0.060
8	1.7	2.3	0.065
9	1.7	2.3	0.065
10	1.6	2.3	0.068
11	1.6	2.3	0.065
12	1.5	2.2	0.063
13	1.4	2.2	0.058
14	1.5	2.2	0.051
15	1.5	2.2	0.047
16	1.5	2.2	0.044
17	1.6	2.2	0.045
18	1.7	2.2	0.056
19	1.8	2.2	0.063
20	1.9	2.2	0.078
21	1.9	2.2	0.080
22	1.9	2.2	0.074
23	2.0	2.2	0.045
24	2.1	2.2	0.028
25	1.8	2.2	0.019
26	1.7	2.2	0.010
27	1.8	2.2	0.004
28	1.8	2.2	0.003
29	1.7	2.2	0.009
30	1.7	2.2	0.022
31	1.7	2.2	0.060
32	2.1	2.2	0.065
33	2.0	2.2	0.065
34	2.0	2.2	0.068
35	1.9	2.2	0.065
36	1.9	2.2	0.063
37	1.8	2.2	0.058
38	1.8	2.2	0.051
39	1.7	2.2	0.047
40	1.8	2.2	0.044
41	1.9	2.2	0.045
42	1.9	2.1	0.056
43	1.9	2.1	0.063
44	2.0	2.1	0.078
45	2.0	2.1	0.080
46	2.0	2.1	0.074
47	2.0	2.1	0.045
48	2.0	2.1	0.028
49	1.7	2.1	0.019
50	1.7	2.1	0.010
51	1.7	2.1	0.004
52	1.7	2.1	0.003
53	1.7	2.1	0.009
54	1.7	2.1	0.022
55	1.8	2.1	0.060
56	2.1	2.1	0.065
57	2.0	2.1	0.065
58	2.1	2.1	0.068
59	2.0	2.1	0.065
60	2.0	2.1	0.063
61	1.9	2.1	0.058
62	1.9	2.1	0.051
63	1.8	2.1	0.047
64	1.8	2.1	0.044
65	1.8	2.1	0.045
66	1.9	2.1	0.056
67	2.0	2.1	0.063
68	2.0	2.1	0.078
69	2.1	2.1	0.080
70	2.1	2.1	0.074
71	2.2	2.0	0.045
72	2.2	2.0	0.028
73	1.9	2.0	0.019
74	1.9	2.0	0.010
75	1.9	2.0	0.004
76	1.9	2.0	0.003
77	1.9	2.0	0.009
78	1.9	2.0	0.022
79	1.8	2.0	0.060
80	2.1	2.0	0.065
81	2.0	2.0	0.065
82	1.9	2.0	0.068
83	1.7	2.0	0.065
84	1.6	2.0	0.063
85	1.5	2.0	0.058
86	1.4	2.0	0.051
87	1.5	2.0	0.047
88	1.4	2.0	0.044
89	1.5	2.0	0.045
90	1.5	2.0	0.056
91	1.5	2.0	0.063
92	1.4	2.0	0.078
93	1.5	2.0	0.080
94	1.5	2.0	0.074
95	1.5	2.0	0.045
96	1.5	2.0	0.028
97	1.2	2.0	0.019
98	1.2	2.0	0.010
99	1.3	2.0	0.004
100	1.3	2.0	0.003
101	1.4	2.0	0.009
102	1.4	2.0	0.022
103	1.5	2.0	0.060
104	1.8	2.0	0.065
105	1.8	2.0	0.065
106	1.8	2.0	0.068
107	1.9	2.0	0.065
108	1.9	2.0	0.063
109	1.9	2.0	0.058
110	1.9	2.0	0.051
111	2.0	2.0	0.047
112	2.0	2.0	0.044
113	2.1	2.0	0.045
114	2.2	2.0	0.056
115	2.2	2.0	0.063
116	2.2	2.0	0.078
117	2.2	2.0	0.080
118	2.3	2.0	0.074
119	2.4	2.0	0.045
120	2.4	2.0	0.028
121	2.2	2.0	0.019
122	2.2	2.0	0.010
123	2.1	2.0	0.004
124	2.1	2.0	0.003
125	2.0	2.0	0.009
126	1.9	2.0	0.022
127	1.9	2.0	0.060
128	2.2	2.0	0.065
129	2.2	2.0	0.065
130	2.1	2.0	0.068
131	2.0	2.0	0.065
132	1.9	1.9	0.063
133	1.7	1.9	0.058
134	1.6	1.9	0.051
135	1.6	1.9	0.047
136	1.5	1.9	0.044
137	1.5	1.9	0.045
138	1.5	1.9	0.056
139	1.5	1.9	0.063
140	1.5	1.9	0.078
141	1.5	1.9	0.080
142	1.5	1.9	0.074
143	1.5	1.9	0.045
144	1.5	1.9	0.028
145	1.1	1.9	0.019
146	1.2	1.9	0.010
147	1.2	1.9	0.004
148	1.2	1.9	0.003
149	1.2	1.9	0.009
150	1.2	1.9	0.022
151	1.2	1.9	0.060
152	1.6	1.9	0.065
153	1.6	1.9	0.065
154	1.5	1.9	0.068
155	1.4	1.9	0.065
156	1.3	1.9	0.063
157	1.3	1.9	0.058
158	1.2	1.9	0.051
159	1.1	1.9	0.047
160	1.1	1.9	0.044
161	1.2	1.9	0.045
162	1.3	1.9	0.056
163	1.4	1.9	0.063
164	1.4	1.9	0.078
