# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.0	4.7	0.228
2	3.1	4.6	0.123
3	3.2	4.6	0.048
4	3.1	4.5	0.035
5	3.2	4.5	0.105
6	3.2	4.5	0.263
7	3.1	4.4	0.711
8	3.1	4.4	0.761
9	3.1	4.3	0.764
10	3.0	4.3	0.801
11	3.0	4.3	0.764
12	2.8	4.3	0.741
13	2.7	4.3	0.686
14	2.7	4.3	0.603
15	2.7	4.3	0.549
16	2.8	4.3	0.513
17	3.0	4.3	0.533
18	3.2	4.3	0.661
19	3.4	4.3	0.737
20	3.5	4.3	0.912
21	3.5	4.2	0.937
22	3.6	4.2	0.874
23	3.7	4.2	0.526
24	3.8	4.2	0.330
25	4.0	4.2	0.228
26	3.9	4.2	0.123
27	3.9	4.2	0.048
28	3.9	4.2	0.035
29	3.8	4.2	0.105
30	3.8	4.2	0.263
31	3.9	4.2	0.711
32	3.9	4.2	0.761
33	3.8	4.2	0.764
34	3.7	4.2	0.801
35	3.6	4.2	0.764
36	3.5	4.2	0.741
37	3.4	4.2	0.686
38	3.4	4.2	0.603
39	3.2	4.2	0.549
40	3.3	4.2	0.513
41	3.5	4.2	0.533
42	3.6	4.2	0.661
43	3.6	4.2	0.737
44	3.7	4.1	0.912
45	3.7	4.1	0.937
46	3.7	4.1	0.874
47	3.7	4.1	0.526
48	3.7	4.1	0.330
49	3.7	4.1	0.228
50	3.7	4.1	0.123
51	3.7	4.1	0.048
52	3.8	4.1	0.035
53	3.8	4.1	0.105
54	3.8	4.1	0.263
55	3.9	4.1	0.711
56	3.9	4.1	0.761
57	3.8	4.1	0.764
58	3.8	4.1	0.801
59	3.7	4.1	0.764
60	3.7	4.1	0.741
61	3.5	4.1	0.686
62	3.5	4.1	0.603
63	3.4	4.1	0.549
64	3.4	4.1	0.513
65	3.4	4.1	0.533
66	3.6	4.1	0.661
67	3.7	4.1	0.737
68	3.8	4.1	0.912
69	3.9	4.1	0.937
70	4.0	4.1	0.874
71	4.0	4.0	0.526
72	4.1	4.0	0.330
73	4.2	4.0	0.228
74	4.2	4.0	0.123
75	4.1	4.0	0.048
76	4.1	4.0	0.035
77	4.1	4.0	0.105
78	4.1	4.0	0.263
79	4.0	4.0	0.711
80	3.9	4.0	0.761
81	3.8	4.0	0.764
82	3.6	4.0	0.801
83	3.3	4.0	0.764
84	3.0	4.0	0.741
85	2.8	4.0	0.686
86	2.7	4.0	0.603
87	2.7	4.0	0.549
88	2.7	3.9	0.513
89	2.7	3.9	0.533
90	2.8	3.9	0.661
91	2.8	3.9	0.737
92	2.7	3.9	0.912
93	2.8	3.9	0.937
94	2.8	3.9	0.874
95	2.9	3.9	0.526
96	2.9	3.9	0.330
97	2.9	3.9	0.228
98	2.9	3.9	0.123
99	3.0	3.9	0.048
100	3.1	3.9	0.035
101	3.2	3.9	0.105
102	3.2	3.9	0.263
103	3.3	3.9	0.711
104	3.4	3.9	0.761
105	3.4	3.9	0.764
106	3.4	3.9	0.801
107	3.5	3.9	0.764
108	3.5	3.8	0.741
109	3.5	3.8	0.686
110	3.6	3.8	0.603
111	3.8	3.8	0.549
112	3.8	3.8	0.513
113	4.0	3.8	0.533
114	4.1	3.8	0.661
115	4.1	3.8	0.737
116	4.1	3.8	0.912
117	4.2	3.8	0.937
118	4.3	3.8	0.874
119	4.5	3.8	0.526
120	4.5	3.8	0.330
121	4.6	3.8	0.228
122	4.7	3.8	0.123
123	4.6	3.8	0.048
124	4.5	3.8	0.035
125	4.3	3.8	0.105
126	4.2	3.8	0.263
127	4.2	3.8	0.711
128	4.1	3.8	0.761
129	4.1	3.8	0.764
130	3.9	3.7	0.801
131	3.7	3.7	0.764
132	3.5	3.7	0.741
133	3.2	3.7	0.686
134	3.0	3.7	0.603
135	2.9	3.7	0.549
136	2.8	3.7	0.513
137	2.8	3.7	0.533
138	2.9	3.7	0.661
139	2.7	3.7	0.737
140	2.7	3.7	0.912
141	2.8	3.7	0.937
142	2.8	3.7	0.874
143	2.8	3.7	0.526
144	2.7	3.7	0.330
145	2.7	3.7	0.228
146	2.8	3.7	0.123
147	2.8	3.7	0.048
148	2.8	3.7	0.035
149	2.9	3.7	0.105
150	2.9	3.7	0.263
151	2.9	3.7	0.711
152	2.9	3.7	0.761
153	2.9	3.7	0.764
154	2.7	3.7	0.801
155	2.6	3.7	0.764
156	2.5	3.7	0.741
157	2.4	3.7	0.686
158	2.2	3.7	0.603
159	2.1	3.7	0.549
160	2.1	3.7	0.513
161	2.3	3.7	0.533
162	2.4	3.7	0.661
163	2.6	3.7	0.737
164	2.7	3.7	0.912
165	2.8	3.7	0.937
166	2.8	3.7	0.874
167	3.0	3.7	0.526
168	3.1	3.7	0.330
169	3.1	3.7	0.228
170	3.1	3.7	0.123
171	3.1	3.7	0.048
172	3.0	3.7	0.035
173	3.0	3.7	0.105
174	2.9	3.7	0.263
175	2.9	3.6	0.711
176	2.8	3.6	0.761
177	2.8	3.6	0.764
178	2.7	3.6	0.801
179	2.6	3.6	0.764
180	2.5	3.6	0.741
181	2.5	3.6	0.686
182	2.4	3.6	0.603
183	2.5	3.6	0.549
184	2.5	3.6	0.513
185	2.4	3.6	0.533
186	2.5	3.6	0.661
187	2.5	3.6	0.737
188	2.4	3.6	0.912
189	2.3	3.6	0.937
190	2.3	3.6	0.874
191	2.2	3.6	0.526
192	2.1	3.6	0.330
193	2.0	3.6	0.228
194	2.0	3.6	0.123
195	2.1	3.6	0.048
196	2.1	3.6	0.035
197	2.0	3.6	0.105
198	1.9	3.6	0.263
199	2.0	3.6	0.711
200	2.0	3.6	0.761
201	2.0	3.6	0.764
202	1.9	3.6	0.801
203	1.8	3.6	0.764
204	1.9	3.6	0.741
205	1.8	3.6	0.686
206	1.7	3.6	0.603
207	1.5	3.6	0.549
208	1.5	3.6	0.513
209	1.5	3.6	0.533
210	1.5	3.6	0.661
211	1.5	3.6	0.737
212	1.5	3.6	0.912
213	1.5	3.6	0.937
214	1.5	3.6	0.874
215	1.4	3.5	0.526
216	1.4	3.5	0.330
217	1.4	3.5	0.228
218	1.4	3.5	0.123
219	1.5	3.5	0.048
220	1.6	3.5	0.035
221	1.7	3.5	0.105
222	1.7	3.5	0.263
223	1.9	3.5	0.711
224	1.9	3.5	0.761
225	1.9	3.5	0.764
226	1.9	3.5	0.801
227	1.9	3.5	0.764
228	1.9	3.5	0.741
229	1.8	3.5	0.686
230	1.9	3.5	0.603
231	1.8	3.5	0.549
232	2.0	3.5	0.513
233	2.1	3.5	0.533
234	2.3	3.5	0.661
235	2.3	3.5	0.737
236	2.5	3.5	0.912
237	2.6	3.5	0.937
238	2.8	3.5	0.874
239	3.0	3.5	0.526
240	3.1	3.5	0.330
241	3.2	3.5	0.228
242	3.2	3.5	0.123
243	3.2	3.5	0.048
244	3.2	3.5	0.035
245	3.2	3.5	0.105
246	3.2	3.5	0.263
247	3.2	3.5	0.711
248	3.1	3.5	0.761
249	3.2	3.5	0.764
250	3.0	3.5	0.801
251	3.0	3.5	0.764
252	2.8	3.5	0.741
253	2.7	3.5	0.686
254	2.5	3.5	0.603
255	2.6	3.5	0.549
256	2.7	3.5	0.513
257	2.9	3.5	0.533
258	2.9	3.5	0.661
259	2.9	3.5	0.737
260	3.0	3.5	0.912
261	3.1	3.5	0.937
262	3.2	3.5	0.874
263	3.2	3.5	0.526
264	3.2	3.5	0.330
265	3.2	3.5	0.228
266	3.3	3.5	0.123
267	3.3	3.5	0.048
268	3.3	3.5	0.035
269	3.2	3.5	0.105
270	3.3	3.5	0.263
271	3.2	3.4	0.711
272	3.2	3.4	0.761
273	3.3	3.4	0.764
274	3.2	3.4	0.801
275	3.0	3.4	0.764
276	2.9	3.4	0.741
277	2.7	3.4	0.686
278	2.6	3.4	0.603
279	2.5	3.4	0.549
280	2.5	3.4	0.513
281	2.5	3.4	0.533
282	2.6	3.4	0.661
283	2.6	3.4	0.737
284	2.6	3.4	0.912
285	2.7	3.4	0.937
286	2.7	3.4	0.874
287	2.7	3.4	0.526
288	2.7	3.4	0.330
289	2.6	3.4	0.228
290	2.6	3.4	0.123
291	2.6	3.4	0.048
292	2.6	3.4	0.035
293	2.7	3.4	0.105
294	2.7	3.4	0.263
295	2.6	3.4	0.711
296	2.6	3.4	0.761
297	2.6	3.4	0.764
298	2.6	3.4	0.801
299	2.5	3.4	0.764
300	2.4	3.4	0.741
301	2.3	3.4	0.686
302	2.2	3.4	0.603
303	2.2	3.4	0.549
304	2.1	3.4	0.513
305	2.2	3.4	0.533
306	2.2	3.4	0.661
307	2.2	3.4	0.737
308	2.2	3.4	0.912
309	2.3	3.4	0.937
310	2.4	3.4	0.874
311	2.4	3.4	0.526
312	2.4	3.4	0.330
313	2.5	3.4	0.228
314	2.5	3.4	0.123
315	2.5	3.4	0.048
316	2.4	3.4	0.035
317	2.3	3.4	0.105
318	2.3	3.4	0.263
319	2.4	3.4	0.711
320	2.4	3.4	0.761
321	2.4	3.4	0.764
322	2.4	3.4	0.801
323	2.3	3.4	0.764
324	2.4	3.4	0.741
325	2.3	3.4	0.686
326	2.2	3.4	0.603
327	2.1	3.4	0.549
328	2.0	3.4	0.513
329	2.1	3.4	0.533
330	2.1	3.4	0.661
331	2.2	3.4	0.737
332	2.2	3.4	0.912
333	2.3	3.4	0.937
334	2.3	3.3	0.874
335	2.3	3.3	0.526
