# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.8	7.2	0.058
2	3.9	7.1	0.031
3	4.1	6.9	0.012
4	4.0	6.9	0.009
5	4.1	6.8	0.027
6	4.1	6.8	0.067
7	4.0	6.8	0.181
8	4.9	6.8	0.194
9	5.0	6.7	0.195
10	4.7	6.7	0.204
11	4.7	6.7	0.195
12	4.4	6.7	0.189
13	4.3	6.7	0.175
14	4.3	6.6	0.154
15	4.3	6.6	0.140
16	4.4	6.6	0.131
17	4.7	6.6	0.136
18	5.1	6.6	0.168
19	5.4	6.6	0.188
20	5.5	6.6	0.232
21	5.6	6.6	0.239
22	5.7	6.6	0.223
23	5.9	6.6	0.134
24	6.1	6.6	0.084
25	5.3	6.5	0.058
26	5.2	6.5	0.031
27	5.2	6.5	0.012
28	5.2	6.5	0.009
29	5.1	6.5	0.027
30	5.0	6.5	0.067
31	5.2	6.5	0.181
32	6.2	6.4	0.194
33	6.0	6.4	0.195
34	5.9	6.4	0.204
35	5.7	6.4	0.195
36	5.5	6.4	0.189
37	5.4	6.4	0.175
38	5.3	6.4	0.154
39	5.1	6.4	0.140
40	5.2	6.4	0.131
41	5.5	6.4	0.136
42	5.7	6.4	0.168
43	5.8	6.4	0.188
44	5.8	6.3	0.232
45	5.9	6.3	0.239
46	5.9	6.3	0.223
47	5.9	6.3	0.134
48	5.9	6.3	0.084
49	4.9	6.3	0.058
50	4.9	6.3	0.031
51	5.0	6.2	0.012
52	5.1	6.2	0.009
53	5.1	6.2	0.027
54	5.1	6.2	0.067
55	5.2	6.2	0.181
56	6.1	6.2	0.194
57	6.0	6.2	0.195
58	6.1	6.2	0.204
59	5.9	6.2	0.195
60	5.9	6.2	0.189
61	5.6	6.2	0.175
62	5.5	6.1	0.154
63	5.4	6.1	0.140
64	5.4	6.1	0.131
65	5.4	6.1	0.136
66	5.6	6.1	0.168
67	5.8	6.1	0.188
68	6.0	6.1	0.232
69	6.1	6.1	0.239
70	6.3	6.1	0.223
71	6.4	6.1	0.134
72	6.5	6.1	0.084
73	5.6	6.0	0.058
74	5.6	6.0	0.031
75	5.6	6.0	0.012
76	5.6	6.0	0.009
77	5.6	6.0	0.027
78	5.6	6.0	0.067
79	5.4	6.0	0.181
80	6.2	6.0	0.194
81	6.0	6.0	0.195
82	5.7	6.0	0.204
83	5.2	6.0	0.195
84	4.8	6.0	0.189
85	4.4	6.0	0.175
86	4.2	6.0	0.154
87	4.3	6.0	0.140
88	4.3	6.0	0.131
89	4.3	5.9	0.136
90	4.4	5.9	0.168
91	4.4	5.9	0.188
92	4.3	5.9	0.232
93	4.4	5.9	0.239
94	4.5	5.9	0.223
95	4.5	5.9	0.134
96	4.5	5.9	0.084
97	3.6	5.9	0.058
98	3.6	5.9	0.031
99	3.8	5.9	0.012
100	3.9	5.9	0.009
101	4.1	5.9	0.027
102	4.1	5.9	0.067
103	4.3	5.9	0.181
104	5.3	5.9	0.194
105	5.4	5.9	0.195
106	5.4	5.9	0.204
107	5.5	5.9	0.195
108	5.6	5.9	0.189
109	5.6	5.9	0.175
110	5.7	5.9	0.154
111	6.0	5.9	0.140
112	6.0	5.9	0.131
113	6.3	5.9	0.136
114	6.5	5.9	0.168
115	6.6	5.9	0.188
116	6.4	5.8	0.232
117	6.6	5.8	0.239
118	6.9	5.8	0.223
119	7.1	5.8	0.134
120	7.2	5.8	0.084
121	6.4	5.8	0.058
122	6.4	5.8	0.031
123	6.2	5.8	0.012
124	6.2	5.8	0.009
125	5.9	5.8	0.027
126	5.7	5.8	0.067
127	5.6	5.8	0.181
128	6.5	5.8	0.194
129	6.4	5.8	0.195
130	6.2	5.8	0.204
131	5.8	5.8	0.195
132	5.5	5.8	0.189
133	5.1	5.8	0.175
134	4.8	5.8	0.154
135	4.6	5.8	0.140
136	4.4	5.8	0.131
137	4.4	5.8	0.136
138	4.5	5.7	0.168
139	4.4	5.7	0.188
140	4.3	5.7	0.232
141	4.4	5.7	0.239
142	4.4	5.7	0.223
143	4.4	5.7	0.134
144	4.3	5.7	0.084
145	3.3	5.7	0.058
146	3.4	5.7	0.031
147	3.4	5.7	0.012
148	3.5	5.7	0.009
149	3.7	5.7	0.027
150	3.6	5.7	0.067
151	3.6	5.7	0.181
152	4.7	5.7	0.194
153	4.6	5.7	0.195
154	4.3	5.7	0.204
155	4.2	5.7	0.195
156	4.0	5.7	0.189
157	3.8	5.6	0.175
158	3.5	5.6	0.154
159	3.4	5.6	0.140
160	3.3	5.6	0.131
161	3.6	5.6	0.136
162	3.8	5.6	0.168
163	4.1	5.6	0.188
164	4.2	5.6	0.232
165	4.4	5.6	0.239
166	4.5	5.6	0.223
167	4.8	5.6	0.134
168	4.8	5.6	0.084
169	4.0	5.6	0.058
170	3.9	5.6	0.031
171	4.0	5.6	0.012
172	3.8	5.6	0.009
173	3.7	5.6	0.027
174	3.6	5.6	0.067
175	3.6	5.6	0.181
176	4.5	5.6	0.194
177	4.4	5.6	0.195
178	4.3	5.6	0.204
179	4.1	5.6	0.195
180	3.9	5.6	0.189
181	4.0	5.6	0.175
182	3.8	5.6	0.154
183	3.9	5.6	0.140
184	3.9	5.6	0.131
185	3.9	5.6	0.136
186	3.9	5.6	0.168
187	4.0	5.6	0.188
188	3.8	5.6	0.232
189	3.7	5.6	0.239
190	3.6	5.6	0.223
191	3.5	5.6	0.134
192	3.3	5.6	0.084
193	2.2	5.6	0.058
194	2.2	5.6	0.031
195	2.3	5.5	0.012
196	2.4	5.5	0.009
197	2.2	5.5	0.027
198	2.1	5.5	0.067
199	2.2	5.5	0.181
200	3.1	5.5	0.194
201	3.2	5.5	0.195
202	3.0	5.5	0.204
203	2.9	5.5	0.195
204	3.0	5.5	0.189
205	2.9	5.5	0.175
206	2.7	5.5	0.154
207	2.4	5.5	0.140
208	2.4	5.5	0.131
209	2.4	5.5	0.136
210	2.3	5.5	0.168
211	2.3	5.5	0.188
212	2.4	5.5	0.232
213	2.3	5.5	0.239
214	2.3	5.5	0.223
215	2.3	5.5	0.134
216	2.1	5.5	0.084
