# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	17.8	33.9	2.356
2	18.3	33.7	1.273
3	19.2	32.4	0.499
4	18.9	31.9	0.361
5	19.2	31.7	1.083
6	19.3	31.7	2.717
7	18.9	31.5	7.344
8	23.2	31.3	7.860
9	23.4	31.2	7.894
10	22.0	31.1	8.272
11	22.1	31.1	7.894
12	20.9	31.0	7.653
13	20.2	31.0	7.086
14	20.3	31.0	6.226
15	20.3	30.9	5.675
16	20.9	30.8	5.297
17	22.2	30.8	5.503
18	24.0	30.8	6.828
19	25.6	30.8	7.619
20	26.0	30.7	9.425
21	26.3	30.7	9.683
22	27.1	30.5	9.029
23	27.7	30.5	5.435
24	28.7	30.5	3.405
25	25.1	30.4	2.356
26	24.4	30.4	1.273
27	24.5	30.4	0.499
28	24.6	30.4	0.361
29	24.2	30.4	1.083
30	23.8	30.3	2.717
31	24.3	30.2	7.344
32	29.2	30.2	7.860
33	28.4	30.2	7.894
34	27.9	30.2	8.272
35	27.0	30.2	7.894
36	25.9	30.1	7.653
37	25.3	30.0	7.086
38	25.1	29.9	6.226
39	24.2	29.9	5.675
40	24.7	29.8	5.297
41	25.8	29.8	5.503
42	27.0	29.6	6.828
43	27.2	29.6	7.619
44	27.3	29.6	9.425
45	27.6	29.5	9.683
46	27.7	29.5	9.029
47	27.8	29.4	5.435
48	27.8	29.4	3.405
49	23.3	29.4	2.356
50	23.2	29.3	1.273
51	23.4	29.2	0.499
52	23.9	29.2	0.361
53	24.2	29.2	1.083
54	23.8	29.1	2.717
55	24.7	29.1	7.344
56	28.8	29.0	7.860
57	28.5	29.0	7.894
58	28.7	28.9	8.272
59	27.9	28.8	7.894
60	27.7	28.8	7.653
61	26.5	28.8	7.086
62	25.8	28.7	6.226
63	25.4	28.7	5.675
64	25.3	28.7	5.297
65	25.6	28.7	5.503
66	26.6	28.7	6.828
67	27.5	28.6	7.619
68	28.1	28.6	9.425
69	29.0	28.5	9.683
70	29.6	28.4	9.029
71	30.2	28.4	5.435
72	30.7	28.4	3.405
73	26.5	28.3	2.356
74	26.5	28.2	1.273
75	26.2	28.2	0.499
76	26.4	28.2	0.361
77	26.4	28.1	1.083
78	26.2	28.1	2.717
79	25.6	28.0	7.344
80	29.1	27.9	7.860
81	28.2	27.9	7.894
82	26.8	27.9	8.272
83	24.4	27.9	7.894
84	22.5	27.9	7.653
85	20.7	27.9	7.086
86	20.1	27.9	6.226
87	20.3	27.8	5.675
88	20.1	27.8	5.297
89	20.5	27.8	5.503
90	20.7	27.7	6.828
91	20.6	27.7	7.619
92	20.1	27.7	9.425
93	20.8	27.7	9.683
94	21.1	27.7	9.029
95	21.4	27.7	5.435
96	21.4	27.7	3.405
97	16.9	27.6	2.356
98	17.0	27.6	1.273
99	18.0	27.6	0.499
100	18.5	27.6	0.361
101	19.1	27.5	1.083
102	19.5	27.5	2.717
103	20.3	27.5	7.344
104	25.1	27.5	7.860
105	25.7	27.5	7.894
106	25.6	27.5	8.272
107	26.0	27.5	7.894
108	26.3	27.5	7.653
109	26.3	27.4	7.086
110	27.0	27.4	6.226
111	28.4	27.4	5.675
112	28.2	27.4	5.297
113	29.5	27.4	5.503
114	30.8	27.3	6.828
115	31.0	27.3	7.619
116	30.4	27.3	9.425
117	31.2	27.3	9.683
118	32.4	27.2	9.029
119	33.7	27.2	5.435
120	33.9	27.2	3.405
121	30.2	27.2	2.356
122	30.2	27.2	1.273
123	29.5	27.2	0.499
124	29.4	27.1	0.361
125	27.9	27.1	1.083
126	26.9	27.0	2.717
127	26.6	27.0	7.344
128	30.8	27.0	7.860
129	30.4	27.0	7.894
130	29.2	27.0	8.272
131	27.5	27.0	7.894
132	26.1	27.0	7.653
133	24.0	27.0	7.086
134	22.5	26.9	6.226
135	21.8	26.9	5.675
136	20.7	26.9	5.297
137	20.8	26.9	5.503
138	21.4	26.9	6.828
139	20.5	26.9	7.619
140	20.4	26.8	9.425
141	20.6	26.8	9.683
142	20.6	26.7	9.029
143	20.6	26.7	5.435
144	20.5	26.7	3.405
145	15.7	26.7	2.356
146	16.1	26.7	1.273
147	16.3	26.6	0.499
148	16.5	26.6	0.361
149	17.4	26.6	1.083
150	16.9	26.6	2.717
151	17.0	26.6	7.344
152	22.0	26.6	7.860
153	21.6	26.6	7.894
154	20.3	26.6	8.272
155	19.7	26.5	7.894
156	18.7	26.5	7.653
157	18.0	26.5	7.086
158	16.4	26.5	6.226
159	15.8	26.5	5.675
160	15.7	26.5	5.297
161	17.2	26.5	5.503
162	18.1	26.5	6.828
163	19.6	26.4	7.619
164	19.8	26.4	9.425
165	20.9	26.4	9.683
166	21.2	26.4	9.029
167	22.5	26.4	5.435
168	22.8	26.4	3.405
169	18.8	26.3	2.356
170	18.6	26.3	1.273
171	18.8	26.3	0.499
172	18.0	26.3	0.361
173	17.7	26.3	1.083
174	16.8	26.3	2.717
175	16.8	26.3	7.344
176	21.0	26.2	7.860
177	20.9	26.2	7.894
178	20.4	26.2	8.272
179	19.3	26.2	7.894
180	18.3	26.2	7.653
181	18.7	26.1	7.086
182	18.2	26.1	6.226
183	18.6	26.1	5.675
184	18.5	26.1	5.297
185	18.3	26.1	5.503
186	18.5	26.1	6.828
187	19.0	26.1	7.619
188	17.9	26.1	9.425
189	17.3	26.1	9.683
190	17.2	26.1	9.029
191	16.4	26.0	5.435
192	15.8	26.0	3.405
193	10.3	26.0	2.356
194	10.4	26.0	1.273
195	11.0	26.0	0.499
196	11.1	26.0	0.361
197	10.5	26.0	1.083
198	9.7	26.0	2.717
199	10.4	25.9	7.344
200	14.7	25.9	7.860
201	15.1	25.9	7.894
202	13.9	25.8	8.272
203	13.7	25.8	7.894
204	14.0	25.8	7.653
205	13.7	25.8	7.086
206	12.6	25.8	6.226
207	11.4	25.7	5.675
208	11.1	25.7	5.297
209	11.3	25.7	5.503
210	10.9	25.7	6.828
211	11.1	25.7	7.619
212	11.1	25.6	9.425
213	11.0	25.6	9.683
214	11.0	25.6	9.029
215	10.8	25.6	5.435
216	10.1	25.6	3.405
217	5.8	25.6	2.356
218	6.2	25.6	1.273
219	6.7	25.5	0.499
220	7.2	25.5	0.361
221	7.8	25.5	1.083
222	8.5	25.5	2.717
223	9.3	25.5	7.344
224	14.1	25.5	7.860
225	14.0	25.5	7.894
226	14.4	25.5	8.272
227	14.4	25.5	7.894
228	14.1	25.5	7.653
229	13.7	25.5	7.086
230	14.0	25.4	6.226
231	13.7	25.4	5.675
232	15.1	25.4	5.297
233	16.0	25.4	5.503
234	17.3	25.4	6.828
235	17.4	25.4	7.619
236	18.4	25.4	9.425
237	19.7	25.3	9.683
238	21.2	25.3	9.029
239	22.4	25.3	5.435
240	23.2	25.3	3.405
241	19.5	25.3	2.356
242	19.5	25.3	1.273
243	19.6	25.3	0.499
244	19.6	25.3	0.361
245	19.5	25.2	1.083
246	19.3	25.2	2.717
247	19.2	25.2	7.344
248	23.3	25.1	7.860
249	23.7	25.1	7.894
250	22.6	25.1	8.272
251	22.7	25.1	7.894
252	20.8	25.1	7.653
253	20.3	25.1	7.086
254	18.9	25.1	6.226
255	19.2	25.0	5.675
256	19.9	25.0	5.297
257	21.6	25.0	5.503
258	21.5	25.0	6.828
259	21.8	25.0	7.619
260	22.8	25.0	9.425
261	23.3	25.0	9.683
262	24.1	24.9	9.029
263	24.0	24.9	5.435
264	24.2	24.9	3.405
265	19.7	24.9	2.356
266	20.1	24.9	1.273
267	20.0	24.8	0.499
268	19.9	24.8	0.361
269	19.4	24.8	1.083
270	19.8	24.7	2.717
271	19.5	24.7	7.344
272	24.2	24.7	7.860
273	24.3	24.7	7.894
274	23.5	24.7	8.272
275	22.8	24.7	7.894
276	21.4	24.7	7.653
277	20.3	24.7	7.086
278	19.6	24.7	6.226
279	19.0	24.6	5.675
280	19.0	24.6	5.297
281	18.8	24.6	5.503
282	19.2	24.6	6.828
283	19.3	24.6	7.619
284	19.2	24.5	9.425
285	20.0	24.5	9.683
286	20.2	24.5	9.029
287	20.1	24.5	5.435
288	20.5	24.5	3.405
289	15.2	24.5	2.356
290	15.2	24.5	1.273
291	15.1	24.5	0.499
292	15.1	24.5	0.361
293	15.3	24.4	1.083
294	15.5	24.4	2.717
295	15.0	24.4	7.344
296	19.6	24.4	7.860
297	19.5	24.4	7.894
298	19.4	24.4	8.272
299	18.3	24.4	7.894
300	17.7	24.3	7.653
301	16.9	24.3	7.086
302	16.5	24.3	6.226
303	16.3	24.3	5.675
304	15.7	24.3	5.297
305	16.5	24.3	5.503
306	16.3	24.3	6.828
307	16.5	24.3	7.619
308	16.8	24.3	9.425
309	16.9	24.3	9.683
310	18.1	24.3	9.029
311	17.9	24.2	5.435
312	18.3	24.2	3.405
313	14.0	24.2	2.356
314	13.9	24.2	1.273
315	13.9	24.2	0.499
316	13.4	24.2	0.361
317	13.0	24.2	1.083
318	12.7	24.2	2.717
319	13.1	24.2	7.344
320	17.8	24.2	7.860
321	18.0	24.2	7.894
322	17.7	24.2	8.272
323	17.4	24.2	7.894
324	17.7	24.2	7.653
325	17.0	24.2	7.086
326	16.6	24.2	6.226
327	15.5	24.1	5.675
328	14.7	24.1	5.297
329	15.5	24.1	5.503
330	15.7	24.1	6.828
331	16.4	24.1	7.619
332	16.7	24.1	9.425
333	16.9	24.1	9.683
334	16.9	24.1	9.029
