# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.6	5.7	0.251
2	3.7	5.7	0.135
3	3.9	5.5	0.053
4	3.8	5.5	0.038
5	3.9	5.5	0.115
6	3.9	5.5	0.289
7	3.8	5.3	0.781
8	3.8	5.3	0.836
9	3.8	5.3	0.840
10	3.6	5.3	0.880
11	3.6	5.3	0.840
12	3.4	5.3	0.814
13	3.3	5.3	0.754
14	3.3	5.3	0.662
15	3.3	5.3	0.604
16	3.4	5.2	0.564
17	3.6	5.2	0.585
18	3.9	5.2	0.726
19	4.2	5.2	0.811
20	4.2	5.2	1.003
21	4.3	5.2	1.030
22	4.4	5.2	0.961
23	4.5	5.2	0.578
24	4.7	5.2	0.362
25	4.8	5.2	0.251
26	4.7	5.2	0.135
27	4.7	5.2	0.053
28	4.7	5.1	0.038
29	4.7	5.1	0.115
30	4.6	5.1	0.289
31	4.7	5.1	0.781
32	4.8	5.1	0.836
33	4.6	5.1	0.840
34	4.5	5.1	0.880
35	4.4	5.1	0.840
36	4.2	5.1	0.814
37	4.1	5.1	0.754
38	4.1	5.1	0.662
39	3.9	5.1	0.604
40	4.0	5.1	0.564
41	4.2	5.1	0.585
42	4.4	5.1	0.726
43	4.4	5.1	0.811
44	4.4	5.1	1.003
45	4.5	5.0	1.030
46	4.5	5.0	0.961
47	4.5	5.0	0.578
48	4.5	5.0	0.362
49	4.5	5.0	0.251
50	4.5	5.0	0.135
51	4.5	5.0	0.053
52	4.6	5.0	0.038
53	4.7	5.0	0.115
54	4.6	5.0	0.289
55	4.8	5.0	0.781
56	4.7	5.0	0.836
57	4.6	5.0	0.840
58	4.7	5.0	0.880
59	4.5	5.0	0.840
60	4.5	5.0	0.814
61	4.3	5.0	0.754
62	4.2	5.0	0.662
63	4.1	5.0	0.604
64	4.1	5.0	0.564
65	4.2	5.0	0.585
66	4.3	5.0	0.726
67	4.5	5.0	0.811
68	4.6	5.0	1.003
69	4.7	5.0	1.030
70	4.8	4.9	0.961
71	4.9	4.9	0.578
72	5.0	4.9	0.362
73	5.1	4.9	0.251
74	5.1	4.9	0.135
75	5.0	4.9	0.053
76	5.0	4.9	0.038
77	5.0	4.9	0.115
78	5.0	4.9	0.289
79	4.9	4.9	0.781
80	4.7	4.9	0.836
81	4.6	4.9	0.840
82	4.4	4.9	0.880
83	4.0	4.9	0.840
84	3.7	4.8	0.814
85	3.4	4.8	0.754
86	3.3	4.8	0.662
87	3.3	4.8	0.604
88	3.3	4.8	0.564
89	3.3	4.8	0.585
90	3.4	4.8	0.726
91	3.4	4.8	0.811
92	3.3	4.8	1.003
93	3.4	4.8	1.030
94	3.4	4.8	0.961
95	3.5	4.8	0.578
96	3.5	4.7	0.362
97	3.5	4.7	0.251
98	3.5	4.7	0.135
99	3.7	4.7	0.053
