# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.9	18.9	0.262
2	10.2	18.8	0.142
3	10.7	18.1	0.056
4	10.5	18.0	0.040
5	10.7	18.0	0.121
6	10.7	18.0	0.303
7	10.5	17.9	0.818
8	13.0	17.8	0.876
9	13.0	17.7	0.879
10	12.3	17.7	0.922
11	12.3	17.6	0.879
12	11.6	17.6	0.853
13	11.3	17.6	0.789
14	11.3	17.5	0.694
15	11.3	17.5	0.632
16	11.6	17.5	0.590
17	12.4	17.4	0.613
18	13.4	17.4	0.761
19	14.2	17.3	0.849
20	14.5	17.3	1.050
21	14.6	17.3	1.079
22	15.1	17.3	1.006
23	15.4	17.3	0.605
24	16.0	17.2	0.379
25	14.0	17.2	0.262
26	13.6	17.2	0.142
27	13.7	17.1	0.056
28	13.7	17.1	0.040
29	13.5	17.1	0.121
30	13.2	17.1	0.303
31	13.5	17.0	0.818
32	16.3	17.0	0.876
33	15.8	17.0	0.879
34	15.5	16.9	0.922
35	15.0	16.9	0.879
36	14.4	16.9	0.853
37	14.1	16.9	0.789
38	14.0	16.8	0.694
39	13.5	16.8	0.632
40	13.8	16.8	0.590
41	14.4	16.8	0.613
42	15.0	16.8	0.761
43	15.2	16.8	0.849
44	15.2	16.7	1.050
45	15.4	16.6	1.079
46	15.4	16.6	1.006
47	15.5	16.6	0.605
48	15.5	16.5	0.379
49	13.0	16.5	0.262
50	12.9	16.4	0.142
51	13.0	16.4	0.056
52	13.3	16.4	0.040
53	13.5	16.4	0.121
54	13.3	16.4	0.303
55	13.7	16.3	0.818
56	16.0	16.3	0.876
57	15.9	16.3	0.879
58	16.0	16.3	0.922
59	15.6	16.3	0.879
60	15.4	16.3	0.853
61	14.8	16.2	0.789
62	14.4	16.2	0.694
63	14.1	16.2	0.632
64	14.1	16.2	0.590
65	14.2	16.1	0.613
66	14.8	16.1	0.761
67	15.3	16.0	0.849
68	15.7	16.0	1.050
69	16.2	16.0	1.079
70	16.5	16.0	1.006
71	16.8	16.0	0.605
72	17.1	15.9	0.379
73	14.8	15.9	0.262
74	14.8	15.9	0.142
75	14.6	15.9	0.056
76	14.7	15.8	0.040
77	14.7	15.8	0.121
78	14.6	15.8	0.303
79	14.2	15.8	0.818
80	16.2	15.8	0.876
81	15.7	15.8	0.879
82	14.9	15.8	0.922
83	13.6	15.7	0.879
84	12.5	15.7	0.853
85	11.6	15.7	0.789
86	11.2	15.7	0.694
87	11.3	15.7	0.632
88	11.2	15.7	0.590
89	11.4	15.7	0.613
90	11.5	15.7	0.761
91	11.5	15.7	0.849
92	11.2	15.6	1.050
93	11.6	15.6	1.079
94	11.8	15.6	1.006
95	11.9	15.6	0.605
96	11.9	15.6	0.379
97	9.4	15.6	0.262
98	9.5	15.6	0.142
99	10.0	15.6	0.056
100	10.3	15.6	0.040
101	10.7	15.5	0.121
102	10.8	15.5	0.303
103	11.3	15.5	0.818
104	14.0	15.5	0.876
105	14.3	15.5	0.879
106	14.3	15.5	0.922
107	14.5	15.5	0.879
108	14.6	15.5	0.853
109	14.7	15.5	0.789
110	15.0	15.4	0.694
111	15.8	15.4	0.632
112	15.7	15.4	0.590
113	16.4	15.4	0.613
114	17.1	15.4	0.761
115	17.2	15.4	0.849
116	16.9	15.4	1.050
117	17.4	15.4	1.079
118	18.0	15.4	1.006
119	18.8	15.4	0.605
120	18.9	15.4	0.379
121	16.8	15.4	0.262
122	16.8	15.3	0.142
123	16.4	15.3	0.056
124	16.4	15.3	0.040
125	15.6	15.3	0.121
126	15.0	15.3	0.303
127	14.8	15.3	0.818
128	17.2	15.3	0.876
129	16.9	15.3	0.879
130	16.3	15.3	0.922
131	15.3	15.2	0.879
132	14.5	15.2	0.853
133	13.4	15.2	0.789
134	12.5	15.2	0.694
135	12.1	15.2	0.632
136	11.5	15.2	0.590
137	11.6	15.2	0.613
138	11.9	15.1	0.761
139	11.4	15.1	0.849
140	11.4	15.1	1.050
141	11.5	15.1	1.079
142	11.5	15.1	1.006
143	11.5	15.1	0.605
144	11.4	15.1	0.379
145	8.7	15.1	0.262
146	9.0	15.0	0.142
147	9.1	15.0	0.056
148	9.2	15.0	0.040
149	9.7	15.0	0.121
150	9.4	15.0	0.303
151	9.5	15.0	0.818
152	12.3	14.9	0.876
153	12.1	14.9	0.879
154	11.3	14.9	0.922
155	11.0	14.9	0.879
156	10.4	14.9	0.853
157	10.0	14.9	0.789
158	9.2	14.9	0.694
159	8.8	14.9	0.632
160	8.8	14.8	0.590
161	9.6	14.8	0.613
162	10.1	14.8	0.761
163	10.9	14.8	0.849
164	11.0	14.8	1.050
165	11.7	14.8	1.079
166	11.8	14.8	1.006
167	12.6	14.8	0.605
168	12.7	14.8	0.379
169	10.5	14.8	0.262
170	10.4	14.8	0.142
171	10.5	14.8	0.056
172	10.0	14.8	0.040
173	9.9	14.8	0.121
174	9.4	14.8	0.303
175	9.4	14.8	0.818
176	11.7	14.8	0.876
177	11.7	14.7	0.879
178	11.4	14.7	0.922
179	10.8	14.7	0.879
180	10.2	14.7	0.853
181	10.4	14.7	0.789
182	10.1	14.7	0.694
183	10.4	14.7	0.632
184	10.3	14.7	0.590
185	10.2	14.7	0.613
186	10.3	14.7	0.761
187	10.6	14.6	0.849
188	10.0	14.6	1.050
189	9.6	14.6	1.079
190	9.6	14.6	1.006
191	9.1	14.6	0.605
192	8.8	14.6	0.379
193	5.7	14.6	0.262
194	5.8	14.6	0.142
195	6.1	14.6	0.056
196	6.2	14.6	0.040
197	5.8	14.6	0.121
198	5.4	14.6	0.303
199	5.8	14.6	0.818
200	8.2	14.6	0.876
201	8.4	14.6	0.879
202	7.8	14.5	0.922
203	7.7	14.5	0.879
204	7.8	14.5	0.853
205	7.6	14.5	0.789
206	7.0	14.5	0.694
207	6.4	14.5	0.632
208	6.2	14.5	0.590
209	6.3	14.5	0.613
210	6.1	14.5	0.761
211	6.2	14.5	0.849
212	6.2	14.5	1.050
213	6.1	14.5	1.079
214	6.1	14.4	1.006
215	6.0	14.4	0.605
216	5.6	14.4	0.379
217	3.3	14.4	0.262
218	3.5	14.4	0.142
219	3.7	14.4	0.056
220	4.0	14.4	0.040
221	4.4	14.4	0.121
222	4.7	14.4	0.303
223	5.2	14.4	0.818
224	7.8	14.4	0.876
225	7.8	14.4	0.879
226	8.0	14.4	0.922
227	8.0	14.4	0.879
228	7.9	14.3	0.853
