# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	15.2	23.7	0.412
2	15.6	23.6	0.223
3	16.2	23.1	0.087
4	16.0	23.1	0.063
5	16.2	23.1	0.190
6	16.2	23.0	0.475
7	16.0	22.1	1.285
8	15.8	22.0	1.375
9	15.9	21.4	1.381
10	15.0	21.3	1.447
11	15.1	21.2	1.381
12	14.2	21.2	1.339
13	13.8	21.1	1.240
14	13.9	21.1	1.089
15	13.9	21.1	0.993
16	14.3	21.1	0.927
17	15.2	21.1	0.963
18	16.4	21.1	1.195
19	17.4	21.1	1.333
20	17.7	21.0	1.649
21	17.9	21.0	1.694
22	18.5	21.0	1.580
23	18.9	20.9	0.951
24	19.6	20.9	0.596
25	20.2	20.9	0.412
26	19.7	20.9	0.223
27	19.8	20.9	0.087
28	19.8	20.8	0.063
29	19.6	20.7	0.190
30	19.3	20.7	0.475
31	19.6	20.6	1.285
32	19.9	20.6	1.375
33	19.4	20.6	1.381
34	19.0	20.6	1.447
35	18.4	20.5	1.381
36	17.6	20.5	1.339
37	17.3	20.3	1.240
38	17.1	20.3	1.089
39	16.5	20.3	0.993
40	16.9	20.2	0.927
41	17.6	20.2	0.963
42	18.4	20.2	1.195
43	18.5	20.2	1.333
44	18.6	20.1	1.649
45	18.8	20.1	1.694
46	18.9	20.1	1.580
47	18.9	20.1	0.951
48	18.9	20.1	0.596
49	18.9	20.1	0.412
50	18.9	20.1	0.223
51	19.0	20.0	0.087
52	19.4	20.0	0.063
53	19.6	20.0	0.190
54	19.3	20.0	0.475
55	19.9	19.9	1.285
56	19.6	19.9	1.375
57	19.4	19.9	1.381
58	19.5	19.9	1.447
59	19.0	19.9	1.381
60	18.9	19.8	1.339
61	18.1	19.8	1.240
62	17.6	19.8	1.089
63	17.3	19.8	0.993
64	17.2	19.8	0.927
65	17.4	19.8	0.963
66	18.1	19.8	1.195
67	18.7	19.7	1.333
68	19.2	19.7	1.649
69	19.8	19.7	1.694
70	20.2	19.6	1.580
71	20.6	19.6	0.951
72	20.9	19.6	0.596
73	21.1	19.6	0.412
74	21.1	19.6	0.223
75	20.9	19.6	0.087
76	21.1	19.5	0.063
77	21.0	19.5	0.190
78	20.9	19.5	0.475
79	20.5	19.5	1.285
80	19.8	19.5	1.375
81	19.2	19.4	1.381
82	18.3	19.4	1.447
83	16.6	19.4	1.381
84	15.3	19.4	1.339
85	14.2	19.4	1.240
86	13.7	19.3	1.089
87	13.8	19.3	0.993
88	13.7	19.3	0.927
89	14.0	19.3	0.963
90	14.1	19.3	1.195
91	14.1	19.3	1.333
92	13.7	19.3	1.649
93	14.2	19.2	1.694
94	14.4	19.2	1.580
95	14.6	19.2	0.951
96	14.6	19.2	0.596
97	14.6	19.2	0.412
98	14.7	19.1	0.223
99	15.3	19.1	0.087
100	15.7	19.1	0.063
101	16.1	19.1	0.190
102	16.4	19.1	0.475
103	16.9	19.0	1.285
104	17.1	19.0	1.375
105	17.5	19.0	1.381
106	17.4	19.0	1.447
107	17.7	19.0	1.381
108	17.9	19.0	1.339
109	17.9	19.0	1.240
110	18.3	19.0	1.089
111	19.3	18.9	0.993
112	19.2	18.9	0.927
113	20.1	18.9	0.963
114	20.9	18.9	1.195
115	21.1	18.9	1.333
116	20.7	18.9	1.649
117	21.2	18.9	1.694
118	22.0	18.9	1.580
119	23.0	18.9	0.951
120	23.1	18.9	0.596
121	23.6	18.9	0.412
122	23.7	18.9	0.223
123	23.1	18.8	0.087
124	23.1	18.8	0.063
125	22.1	18.8	0.190
126	21.4	18.8	0.475
127	21.1	18.8	1.285
128	21.0	18.8	1.375
129	20.7	18.8	1.381
130	19.9	18.8	1.447
131	18.8	18.8	1.381
132	17.8	18.7	1.339
133	16.5	18.7	1.240
134	15.4	18.7	1.089
135	15.0	18.7	0.993
136	14.3	18.7	0.927
137	14.3	18.7	0.963
138	14.7	18.7	1.195
139	14.1	18.7	1.333
140	14.0	18.7	1.649
141	14.1	18.6	1.694
142	14.1	18.6	1.580
143	14.1	18.6	0.951
144	14.0	18.6	0.596
145	13.8	18.6	0.412
146	14.1	18.6	0.223
147	14.2	18.6	0.087
148	14.4	18.6	0.063
149	14.9	18.6	0.190
150	14.6	18.6	0.475
151	14.7	18.6	1.285
152	15.0	18.5	1.375
153	14.8	18.5	1.381
154	13.8	18.5	1.447
155	13.4	18.5	1.381
156	12.7	18.5	1.339
157	12.2	18.5	1.240
158	11.1	18.5	1.089
159	10.7	18.5	0.993
160	10.7	18.5	0.927
161	11.7	18.5	0.963
162	12.3	18.5	1.195
163	13.3	18.5	1.333
164	13.5	18.5	1.649
165	14.3	18.5	1.694
166	14.4	18.5	1.580
167	15.4	18.5	0.951
168	15.6	18.4	0.596
169	15.9	18.4	0.412
170	15.8	18.4	0.223
171	15.9	18.4	0.087
172	15.3	18.4	0.063
173	15.1	18.4	0.190
174	14.6	18.4	0.475
175	14.5	18.4	1.285
176	14.3	18.4	1.375
177	14.3	18.4	1.381
178	13.9	18.4	1.447
179	13.2	18.3	1.381
180	12.5	18.3	1.339
181	12.8	18.3	1.240
182	12.4	18.3	1.089
183	12.7	18.3	0.993
184	12.6	18.3	0.927
185	12.5	18.3	0.963
186	12.6	18.3	1.195
187	13.0	18.3	1.333
188	12.2	18.3	1.649
189	11.8	18.3	1.694
190	11.8	18.3	1.580
191	11.2	18.3	0.951
192	10.8	18.3	0.596
193	10.1	18.2	0.412
194	10.2	18.2	0.223
195	10.6	18.2	0.087
196	10.7	18.2	0.063
197	10.2	18.2	0.190
198	9.7	18.2	0.475
199	10.2	18.2	1.285
200	10.1	18.2	1.375
201	10.3	18.2	1.381
202	9.5	18.2	1.447
203	9.4	18.2	1.381
204	9.5	18.2	1.339
205	9.3	18.1	1.240
206	8.6	18.1	1.089
207	7.8	18.1	0.993
208	7.6	18.1	0.927
209	7.7	18.1	0.963
210	7.5	18.1	1.195
211	7.6	18.1	1.333
212	7.6	18.1	1.649
213	7.5	18.1	1.694
214	7.5	18.1	1.580
215	7.4	18.1	0.951
216	6.9	18.1	0.596
217	7.1	18.1	0.412
218	7.4	18.1	0.223
219	7.7	18.1	0.087
220	8.0	18.0	0.063
221	8.4	18.0	0.190
222	8.9	18.0	0.475
223	9.4	18.0	1.285
224	9.6	18.0	1.375
225	9.6	18.0	1.381
226	9.8	18.0	1.447
227	9.9	18.0	1.381
228	9.7	17.9	1.339
229	9.4	17.9	1.240
230	9.6	17.9	1.089
231	9.4	17.9	0.993
232	10.3	17.9	0.927
233	11.0	17.9	0.963
234	11.8	17.9	1.195
235	11.9	17.9	1.333
236	12.5	17.9	1.649
237	13.4	17.9	1.694
238	14.5	17.9	1.580
239	15.3	17.9	0.951
240	15.8	17.9	0.596
241	16.4	17.9	0.412
242	16.4	17.8	0.223
243	16.4	17.8	0.087
244	16.4	17.8	0.063
245	16.4	17.8	0.190
246	16.2	17.8	0.475
247	16.2	17.8	1.285
248	15.9	17.8	1.375
249	16.1	17.8	1.381
250	15.4	17.8	1.447
251	15.5	17.8	1.381
252	14.2	17.8	1.339
253	13.9	17.8	1.240
254	12.9	17.8	1.089
255	13.1	17.7	0.993
256	13.6	17.7	0.927
257	14.8	17.7	0.963
258	14.7	17.7	1.195
259	14.9	17.7	1.333
260	15.5	17.7	1.649
261	15.9	17.7	1.694
262	16.5	17.7	1.580
263	16.4	17.7	0.951
264	16.5	17.7	0.596
265	16.5	17.7	0.412
266	16.8	17.7	0.223
267	16.7	17.7	0.087
268	16.7	17.7	0.063
269	16.3	17.6	0.190
270	16.6	17.6	0.475
271	16.4	17.6	1.285
272	16.5	17.6	1.375
273	16.6	17.6	1.381
274	16.0	17.6	1.447
275	15.5	17.6	1.381
276	14.5	17.6	1.339
277	13.8	17.6	1.240
278	13.3	17.6	1.089
279	12.9	17.6	0.993
280	12.9	17.6	0.927
281	12.7	17.6	0.963
282	13.0	17.6	1.195
283	13.1	17.6	1.333
284	13.1	17.6	1.649
285	13.6	17.6	1.694
286	13.7	17.6	1.580
287	13.7	17.6	0.951
288	13.9	17.5	0.596
289	13.5	17.5	0.412
290	13.5	17.5	0.223
291	13.4	17.5	0.087
292	13.4	17.5	0.063
293	13.5	17.5	0.190
294	13.7	17.5	0.475
295	13.4	17.5	1.285
296	13.3	17.5	1.375
297	13.3	17.5	1.381
298	13.3	17.4	1.447
299	12.5	17.4	1.381
300	12.1	17.4	1.339
301	11.5	17.4	1.240
302	11.3	17.4	1.089
303	11.1	17.4	0.993
304	10.7	17.4	0.927
305	11.3	17.4	0.963
306	11.1	17.4	1.195
307	11.3	17.4	1.333
308	11.5	17.4	1.649
309	11.6	17.4	1.694
310	12.3	17.4	1.580
311	12.2	17.3	0.951
312	12.5	17.3	0.596
313	12.7	17.3	0.412
314	12.6	17.3	0.223
315	12.6	17.3	0.087
316	12.2	17.3	0.063
317	11.9	17.3	0.190
318	11.8	17.3	0.475
319	12.0	17.3	1.285
320	12.2	17.2	1.375
321	12.3	17.2	1.381
322	12.1	17.2	1.447
323	11.9	17.2	1.381
324	12.1	17.2	1.339
325	11.7	17.2	1.240
326	11.4	17.2	1.089
327	10.6	17.2	0.993
328	10.1	17.2	0.927
329	10.6	17.2	0.963
330	10.7	17.1	1.195
331	11.2	17.1	1.333
332	11.4	17.1	1.649
333	11.5	17.1	1.694
334	11.6	17.1	1.580
335	11.9	17.1	0.951
336	11.6	17.1	0.596
337	11.8	17.1	0.412
338	12.0	17.1	0.223
339	12.3	17.1	0.087
340	12.8	17.1	0.063
341	13.0	17.1	0.190
342	13.0	17.1	0.475
343	13.0	17.1	1.285
344	13.5	17.0	1.375
345	13.7	17.0	1.381
346	13.9	17.0	1.447
347	13.5	17.0	1.381
348	13.2	17.0	1.339
349	13.0	17.0	1.240
350	13.4	17.0	1.089
351	13.5	17.0	0.993
352	13.6	17.0	0.927
353	14.1	17.0	0.963
354	14.6	17.0	1.195
355	14.7	17.0	1.333
356	15.2	17.0	1.649
357	15.2	17.0	1.694
358	15.6	17.0	1.580
359	15.6	17.0	0.951
360	15.2	16.9	0.596
361	15.1	16.9	0.412
362	15.4	16.9	0.223
363	15.8	16.9	0.087
364	15.6	16.9	0.063
365	15.4	16.9	0.190
366	16.1	16.9	0.475
367	16.2	16.9	1.285
368	16.4	16.9	1.375
369	16.3	16.9	1.381
370	16.5	16.9	1.447
371	15.4	16.9	1.381
372	15.1	16.9	1.339
373	14.7	16.9	1.240
374	14.4	16.9	1.089
375	14.6	16.9	0.993
376	15.2	16.9	0.927
377	16.3	16.9	0.963
378	17.0	16.9	1.195
379	17.4	16.8	1.333
380	17.8	16.8	1.649
381	18.1	16.8	1.694
382	18.8	16.8	1.580
383	19.5	16.8	0.951
384	20.0	16.8	0.596
385	21.0	16.8	0.412
386	21.2	16.8	0.223
387	21.3	16.8	0.087
388	21.1	16.7	0.063
389	21.1	16.7	0.190
390	20.9	16.7	0.475
391	20.8	16.7	1.285
392	20.6	16.7	1.375
393	19.7	16.7	1.381
394	18.8	16.7	1.447
395	17.9	16.7	1.381
396	17.0	16.7	1.339
397	15.7	16.7	1.240
398	14.6	16.7	1.089
399	14.8	16.7	0.993
400	14.3	16.7	0.927
401	14.2	16.7	0.963
402	14.7	16.7	1.195
403	14.4	16.7	1.333
404	14.4	16.7	1.649
405	15.3	16.7	1.694
406	14.7	16.7	1.580
407	14.8	16.7	0.951
408	14.6	16.7	0.596
409	13.6	16.7	0.412
410	14.2	16.7	0.223
411	14.6	16.6	0.087
412	14.6	16.6	0.063
413	14.7	16.6	0.190
414	14.8	16.6	0.475
415	15.2	16.6	1.285
416	15.5	16.6	1.375
417	15.2	16.6	1.381
418	14.7	16.6	1.447
419	14.7	16.6	1.381
420	14.3	16.6	1.339
421	13.9	16.6	1.240
422	13.9	16.6	1.089
423	13.9	16.6	0.993
424	14.5	16.6	0.927
425	14.7	16.6	0.963
426	14.8	16.6	1.195
427	15.5	16.6	1.333
428	15.6	16.6	1.649
429	16.4	16.6	1.694
430	16.7	16.6	1.580
431	16.6	16.6	0.951
432	16.4	16.6	0.596
433	16.7	16.6	0.412
434	17.1	16.6	0.223
435	17.7	16.5	0.087
436	18.1	16.5	0.063
437	17.7	16.5	0.190
438	17.5	16.5	0.475
439	17.2	16.5	1.285
440	17.4	16.5	1.375
441	17.0	16.5	1.381
442	17.0	16.5	1.447
443	17.2	16.5	1.381
444	16.5	16.5	1.339
445	16.2	16.5	1.240
446	15.7	16.5	1.089
447	15.0	16.5	0.993
448	15.2	16.5	0.927
449	15.2	16.5	0.963
450	14.9	16.5	1.195
451	15.5	16.5	1.333
452	15.9	16.5	1.649
453	16.5	16.5	1.694
454	16.9	16.5	1.580
455	16.5	16.5	0.951
456	16.2	16.5	0.596
457	16.4	16.5	0.412
458	17.1	16.5	0.223
459	17.1	16.4	0.087
460	17.7	16.4	0.063
461	17.6	16.4	0.190
462	17.7	16.4	0.475
463	17.8	16.4	1.285
464	17.8	16.4	1.375
465	17.9	16.4	1.381
466	17.0	16.4	1.447
467	16.6	16.4	1.381
468	15.9	16.4	1.339
469	15.3	16.4	1.240
470	14.9	16.4	1.089
471	14.5	16.4	0.993
472	14.1	16.4	0.927
473	14.3	16.4	0.963
474	14.1	16.4	1.195
475	14.4	16.4	1.333
476	14.9	16.4	1.649
477	14.7	16.4	1.694
478	15.0	16.4	1.580
479	15.2	16.4	0.951
480	15.2	16.4	0.596
481	15.2	16.4	0.412
482	16.0	16.4	0.223
483	16.0	16.4	0.087
484	16.5	16.4	0.063
485	16.5	16.4	0.190
486	16.3	16.3	0.475
487	16.6	16.3	1.285
488	16.4	16.3	1.375
489	16.0	16.3	1.381
490	15.4	16.3	1.447
491	14.9	16.3	1.381
492	14.0	16.3	1.339
493	14.3	16.3	1.240
494	13.7	16.3	1.089
495	13.6	16.3	0.993
496	13.7	16.3	0.927
497	13.7	16.3	0.963
498	14.4	16.3	1.195
499	14.6	16.2	1.333
500	15.4	16.2	1.649
501	15.2	16.2	1.694
502	16.0	16.2	1.580
503	16.2	16.2	0.951
504	16.7	16.2	0.596
505	16.9	16.2	0.412
506	16.5	16.2	0.223
507	16.5	16.2	0.087
508	16.7	16.2	0.063
509	17.0	16.2	0.190
510	17.6	16.2	0.475
511	18.0	16.2	1.285
512	18.1	16.2	1.375
513	17.8	16.2	1.381
514	17.3	16.2	1.447
515	16.6	16.2	1.381
516	16.1	16.2	1.339
517	15.9	16.2	1.240
518	15.5	16.2	1.089
519	15.4	16.1	0.993
520	16.0	16.1	0.927
521	16.1	16.1	0.963
522	16.2	16.1	1.195
523	16.5	16.1	1.333
524	16.4	16.1	1.649
525	16.4	16.1	1.694
526	16.9	16.1	1.580
527	17.4	16.1	0.951
528	18.0	16.1	0.596
529	18.2	16.1	0.412
530	18.2	16.1	0.223
531	18.8	16.1	0.087
532	18.4	16.1	0.063
533	18.6	16.1	0.190
534	18.2	16.1	0.475
535	18.7	16.1	1.285
536	18.7	16.1	1.375
537	18.2	16.0	1.381
538	17.5	16.0	1.447
539	16.7	16.0	1.381
540	15.6	16.0	1.339
541	15.0	16.0	1.240
542	14.0	16.0	1.089
543	13.9	16.0	0.993
544	14.3	16.0	0.927
545	14.5	16.0	0.963
546	14.8	16.0	1.195
547	15.0	16.0	1.333
548	15.2	16.0	1.649
549	15.5	16.0	1.694
550	16.2	16.0	1.580
551	16.5	15.9	0.951
552	17.1	15.9	0.596
553	17.1	15.9	0.412
554	17.0	15.9	0.223
555	17.1	15.9	0.087
556	17.0	15.9	0.063
557	17.7	15.9	0.190
558	17.9	15.9	0.475
559	17.6	15.9	1.285
560	17.3	15.9	1.375
561	16.8	15.9	1.381
562	16.2	15.9	1.447
563	15.9	15.9	1.381
564	15.5	15.9	1.339
565	15.0	15.9	1.240
566	14.6	15.9	1.089
567	14.3	15.9	0.993
568	14.4	15.9	0.927
569	14.7	15.9	0.963
570	14.8	15.9	1.195
571	15.0	15.9	1.333
572	15.4	15.9	1.649
573	15.1	15.9	1.694
574	15.4	15.8	1.580
575	15.3	15.8	0.951
576	14.9	15.8	0.596
577	14.9	15.8	0.412
578	15.3	15.8	0.223
579	15.5	15.8	0.087
580	14.8	15.8	0.063
581	14.5	15.8	0.190
582	14.6	15.8	0.475
583	14.4	15.8	1.285
584	14.0	15.8	1.375
585	13.7	15.8	1.381
586	13.3	15.8	1.447
587	12.6	15.8	1.381
588	11.8	15.8	1.339
589	11.3	15.8	1.240
590	11.1	15.8	1.089
591	10.6	15.8	0.993
592	10.3	15.8	0.927
593	10.4	15.7	0.963
594	10.4	15.7	1.195
595	10.4	15.7	1.333
596	10.2	15.7	1.649
597	10.6	15.7	1.694
598	11.0	15.7	1.580
599	11.3	15.7	0.951
600	11.4	15.7	0.596
601	11.2	15.7	0.412
602	11.9	15.7	0.223
603	12.5	15.7	0.087
