# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.9	10.8	0.144
2	7.1	10.8	0.078
3	7.4	10.5	0.031
4	7.3	10.5	0.022
5	7.4	10.5	0.066
6	7.4	10.5	0.166
7	7.3	10.1	0.449
8	7.2	10.0	0.481
9	7.3	9.8	0.483
10	6.9	9.7	0.506
11	6.9	9.7	0.483
12	6.5	9.7	0.468
13	6.3	9.6	0.433
14	6.3	9.6	0.381
15	6.3	9.6	0.347
16	6.5	9.6	0.324
17	6.9	9.6	0.337
18	7.5	9.6	0.418
19	8.0	9.6	0.466
20	8.1	9.6	0.576
21	8.2	9.6	0.592
22	8.4	9.6	0.552
23	8.6	9.5	0.332
24	8.9	9.5	0.208
25	9.2	9.5	0.144
26	9.0	9.5	0.078
27	9.0	9.5	0.031
28	9.0	9.5	0.022
29	8.9	9.4	0.066
30	8.8	9.4	0.166
31	9.0	9.4	0.449
32	9.1	9.4	0.481
33	8.8	9.4	0.483
34	8.7	9.4	0.506
35	8.4	9.4	0.483
36	8.0	9.3	0.468
37	7.9	9.3	0.433
38	7.8	9.3	0.381
39	7.5	9.3	0.347
40	7.7	9.2	0.324
41	8.0	9.2	0.337
42	8.4	9.2	0.418
43	8.4	9.2	0.466
44	8.5	9.2	0.576
45	8.6	9.2	0.592
46	8.6	9.2	0.552
47	8.6	9.2	0.332
48	8.6	9.2	0.208
49	8.6	9.2	0.144
50	8.6	9.1	0.078
51	8.7	9.1	0.031
52	8.8	9.1	0.022
53	8.9	9.1	0.066
54	8.8	9.1	0.166
55	9.1	9.1	0.449
56	8.9	9.1	0.481
57	8.9	9.1	0.483
58	8.9	9.1	0.506
59	8.7	9.1	0.483
60	8.6	9.0	0.468
61	8.2	9.0	0.433
62	8.0	9.0	0.381
63	7.9	9.0	0.347
64	7.9	9.0	0.324
65	8.0	9.0	0.337
66	8.3	9.0	0.418
67	8.5	9.0	0.466
68	8.7	9.0	0.576
69	9.0	9.0	0.592
70	9.2	9.0	0.552
71	9.4	9.0	0.332
72	9.5	8.9	0.208
73	9.6	8.9	0.144
74	9.6	8.9	0.078
75	9.5	8.9	0.031
76	9.6	8.9	0.022
77	9.6	8.9	0.066
78	9.5	8.9	0.166
79	9.3	8.9	0.449
80	9.0	8.9	0.481
81	8.8	8.9	0.483
82	8.3	8.9	0.506
83	7.6	8.8	0.483
84	7.0	8.8	0.468
85	6.5	8.8	0.433
86	6.2	8.8	0.381
87	6.3	8.8	0.347
88	6.3	8.8	0.324
89	6.4	8.8	0.337
90	6.4	8.8	0.418
91	6.4	8.8	0.466
92	6.3	8.8	0.576
93	6.5	8.8	0.592
94	6.6	8.8	0.552
95	6.6	8.8	0.332
96	6.7	8.8	0.208
97	6.6	8.7	0.144
98	6.7	8.7	0.078
99	7.0	8.7	0.031
100	7.2	8.7	0.022
101	7.3	8.7	0.066
102	7.5	8.7	0.166
103	7.7	8.7	0.449
104	7.8	8.7	0.481
105	8.0	8.7	0.483
106	7.9	8.7	0.506
107	8.1	8.7	0.483
108	8.1	8.7	0.468
109	8.2	8.7	0.433
110	8.4	8.7	0.381
111	8.8	8.7	0.347
112	8.8	8.7	0.324
113	9.2	8.6	0.337
114	9.5	8.6	0.418
115	9.6	8.6	0.466
116	9.4	8.6	0.576
117	9.7	8.6	0.592
118	10.0	8.6	0.552
119	10.5	8.6	0.332
120	10.5	8.6	0.208
121	10.8	8.6	0.144
122	10.8	8.6	0.078
123	10.5	8.6	0.031
124	10.5	8.6	0.022
125	10.1	8.6	0.066
126	9.8	8.6	0.166
127	9.6	8.6	0.449
128	9.6	8.6	0.481
129	9.4	8.6	0.483
130	9.1	8.6	0.506
131	8.6	8.6	0.483
132	8.1	8.6	0.468
133	7.5	8.6	0.433
134	7.0	8.5	0.381
135	6.8	8.5	0.347
136	6.5	8.5	0.324
137	6.5	8.5	0.337
138	6.7	8.5	0.418
139	6.4	8.5	0.466
140	6.4	8.5	0.576
141	6.4	8.5	0.592
142	6.4	8.5	0.552
143	6.4	8.5	0.332
144	6.4	8.5	0.208
145	6.3	8.5	0.144
146	6.4	8.5	0.078
147	6.5	8.5	0.031
148	6.6	8.5	0.022
149	6.8	8.5	0.066
150	6.7	8.5	0.166
151	6.7	8.5	0.449
152	6.9	8.5	0.481
153	6.7	8.5	0.483
154	6.3	8.5	0.506
155	6.1	8.5	0.483
156	5.8	8.5	0.468
157	5.6	8.5	0.433
158	5.1	8.4	0.381
159	4.9	8.4	0.347
160	4.9	8.4	0.324
161	5.3	8.4	0.337
