# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.9	15.1	0.237
2	8.1	15.0	0.128
3	8.5	14.5	0.050
4	8.4	14.4	0.036
5	8.5	14.4	0.109
6	8.6	14.4	0.274
7	8.4	14.3	0.740
8	10.3	14.2	0.792
9	10.4	14.1	0.795
10	9.8	14.1	0.834
11	9.8	14.1	0.795
12	9.3	14.1	0.771
13	9.0	14.0	0.714
14	9.0	14.0	0.627
15	9.0	14.0	0.572
16	9.3	13.9	0.534
17	9.9	13.9	0.555
18	10.6	13.9	0.688
19	11.4	13.8	0.768
20	11.5	13.8	0.950
21	11.7	13.8	0.976
22	12.0	13.8	0.910
23	12.3	13.8	0.548
24	12.8	13.7	0.343
25	11.1	13.7	0.237
26	10.8	13.7	0.128
27	10.9	13.7	0.050
28	10.9	13.7	0.036
29	10.8	13.7	0.109
30	10.5	13.6	0.274
31	10.8	13.6	0.740
32	13.0	13.6	0.792
33	12.6	13.6	0.795
34	12.4	13.5	0.834
35	12.0	13.5	0.795
36	11.5	13.5	0.771
37	11.2	13.5	0.714
38	11.1	13.4	0.627
39	10.7	13.4	0.572
40	11.0	13.4	0.534
41	11.5	13.4	0.555
42	12.0	13.4	0.688
43	12.1	13.4	0.768
44	12.1	13.3	0.950
45	12.3	13.3	0.976
46	12.3	13.3	0.910
47	12.3	13.2	0.548
48	12.3	13.2	0.343
49	10.3	13.2	0.237
50	10.3	13.2	0.128
51	10.4	13.2	0.050
52	10.6	13.1	0.036
53	10.7	13.1	0.109
54	10.6	13.1	0.274
55	11.0	13.1	0.740
56	12.8	13.0	0.792
57	12.7	13.0	0.795
58	12.7	13.0	0.834
59	12.4	13.0	0.795
60	12.3	13.0	0.771
61	11.8	13.0	0.714
62	11.5	12.9	0.627
63	11.3	12.9	0.572
64	11.2	12.9	0.534
65	11.4	12.9	0.555
66	11.8	12.8	0.688
67	12.2	12.8	0.768
68	12.5	12.8	0.950
69	12.9	12.8	0.976
70	13.2	12.8	0.910
71	13.4	12.7	0.548
72	13.6	12.7	0.343
73	11.8	12.7	0.237
74	11.8	12.7	0.128
75	11.6	12.7	0.050
76	11.7	12.7	0.036
77	11.7	12.6	0.109
78	11.6	12.6	0.274
79	11.4	12.6	0.740
80	12.9	12.6	0.792
81	12.5	12.6	0.795
82	11.9	12.6	0.834
83	10.8	12.6	0.795
84	10.0	12.6	0.771
85	9.2	12.6	0.714
86	8.9	12.5	0.627
87	9.0	12.5	0.572
88	8.9	12.5	0.534
89	9.1	12.5	0.555
90	9.2	12.5	0.688
91	9.2	12.5	0.768
92	8.9	12.5	0.950
93	9.2	12.5	0.976
94	9.4	12.5	0.910
95	9.5	12.4	0.548
96	9.5	12.4	0.343
