# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	16.2	30.7	0.638
2	16.6	30.6	0.345
3	17.4	29.6	0.135
4	17.1	29.4	0.098
5	17.4	29.4	0.293
6	17.5	29.3	0.736
7	17.1	29.1	1.989
8	21.1	29.0	2.128
9	21.2	28.8	2.138
10	20.0	28.8	2.240
11	20.1	28.7	2.138
12	18.9	28.7	2.072
13	18.3	28.6	1.919
14	18.4	28.5	1.686
15	18.4	28.5	1.537
16	18.9	28.4	1.434
17	20.1	28.3	1.490
18	21.7	28.3	1.849
19	23.2	28.3	2.063
20	23.6	28.2	2.552
21	23.8	28.2	2.622
22	24.6	28.2	2.445
23	25.1	28.2	1.472
24	26.0	28.1	0.922
25	22.8	28.1	0.638
26	22.1	28.0	0.345
27	22.2	27.9	0.135
28	22.3	27.9	0.098
29	22.0	27.9	0.293
30	21.5	27.8	0.736
31	22.0	27.8	1.989
32	26.5	27.7	2.128
33	25.8	27.7	2.138
34	25.3	27.6	2.240
35	24.5	27.6	2.138
36	23.5	27.5	2.072
37	23.0	27.5	1.919
38	22.7	27.4	1.686
39	21.9	27.4	1.537
40	22.4	27.4	1.434
41	23.4	27.4	1.490
42	24.5	27.4	1.849
43	24.7	27.4	2.063
44	24.7	27.2	2.552
45	25.1	27.1	2.622
46	25.1	27.0	2.445
47	25.2	27.0	1.472
48	25.2	26.9	0.922
49	21.1	26.9	0.638
50	21.0	26.7	0.345
51	21.2	26.7	0.135
52	21.7	26.7	0.098
53	21.9	26.7	0.293
54	21.6	26.6	0.736
55	22.4	26.6	1.989
56	26.1	26.6	2.128
57	25.8	26.5	2.138
58	26.0	26.5	2.240
59	25.3	26.5	2.138
60	25.1	26.4	2.072
61	24.0	26.3	1.919
62	23.4	26.3	1.686
63	23.0	26.2	1.537
64	22.9	26.2	1.434
65	23.2	26.1	1.490
66	24.1	26.1	1.849
67	24.9	26.0	2.063
68	25.5	26.0	2.552
69	26.3	26.0	2.622
70	26.9	25.9	2.445
71	27.4	25.9	1.472
72	27.8	25.8	0.922
73	24.0	25.8	0.638
74	24.0	25.8	0.345
75	23.8	25.8	0.135
76	23.9	25.8	0.098
77	23.9	25.7	0.293
78	23.8	25.7	0.736
79	23.2	25.7	1.989
80	26.4	25.7	2.128
81	25.6	25.6	2.138
82	24.3	25.6	2.240
83	22.1	25.6	2.138
84	20.4	25.6	2.072
85	18.8	25.6	1.919
86	18.2	25.6	1.686
87	18.4	25.5	1.537
88	18.2	25.5	1.434
89	18.6	25.5	1.490
90	18.8	25.5	1.849
91	18.7	25.4	2.063
92	18.2	25.4	2.552
93	18.8	25.4	2.622
94	19.2	25.4	2.445
95	19.4	25.4	1.472
96	19.4	25.4	0.922
97	15.3	25.3	0.638
98	15.5	25.3	0.345
99	16.3	25.3	0.135
100	16.8	25.3	0.098
101	17.3	25.3	0.293
102	17.6	25.3	0.736
103	18.4	25.2	1.989
104	22.8	25.2	2.128
105	23.3	25.2	2.138
106	23.2	25.2	2.240
107	23.6	25.2	2.138
108	23.8	25.2	2.072
109	23.9	25.2	1.919
110	24.4	25.1	1.686
111	25.7	25.1	1.537
112	25.6	25.1	1.434
113	26.7	25.1	1.490
114	27.9	25.1	1.849
115	28.1	25.0	2.063
116	27.5	25.0	2.552
117	28.3	25.0	2.622
118	29.3	25.0	2.445
119	30.6	25.0	1.472
120	30.7	25.0	0.922
121	27.4	25.0	0.638
122	27.4	24.9	0.345
123	26.7	24.9	0.135
124	26.6	24.9	0.098
125	25.3	24.9	0.293
126	24.4	24.9	0.736
127	24.1	24.9	1.989
128	28.0	24.9	2.128
129	27.5	24.9	2.138
130	26.5	24.8	2.240
131	24.9	24.7	2.138
