# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.5	0.8	0.007
2	0.5	0.8	0.004
3	0.5	0.8	0.001
4	0.5	0.8	0.001
5	0.5	0.8	0.003
6	0.5	0.8	0.008
7	0.5	0.7	0.021
8	0.5	0.7	0.023
9	0.5	0.7	0.023
10	0.5	0.7	0.024
11	0.5	0.7	0.023
12	0.5	0.7	0.022
13	0.5	0.7	0.021
14	0.5	0.7	0.018
15	0.5	0.7	0.017
16	0.5	0.7	0.015
17	0.5	0.7	0.016
18	0.5	0.7	0.020
19	0.6	0.7	0.022
20	0.6	0.7	0.027
21	0.6	0.7	0.028
22	0.6	0.7	0.026
23	0.6	0.7	0.016
24	0.6	0.7	0.010
25	0.7	0.7	0.007
26	0.7	0.7	0.004
27	0.7	0.7	0.001
28	0.7	0.7	0.001
29	0.6	0.7	0.003
30	0.6	0.7	0.008
31	0.7	0.7	0.021
32	0.7	0.7	0.023
33	0.6	0.7	0.023
34	0.6	0.7	0.024
35	0.6	0.7	0.023
36	0.6	0.7	0.022
37	0.6	0.7	0.021
38	0.6	0.7	0.018
39	0.5	0.7	0.017
40	0.6	0.7	0.015
41	0.6	0.7	0.016
42	0.6	0.7	0.020
43	0.6	0.7	0.022
44	0.6	0.7	0.027
45	0.6	0.7	0.028
46	0.6	0.7	0.026
47	0.6	0.7	0.016
48	0.6	0.7	0.010
49	0.6	0.7	0.007
50	0.6	0.7	0.004
51	0.6	0.7	0.001
52	0.6	0.7	0.001
53	0.6	0.7	0.003
54	0.6	0.7	0.008
55	0.7	0.7	0.021
56	0.7	0.7	0.023
57	0.6	0.7	0.023
58	0.6	0.7	0.024
59	0.6	0.7	0.023
60	0.6	0.7	0.022
61	0.6	0.7	0.021
62	0.6	0.7	0.018
63	0.6	0.7	0.017
64	0.6	0.7	0.015
65	0.6	0.7	0.016
66	0.6	0.6	0.020
67	0.6	0.6	0.022
68	0.6	0.6	0.027
69	0.7	0.6	0.028
70	0.7	0.6	0.026
71	0.7	0.6	0.016
72	0.7	0.6	0.010
73	0.7	0.6	0.007
74	0.7	0.6	0.004
75	0.7	0.6	0.001
76	0.7	0.6	0.001
77	0.7	0.6	0.003
78	0.7	0.6	0.008
79	0.7	0.6	0.021
80	0.7	0.6	0.023
81	0.6	0.6	0.023
82	0.6	0.6	0.024
83	0.6	0.6	0.023
84	0.5	0.6	0.022
85	0.5	0.6	0.021
86	0.5	0.6	0.018
87	0.5	0.6	0.017
88	0.5	0.6	0.015
89	0.5	0.6	0.016
90	0.5	0.6	0.020
91	0.5	0.6	0.022
92	0.5	0.6	0.027
93	0.5	0.6	0.028
94	0.5	0.6	0.026
95	0.5	0.6	0.016
96	0.5	0.6	0.010
97	0.5	0.6	0.007
98	0.5	0.6	0.004
99	0.5	0.6	0.001
