# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.3	16.1	0.233
2	10.6	16.0	0.126
3	11.0	15.7	0.049
4	10.8	15.7	0.036
5	11.0	15.7	0.107
6	11.0	15.6	0.269
7	10.8	15.0	0.727
8	10.8	15.0	0.779
9	10.8	14.5	0.782
10	10.2	14.5	0.819
11	10.3	14.4	0.782
12	9.7	14.4	0.758
13	9.4	14.4	0.702
14	9.4	14.3	0.617
15	9.4	14.3	0.562
16	9.7	14.3	0.525
17	10.3	14.3	0.545
18	11.1	14.3	0.676
19	11.8	14.3	0.755
20	12.0	14.3	0.934
21	12.2	14.3	0.959
22	12.5	14.2	0.894
23	12.8	14.2	0.538
24	13.3	14.2	0.337
25	13.7	14.2	0.233
26	13.4	14.2	0.126
27	13.4	14.2	0.049
28	13.5	14.1	0.036
29	13.3	14.0	0.107
30	13.1	14.0	0.269
31	13.3	14.0	0.727
32	13.5	14.0	0.779
33	13.2	14.0	0.782
34	12.9	13.9	0.819
35	12.5	13.9	0.782
36	12.0	13.9	0.758
37	11.7	13.8	0.702
38	11.6	13.8	0.617
39	11.2	13.8	0.562
40	11.4	13.7	0.525
41	12.0	13.7	0.545
42	12.5	13.7	0.676
43	12.6	13.7	0.755
44	12.6	13.7	0.934
45	12.8	13.6	0.959
46	12.8	13.6	0.894
47	12.9	13.6	0.538
48	12.9	13.6	0.337
49	12.9	13.6	0.233
50	12.8	13.6	0.126
51	12.9	13.6	0.049
52	13.2	13.6	0.036
53	13.3	13.5	0.107
54	13.1	13.5	0.269
55	13.5	13.5	0.727
56	13.3	13.5	0.779
57	13.2	13.5	0.782
58	13.3	13.5	0.819
59	12.9	13.5	0.782
60	12.8	13.5	0.758
61	12.3	13.5	0.702
62	12.0	13.5	0.617
63	11.8	13.4	0.562
64	11.7	13.4	0.525
65	11.8	13.4	0.545
66	12.3	13.4	0.676
67	12.7	13.4	0.755
68	13.0	13.4	0.934
69	13.4	13.3	0.959
70	13.7	13.3	0.894
71	14.0	13.3	0.538
72	14.2	13.3	0.337
73	14.3	13.3	0.233
74	14.3	13.3	0.126
75	14.2	13.3	0.049
76	14.3	13.3	0.036
77	14.3	13.2	0.107
78	14.2	13.2	0.269
79	13.9	13.2	0.727
80	13.5	13.2	0.779
81	13.1	13.2	0.782
82	12.4	13.2	0.819
83	11.3	13.2	0.782
84	10.4	13.2	0.758
85	9.6	13.1	0.702
86	9.3	13.1	0.617
87	9.4	13.1	0.562
88	9.3	13.1	0.525
89	9.5	13.1	0.545
90	9.6	13.1	0.676
91	9.6	13.1	0.755
92	9.3	13.1	0.934
93	9.6	13.0	0.959
94	9.8	13.0	0.894
95	9.9	13.0	0.538
96	9.9	13.0	0.337
97	9.9	13.0	0.233
98	10.0	13.0	0.126
99	10.4	13.0	0.049
100	10.7	13.0	0.036
101	10.9	13.0	0.107
102	11.1	12.9	0.269
103	11.5	12.9	0.727
104	11.6	12.9	0.779
105	11.9	12.9	0.782
106	11.8	12.9	0.819
107	12.0	12.9	0.782
108	12.1	12.9	0.758
109	12.2	12.9	0.702
110	12.5	12.9	0.617
111	13.1	12.9	0.562
112	13.0	12.9	0.525
113	13.6	12.8	0.545
114	14.2	12.8	0.676
115	14.3	12.8	0.755
116	14.0	12.8	0.934
117	14.4	12.8	0.959
118	15.0	12.8	0.894
119	15.6	12.8	0.538
120	15.7	12.8	0.337
121	16.0	12.8	0.233
122	16.1	12.8	0.126
123	15.7	12.8	0.049
124	15.7	12.8	0.036
125	15.0	12.8	0.107
126	14.5	12.8	0.269
127	14.4	12.7	0.727
128	14.2	12.7	0.779
129	14.0	12.7	0.782
130	13.5	12.7	0.819
131	12.8	12.7	0.782
132	12.1	12.7	0.758
133	11.2	12.7	0.702
134	10.5	12.7	0.617
135	10.2	12.7	0.562
136	9.7	12.7	0.525
137	9.7	12.7	0.545
138	10.0	12.7	0.676
139	9.6	12.7	0.755
140	9.5	12.7	0.934
141	9.6	12.6	0.959
142	9.6	12.6	0.894
143	9.6	12.6	0.538
144	9.5	12.6	0.337
145	9.4	12.6	0.233
146	9.6	12.6	0.126
147	9.6	12.6	0.049
148	9.8	12.6	0.036
149	10.1	12.6	0.107
150	9.9	12.6	0.269
151	10.0	12.6	0.727
152	10.2	12.6	0.779
153	10.0	12.6	0.782
154	9.4	12.6	0.819
155	9.1	12.6	0.782
156	8.6	12.6	0.758
157	8.3	12.6	0.702
158	7.6	12.6	0.617
159	7.3	12.5	0.562
160	7.2	12.5	0.525
161	7.9	12.5	0.545
162	8.4	12.5	0.676
163	9.0	12.5	0.755
164	9.2	12.5	0.934
165	9.7	12.5	0.959
166	9.8	12.5	0.894
167	10.4	12.5	0.538
168	10.6	12.5	0.337
169	10.8	12.5	0.233
170	10.7	12.5	0.126
171	10.8	12.5	0.049
172	10.4	12.5	0.036
173	10.3	12.5	0.107
174	9.9	12.5	0.269
175	9.9	12.5	0.727
176	9.7	12.5	0.779
177	9.7	12.5	0.782
178	9.5	12.5	0.819
179	8.9	12.5	0.782
180	8.5	12.5	0.758
181	8.7	12.4	0.702
182	8.4	12.4	0.617
183	8.6	12.4	0.562
184	8.6	12.4	0.525
185	8.5	12.4	0.545
186	8.6	12.4	0.676
187	8.8	12.4	0.755
188	8.3	12.4	0.934
189	8.0	12.4	0.959
190	8.0	12.4	0.894
191	7.6	12.4	0.538
192	7.3	12.4	0.337
193	6.9	12.4	0.233
194	6.9	12.4	0.126
195	7.2	12.4	0.049
196	7.3	12.3	0.036
197	7.0	12.3	0.107
198	6.6	12.3	0.269
199	6.9	12.3	0.727
200	6.8	12.3	0.779
201	7.0	12.3	0.782
202	6.5	12.3	0.819
203	6.4	12.3	0.782
204	6.5	12.3	0.758
205	6.3	12.3	0.702
206	5.8	12.3	0.617
207	5.3	12.3	0.562
208	5.1	12.3	0.525
209	5.2	12.3	0.545
210	5.1	12.3	0.676
211	5.1	12.3	0.755
212	5.2	12.3	0.934
213	5.1	12.3	0.959
214	5.1	12.3	0.894
215	5.0	12.3	0.538
216	4.7	12.3	0.337
217	4.8	12.3	0.233
218	5.0	12.3	0.126
219	5.2	12.3	0.049
220	5.5	12.2	0.036
221	5.7	12.2	0.107
222	6.0	12.2	0.269
223	6.4	12.2	0.727
224	6.5	12.2	0.779
225	6.5	12.2	0.782
226	6.7	12.2	0.819
227	6.7	12.2	0.782
228	6.6	12.2	0.758
229	6.4	12.2	0.702
230	6.5	12.2	0.617
231	6.4	12.2	0.562
232	7.0	12.2	0.525
233	7.4	12.2	0.545
234	8.0	12.2	0.676
235	8.1	12.2	0.755
236	8.5	12.1	0.934
237	9.1	12.1	0.959
238	9.8	12.1	0.894
239	10.4	12.1	0.538
240	10.7	12.1	0.337
241	11.1	12.1	0.233
242	11.1	12.1	0.126
243	11.1	12.1	0.049
244	11.2	12.1	0.036
245	11.1	12.1	0.107
246	11.0	12.1	0.269
247	11.0	12.1	0.727
248	10.8	12.1	0.779
249	11.0	12.1	0.782
250	10.5	12.1	0.819
251	10.5	12.1	0.782
252	9.6	12.1	0.758
253	9.4	12.1	0.702
254	8.8	12.1	0.617
255	8.9	12.0	0.562
256	9.2	12.0	0.525
257	10.0	12.0	0.545
258	10.0	12.0	0.676
259	10.1	12.0	0.755
260	10.6	12.0	0.934
261	10.8	12.0	0.959
262	11.2	12.0	0.894
263	11.1	12.0	0.538
264	11.2	12.0	0.337
265	11.2	12.0	0.233
266	11.4	12.0	0.126
267	11.4	12.0	0.049
268	11.3	12.0	0.036
269	11.1	12.0	0.107
270	11.3	12.0	0.269
271	11.1	12.0	0.727
272	11.2	12.0	0.779
273	11.3	12.0	0.782
274	10.9	12.0	0.819
275	10.5	12.0	0.782
276	9.9	12.0	0.758
277	9.3	12.0	0.702
278	9.0	12.0	0.617
279	8.7	11.9	0.562
280	8.8	11.9	0.525
281	8.7	11.9	0.545
282	8.9	11.9	0.676
283	8.9	11.9	0.755
284	8.9	11.9	0.934
285	9.3	11.9	0.959
286	9.3	11.9	0.894
287	9.3	11.9	0.538
288	9.5	11.9	0.337
289	9.1	11.9	0.233
290	9.1	11.9	0.126
291	9.1	11.9	0.049
292	9.1	11.9	0.036
293	9.2	11.9	0.107
294	9.3	11.9	0.269
295	9.1	11.9	0.727
296	9.1	11.8	0.779
297	9.0	11.8	0.782
298	9.0	11.8	0.819
299	8.5	11.8	0.782
300	8.2	11.8	0.758
301	7.8	11.8	0.702
302	7.6	11.8	0.617
303	7.6	11.8	0.562
304	7.3	11.8	0.525
305	7.7	11.8	0.545
306	7.6	11.8	0.676
307	7.6	11.8	0.755
308	7.8	11.8	0.934
