# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	14.1	26.9	0.436
2	14.5	26.8	0.235
3	15.3	25.8	0.092
4	15.0	25.7	0.067
5	15.2	25.7	0.200
6	15.3	25.7	0.502
7	15.0	25.5	1.358
8	18.4	25.4	1.453
9	18.6	25.2	1.460
10	17.5	25.1	1.530
11	17.6	25.1	1.460
12	16.5	25.1	1.415
13	16.0	25.0	1.310
14	16.1	24.9	1.151
15	16.1	24.9	1.049
16	16.6	24.9	0.979
17	17.6	24.7	1.018
18	19.0	24.7	1.263
19	20.3	24.7	1.409
20	20.6	24.7	1.743
21	20.8	24.6	1.790
22	21.5	24.6	1.670
23	22.0	24.6	1.005
24	22.8	24.5	0.630
25	19.9	24.5	0.436
26	19.3	24.5	0.235
27	19.5	24.4	0.092
28	19.5	24.4	0.067
29	19.2	24.4	0.200
30	18.8	24.3	0.502
31	19.3	24.3	1.358
32	23.2	24.2	1.453
33	22.6	24.2	1.460
34	22.1	24.1	1.530
35	21.4	24.1	1.460
36	20.5	24.1	1.415
37	20.1	24.1	1.310
38	19.9	24.0	1.151
39	19.2	24.0	1.049
40	19.6	24.0	0.979
41	20.5	24.0	1.018
42	21.4	23.9	1.263
43	21.6	23.9	1.409
44	21.6	23.8	1.743
45	21.9	23.7	1.790
46	22.0	23.6	1.670
47	22.0	23.6	1.005
48	22.0	23.5	0.630
49	18.4	23.5	0.436
50	18.4	23.4	0.235
51	18.5	23.4	0.092
52	19.0	23.3	0.067
53	19.2	23.3	0.200
54	18.9	23.3	0.502
55	19.6	23.3	1.358
56	22.8	23.3	1.453
57	22.6	23.2	1.460
58	22.7	23.2	1.530
59	22.1	23.2	1.460
60	21.9	23.2	1.415
61	21.0	23.1	1.310
62	20.5	23.1	1.151
63	20.1	23.0	1.049
64	20.0	23.0	0.979
65	20.3	22.9	1.018
66	21.1	22.9	1.263
67	21.8	22.8	1.409
68	22.3	22.8	1.743
69	23.0	22.8	1.790
70	23.5	22.7	1.670
71	24.0	22.7	1.005
72	24.3	22.7	0.630
73	21.0	22.7	0.436
74	21.0	22.6	0.235
75	20.8	22.6	0.092
76	21.0	22.6	0.067
77	20.9	22.6	0.200
78	20.8	22.6	0.502
79	20.3	22.5	1.358
80	23.1	22.5	1.453
81	22.4	22.5	1.460
82	21.3	22.4	1.530
83	19.3	22.4	1.460
84	17.8	22.4	1.415
85	16.5	22.4	1.310
86	15.9	22.4	1.151
87	16.1	22.4	1.049
88	16.0	22.3	0.979
89	16.3	22.3	1.018
90	16.4	22.3	1.263
91	16.4	22.3	1.409
92	16.0	22.2	1.743
93	16.5	22.2	1.790
94	16.8	22.2	1.670
95	16.9	22.2	1.005
96	17.0	22.2	0.630
97	13.4	22.2	0.436
98	13.5	22.2	0.235
99	14.2	22.2	0.092
100	14.7	22.1	0.067
101	15.2	22.1	0.200
102	15.4	22.1	0.502
103	16.1	22.1	1.358
104	19.9	22.1	1.453
105	20.4	22.1	1.460
106	20.3	22.0	1.530
107	20.6	22.0	1.460
108	20.8	22.0	1.415
109	20.9	22.0	1.310
110	21.4	22.0	1.151
111	22.5	22.0	1.049
112	22.4	22.0	0.979
113	23.4	22.0	1.018
114	24.4	21.9	1.263
115	24.5	21.9	1.409
116	24.1	21.9	1.743
117	24.7	21.9	1.790
118	25.7	21.9	1.670
119	26.8	21.9	1.005
120	26.9	21.9	0.630
121	23.9	21.9	0.436
122	24.0	21.8	0.235
123	23.4	21.8	0.092
124	23.3	21.8	0.067
125	22.2	21.8	0.200
126	21.4	21.8	0.502
127	21.1	21.8	1.358
128	24.5	21.8	1.453
129	24.1	21.8	1.460
130	23.2	21.8	1.530
131	21.8	21.8	1.460
132	20.7	21.8	1.415
133	19.0	21.6	1.310
134	17.8	21.6	1.151
135	17.3	21.6	1.049
136	16.4	21.6	0.979
137	16.5	21.6	1.018
138	17.0	21.6	1.263
139	16.3	21.6	1.409
140	16.2	21.6	1.743
141	16.3	21.5	1.790
142	16.3	21.5	1.670
143	16.4	21.5	1.005
144	16.3	21.5	0.630
145	12.4	21.5	0.436
146	12.8	21.5	0.235
147	12.9	21.4	0.092
148	13.1	21.4	0.067
149	13.8	21.4	0.200
150	13.4	21.4	0.502
151	13.5	21.4	1.358
152	17.5	21.3	1.453
153	17.2	21.3	1.460
154	16.1	21.3	1.530
155	15.6	21.2	1.460
156	14.8	21.2	1.415
157	14.3	21.2	1.310
158	13.0	21.2	1.151
159	12.6	21.2	1.049
160	12.5	21.2	0.979
161	13.6	21.2	1.018
162	14.4	21.1	1.263
163	15.5	21.1	1.409
164	15.7	21.1	1.743
165	16.6	21.1	1.790
166	16.8	21.1	1.670
167	17.9	21.1	1.005
168	18.1	21.1	0.630
169	14.9	21.1	0.436
170	14.7	21.1	0.235
171	14.9	21.1	0.092
172	14.2	21.0	0.067
173	14.0	21.0	0.200
174	13.3	21.0	0.502
175	13.3	21.0	1.358
176	16.7	21.0	1.453
177	16.6	21.0	1.460
178	16.2	21.0	1.530
179	15.3	21.0	1.460
180	14.5	21.0	1.415
181	14.8	21.0	1.310
182	14.4	20.9	1.151
183	14.8	20.9	1.049
184	14.7	20.9	0.979
185	14.5	20.9	1.018
186	14.7	20.9	1.263
187	15.0	20.9	1.409
188	14.2	20.9	1.743
189	13.7	20.8	1.790
190	13.7	20.8	1.670
191	13.0	20.8	1.005
192	12.5	20.8	0.630
193	8.2	20.8	0.436
194	8.2	20.8	0.235
195	8.7	20.8	0.092
196	8.8	20.8	0.067
197	8.3	20.8	0.200
198	7.7	20.8	0.502
199	8.2	20.7	1.358
200	11.7	20.7	1.453
201	12.0	20.7	1.460
202	11.1	20.7	1.530
203	10.9	20.7	1.460
204	11.1	20.7	1.415
205	10.9	20.7	1.310
206	10.0	20.7	1.151
207	9.1	20.7	1.049
208	8.8	20.7	0.979
209	8.9	20.7	1.018
210	8.7	20.6	1.263
211	8.8	20.6	1.409
212	8.8	20.6	1.743
213	8.7	20.6	1.790
214	8.7	20.6	1.670
215	8.6	20.6	1.005
216	8.0	20.6	0.630
217	4.6	20.6	0.436
218	4.9	20.6	0.235
219	5.3	20.6	0.092
220	5.7	20.6	0.067
221	6.2	20.6	0.200
222	6.7	20.6	0.502
223	7.4	20.5	1.358
224	11.2	20.5	1.453
225	11.1	20.5	1.460
226	11.4	20.5	1.530
227	11.4	20.5	1.460
228	11.2	20.5	1.415
229	10.9	20.4	1.310
230	11.1	20.4	1.151
231	10.9	20.4	1.049
232	11.9	20.4	0.979
233	12.7	20.4	1.018
234	13.7	20.4	1.263
235	13.8	20.3	1.409
236	14.6	20.3	1.743
