# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.3	0.6	0.004
2	0.3	0.6	0.002
3	0.4	0.6	0.001
4	0.3	0.6	0.001
5	0.4	0.6	0.002
6	0.4	0.6	0.005
7	0.3	0.6	0.014
8	0.4	0.6	0.015
9	0.4	0.6	0.015
10	0.4	0.6	0.015
11	0.4	0.6	0.015
12	0.4	0.6	0.014
13	0.4	0.6	0.013
14	0.4	0.6	0.012
15	0.4	0.6	0.010
16	0.4	0.6	0.010
17	0.4	0.6	0.010
18	0.4	0.6	0.013
19	0.5	0.6	0.014
20	0.5	0.6	0.017
21	0.5	0.6	0.018
22	0.5	0.6	0.017
23	0.5	0.6	0.010
24	0.5	0.6	0.006
25	0.5	0.6	0.004
26	0.5	0.6	0.002
27	0.5	0.6	0.001
28	0.5	0.6	0.001
29	0.4	0.6	0.002
30	0.4	0.6	0.005
31	0.4	0.6	0.014
32	0.5	0.6	0.015
33	0.5	0.6	0.015
34	0.5	0.6	0.015
35	0.5	0.6	0.015
36	0.5	0.6	0.014
37	0.5	0.6	0.013
38	0.5	0.6	0.012
39	0.4	0.6	0.010
40	0.5	0.5	0.010
41	0.5	0.5	0.010
42	0.5	0.5	0.013
43	0.5	0.5	0.014
44	0.5	0.5	0.017
45	0.5	0.5	0.018
46	0.5	0.5	0.017
47	0.5	0.5	0.010
48	0.5	0.5	0.006
49	0.4	0.5	0.004
50	0.4	0.5	0.002
51	0.4	0.5	0.001
52	0.4	0.5	0.001
53	0.4	0.5	0.002
54	0.4	0.5	0.005
55	0.5	0.5	0.014
56	0.5	0.5	0.015
57	0.5	0.5	0.015
58	0.5	0.5	0.015
59	0.5	0.5	0.015
60	0.5	0.5	0.014
61	0.5	0.5	0.013
62	0.5	0.5	0.012
63	0.5	0.5	0.010
64	0.5	0.5	0.010
65	0.5	0.5	0.010
66	0.5	0.5	0.013
67	0.5	0.5	0.014
68	0.5	0.5	0.017
69	0.5	0.5	0.018
70	0.5	0.5	0.017
71	0.6	0.5	0.010
72	0.6	0.5	0.006
73	0.5	0.5	0.004
74	0.5	0.5	0.002
75	0.5	0.5	0.001
76	0.5	0.5	0.001
77	0.5	0.5	0.002
78	0.5	0.5	0.005
79	0.5	0.5	0.014
80	0.5	0.5	0.015
81	0.5	0.5	0.015
82	0.5	0.5	0.015
83	0.5	0.5	0.015
84	0.4	0.5	0.014
85	0.4	0.5	0.013
86	0.4	0.5	0.012
87	0.4	0.5	0.010
88	0.4	0.5	0.010
89	0.4	0.5	0.010
90	0.4	0.5	0.013
91	0.4	0.5	0.014
92	0.4	0.5	0.017
93	0.4	0.5	0.018
94	0.4	0.5	0.017
95	0.4	0.5	0.010
96	0.4	0.5	0.006
97	0.3	0.5	0.004
98	0.3	0.5	0.002
99	0.3	0.5	0.001
100	0.3	0.5	0.001
101	0.4	0.5	0.002
102	0.4	0.5	0.005
103	0.4	0.5	0.014
104	0.5	0.5	0.015
105	0.5	0.5	0.015
106	0.5	0.5	0.015
107	0.5	0.5	0.015
108	0.5	0.5	0.014
109	0.5	0.5	0.013
110	0.5	0.5	0.012
111	0.5	0.5	0.010
112	0.5	0.5	0.010
113	0.5	0.5	0.010
114	0.6	0.5	0.013
115	0.6	0.5	0.014
116	0.6	0.5	0.017
117	0.6	0.5	0.018
118	0.6	0.5	0.017
119	0.6	0.5	0.010
120	0.6	0.5	0.006
121	0.6	0.5	0.004
122	0.6	0.5	0.002
123	0.5	0.5	0.001
124	0.5	0.5	0.001
125	0.5	0.5	0.002
126	0.5	0.5	0.005
127	0.5	0.5	0.014
128	0.6	0.5	0.015
129	0.6	0.5	0.015
130	0.5	0.5	0.015
131	0.5	0.5	0.015
132	0.5	0.5	0.014
133	0.4	0.5	0.013
134	0.4	0.5	0.012
135	0.4	0.5	0.010
136	0.4	0.5	0.010
137	0.4	0.5	0.010
138	0.4	0.5	0.013
139	0.4	0.5	0.014
140	0.4	0.5	0.017
141	0.4	0.5	0.018
142	0.4	0.5	0.017
143	0.4	0.5	0.010
144	0.4	0.5	0.006
145	0.3	0.5	0.004
146	0.3	0.5	0.002
147	0.3	0.5	0.001
148	0.3	0.5	0.001
149	0.3	0.5	0.002
150	0.3	0.5	0.005
151	0.3	0.5	0.014
152	0.4	0.5	0.015
153	0.4	0.5	0.015
154	0.4	0.5	0.015
155	0.4	0.5	0.015
156	0.3	0.5	0.014
157	0.3	0.5	0.013
