# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.0	3.8	0.034
2	2.0	3.7	0.018
3	2.1	3.6	0.007
4	2.1	3.6	0.005
5	2.1	3.6	0.016
6	2.1	3.6	0.039
7	2.1	3.6	0.106
8	2.6	3.5	0.113
9	2.6	3.5	0.114
10	2.4	3.5	0.119
11	2.4	3.5	0.114
12	2.3	3.5	0.110
13	2.2	3.5	0.102
14	2.2	3.5	0.090
15	2.2	3.5	0.082
16	2.3	3.5	0.076
17	2.5	3.5	0.079
18	2.7	3.5	0.098
19	2.8	3.4	0.110
20	2.9	3.4	0.136
21	2.9	3.4	0.139
22	3.0	3.4	0.130
23	3.1	3.4	0.078
24	3.2	3.4	0.049
25	2.8	3.4	0.034
26	2.7	3.4	0.018
27	2.7	3.4	0.007
28	2.7	3.4	0.005
29	2.7	3.4	0.016
30	2.6	3.4	0.039
31	2.7	3.4	0.106
32	3.2	3.4	0.113
33	3.1	3.4	0.114
34	3.1	3.4	0.119
35	3.0	3.4	0.114
36	2.9	3.4	0.110
37	2.8	3.4	0.102
38	2.8	3.3	0.090
39	2.7	3.3	0.082
40	2.7	3.3	0.076
41	2.9	3.3	0.079
42	3.0	3.3	0.098
43	3.0	3.3	0.110
44	3.0	3.3	0.136
45	3.1	3.3	0.139
46	3.1	3.3	0.130
47	3.1	3.3	0.078
48	3.1	3.3	0.049
49	2.6	3.3	0.034
50	2.6	3.3	0.018
51	2.6	3.3	0.007
52	2.6	3.3	0.005
53	2.7	3.3	0.016
54	2.6	3.2	0.039
55	2.7	3.2	0.106
56	3.2	3.2	0.113
57	3.2	3.2	0.114
58	3.2	3.2	0.119
59	3.1	3.2	0.114
60	3.1	3.2	0.110
61	2.9	3.2	0.102
62	2.9	3.2	0.090
63	2.8	3.2	0.082
64	2.8	3.2	0.076
65	2.8	3.2	0.079
66	2.9	3.2	0.098
67	3.0	3.2	0.110
68	3.1	3.2	0.136
69	3.2	3.2	0.139
70	3.3	3.2	0.130
71	3.3	3.2	0.078
72	3.4	3.2	0.049
