# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.1	4.9	0.179
2	3.2	4.9	0.097
3	3.3	4.8	0.038
4	3.3	4.8	0.028
5	3.3	4.8	0.083
6	3.3	4.7	0.207
7	3.3	4.6	0.559
8	3.3	4.6	0.599
9	3.3	4.6	0.601
10	3.1	4.6	0.630
11	3.1	4.6	0.601
12	2.9	4.6	0.583
13	2.8	4.6	0.540
14	2.9	4.6	0.474
15	2.9	4.5	0.432
16	2.9	4.5	0.403
17	3.1	4.5	0.419
18	3.4	4.5	0.520
19	3.6	4.5	0.580
20	3.7	4.5	0.718
21	3.7	4.5	0.737
22	3.8	4.5	0.688
23	3.9	4.5	0.414
24	4.0	4.5	0.259
25	4.2	4.5	0.179
26	4.1	4.5	0.097
27	4.1	4.5	0.038
28	4.1	4.4	0.028
29	4.0	4.4	0.083
30	4.0	4.4	0.207
31	4.1	4.4	0.559
32	4.1	4.4	0.599
33	4.0	4.4	0.601
34	3.9	4.4	0.630
35	3.8	4.4	0.601
36	3.6	4.4	0.583
37	3.6	4.4	0.540
38	3.5	4.4	0.474
39	3.4	4.4	0.432
40	3.5	4.4	0.403
41	3.6	4.4	0.419
42	3.8	4.4	0.520
43	3.8	4.4	0.580
44	3.8	4.4	0.718
45	3.9	4.4	0.737
46	3.9	4.4	0.688
47	3.9	4.4	0.414
48	3.9	4.4	0.259
49	3.9	4.4	0.179
50	3.9	4.3	0.097
51	3.9	4.3	0.038
52	4.0	4.3	0.028
53	4.0	4.3	0.083
54	4.0	4.3	0.207
55	4.1	4.3	0.559
56	4.0	4.3	0.599
57	4.0	4.3	0.601
58	4.0	4.3	0.630
59	3.9	4.3	0.601
60	3.9	4.3	0.583
61	3.7	4.3	0.540
62	3.6	4.3	0.474
63	3.6	4.3	0.432
64	3.6	4.3	0.403
65	3.6	4.3	0.419
66	3.7	4.3	0.520
67	3.9	4.3	0.580
68	4.0	4.3	0.718
69	4.1	4.3	0.737
70	4.2	4.3	0.688
71	4.3	4.3	0.414
72	4.3	4.3	0.259
73	4.4	4.3	0.179
74	4.4	4.3	0.097
75	4.3	4.3	0.038
76	4.4	4.3	0.028
77	4.3	4.2	0.083
78	4.3	4.2	0.207
79	4.2	4.2	0.559
80	4.1	4.2	0.599
81	4.0	4.2	0.601
82	3.8	4.2	0.630
83	3.4	4.2	0.601
84	3.2	4.2	0.583
85	2.9	4.2	0.540
86	2.8	4.2	0.474
87	2.9	4.2	0.432
88	2.8	4.2	0.403
89	2.9	4.2	0.419
90	2.9	4.1	0.520
91	2.9	4.1	0.580
92	2.8	4.1	0.718
93	2.9	4.1	0.737
94	3.0	4.1	0.688
95	3.0	4.1	0.414
