# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.8	9.2	0.103
2	5.0	9.1	0.055
3	5.2	8.8	0.022
4	5.1	8.8	0.016
5	5.2	8.8	0.047
6	5.2	8.7	0.118
7	5.1	8.7	0.320
8	6.3	8.7	0.342
9	6.3	8.6	0.344
10	6.0	8.6	0.360
11	6.0	8.6	0.344
12	5.6	8.5	0.333
13	5.5	8.5	0.309
14	5.5	8.5	0.271
15	5.5	8.5	0.247
16	5.7	8.5	0.231
17	6.0	8.5	0.240
18	6.5	8.4	0.297
19	6.9	8.4	0.332
20	7.0	8.4	0.411
21	7.1	8.4	0.422
22	7.3	8.4	0.393
23	7.5	8.4	0.237
24	7.8	8.4	0.148
25	6.8	8.4	0.103
26	6.6	8.4	0.055
27	6.7	8.3	0.022
28	6.7	8.3	0.016
29	6.6	8.3	0.047
30	6.4	8.3	0.118
31	6.6	8.3	0.320
32	7.9	8.3	0.342
33	7.7	8.2	0.344
34	7.6	8.2	0.360
35	7.3	8.2	0.344
36	7.0	8.2	0.333
37	6.9	8.2	0.309
38	6.8	8.2	0.271
39	6.5	8.2	0.247
40	6.7	8.2	0.231
41	7.0	8.2	0.240
42	7.3	8.2	0.297
43	7.4	8.2	0.332
44	7.4	8.1	0.411
45	7.5	8.1	0.422
46	7.5	8.0	0.393
47	7.5	8.0	0.237
48	7.5	8.0	0.148
49	6.3	8.0	0.103
50	6.3	8.0	0.055
51	6.3	8.0	0.022
52	6.5	8.0	0.016
53	6.6	8.0	0.047
54	6.5	7.9	0.118
55	6.7	7.9	0.320
56	7.8	7.9	0.342
57	7.7	7.9	0.344
58	7.8	7.9	0.360
59	7.6	7.9	0.344
60	7.5	7.9	0.333
61	7.2	7.9	0.309
62	7.0	7.9	0.271
63	6.9	7.9	0.247
64	6.8	7.8	0.231
65	6.9	7.8	0.240
66	7.2	7.8	0.297
67	7.4	7.8	0.332
68	7.6	7.8	0.411
69	7.9	7.8	0.422
70	8.0	7.8	0.393
71	8.2	7.8	0.237
72	8.3	7.7	0.148
73	7.2	7.7	0.103
74	7.2	7.7	0.055
75	7.1	7.7	0.022
76	7.2	7.7	0.016
77	7.1	7.7	0.047
78	7.1	7.7	0.118
79	6.9	7.7	0.320
80	7.9	7.7	0.342
81	7.7	7.7	0.344
82	7.3	7.7	0.360
83	6.6	7.6	0.344
84	6.1	7.6	0.333
85	5.6	7.6	0.309
86	5.4	7.6	0.271
87	5.5	7.6	0.247
88	5.5	7.6	0.231
89	5.6	7.6	0.240
90	5.6	7.6	0.297
91	5.6	7.6	0.332
92	5.5	7.6	0.411
93	5.6	7.6	0.422
94	5.7	7.6	0.393
95	5.8	7.6	0.237
96	5.8	7.6	0.148
97	4.6	7.6	0.103
98	4.6	7.6	0.055
99	4.9	7.6	0.022
100	5.0	7.6	0.016
101	5.2	7.6	0.047
102	5.3	7.5	0.118
103	5.5	7.5	0.320
104	6.8	7.5	0.342
105	7.0	7.5	0.344
106	6.9	7.5	0.360
107	7.1	7.5	0.344
108	7.1	7.5	0.333
109	7.1	7.5	0.309
110	7.3	7.5	0.271
111	7.7	7.5	0.247
112	7.6	7.5	0.231
113	8.0	7.5	0.240
114	8.3	7.5	0.297
115	8.4	7.5	0.332
116	8.2	7.5	0.411
117	8.5	7.5	0.422
118	8.8	7.5	0.393
119	9.1	7.5	0.237
120	9.2	7.5	0.148
121	8.2	7.5	0.103
122	8.2	7.5	0.055
123	8.0	7.5	0.022
124	8.0	7.4	0.016
125	7.6	7.4	0.047
126	7.3	7.4	0.118
127	7.2	7.4	0.320
128	8.4	7.4	0.342
129	8.2	7.4	0.344
130	7.9	7.4	0.360
131	7.5	7.4	0.344
132	7.1	7.4	0.333
133	6.5	7.4	0.309
134	6.1	7.4	0.271
135	5.9	7.4	0.247
136	5.6	7.4	0.231
137	5.6	7.4	0.240
138	5.8	7.3	0.297
139	5.6	7.3	0.332
140	5.5	7.3	0.411
141	5.6	7.3	0.422
142	5.6	7.3	0.393
143	5.6	7.3	0.237
144	5.6	7.3	0.148
145	4.2	7.3	0.103
146	4.4	7.3	0.055
147	4.4	7.3	0.022
148	4.5	7.3	0.016
149	4.7	7.3	0.047
150	4.6	7.3	0.118
151	4.6	7.3	0.320
152	6.0	7.3	0.342
153	5.9	7.3	0.344
154	5.5	7.2	0.360
155	5.3	7.2	0.344
156	5.1	7.2	0.333
157	4.9	7.2	0.309
158	4.5	7.2	0.271
159	4.3	7.2	0.247
160	4.3	7.2	0.231
161	4.7	7.2	0.240
162	4.9	7.2	0.297
163	5.3	7.2	0.332
164	5.4	7.2	0.411
165	5.7	7.2	0.422
166	5.7	7.2	0.393
167	6.1	7.2	0.237
168	6.2	7.2	0.148
169	5.1	7.2	0.103
170	5.0	7.2	0.055
171	5.1	7.2	0.022
172	4.9	7.2	0.016
173	4.8	7.2	0.047
174	4.6	7.2	0.118
175	4.6	7.2	0.320
176	5.7	7.2	0.342
177	5.7	7.2	0.344
178	5.5	7.1	0.360
179	5.2	7.1	0.344
180	5.0	7.1	0.333
181	5.1	7.1	0.309
182	4.9	7.1	0.271
183	5.0	7.1	0.247
184	5.0	7.1	0.231
185	5.0	7.1	0.240
186	5.0	7.1	0.297
187	5.1	7.1	0.332
188	4.8	7.1	0.411
189	4.7	7.1	0.422
190	4.7	7.1	0.393
191	4.4	7.1	0.237
192	4.3	7.1	0.148
193	2.8	7.1	0.103
194	2.8	7.1	0.055
195	3.0	7.1	0.022
196	3.0	7.1	0.016
197	2.8	7.1	0.047
198	2.6	7.1	0.118
199	2.8	7.1	0.320
200	4.0	7.1	0.342
201	4.1	7.1	0.344
202	3.8	7.1	0.360
203	3.7	7.1	0.344
204	3.8	7.0	0.333
205	3.7	7.0	0.309
206	3.4	7.0	0.271
207	3.1	7.0	0.247
208	3.0	7.0	0.231
209	3.1	7.0	0.240
210	3.0	7.0	0.297
211	3.0	7.0	0.332
212	3.0	7.0	0.411
213	3.0	7.0	0.422
214	3.0	7.0	0.393
215	2.9	7.0	0.237
216	2.7	7.0	0.148
217	1.6	7.0	0.103
218	1.7	7.0	0.055
219	1.8	7.0	0.022
220	2.0	7.0	0.016
221	2.1	7.0	0.047
222	2.3	7.0	0.118
223	2.5	7.0	0.320
224	3.8	7.0	0.342
225	3.8	7.0	0.344
226	3.9	7.0	0.360
227	3.9	7.0	0.344
228	3.8	7.0	0.333
229	3.7	7.0	0.309
230	3.8	7.0	0.271
231	3.7	7.0	0.247
232	4.1	6.9	0.231
233	4.3	6.9	0.240
234	4.7	6.9	0.297
235	4.7	6.9	0.332
236	5.0	6.9	0.411
237	5.3	6.9	0.422
238	5.8	6.9	0.393
239	6.1	6.9	0.237
240	6.3	6.9	0.148
241	5.3	6.9	0.103
242	5.3	6.9	0.055
243	5.3	6.9	0.022
244	5.3	6.9	0.016
245	5.3	6.9	0.047
246	5.2	6.9	0.118
247	5.2	6.9	0.320
248	6.3	6.9	0.342
249	6.4	6.9	0.344
250	6.1	6.9	0.360
251	6.1	6.9	0.344
252	5.6	6.9	0.333
253	5.5	6.9	0.309
254	5.1	6.8	0.271
255	5.2	6.8	0.247
256	5.4	6.8	0.231
257	5.9	6.8	0.240
258	5.8	6.8	0.297
259	5.9	6.8	0.332
260	6.2	6.8	0.411
261	6.3	6.8	0.422
262	6.5	6.8	0.393
263	6.5	6.8	0.237
264	6.6	6.8	0.148
265	5.3	6.8	0.103
266	5.5	6.8	0.055
267	5.4	6.8	0.022
268	5.4	6.8	0.016
269	5.3	6.8	0.047
270	5.4	6.8	0.118
271	5.3	6.8	0.320
272	6.6	6.8	0.342
273	6.6	6.8	0.344
274	6.4	6.8	0.360
275	6.2	6.8	0.344
276	5.8	6.8	0.333
277	5.5	6.7	0.309
278	5.3	6.7	0.271
279	5.1	6.7	0.247
280	5.2	6.7	0.231
281	5.1	6.7	0.240
282	5.2	6.7	0.297
283	5.2	6.7	0.332
284	5.2	6.7	0.411
285	5.4	6.7	0.422
286	5.5	6.7	0.393
287	5.5	6.7	0.237
288	5.5	6.7	0.148
289	4.1	6.7	0.103
290	4.1	6.7	0.055
291	4.1	6.7	0.022
292	4.1	6.7	0.016
293	4.2	6.7	0.047
294	4.2	6.7	0.118
295	4.1	6.7	0.320
296	5.3	6.7	0.342
297	5.3	6.7	0.344
298	5.3	6.7	0.360
299	5.0	6.7	0.344
300	4.8	6.7	0.333
301	4.6	6.7	0.309
302	4.5	6.7	0.271
303	4.4	6.7	0.247
304	4.3	6.6	0.231
305	4.5	6.6	0.240
306	4.4	6.6	0.297
307	4.5	6.6	0.332
308	4.5	6.6	0.411
309	4.6	6.6	0.422
310	4.9	6.6	0.393
311	4.8	6.6	0.237
312	5.0	6.6	0.148
313	3.8	6.6	0.103
314	3.8	6.6	0.055
315	3.8	6.6	0.022
316	3.6	6.6	0.016
317	3.5	6.6	0.047
318	3.4	6.6	0.118
319	3.6	6.6	0.320
320	4.8	6.6	0.342
321	4.9	6.6	0.344
322	4.8	6.6	0.360
323	4.7	6.6	0.344
324	4.8	6.6	0.333
325	4.6	6.6	0.309
326	4.5	6.6	0.271
327	4.2	6.6	0.247
328	4.0	6.6	0.231
329	4.2	6.6	0.240
330	4.2	6.6	0.297
331	4.4	6.6	0.332
332	4.5	6.6	0.411
333	4.6	6.5	0.422
334	4.6	6.5	0.393
335	4.7	6.5	0.237
336	4.6	6.5	0.148
337	3.4	6.5	0.103
338	3.5	6.5	0.055
339	3.7	6.5	0.022
340	3.9	6.5	0.016
341	3.9	6.5	0.047
342	3.9	6.5	0.118
343	3.9	6.5	0.320
344	5.4	6.5	0.342
345	5.4	6.5	0.344
346	5.5	6.5	0.360
347	5.4	6.5	0.344
348	5.2	6.5	0.333
349	5.2	6.5	0.309
350	5.3	6.5	0.271
351	5.4	6.5	0.247
352	5.4	6.5	0.231
353	5.6	6.5	0.240
354	5.8	6.5	0.297
355	5.8	6.5	0.332
356	6.1	6.5	0.411
357	6.0	6.5	0.422
358	6.2	6.5	0.393
359	6.2	6.5	0.237
360	6.0	6.5	0.148
361	4.8	6.5	0.103
362	4.9	6.4	0.055
363	5.0	6.4	0.022
364	5.0	6.4	0.016
365	4.9	6.4	0.047
366	5.2	6.4	0.118
367	5.2	6.4	0.320
368	6.5	6.4	0.342
369	6.5	6.4	0.344
370	6.5	6.4	0.360
371	6.1	6.4	0.344
372	6.0	6.4	0.333
373	5.8	6.4	0.309
