# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.4	0.7	0.005
2	0.4	0.7	0.003
3	0.4	0.7	0.001
4	0.4	0.7	0.001
5	0.4	0.7	0.002
6	0.4	0.7	0.006
7	0.4	0.7	0.015
8	0.5	0.7	0.017
9	0.5	0.6	0.017
10	0.5	0.6	0.017
11	0.5	0.6	0.017
12	0.4	0.6	0.016
13	0.4	0.6	0.015
14	0.4	0.6	0.013
15	0.4	0.6	0.012
16	0.4	0.6	0.011
17	0.5	0.6	0.012
18	0.5	0.6	0.014
19	0.5	0.6	0.016
20	0.5	0.6	0.020
21	0.5	0.6	0.020
22	0.6	0.6	0.019
23	0.6	0.6	0.011
24	0.6	0.6	0.007
25	0.5	0.6	0.005
26	0.5	0.6	0.003
27	0.5	0.6	0.001
28	0.5	0.6	0.001
29	0.5	0.6	0.002
30	0.5	0.6	0.006
31	0.5	0.6	0.015
32	0.6	0.6	0.017
33	0.6	0.6	0.017
34	0.6	0.6	0.017
35	0.6	0.6	0.017
36	0.5	0.6	0.016
37	0.5	0.6	0.015
38	0.5	0.6	0.013
39	0.5	0.6	0.012
40	0.5	0.6	0.011
41	0.5	0.6	0.012
42	0.6	0.6	0.014
43	0.6	0.6	0.016
44	0.6	0.6	0.020
45	0.6	0.6	0.020
46	0.6	0.6	0.019
47	0.6	0.6	0.011
48	0.6	0.6	0.007
49	0.5	0.6	0.005
50	0.5	0.6	0.003
51	0.5	0.6	0.001
52	0.5	0.6	0.001
53	0.5	0.6	0.002
54	0.5	0.6	0.006
55	0.5	0.6	0.015
56	0.6	0.6	0.017
57	0.6	0.6	0.017
58	0.6	0.6	0.017
59	0.6	0.6	0.017
60	0.6	0.6	0.016
61	0.5	0.6	0.015
62	0.5	0.6	0.013
63	0.5	0.6	0.012
64	0.5	0.6	0.011
65	0.5	0.6	0.012
66	0.5	0.6	0.014
67	0.6	0.6	0.016
68	0.6	0.6	0.020
69	0.6	0.6	0.020
70	0.6	0.6	0.019
71	0.6	0.6	0.011
72	0.6	0.6	0.007
73	0.5	0.6	0.005
74	0.5	0.6	0.003
75	0.5	0.6	0.001
76	0.5	0.6	0.001
77	0.5	0.6	0.002
78	0.5	0.6	0.006
79	0.5	0.6	0.015
80	0.6	0.6	0.017
81	0.6	0.6	0.017
82	0.6	0.6	0.017
83	0.5	0.6	0.017
84	0.5	0.6	0.016
85	0.4	0.6	0.015
86	0.4	0.6	0.013
87	0.4	0.6	0.012
88	0.4	0.6	0.011
89	0.4	0.6	0.012
90	0.4	0.6	0.014
91	0.4	0.6	0.016
92	0.4	0.6	0.020
93	0.4	0.6	0.020
94	0.4	0.6	0.019
95	0.4	0.6	0.011
96	0.4	0.6	0.007
97	0.3	0.6	0.005
98	0.4	0.6	0.003
99	0.4	0.6	0.001
100	0.4	0.6	0.001
101	0.4	0.6	0.002
102	0.4	0.6	0.006
103	0.4	0.6	0.015
104	0.5	0.6	0.017
105	0.5	0.6	0.017
106	0.5	0.6	0.017
107	0.5	0.6	0.017
108	0.5	0.6	0.016
109	0.5	0.6	0.015
110	0.6	0.6	0.013
111	0.6	0.6	0.012
112	0.6	0.6	0.011
113	0.6	0.6	0.012
114	0.6	0.6	0.014
115	0.6	0.6	0.016
116	0.6	0.6	0.020
117	0.6	0.6	0.020
118	0.7	0.6	0.019
119	0.7	0.6	0.011
120	0.7	0.6	0.007
121	0.6	0.6	0.005
122	0.6	0.6	0.003
123	0.6	0.6	0.001
124	0.6	0.6	0.001
125	0.6	0.6	0.002
126	0.6	0.6	0.006
127	0.5	0.6	0.015
128	0.6	0.6	0.017
129	0.6	0.6	0.017
130	0.6	0.6	0.017
131	0.6	0.6	0.017
132	0.5	0.6	0.016
133	0.5	0.6	0.015
134	0.5	0.6	0.013
135	0.4	0.6	0.012
136	0.4	0.6	0.011
137	0.4	0.6	0.012
138	0.4	0.6	0.014
139	0.4	0.6	0.016
140	0.4	0.6	0.020
141	0.4	0.6	0.020
142	0.4	0.6	0.019
143	0.4	0.6	0.011
144	0.4	0.6	0.007
145	0.3	0.6	0.005
146	0.3	0.5	0.003
147	0.3	0.5	0.001
148	0.3	0.5	0.001
149	0.4	0.5	0.002
150	0.3	0.5	0.006
151	0.4	0.5	0.015
152	0.5	0.5	0.017
153	0.4	0.5	0.017
154	0.4	0.5	0.017
155	0.4	0.5	0.017
156	0.4	0.5	0.016
157	0.4	0.5	0.015
158	0.3	0.5	0.013
159	0.3	0.5	0.012
160	0.3	0.5	0.011
161	0.4	0.5	0.012
162	0.4	0.5	0.014
163	0.4	0.5	0.016
164	0.4	0.5	0.020
165	0.4	0.5	0.020
166	0.4	0.5	0.019
167	0.5	0.5	0.011
168	0.5	0.5	0.007
169	0.4	0.5	0.005
170	0.4	0.5	0.003
171	0.4	0.5	0.001
172	0.4	0.5	0.001
173	0.4	0.5	0.002
174	0.3	0.5	0.006
175	0.3	0.5	0.015
176	0.4	0.5	0.017
177	0.4	0.5	0.017
178	0.4	0.5	0.017
179	0.4	0.5	0.017
180	0.4	0.5	0.016
181	0.4	0.5	0.015
182	0.4	0.5	0.013
183	0.4	0.5	0.012
184	0.4	0.5	0.011
185	0.4	0.5	0.012
186	0.4	0.5	0.014
187	0.4	0.5	0.016
188	0.4	0.5	0.020
189	0.4	0.5	0.020
190	0.4	0.5	0.019
191	0.3	0.5	0.011
192	0.3	0.5	0.007
193	0.2	0.5	0.005
194	0.2	0.5	0.003
195	0.2	0.5	0.001
196	0.2	0.5	0.001
197	0.2	0.5	0.002
198	0.2	0.5	0.006
199	0.2	0.5	0.015
200	0.3	0.5	0.017
201	0.3	0.5	0.017
202	0.3	0.5	0.017
203	0.3	0.5	0.017
204	0.3	0.5	0.016
205	0.3	0.5	0.015
206	0.3	0.5	0.013
207	0.2	0.5	0.012
208	0.2	0.5	0.011
209	0.2	0.5	0.012
210	0.2	0.5	0.014
211	0.2	0.5	0.016
212	0.2	0.5	0.020
213	0.2	0.5	0.020
214	0.2	0.5	0.019
215	0.2	0.5	0.011
216	0.2	0.5	0.007
217	0.1	0.5	0.005
218	0.1	0.5	0.003
219	0.1	0.5	0.001
220	0.1	0.5	0.001
221	0.2	0.5	0.002
222	0.2	0.5	0.006
223	0.2	0.5	0.015
224	0.3	0.5	0.017
225	0.3	0.5	0.017
226	0.3	0.5	0.017
227	0.3	0.5	0.017
228	0.3	0.5	0.016
229	0.3	0.5	0.015
230	0.3	0.5	0.013
231	0.3	0.5	0.012
232	0.3	0.5	0.011
233	0.3	0.5	0.012
234	0.4	0.5	0.014
235	0.4	0.5	0.016
236	0.4	0.5	0.020
237	0.4	0.5	0.020
238	0.4	0.5	0.019
239	0.5	0.5	0.011
240	0.5	0.5	0.007
241	0.4	0.5	0.005
242	0.4	0.5	0.003
243	0.4	0.5	0.001
244	0.4	0.5	0.001
