# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.2	5.0	0.185
2	3.3	5.0	0.100
3	3.4	4.9	0.039
4	3.4	4.9	0.028
5	3.4	4.9	0.085
6	3.5	4.9	0.213
7	3.4	4.8	0.577
8	3.4	4.7	0.617
9	3.4	4.7	0.620
10	3.2	4.7	0.650
11	3.2	4.7	0.620
12	3.0	4.7	0.601
13	2.9	4.7	0.556
14	2.9	4.7	0.489
15	2.9	4.7	0.446
16	3.0	4.7	0.416
17	3.2	4.7	0.432
18	3.5	4.7	0.536
19	3.7	4.7	0.598
20	3.8	4.7	0.740
21	3.8	4.6	0.760
22	3.9	4.6	0.709
23	4.0	4.6	0.427
24	4.2	4.6	0.267
25	4.3	4.6	0.185
26	4.2	4.6	0.100
27	4.2	4.6	0.039
28	4.2	4.6	0.028
29	4.2	4.6	0.085
30	4.1	4.6	0.213
31	4.2	4.5	0.577
32	4.2	4.5	0.617
33	4.1	4.5	0.620
34	4.0	4.5	0.650
35	3.9	4.5	0.620
36	3.8	4.5	0.601
37	3.7	4.5	0.556
38	3.6	4.5	0.489
39	3.5	4.5	0.446
40	3.6	4.5	0.416
41	3.7	4.5	0.432
42	3.9	4.5	0.536
43	3.9	4.5	0.598
44	4.0	4.5	0.740
45	4.0	4.5	0.760
46	4.0	4.5	0.709
47	4.0	4.5	0.427
48	4.0	4.5	0.267
49	4.0	4.5	0.185
50	4.0	4.5	0.100
51	4.0	4.5	0.039
52	4.1	4.5	0.028
53	4.2	4.5	0.085
54	4.1	4.5	0.213
55	4.2	4.5	0.577
56	4.2	4.5	0.617
57	4.1	4.5	0.620
58	4.2	4.5	0.650
59	4.0	4.5	0.620
60	4.0	4.5	0.601
61	3.8	4.5	0.556
62	3.7	4.4	0.489
63	3.7	4.4	0.446
64	3.7	4.4	0.416
65	3.7	4.4	0.432
66	3.9	4.4	0.536
67	4.0	4.4	0.598
68	4.1	4.4	0.740
69	4.2	4.4	0.760
70	4.3	4.4	0.709
71	4.4	4.4	0.427
72	4.4	4.4	0.267
73	4.5	4.4	0.185
74	4.5	4.4	0.100
75	4.5	4.4	0.039
76	4.5	4.4	0.028
77	4.5	4.4	0.085
78	4.5	4.4	0.213
79	4.4	4.4	0.577
80	4.2	4.4	0.617
81	4.1	4.4	0.620
82	3.9	4.3	0.650
83	3.5	4.3	0.620
84	3.3	4.3	0.601
85	3.0	4.3	0.556
86	2.9	4.3	0.489
87	2.9	4.3	0.446
88	2.9	4.3	0.416
89	3.0	4.3	0.432
90	3.0	4.3	0.536
91	3.0	4.3	0.598
92	2.9	4.3	0.740
93	3.0	4.2	0.760
94	3.1	4.2	0.709
95	3.1	4.2	0.427
96	3.1	4.2	0.267
97	3.1	4.2	0.185
98	3.1	4.2	0.100
99	3.3	4.2	0.039
100	3.3	4.2	0.028
101	3.4	4.2	0.085
102	3.5	4.2	0.213
103	3.6	4.2	0.577
104	3.6	4.2	0.617
105	3.7	4.2	0.620
106	3.7	4.2	0.650
107	3.8	4.2	0.620
108	3.8	4.2	0.601
109	3.8	4.2	0.556
110	3.9	4.2	0.489
111	4.1	4.2	0.446
112	4.1	4.2	0.416
113	4.3	4.2	0.432
114	4.5	4.1	0.536
115	4.5	4.1	0.598
116	4.4	4.1	0.740
117	4.5	4.1	0.760
118	4.7	4.1	0.709
119	4.9	4.1	0.427
120	4.9	4.1	0.267
121	5.0	4.1	0.185
122	5.0	4.1	0.100
123	4.9	4.1	0.039
124	4.9	4.1	0.028
125	4.7	4.1	0.085
126	4.6	4.1	0.213
127	4.5	4.1	0.577
128	4.5	4.1	0.617
129	4.4	4.1	0.620
130	4.2	4.1	0.650
131	4.0	4.1	0.620
132	3.8	4.1	0.601
133	3.5	4.0	0.556
134	3.3	4.0	0.489
135	3.2	4.0	0.446
136	3.0	4.0	0.416
137	3.0	4.0	0.432
138	3.1	4.0	0.536
139	3.0	4.0	0.598
