# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.8	4.3	0.184
2	2.8	4.3	0.100
3	3.0	4.2	0.039
4	2.9	4.2	0.028
5	3.0	4.2	0.085
6	3.0	4.2	0.213
7	2.9	4.1	0.575
8	2.9	4.1	0.615
9	2.9	4.0	0.618
10	2.7	4.0	0.648
11	2.8	4.0	0.618
12	2.6	4.0	0.599
13	2.5	4.0	0.555
14	2.5	4.0	0.487
15	2.5	4.0	0.444
16	2.6	4.0	0.415
17	2.8	4.0	0.431
18	3.0	4.0	0.535
19	3.2	4.0	0.596
20	3.2	4.0	0.738
21	3.3	4.0	0.758
22	3.4	4.0	0.707
23	3.5	4.0	0.425
24	3.6	3.9	0.267
25	3.7	3.9	0.184
26	3.6	3.9	0.100
27	3.6	3.9	0.039
28	3.6	3.9	0.028
29	3.6	3.9	0.085
30	3.5	3.9	0.213
31	3.6	3.9	0.575
32	3.6	3.9	0.615
33	3.5	3.9	0.618
34	3.5	3.9	0.648
35	3.4	3.9	0.618
36	3.2	3.9	0.599
37	3.2	3.9	0.555
38	3.1	3.9	0.487
39	3.0	3.9	0.444
40	3.1	3.9	0.415
41	3.2	3.9	0.431
42	3.4	3.9	0.535
43	3.4	3.9	0.596
44	3.4	3.9	0.738
45	3.4	3.9	0.758
46	3.4	3.9	0.707
47	3.5	3.9	0.425
48	3.5	3.9	0.267
49	3.5	3.8	0.184
50	3.5	3.8	0.100
51	3.5	3.8	0.039
52	3.5	3.8	0.028
53	3.6	3.8	0.085
54	3.5	3.8	0.213
55	3.6	3.8	0.575
56	3.6	3.8	0.615
57	3.6	3.8	0.618
58	3.6	3.8	0.648
59	3.5	3.8	0.618
60	3.4	3.8	0.599
61	3.3	3.8	0.555
62	3.2	3.8	0.487
63	3.2	3.8	0.444
64	3.1	3.8	0.415
65	3.2	3.8	0.431
66	3.3	3.8	0.535
67	3.4	3.8	0.596
68	3.5	3.8	0.738
69	3.6	3.8	0.758
70	3.7	3.8	0.707
71	3.8	3.8	0.425
72	3.8	3.8	0.267
73	3.9	3.8	0.184
74	3.9	3.8	0.100
75	3.8	3.8	0.039
76	3.9	3.8	0.028
77	3.8	3.8	0.085
78	3.8	3.8	0.213
79	3.7	3.8	0.575
80	3.6	3.7	0.615
81	3.5	3.7	0.618
82	3.3	3.7	0.648
83	3.0	3.7	0.618
84	2.8	3.7	0.599
85	2.6	3.7	0.555
86	2.5	3.7	0.487
87	2.5	3.7	0.444
88	2.5	3.7	0.415
89	2.6	3.7	0.431
90	2.6	3.7	0.535
91	2.6	3.7	0.596
92	2.5	3.7	0.738
93	2.6	3.6	0.758
94	2.6	3.6	0.707
95	2.7	3.6	0.425
96	2.7	3.6	0.267
97	2.7	3.6	0.184
98	2.7	3.6	0.100
99	2.8	3.6	0.039
100	2.9	3.6	0.028
101	2.9	3.6	0.085
102	3.0	3.6	0.213
103	3.1	3.6	0.575
104	3.1	3.6	0.615
105	3.2	3.6	0.618
106	3.2	3.6	0.648
107	3.2	3.6	0.618
108	3.3	3.6	0.599
109	3.3	3.6	0.555
110	3.4	3.6	0.487
111	3.5	3.6	0.444
112	3.5	3.6	0.415
113	3.7	3.6	0.431
114	3.8	3.6	0.535
115	3.9	3.6	0.596
