# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.1	13.6	0.160
2	7.3	13.5	0.086
3	7.7	13.0	0.034
4	7.6	13.0	0.024
5	7.7	13.0	0.073
6	7.7	13.0	0.184
7	7.6	12.9	0.497
8	9.3	12.8	0.532
9	9.4	12.7	0.535
10	8.8	12.7	0.560
11	8.9	12.7	0.535
12	8.4	12.7	0.518
13	8.1	12.6	0.480
14	8.2	12.6	0.422
15	8.1	12.6	0.384
16	8.4	12.5	0.359
17	8.9	12.5	0.373
18	9.6	12.5	0.462
19	10.2	12.5	0.516
20	10.4	12.4	0.638
21	10.5	12.4	0.656
22	10.9	12.4	0.611
23	11.1	12.4	0.368
24	11.5	12.4	0.231
25	10.1	12.4	0.160
26	9.8	12.4	0.086
27	9.8	12.3	0.034
28	9.8	12.3	0.024
29	9.7	12.3	0.073
30	9.5	12.3	0.184
31	9.7	12.3	0.497
32	11.7	12.2	0.532
33	11.4	12.2	0.535
34	11.2	12.2	0.560
35	10.8	12.2	0.535
36	10.4	12.2	0.518
37	10.2	12.2	0.480
38	10.0	12.1	0.422
39	9.7	12.1	0.384
40	9.9	12.1	0.359
41	10.4	12.1	0.373
42	10.8	12.1	0.462
43	10.9	12.1	0.516
44	10.9	12.0	0.638
45	11.1	12.0	0.656
46	11.1	11.9	0.611
47	11.1	11.9	0.368
48	11.1	11.9	0.231
49	9.3	11.9	0.160
50	9.3	11.8	0.086
51	9.4	11.8	0.034
52	9.6	11.8	0.024
53	9.7	11.8	0.073
54	9.6	11.8	0.184
55	9.9	11.7	0.497
56	11.5	11.7	0.532
57	11.4	11.7	0.535
58	11.5	11.7	0.560
59	11.2	11.7	0.535
60	11.1	11.7	0.518
61	10.6	11.6	0.480
62	10.4	11.6	0.422
63	10.2	11.6	0.384
64	10.1	11.6	0.359
65	10.2	11.6	0.373
66	10.6	11.6	0.462
67	11.0	11.5	0.516
68	11.3	11.5	0.638
69	11.6	11.5	0.656
70	11.9	11.5	0.611
71	12.1	11.5	0.368
72	12.3	11.5	0.231
73	10.6	11.4	0.160
74	10.6	11.4	0.086
75	10.5	11.4	0.034
76	10.6	11.4	0.024
77	10.6	11.4	0.073
78	10.5	11.4	0.184
