# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	11.1	21.2	1.054
2	11.4	21.0	0.569
3	12.0	20.2	0.223
4	11.8	20.2	0.162
5	12.0	20.1	0.485
6	12.0	20.1	1.216
7	11.8	19.9	3.285
8	14.5	19.9	3.516
9	14.6	19.7	3.531
10	13.7	19.7	3.701
11	13.8	19.6	3.531
12	13.0	19.6	3.424
13	12.6	19.6	3.170
14	12.7	19.5	2.785
15	12.6	19.5	2.539
16	13.0	19.5	2.370
17	13.8	19.5	2.462
18	15.0	19.3	3.054
19	15.9	19.3	3.408
20	16.2	19.3	4.216
21	16.4	19.3	4.331
22	16.9	19.3	4.039
23	17.3	19.3	2.431
24	17.9	19.3	1.523
25	15.7	19.2	1.054
26	15.2	19.2	0.569
27	15.3	19.2	0.223
28	15.3	19.1	0.162
29	15.1	19.1	0.485
30	14.8	19.1	1.216
31	15.2	19.0	3.285
32	18.2	19.0	3.516
33	17.7	18.9	3.531
34	17.4	18.9	3.701
35	16.8	18.9	3.531
36	16.1	18.9	3.424
37	15.8	18.9	3.170
38	15.6	18.9	2.785
39	15.1	18.8	2.539
40	15.4	18.8	2.370
41	16.1	18.8	2.462
42	16.8	18.8	3.054
43	17.0	18.8	3.408
44	17.0	18.6	4.216
45	17.2	18.5	4.331
46	17.3	18.5	4.039
47	17.3	18.5	2.431
48	17.3	18.5	1.523
49	14.5	18.4	1.054
50	14.5	18.4	0.569
51	14.6	18.4	0.223
52	14.9	18.3	0.162
53	15.1	18.3	0.485
54	14.9	18.2	1.216
55	15.4	18.2	3.285
56	18.0	18.2	3.516
57	17.8	18.2	3.531
58	17.9	18.2	3.701
59	17.4	18.1	3.531
60	17.3	18.1	3.424
61	16.5	18.1	3.170
62	16.1	18.0	2.785
63	15.8	18.0	2.539
64	15.8	18.0	2.370
65	15.9	17.9	2.462
66	16.6	17.9	3.054
67	17.1	17.9	3.408
68	17.6	17.8	4.216
69	18.1	17.8	4.331
70	18.5	17.8	4.039
71	18.9	17.8	2.431
72	19.1	17.7	1.523
73	16.5	17.7	1.054
74	16.5	17.7	0.569
75	16.4	17.7	0.223
76	16.5	17.7	0.162
77	16.4	17.7	0.485
78	16.3	17.6	1.216
79	15.9	17.6	3.285
80	18.1	17.6	3.516
81	17.6	17.6	3.531
82	16.7	17.6	3.701
83	15.2	17.6	3.531
84	14.0	17.6	3.424
85	12.9	17.5	3.170
86	12.5	17.5	2.785
87	12.6	17.5	2.539
88	12.6	17.5	2.370
89	12.8	17.4	2.462
90	12.9	17.4	3.054
91	12.9	17.4	3.408
92	12.6	17.4	4.216
93	13.0	17.4	4.331
94	13.2	17.4	4.039
95	13.3	17.4	2.431
96	13.3	17.4	1.523
97	10.5	17.4	1.054
98	10.6	17.4	0.569
99	11.2	17.4	0.223
100	11.5	17.3	0.162
101	11.9	17.3	0.485
102	12.1	17.3	1.216
103	12.7	17.3	3.285
104	15.7	17.3	3.516
105	16.0	17.3	3.531
106	16.0	17.3	3.701
107	16.2	17.3	3.531
108	16.4	17.3	3.424
109	16.4	17.2	3.170
110	16.8	17.2	2.785
111	17.7	17.2	2.539
112	17.6	17.2	2.370
113	18.4	17.2	2.462
114	19.2	17.2	3.054
115	19.3	17.2	3.408
116	18.9	17.2	4.216
117	19.5	17.2	4.331
118	20.2	17.2	4.039
119	21.0	17.1	2.431
120	21.2	17.1	1.523
121	18.8	17.1	1.054
122	18.8	17.1	0.569
123	18.4	17.1	0.223
124	18.3	17.1	0.162
125	17.4	17.1	0.485
126	16.8	17.1	1.216
127	16.6	17.1	3.285
128	19.2	17.1	3.516
129	19.0	17.1	3.531
130	18.2	17.0	3.701
131	17.2	17.0	3.531
132	16.3	16.9	3.424
133	15.0	16.9	3.170
134	14.0	16.9	2.785
135	13.6	16.9	2.539
136	12.9	16.9	2.370
137	12.9	16.9	2.462
138	13.3	16.8	3.054
139	12.8	16.8	3.408
140	12.7	16.8	4.216
141	12.9	16.8	4.331
142	12.8	16.8	4.039
143	12.9	16.8	2.431
144	12.8	16.8	1.523
145	9.8	16.7	1.054
146	10.1	16.7	0.569
147	10.1	16.7	0.223
148	10.3	16.7	0.162
149	10.8	16.6	0.485
150	10.6	16.6	1.216
151	10.6	16.6	3.285
152	13.7	16.6	3.516
153	13.5	16.6	3.531
154	12.6	16.6	3.701
155	12.3	16.6	3.531
156	11.7	16.6	3.424
157	11.2	16.6	3.170
158	10.2	16.6	2.785
159	9.9	16.5	2.539
160	9.8	16.5	2.370
161	10.7	16.5	2.462
162	11.3	16.5	3.054
163	12.2	16.5	3.408
164	12.4	16.5	4.216
165	13.1	16.5	4.331
166	13.2	16.5	4.039
167	14.1	16.5	2.431
168	14.2	16.5	1.523
169	11.7	16.5	1.054
170	11.6	16.5	0.569
171	11.7	16.5	0.223
172	11.2	16.5	0.162
173	11.0	16.4	0.485
174	10.5	16.4	1.216
175	10.5	16.4	3.285
176	13.1	16.4	3.516
177	13.1	16.4	3.531
178	12.8	16.4	3.701
179	12.0	16.4	3.531
180	11.4	16.4	3.424
181	11.6	16.4	3.170
182	11.3	16.4	2.785
183	11.6	16.4	2.539
184	11.5	16.4	2.370
185	11.4	16.4	2.462
186	11.5	16.4	3.054
187	11.8	16.3	3.408
188	11.2	16.3	4.216
189	10.8	16.3	4.331
190	10.7	16.3	4.039
191	10.2	16.3	2.431
192	9.9	16.3	1.523
193	6.4	16.3	1.054
194	6.5	16.3	0.569
195	6.8	16.3	0.223
196	6.9	16.3	0.162
197	6.5	16.2	0.485
198	6.0	16.2	1.216
199	6.5	16.2	3.285
200	9.2	16.2	3.516
201	9.4	16.2	3.531
202	8.7	16.2	3.701
203	8.6	16.2	3.531
204	8.7	16.2	3.424
205	8.5	16.2	3.170
206	7.8	16.2	2.785
207	7.1	16.1	2.539
208	6.9	16.1	2.370
209	7.0	16.1	2.462
210	6.8	16.1	3.054
211	6.9	16.1	3.408
212	7.0	16.1	4.216
213	6.9	16.1	4.331
214	6.9	16.1	4.039
215	6.7	16.1	2.431
216	6.3	16.0	1.523
217	3.6	16.0	1.054
218	3.9	16.0	0.569
219	4.2	16.0	0.223
220	4.5	16.0	0.162
221	4.9	16.0	0.485
222	5.3	16.0	1.216
223	5.8	16.0	3.285
224	8.8	15.9	3.516
225	8.7	15.9	3.531
226	9.0	15.9	3.701
227	9.0	15.9	3.531
228	8.8	15.9	3.424
229	8.6	15.9	3.170
230	8.7	15.9	2.785
231	8.6	15.9	2.539
232	9.4	15.9	2.370
233	10.0	15.9	2.462
234	10.8	15.8	3.054
235	10.8	15.8	3.408
236	11.5	15.8	4.216
237	12.3	15.8	4.331
238	13.2	15.8	4.039
239	13.9	15.8	2.431
240	14.4	15.8	1.523
241	12.1	15.8	1.054
242	12.2	15.8	0.569
243	12.2	15.8	0.223
244	12.2	15.8	0.162
245	12.1	15.8	0.485
246	12.0	15.8	1.216
247	12.0	15.7	3.285
248	14.5	15.7	3.516
249	14.8	15.7	3.531
250	14.1	15.7	3.701
251	14.1	15.7	3.531
252	13.0	15.7	3.424
253	12.7	15.7	3.170
254	11.8	15.7	2.785
255	12.0	15.7	2.539
256	12.4	15.7	2.370
257	13.5	15.7	2.462
258	13.4	15.6	3.054
259	13.6	15.6	3.408
260	14.2	15.6	4.216
261	14.5	15.6	4.331
262	15.0	15.6	4.039
263	15.0	15.6	2.431
264	15.1	15.6	1.523
265	12.3	15.6	1.054
266	12.6	15.6	0.569
267	12.5	15.5	0.223
268	12.4	15.5	0.162
269	12.1	15.5	0.485
270	12.3	15.5	1.216
271	12.1	15.5	3.285
272	15.1	15.5	3.516
273	15.2	15.5	3.531
274	14.7	15.5	3.701
275	14.2	15.5	3.531
276	13.3	15.4	3.424
277	12.6	15.4	3.170
278	12.2	15.4	2.785
279	11.8	15.4	2.539
280	11.9	15.4	2.370
281	11.7	15.4	2.462
282	12.0	15.4	3.054
283	12.1	15.4	3.408
284	12.0	15.4	4.216
285	12.5	15.4	4.331
286	12.6	15.3	4.039
287	12.6	15.3	2.431
288	12.8	15.3	1.523
289	9.5	15.3	1.054
290	9.5	15.3	0.569
291	9.4	15.3	0.223
292	9.4	15.3	0.162
293	9.6	15.3	0.485
294	9.7	15.3	1.216
295	9.4	15.3	3.285
296	12.2	15.3	3.516
297	12.1	15.2	3.531
298	12.1	15.2	3.701
299	11.4	15.2	3.531
300	11.0	15.2	3.424
301	10.5	15.2	3.170
302	10.3	15.2	2.785
303	10.2	15.2	2.539
304	9.8	15.2	2.370
305	10.3	15.2	2.462
306	10.2	15.2	3.054
307	10.3	15.2	3.408
308	10.5	15.2	4.216
309	10.6	15.1	4.331
310	11.3	15.1	4.039
311	11.2	15.1	2.431
312	11.4	15.1	1.523
313	8.8	15.1	1.054
314	8.7	15.1	0.569
315	8.7	15.1	0.223
316	8.3	15.1	0.162
317	8.1	15.1	0.485
318	7.9	15.1	1.216
319	8.2	15.1	3.285
320	11.1	15.1	3.516
321	11.2	15.1	3.531
322	11.0	15.1	3.701
323	10.8	15.1	3.531
324	11.0	15.1	3.424
325	10.6	15.1	3.170
326	10.3	15.1	2.785
327	9.6	15.1	2.539
328	9.2	15.0	2.370
329	9.7	15.0	2.462
330	9.8	15.0	3.054
331	10.2	15.0	3.408
332	10.4	15.0	4.216
333	10.5	15.0	4.331
334	10.6	15.0	4.039
335	10.9	15.0	2.431
336	10.6	15.0	1.523
337	7.9	15.0	1.054
338	8.1	15.0	0.569
339	8.4	15.0	0.223
340	8.9	15.0	0.162
341	9.0	15.0	0.485
342	9.0	14.9	1.216
343	9.0	14.9	3.285
344	12.4	14.9	3.516
345	12.5	14.9	3.531
346	12.8	14.9	3.701
347	12.3	14.9	3.531
348	12.1	14.9	3.424
349	11.9	14.8	3.170
350	12.3	14.8	2.785
351	12.4	14.8	2.539
352	12.5	14.8	2.370
353	12.9	14.8	2.462
354	13.3	14.8	3.054
355	13.4	14.8	3.408
356	13.9	14.8	4.216
357	13.9	14.8	4.331
358	14.3	14.8	4.039
359	14.2	14.8	2.431
360	13.9	14.8	1.523
361	11.0	14.8	1.054
362	11.2	14.8	0.569
363	11.6	14.7	0.223
364	11.4	14.7	0.162
365	11.3	14.7	0.485
366	11.9	14.7	1.216
367	12.0	14.7	3.285
368	15.0	14.7	3.516
369	14.9	14.7	3.531
370	15.1	14.7	3.701
371	14.1	14.7	3.531
372	13.7	14.6	3.424
373	13.4	14.6	3.170
374	13.1	14.6	2.785
375	13.3	14.6	2.539
376	13.9	14.6	2.370
377	14.8	14.6	2.462
378	15.5	14.6	3.054
379	15.9	14.6	3.408
380	16.2	14.6	4.216
381	16.5	14.6	4.331
382	17.2	14.6	4.039
383	17.8	14.5	2.431
384	18.3	14.5	1.523
385	16.4	14.5	1.054
386	16.6	14.5	0.569
387	16.7	14.5	0.223
388	16.5	14.5	0.162
389	16.5	14.5	0.485
390	16.3	14.5	1.216
391	16.2	14.5	3.285
392	18.8	14.5	3.516
393	18.0	14.5	3.531
394	17.2	14.5	3.701
395	16.4	14.5	3.531
396	15.5	14.5	3.424
397	14.4	14.5	3.170
398	13.3	14.5	2.785
399	13.5	14.5	2.539
400	13.1	14.4	2.370
401	13.0	14.4	2.462
402	13.4	14.4	3.054
403	13.2	14.4	3.408
404	13.2	14.4	4.216
405	14.0	14.4	4.331
406	13.5	14.4	4.039
407	13.5	14.4	2.431
408	13.3	14.4	1.523
409	9.7	14.4	1.054
410	10.1	14.4	0.569
411	10.5	14.4	0.223
412	10.5	14.4	0.162
413	10.6	14.4	0.485
414	10.7	14.3	1.216
415	11.1	14.3	3.285
416	14.2	14.3	3.516
417	13.9	14.3	3.531
418	13.4	14.3	3.701
419	13.5	14.3	3.531
420	13.1	14.3	3.424
421	12.7	14.3	3.170
422	12.7	14.3	2.785
423	12.7	14.3	2.539
424	13.3	14.3	2.370
425	13.5	14.3	2.462
426	13.5	14.3	3.054
427	14.2	14.3	3.408
428	14.3	14.3	4.216
429	15.0	14.3	4.331
430	15.3	14.2	4.039
431	15.2	14.2	2.431
432	15.0	14.2	1.523
433	12.4	14.2	1.054
434	12.8	14.2	0.569
435	13.3	14.2	0.223
436	13.8	14.2	0.162
437	13.4	14.2	0.485
438	13.2	14.2	1.216
439	12.9	14.2	3.285
440	15.9	14.2	3.516
441	15.6	14.2	3.531
442	15.6	14.2	3.701
443	15.8	14.2	3.531
444	15.1	14.2	3.424
445	14.8	14.2	3.170
446	14.4	14.2	2.785
447	13.7	14.2	2.539
448	13.9	14.2	2.370
449	13.9	14.2	2.462
450	13.7	14.2	3.054
451	14.1	14.2	3.408
452	14.5	14.2	4.216
453	15.1	14.2	4.331
454	15.4	14.1	4.039
455	15.1	14.1	2.431
456	14.8	14.1	1.523
457	12.2	14.1	1.054
458	12.8	14.1	0.569
459	12.8	14.1	0.223
460	13.4	14.1	0.162
461	13.3	14.1	0.485
462	13.4	14.1	1.216
463	13.4	14.1	3.285
464	16.3	14.1	3.516
465	16.4	14.1	3.531
466	15.6	14.1	3.701
467	15.1	14.1	3.531
468	14.5	14.1	3.424
469	14.0	14.1	3.170
470	13.6	14.1	2.785
471	13.2	14.0	2.539
472	12.9	14.0	2.370
473	13.1	14.0	2.462
474	12.9	14.0	3.054
475	13.1	14.0	3.408
476	13.6	14.0	4.216
477	13.4	14.0	4.331
478	13.7	14.0	4.039
479	13.9	14.0	2.431
480	13.9	14.0	1.523
481	11.1	14.0	1.054
482	11.8	14.0	0.569
483	11.8	14.0	0.223
484	12.3	14.0	0.162
485	12.2	14.0	0.485
486	12.1	14.0	1.216
487	12.3	14.0	3.285
488	15.0	14.0	3.516
489	14.7	14.0	3.531
490	14.1	14.0	3.701
491	13.6	14.0	3.531
492	12.8	14.0	3.424
493	13.0	14.0	3.170
494	12.5	14.0	2.785
495	12.4	13.9	2.539
496	12.5	13.9	2.370
497	12.5	13.9	2.462
498	13.1	13.9	3.054
499	13.3	13.9	3.408
500	14.0	13.9	4.216
501	13.9	13.9	4.331
502	14.6	13.9	4.039
503	14.8	13.9	2.431
504	15.3	13.9	1.523
505	12.6	13.9	1.054
506	12.3	13.9	0.569
507	12.3	13.9	0.223
508	12.5	13.9	0.162
509	12.7	13.9	0.485
510	13.3	13.9	1.216
511	13.6	13.9	3.285
512	16.6	13.9	3.516
513	16.3	13.9	3.531
514	15.8	13.9	3.701
515	15.2	13.9	3.531
516	14.7	13.9	3.424
517	14.6	13.9	3.170
518	14.2	13.9	2.785
519	14.1	13.8	2.539
520	14.6	13.8	2.370
521	14.8	13.8	2.462
522	14.8	13.8	3.054
523	15.1	13.8	3.408
524	15.0	13.8	4.216
525	15.1	13.8	4.331
526	15.5	13.8	4.039
527	15.9	13.8	2.431
528	16.5	13.8	1.523
529	13.8	13.8	1.054
530	13.8	13.8	0.569
531	14.4	13.8	0.223
532	14.0	13.8	0.162
533	14.2	13.8	0.485
534	13.9	13.8	1.216
535	14.3	13.8	3.285
536	17.1	13.8	3.516
537	16.7	13.8	3.531
538	16.0	13.8	3.701
539	15.3	13.8	3.531
540	14.3	13.8	3.424
541	13.7	13.7	3.170
542	12.8	13.7	2.785
543	12.7	13.7	2.539
544	13.0	13.7	2.370
545	13.2	13.7	2.462
546	13.5	13.7	3.054
547	13.7	13.7	3.408
548	13.9	13.7	4.216
549	14.2	13.7	4.331
550	14.8	13.7	4.039
551	15.1	13.7	2.431
552	15.7	13.7	1.523
553	12.8	13.7	1.054
554	12.7	13.7	0.569
555	12.8	13.7	0.223
556	12.7	13.7	0.162
557	13.3	13.7	0.485
558	13.6	13.7	1.216
559	13.3	13.7	3.285
560	15.8	13.7	3.516
561	15.4	13.7	3.531
562	14.8	13.7	3.701
563	14.5	13.7	3.531
564	14.2	13.7	3.424
565	13.7	13.7	3.170
566	13.4	13.7	2.785
567	13.1	13.6	2.539
568	13.2	13.6	2.370
569	13.4	13.6	2.462
570	13.6	13.6	3.054
571	13.8	13.6	3.408
572	14.1	13.6	4.216
573	13.9	13.6	4.331
574	14.1	13.6	4.039
575	14.0	13.6	2.431
576	13.7	13.6	1.523
577	10.8	13.6	1.054
578	11.2	13.6	0.569
579	11.3	13.6	0.223
580	10.7	13.6	0.162
581	10.4	13.6	0.485
582	10.5	13.6	1.216
583	10.4	13.6	3.285
584	12.8	13.6	3.516
585	12.5	13.6	3.531
586	12.2	13.6	3.701
587	11.6	13.6	3.531
588	10.8	13.6	3.424
589	10.3	13.6	3.170
590	10.1	13.6	2.785
591	9.7	13.6	2.539
592	9.4	13.5	2.370
593	9.5	13.5	2.462
594	9.5	13.5	3.054
595	9.5	13.5	3.408
596	9.3	13.5	4.216
597	9.7	13.5	4.331
598	10.0	13.5	4.039
599	10.3	13.5	2.431
600	10.4	13.5	1.523
601	7.4	13.5	1.054
602	8.0	13.5	0.569
603	8.6	13.5	0.223
604	8.9	13.5	0.162
605	9.4	13.5	0.485
606	9.3	13.5	1.216
607	9.3	13.5	3.285
608	12.1	13.5	3.516
609	12.4	13.5	3.531
610	12.3	13.5	3.701
611	12.1	13.4	3.531
612	12.2	13.4	3.424
613	12.2	13.4	3.170
614	11.8	13.4	2.785
615	11.7	13.4	2.539
616	11.2	13.4	2.370
617	12.0	13.4	2.462
618	12.3	13.4	3.054
619	13.0	13.4	3.408
