# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	17.6	27.3	0.461
2	18.0	27.3	0.249
3	18.7	26.7	0.098
4	18.4	26.7	0.071
5	18.7	26.6	0.212
6	18.7	26.5	0.532
7	18.4	25.5	1.438
8	18.3	25.4	1.539
9	18.4	24.7	1.546
10	17.4	24.6	1.620
11	17.4	24.5	1.546
12	16.4	24.5	1.499
13	15.9	24.4	1.388
14	16.0	24.4	1.219
15	16.0	24.4	1.111
16	16.5	24.4	1.037
17	17.5	24.3	1.078
18	18.9	24.3	1.337
19	20.1	24.3	1.492
20	20.5	24.3	1.846
21	20.7	24.3	1.896
22	21.3	24.2	1.768
23	21.8	24.2	1.064
24	22.6	24.2	0.667
25	23.3	24.2	0.461
26	22.7	24.1	0.249
27	22.9	24.1	0.098
28	22.9	24.0	0.071
29	22.6	23.9	0.212
30	22.2	23.9	0.532
31	22.7	23.8	1.438
32	23.0	23.8	1.539
33	22.4	23.7	1.546
34	21.9	23.7	1.620
35	21.2	23.7	1.546
36	20.4	23.7	1.499
37	19.9	23.5	1.388
38	19.7	23.5	1.219
39	19.0	23.5	1.111
40	19.5	23.4	1.037
41	20.3	23.3	1.078
42	21.2	23.3	1.337
43	21.4	23.3	1.492
44	21.5	23.2	1.846
45	21.7	23.2	1.896
46	21.8	23.2	1.768
47	21.8	23.2	1.064
48	21.9	23.2	0.667
49	21.9	23.2	0.461
50	21.8	23.1	0.249
51	21.9	23.1	0.098
52	22.4	23.1	0.071
53	22.6	23.1	0.212
54	22.3	23.0	0.532
55	23.0	23.0	1.438
56	22.6	23.0	1.539
57	22.4	23.0	1.546
58	22.6	23.0	1.620
59	22.0	23.0	1.546
60	21.8	22.9	1.499
61	20.9	22.9	1.388
62	20.4	22.9	1.219
63	20.0	22.9	1.111
64	19.9	22.9	1.037
65	20.1	22.8	1.078
66	20.9	22.8	1.337
67	21.6	22.7	1.492
68	22.1	22.7	1.846
69	22.8	22.7	1.896
70	23.3	22.7	1.768
71	23.8	22.6	1.064
72	24.1	22.6	0.667
73	24.4	22.6	0.461
74	24.4	22.6	0.249
75	24.2	22.6	0.098
76	24.3	22.6	0.071
77	24.3	22.5	0.212
78	24.2	22.5	0.532
79	23.7	22.5	1.438
80	22.9	22.5	1.539
81	22.2	22.4	1.546
82	21.1	22.4	1.620
83	19.2	22.4	1.546
84	17.7	22.4	1.499
85	16.3	22.4	1.388
86	15.8	22.3	1.219
87	16.0	22.3	1.111
88	15.9	22.3	1.037
89	16.1	22.3	1.078
90	16.3	22.2	1.337
91	16.3	22.2	1.492
92	15.9	22.2	1.846
93	16.4	22.2	1.896
94	16.7	22.2	1.768
95	16.8	22.2	1.064
96	16.9	22.2	0.667
97	16.8	22.1	0.461
98	17.0	22.1	0.249
99	17.7	22.1	0.098
100	18.1	22.1	0.071
101	18.6	22.1	0.212
102	18.9	22.0	0.532
103	19.6	22.0	1.438
104	19.8	22.0	1.539
105	20.2	21.9	1.546
106	20.1	21.9	1.620
107	20.5	21.9	1.546
108	20.6	21.9	1.499
109	20.7	21.9	1.388
110	21.2	21.9	1.219
111	22.3	21.9	1.111
112	22.2	21.9	1.037
113	23.2	21.9	1.078
114	24.2	21.8	1.337
115	24.3	21.8	1.492
116	23.9	21.8	1.846
117	24.5	21.8	1.896
118	25.4	21.8	1.768
119	26.5	21.8	1.064
120	26.7	21.8	0.667
121	27.3	21.8	0.461
122	27.3	21.8	0.249
123	26.7	21.7	0.098
124	26.6	21.7	0.071
125	25.5	21.7	0.212
126	24.7	21.7	0.532
127	24.4	21.7	1.438
128	24.2	21.7	1.539
129	23.9	21.7	1.546
130	23.0	21.7	1.620
131	21.7	21.7	1.546
132	20.6	21.6	1.499
133	19.0	21.6	1.388
134	17.8	21.6	1.219
135	17.3	21.6	1.111
136	16.5	21.6	1.037
137	16.5	21.6	1.078
138	17.0	21.6	1.337
139	16.3	21.6	1.492
140	16.1	21.6	1.846
141	16.3	21.5	1.896
142	16.3	21.5	1.768
143	16.3	21.5	1.064
144	16.2	21.5	0.667
145	15.9	21.4	0.461
146	16.3	21.4	0.249
147	16.4	21.4	0.098
148	16.6	21.4	0.071
149	17.3	21.4	0.212
150	16.9	21.4	0.532
151	17.0	21.4	1.438
152	17.3	21.4	1.539
153	17.1	21.4	1.546
154	15.9	21.4	1.620
155	15.5	21.4	1.546
156	14.7	21.4	1.499
157	14.1	21.4	1.388
158	12.9	21.4	1.219
159	12.4	21.4	1.111
160	12.3	21.3	1.037
161	13.5	21.3	1.078
162	14.2	21.3	1.337
163	15.4	21.3	1.492
164	15.6	21.3	1.846
165	16.5	21.3	1.896
166	16.6	21.3	1.768
167	17.7	21.3	1.064
168	18.0	21.3	0.667
169	18.3	21.3	0.461
170	18.2	21.3	0.249
171	18.4	21.3	0.098
172	17.7	21.2	0.071
173	17.5	21.2	0.212
174	16.8	21.2	0.532
175	16.8	21.2	1.438
176	16.6	21.2	1.539
177	16.5	21.2	1.546
178	16.1	21.2	1.620
179	15.2	21.2	1.546
180	14.4	21.2	1.499
181	14.7	21.2	1.388
182	14.3	21.2	1.219
183	14.7	21.2	1.111
184	14.6	21.2	1.037
185	14.4	21.2	1.078
186	14.6	21.1	1.337
187	15.0	21.1	1.492
188	14.1	21.1	1.846
189	13.6	21.1	1.896
190	13.6	21.1	1.768
191	12.9	21.1	1.064
192	12.5	21.1	0.667
193	11.7	21.1	0.461
194	11.7	21.0	0.249
195	12.2	21.0	0.098
196	12.3	21.0	0.071
197	11.8	21.0	0.212
198	11.2	21.0	0.532
199	11.8	21.0	1.438
200	11.6	21.0	1.539
201	11.9	21.0	1.546
202	11.0	21.0	1.620
203	10.8	21.0	1.546
