# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	11.1	21.0	0.326
2	11.4	20.9	0.176
3	11.9	20.2	0.069
4	11.7	20.1	0.050
5	11.9	20.1	0.150
6	12.0	20.0	0.376
7	11.7	19.9	1.016
8	14.4	19.8	1.088
9	14.5	19.7	1.092
10	13.7	19.6	1.145
11	13.7	19.6	1.092
12	12.9	19.6	1.059
13	12.5	19.5	0.980
14	12.6	19.5	0.861
15	12.6	19.5	0.785
16	13.0	19.4	0.733
17	13.8	19.4	0.762
18	14.9	19.3	0.945
19	15.9	19.3	1.054
20	16.1	19.3	1.304
21	16.3	19.3	1.340
22	16.8	19.3	1.249
23	17.2	19.3	0.752
24	17.8	19.2	0.471
25	15.6	19.2	0.326
26	15.1	19.1	0.176
27	15.2	19.1	0.069
28	15.2	19.1	0.050
29	15.0	19.0	0.150
30	14.7	19.0	0.376
31	15.1	19.0	1.016
32	18.1	18.9	1.088
33	17.6	18.9	1.092
34	17.3	18.8	1.145
35	16.7	18.8	1.092
36	16.1	18.8	1.059
37	15.7	18.8	0.980
38	15.5	18.8	0.861
39	15.0	18.7	0.785
40	15.3	18.7	0.733
41	16.0	18.7	0.762
42	16.7	18.7	0.945
43	16.9	18.7	1.054
44	16.9	18.6	1.304
45	17.1	18.5	1.340
46	17.2	18.4	1.249
47	17.2	18.4	0.752
48	17.2	18.4	0.471
49	14.4	18.3	0.326
50	14.4	18.3	0.176
51	14.5	18.3	0.069
52	14.9	18.3	0.050
53	15.0	18.2	0.150
54	14.8	18.2	0.376
55	15.3	18.2	1.016
56	17.9	18.2	1.088
57	17.7	18.2	1.092
58	17.8	18.1	1.145
59	17.3	18.1	1.092
60	17.2	18.1	1.059
61	16.4	18.1	0.980
62	16.0	18.0	0.861
63	15.7	18.0	0.785
64	15.7	18.0	0.733
65	15.9	17.9	0.762
66	16.5	17.9	0.945
67	17.0	17.9	1.054
68	17.5	17.8	1.304
69	18.0	17.8	1.340
70	18.4	17.8	1.249
71	18.8	17.8	0.752
72	19.0	17.7	0.471
73	16.4	17.7	0.326
74	16.4	17.7	0.176
75	16.3	17.7	0.069
76	16.4	17.6	0.050
77	16.4	17.6	0.150
78	16.3	17.6	0.376
79	15.9	17.6	1.016
80	18.0	17.6	1.088
81	17.5	17.5	1.092
82	16.6	17.5	1.145
