# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.7	19.7	0.299
2	12.9	19.6	0.162
3	13.5	19.2	0.063
4	13.3	19.2	0.046
5	13.4	19.2	0.138
6	13.5	19.1	0.345
7	13.3	18.4	0.933
8	13.2	18.3	0.999
9	13.3	17.8	1.003
10	12.5	17.7	1.051
11	12.6	17.7	1.003
12	11.8	17.6	0.973
13	11.5	17.6	0.901
14	11.5	17.6	0.791
15	11.5	17.6	0.721
16	11.9	17.6	0.673
17	12.6	17.5	0.700
18	13.6	17.5	0.868
19	14.5	17.5	0.968
20	14.7	17.5	1.198
21	14.9	17.5	1.231
22	15.4	17.4	1.148
23	15.7	17.4	0.691
24	16.3	17.4	0.433
25	16.8	17.4	0.299
26	16.4	17.4	0.162
27	16.5	17.4	0.063
28	16.5	17.3	0.046
29	16.3	17.2	0.138
30	16.0	17.2	0.345
31	16.3	17.1	0.933
32	16.5	17.1	0.999
33	16.1	17.1	1.003
34	15.8	17.0	1.051
35	15.3	17.0	1.003
36	14.7	17.0	0.973
37	14.3	16.9	0.901
38	14.2	16.9	0.791
39	13.7	16.9	0.721
40	14.0	16.8	0.673
41	14.6	16.8	0.700
42	15.3	16.8	0.868
43	15.4	16.8	0.968
44	15.5	16.7	1.198
45	15.7	16.7	1.231
46	15.7	16.7	1.148
47	15.7	16.7	0.691
48	15.7	16.6	0.433
49	15.7	16.6	0.299
50	15.7	16.6	0.162
51	15.8	16.6	0.063
52	16.1	16.6	0.046
53	16.3	16.6	0.138
54	16.1	16.5	0.345
55	16.5	16.5	0.933
56	16.3	16.5	0.999
57	16.1	16.5	1.003
58	16.2	16.5	1.051
59	15.8	16.5	1.003
60	15.7	16.5	0.973
61	15.0	16.5	0.901
62	14.7	16.5	0.791
63	14.4	16.4	0.721
64	14.3	16.4	0.673
65	14.5	16.4	0.700
66	15.1	16.4	0.868
67	15.6	16.4	0.968
68	15.9	16.4	1.198
69	16.4	16.3	1.231
70	16.8	16.3	1.148
71	17.1	16.3	0.691
72	17.4	16.3	0.433
73	17.6	16.3	0.299
74	17.6	16.3	0.162
75	17.4	16.2	0.063
76	17.5	16.2	0.046
77	17.5	16.2	0.138
78	17.4	16.2	0.345
79	17.0	16.1	0.933
80	16.5	16.1	0.999
81	16.0	16.1	1.003
82	15.2	16.1	1.051
83	13.8	16.1	1.003
84	12.7	16.1	0.973
85	11.8	16.1	0.901
86	11.4	16.1	0.791
87	11.5	16.0	0.721
88	11.4	16.0	0.673
89	11.6	16.0	0.700
90	11.7	16.0	0.868
91	11.7	16.0	0.968
92	11.4	16.0	1.198
93	11.8	16.0	1.231
94	12.0	15.9	1.148
95	12.1	15.9	0.691
96	12.1	15.9	0.433
97	12.1	15.9	0.299
98	12.2	15.9	0.162
99	12.7	15.9	0.063
100	13.0	15.9	0.046
101	13.4	15.8	0.138
102	13.6	15.8	0.345
103	14.1	15.8	0.933
104	14.2	15.8	0.999
105	14.5	15.8	1.003
106	14.5	15.8	1.051
107	14.7	15.7	1.003
108	14.9	15.7	0.973
109	14.9	15.7	0.901
110	15.2	15.7	0.791
111	16.0	15.7	0.721
112	16.0	15.7	0.673
113	16.7	15.7	0.700
114	17.4	15.7	0.868
115	17.5	15.7	0.968
116	17.2	15.7	1.198
117	17.7	15.7	1.231
118	18.3	15.7	1.148
119	19.1	15.7	0.691
120	19.2	15.7	0.433
121	19.6	15.7	0.299
122	19.7	15.7	0.162
123	19.2	15.6	0.063
124	19.2	15.6	0.046
125	18.4	15.6	0.138
126	17.8	15.6	0.345
127	17.6	15.6	0.933
128	17.4	15.6	0.999
129	17.2	15.6	1.003
130	16.6	15.6	1.051
131	15.6	15.6	1.003
132	14.8	15.6	0.973
133	13.7	15.6	0.901
134	12.8	15.6	0.791
135	12.4	15.5	0.721
136	11.9	15.5	0.673
137	11.9	15.5	0.700
138	12.2	15.5	0.868
139	11.7	15.5	0.968
140	11.6	15.5	1.198
141	11.7	15.5	1.231
142	11.7	15.4	1.148
143	11.7	15.4	0.691
144	11.6	15.4	0.433
145	11.5	15.4	0.299
146	11.7	15.4	0.162
147	11.8	15.4	0.063
148	12.0	15.4	0.046
149	12.4	15.4	0.138
