# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.3	0.005
2	0.2	0.3	0.002
3	0.2	0.3	0.001
4	0.2	0.3	0.001
5	0.2	0.3	0.002
6	0.2	0.2	0.005
7	0.2	0.2	0.014
8	0.2	0.2	0.015
9	0.2	0.2	0.015
10	0.2	0.2	0.016
11	0.2	0.2	0.015
12	0.2	0.2	0.015
13	0.1	0.2	0.014
14	0.2	0.2	0.012
15	0.2	0.2	0.011
16	0.2	0.2	0.010
17	0.2	0.2	0.011
18	0.2	0.2	0.013
19	0.2	0.2	0.015
20	0.2	0.2	0.018
21	0.2	0.2	0.019
22	0.2	0.2	0.018
23	0.2	0.2	0.011
24	0.2	0.2	0.007
25	0.2	0.2	0.005
26	0.2	0.2	0.002
27	0.2	0.2	0.001
28	0.2	0.2	0.001
29	0.2	0.2	0.002
30	0.2	0.2	0.005
31	0.2	0.2	0.014
32	0.2	0.2	0.015
33	0.2	0.2	0.015
34	0.2	0.2	0.016
35	0.2	0.2	0.015
36	0.2	0.2	0.015
37	0.2	0.2	0.014
38	0.2	0.2	0.012
39	0.2	0.2	0.011
40	0.2	0.2	0.010
41	0.2	0.2	0.011
42	0.2	0.2	0.013
43	0.2	0.2	0.015
44	0.2	0.2	0.018
45	0.2	0.2	0.019
46	0.2	0.2	0.018
47	0.2	0.2	0.011
48	0.2	0.2	0.007
49	0.2	0.2	0.005
50	0.2	0.2	0.002
51	0.2	0.2	0.001
52	0.2	0.2	0.001
53	0.2	0.2	0.002
54	0.2	0.2	0.005
55	0.2	0.2	0.014
56	0.2	0.2	0.015
57	0.2	0.2	0.015
58	0.2	0.2	0.016
59	0.2	0.2	0.015
60	0.2	0.2	0.015
61	0.2	0.2	0.014
62	0.2	0.2	0.012
63	0.2	0.2	0.011
64	0.2	0.2	0.010
65	0.2	0.2	0.011
66	0.2	0.2	0.013
67	0.2	0.2	0.015
68	0.2	0.2	0.018
69	0.2	0.2	0.019
70	0.2	0.2	0.018
71	0.2	0.2	0.011
72	0.2	0.2	0.007
73	0.2	0.2	0.005
74	0.2	0.2	0.002
75	0.2	0.2	0.001
76	0.2	0.2	0.001
77	0.2	0.2	0.002
78	0.2	0.2	0.005
79	0.2	0.2	0.014
80	0.2	0.2	0.015
81	0.2	0.2	0.015
82	0.2	0.2	0.016
83	0.2	0.2	0.015
84	0.2	0.2	0.015
85	0.2	0.2	0.014
86	0.1	0.2	0.012
87	0.2	0.2	0.011
88	0.1	0.2	0.010
89	0.2	0.2	0.011
90	0.2	0.2	0.013
91	0.2	0.2	0.015
92	0.1	0.2	0.018
93	0.2	0.2	0.019
94	0.2	0.2	0.018
95	0.2	0.2	0.011
96	0.2	0.2	0.007
97	0.2	0.2	0.005
98	0.2	0.2	0.002
99	0.2	0.2	0.001
100	0.2	0.2	0.001
101	0.2	0.2	0.002
102	0.2	0.2	0.005
103	0.2	0.2	0.014
104	0.2	0.2	0.015
105	0.2	0.2	0.015
106	0.2	0.2	0.016
107	0.2	0.2	0.015
108	0.2	0.2	0.015
109	0.2	0.2	0.014
110	0.2	0.2	0.012
111	0.2	0.2	0.011
112	0.2	0.2	0.010
113	0.2	0.2	0.011
114	0.2	0.2	0.013
115	0.2	0.2	0.015
116	0.2	0.2	0.018
117	0.2	0.2	0.019
118	0.2	0.2	0.018
119	0.2	0.2	0.011
120	0.3	0.2	0.007
121	0.3	0.2	0.005
122	0.3	0.2	0.002
123	0.3	0.2	0.001
124	0.3	0.2	0.001
125	0.2	0.2	0.002
126	0.2	0.2	0.005
127	0.2	0.2	0.014
128	0.2	0.2	0.015
129	0.2	0.2	0.015
130	0.2	0.2	0.016
131	0.2	0.2	0.015
132	0.2	0.2	0.015
133	0.2	0.2	0.014
134	0.2	0.2	0.012
135	0.2	0.2	0.011
136	0.2	0.2	0.010
137	0.2	0.2	0.011
138	0.2	0.2	0.013
139	0.2	0.2	0.015
140	0.2	0.2	0.018
141	0.2	0.2	0.019
142	0.2	0.2	0.018
143	0.2	0.2	0.011
144	0.2	0.2	0.007
145	0.1	0.2	0.005
146	0.2	0.2	0.002
147	0.2	0.2	0.001
148	0.2	0.2	0.001
149	0.2	0.2	0.002
150	0.2	0.2	0.005
151	0.2	0.2	0.014
152	0.2	0.2	0.015
153	0.2	0.2	0.015
154	0.2	0.2	0.016
155	0.1	0.2	0.015
156	0.1	0.2	0.015
157	0.1	0.2	0.014
158	0.1	0.2	0.012
159	0.1	0.2	0.011
160	0.1	0.2	0.010
161	0.1	0.2	0.011
162	0.1	0.2	0.013
163	0.1	0.2	0.015
164	0.1	0.2	0.018
165	0.2	0.2	0.019
166	0.2	0.2	0.018
167	0.2	0.2	0.011
168	0.2	0.2	0.007
169	0.2	0.2	0.005
170	0.2	0.2	0.002
171	0.2	0.2	0.001
172	0.2	0.2	0.001
173	0.2	0.2	0.002
174	0.2	0.2	0.005
175	0.2	0.2	0.014
176	0.2	0.2	0.015
177	0.2	0.2	0.015
178	0.2	0.2	0.016
179	0.1	0.2	0.015
180	0.1	0.2	0.015
181	0.1	0.2	0.014
182	0.1	0.2	0.012
183	0.1	0.2	0.011
184	0.1	0.2	0.010
185	0.1	0.2	0.011
186	0.1	0.2	0.013
187	0.1	0.2	0.015
188	0.1	0.2	0.018
189	0.1	0.2	0.019
190	0.1	0.2	0.018
191	0.1	0.2	0.011
192	0.1	0.2	0.007
193	0.1	0.2	0.005
194	0.1	0.2	0.002
195	0.1	0.2	0.001
196	0.1	0.2	0.001
197	0.1	0.2	0.002
198	0.1	0.2	0.005
199	0.1	0.2	0.014
200	0.1	0.2	0.015
201	0.1	0.2	0.015
202	0.1	0.2	0.016
203	0.1	0.2	0.015
204	0.1	0.2	0.015
205	0.1	0.2	0.014
206	0.1	0.2	0.012
207	0.1	0.2	0.011
208	0.1	0.2	0.010
209	0.1	0.2	0.011
210	0.1	0.2	0.013
211	0.1	0.2	0.015
212	0.1	0.2	0.018
213	0.1	0.2	0.019
214	0.1	0.2	0.018
215	0.1	0.2	0.011
216	0.1	0.2	0.007
217	0.1	0.2	0.005
218	0.1	0.2	0.002
219	0.1	0.2	0.001
220	0.1	0.2	0.001
221	0.1	0.2	0.002
222	0.1	0.2	0.005
223	0.1	0.2	0.014
224	0.1	0.2	0.015
225	0.1	0.2	0.015
226	0.1	0.2	0.016
227	0.1	0.2	0.015
228	0.1	0.2	0.015
229	0.1	0.2	0.014
230	0.1	0.2	0.012
231	0.1	0.2	0.011
232	0.1	0.2	0.010
233	0.1	0.2	0.011
234	0.1	0.2	0.013
235	0.1	0.2	0.015
236	0.1	0.2	0.018
237	0.1	0.2	0.019
238	0.2	0.2	0.018
239	0.2	0.2	0.011
240	0.2	0.2	0.007
241	0.2	0.2	0.005
242	0.2	0.2	0.002
243	0.2	0.2	0.001
244	0.2	0.2	0.001
245	0.2	0.2	0.002
246	0.2	0.2	0.005
247	0.2	0.2	0.014
248	0.2	0.2	0.015
249	0.2	0.2	0.015
250	0.2	0.2	0.016
251	0.2	0.2	0.015
252	0.2	0.2	0.015
253	0.2	0.2	0.014
254	0.1	0.2	0.012
255	0.1	0.2	0.011
256	0.1	0.2	0.010
257	0.2	0.2	0.011
258	0.2	0.2	0.013
259	0.2	0.2	0.015
260	0.2	0.2	0.018
261	0.2	0.2	0.019
262	0.2	0.2	0.018
263	0.2	0.2	0.011
264	0.2	0.2	0.007
265	0.2	0.2	0.005
266	0.2	0.2	0.002
267	0.2	0.2	0.001
268	0.2	0.2	0.001
269	0.2	0.2	0.002
270	0.2	0.2	0.005
271	0.2	0.2	0.014
272	0.2	0.2	0.015
273	0.2	0.2	0.015
274	0.2	0.2	0.016
275	0.2	0.2	0.015
276	0.2	0.2	0.015
277	0.2	0.2	0.014
278	0.1	0.2	0.012
279	0.1	0.2	0.011
280	0.1	0.2	0.010
281	0.1	0.2	0.011
282	0.1	0.2	0.013
283	0.1	0.2	0.015
284	0.1	0.2	0.018
285	0.1	0.2	0.019
286	0.1	0.2	0.018
287	0.1	0.2	0.011
288	0.2	0.2	0.007
289	0.1	0.2	0.005
290	0.1	0.2	0.002
291	0.1	0.2	0.001
292	0.1	0.2	0.001
293	0.1	0.2	0.002
294	0.1	0.2	0.005
295	0.1	0.2	0.014
296	0.1	0.2	0.015
297	0.1	0.2	0.015
298	0.1	0.2	0.016
299	0.1	0.2	0.015
300	0.1	0.2	0.015
301	0.1	0.2	0.014
302	0.1	0.2	0.012
303	0.1	0.2	0.011
304	0.1	0.2	0.010
305	0.1	0.2	0.011
306	0.1	0.2	0.013
307	0.1	0.2	0.015
308	0.1	0.2	0.018
309	0.1	0.2	0.019
310	0.1	0.2	0.018
311	0.1	0.2	0.011
312	0.1	0.2	0.007
313	0.1	0.2	0.005
314	0.1	0.2	0.002
315	0.1	0.2	0.001
316	0.1	0.2	0.001
317	0.1	0.2	0.002
318	0.1	0.2	0.005
319	0.1	0.2	0.014
320	0.1	0.2	0.015
321	0.1	0.2	0.015
322	0.1	0.2	0.016
323	0.1	0.2	0.015
324	0.1	0.2	0.015
325	0.1	0.2	0.014
326	0.1	0.2	0.012
327	0.1	0.2	0.011
328	0.1	0.2	0.010
329	0.1	0.2	0.011
330	0.1	0.2	0.013
331	0.1	0.2	0.015
332	0.1	0.2	0.018
333	0.1	0.2	0.019
334	0.1	0.2	0.018
335	0.1	0.2	0.011
336	0.1	0.2	0.007
337	0.1	0.2	0.005
338	0.1	0.2	0.002
339	0.1	0.2	0.001
340	0.1	0.2	0.001
341	0.1	0.2	0.002
