# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.5	12.5	0.156
2	6.7	12.4	0.084
3	7.1	12.0	0.033
4	6.9	11.9	0.024
5	7.1	11.9	0.072
6	7.1	11.9	0.180
7	6.9	11.8	0.486
8	8.5	11.7	0.520
9	8.6	11.7	0.522
10	8.1	11.6	0.547
11	8.1	11.6	0.522
12	7.7	11.6	0.506
13	7.4	11.6	0.468
14	7.5	11.5	0.412
15	7.4	11.5	0.375
16	7.7	11.5	0.350
17	8.1	11.5	0.364
18	8.8	11.4	0.451
19	9.4	11.4	0.504
20	9.5	11.4	0.623
21	9.6	11.4	0.640
22	10.0	11.4	0.597
23	10.2	11.4	0.359
24	10.5	11.4	0.225
25	9.2	11.3	0.156
26	8.9	11.3	0.084
27	9.0	11.3	0.033
28	9.0	11.3	0.024
29	8.9	11.3	0.072
30	8.7	11.3	0.180
31	8.9	11.2	0.486
32	10.7	11.2	0.520
33	10.4	11.2	0.522
34	10.2	11.2	0.547
35	9.9	11.2	0.522
36	9.5	11.2	0.506
37	9.3	11.2	0.468
38	9.2	11.1	0.412
39	8.9	11.1	0.375
40	9.1	11.1	0.350
41	9.5	11.1	0.364
42	9.9	11.1	0.451
43	10.0	11.1	0.504
44	10.0	11.0	0.623
45	10.2	11.0	0.640
46	10.2	10.9	0.597
47	10.2	10.9	0.359
48	10.2	10.9	0.225
49	8.5	10.9	0.156
50	8.5	10.8	0.084
51	8.6	10.8	0.033
52	8.8	10.8	0.024
53	8.9	10.8	0.072
54	8.8	10.8	0.180
55	9.1	10.8	0.486
56	10.6	10.7	0.520
57	10.5	10.7	0.522
58	10.5	10.7	0.547
59	10.2	10.7	0.522
60	10.2	10.7	0.506
61	9.7	10.7	0.468
62	9.5	10.7	0.412
63	9.3	10.7	0.375
64	9.3	10.6	0.350
65	9.4	10.6	0.364
66	9.8	10.6	0.451
67	10.1	10.6	0.504
68	10.3	10.5	0.623
69	10.6	10.5	0.640
70	10.9	10.5	0.597
71	11.1	10.5	0.359
72	11.3	10.5	0.225
73	9.7	10.5	0.156
74	9.7	10.5	0.084
75	9.6	10.4	0.033
76	9.7	10.4	0.024
77	9.7	10.4	0.072
78	9.6	10.4	0.180
79	9.4	10.4	0.486
80	10.7	10.4	0.520
81	10.4	10.4	0.522
82	9.8	10.4	0.547
83	8.9	10.4	0.522
84	8.3	10.4	0.506
85	7.6	10.4	0.468
86	7.4	10.4	0.412
87	7.4	10.3	0.375
88	7.4	10.3	0.350
89	7.5	10.3	0.364
90	7.6	10.3	0.451
91	7.6	10.3	0.504
92	7.4	10.3	0.623
93	7.6	10.3	0.640
94	7.8	10.3	0.597
95	7.8	10.3	0.359
96	7.9	10.3	0.225
97	6.2	10.3	0.156
98	6.3	10.3	0.084
99	6.6	10.3	0.033
100	6.8	10.2	0.024
101	7.0	10.2	0.072
102	7.2	10.2	0.180
103	7.5	10.2	0.486
104	9.2	10.2	0.520
