# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.5	16.1	0.214
2	8.7	16.0	0.115
3	9.2	15.5	0.045
4	9.0	15.4	0.033
5	9.1	15.4	0.098
6	9.2	15.4	0.246
7	9.0	15.3	0.666
8	11.1	15.2	0.713
9	11.1	15.1	0.716
10	10.5	15.1	0.750
11	10.5	15.0	0.716
12	9.9	15.0	0.694
13	9.6	15.0	0.643
14	9.7	14.9	0.565
15	9.6	14.9	0.515
16	9.9	14.9	0.480
17	10.6	14.8	0.499
18	11.4	14.8	0.619
19	12.2	14.8	0.691
20	12.4	14.8	0.855
21	12.5	14.8	0.878
22	12.9	14.8	0.819
23	13.2	14.8	0.493
24	13.7	14.7	0.309
25	11.9	14.7	0.214
26	11.6	14.7	0.115
27	11.7	14.6	0.045
28	11.7	14.6	0.033
29	11.5	14.6	0.098
30	11.3	14.6	0.246
31	11.6	14.5	0.666
32	13.9	14.5	0.713
33	13.5	14.5	0.716
34	13.3	14.5	0.750
35	12.8	14.4	0.716
36	12.3	14.4	0.694
37	12.0	14.4	0.643
38	11.9	14.4	0.565
39	11.5	14.4	0.515
40	11.8	14.4	0.480
41	12.3	14.4	0.499
42	12.8	14.4	0.619
43	12.9	14.4	0.691
44	13.0	14.2	0.855
45	13.1	14.2	0.878
46	13.2	14.1	0.819
47	13.2	14.1	0.493
48	13.2	14.1	0.309
49	11.1	14.1	0.214
50	11.0	14.0	0.115
51	11.1	14.0	0.045
52	11.4	14.0	0.033
53	11.5	14.0	0.098
54	11.3	14.0	0.246
55	11.7	13.9	0.666
56	13.7	13.9	0.713
57	13.6	13.9	0.716
58	13.6	13.9	0.750
59	13.3	13.9	0.716
60	13.2	13.9	0.694
61	12.6	13.8	0.643
62	12.3	13.8	0.565
63	12.1	13.8	0.515
64	12.0	13.8	0.480
65	12.2	13.7	0.499
66	12.6	13.7	0.619
67	13.1	13.7	0.691
68	13.4	13.7	0.855
69	13.8	13.7	0.878
70	14.1	13.6	0.819
71	14.4	13.6	0.493
72	14.6	13.6	0.309
73	12.6	13.6	0.214
74	12.6	13.6	0.115
75	12.5	13.5	0.045
76	12.6	13.5	0.033
77	12.5	13.5	0.098
78	12.5	13.5	0.246
79	12.2	13.5	0.666
80	13.8	13.5	0.713
81	13.4	13.4	0.716
82	12.7	13.4	0.750
83	11.6	13.4	0.716
84	10.7	13.4	0.694
85	9.9	13.4	0.643
86	9.5	13.4	0.565
87	9.6	13.4	0.515
88	9.6	13.4	0.480
89	9.7	13.4	0.499
90	9.8	13.4	0.619
91	9.8	13.3	0.691
92	9.6	13.3	0.855
93	9.9	13.3	0.878
94	10.1	13.3	0.819
95	10.2	13.3	0.493
96	10.2	13.3	0.309
97	8.0	13.3	0.214
98	8.1	13.3	0.115
99	8.5	13.3	0.045
100	8.8	13.3	0.033
101	9.1	13.3	0.098
102	9.3	13.3	0.246
103	9.7	13.3	0.666
104	12.0	13.2	0.713
105	12.2	13.2	0.716
106	12.2	13.2	0.750
107	12.4	13.2	0.716
108	12.5	13.2	0.694
109	12.5	13.2	0.643
110	12.8	13.2	0.565
111	13.5	13.2	0.515
112	13.4	13.2	0.480
113	14.0	13.2	0.499
114	14.6	13.2	0.619
115	14.7	13.1	0.691
116	14.4	13.1	0.855
117	14.8	13.1	0.878
118	15.4	13.1	0.819
119	16.0	13.1	0.493
120	16.1	13.1	0.309
121	14.4	13.1	0.214
122	14.4	13.1	0.115
123	14.0	13.1	0.045
124	14.0	13.1	0.033
125	13.3	13.1	0.098
126	12.8	13.1	0.246
127	12.6	13.1	0.666
128	14.7	13.1	0.713
129	14.5	13.1	0.716
130	13.9	13.1	0.750
131	13.1	13.0	0.716
132	12.4	13.0	0.694
133	11.4	13.0	0.643
134	10.7	13.0	0.565
135	10.3	13.0	0.515
136	9.9	12.9	0.480
137	9.9	12.9	0.499
138	10.2	12.9	0.619
139	9.8	12.9	0.691
140	9.7	12.9	0.855
141	9.8	12.9	0.878
142	9.8	12.9	0.819
143	9.8	12.9	0.493
144	9.8	12.8	0.309
145	7.5	12.8	0.214
146	7.7	12.8	0.115
147	7.7	12.8	0.045
148	7.9	12.8	0.033
149	8.3	12.8	0.098
150	8.0	12.8	0.246
151	8.1	12.8	0.666
152	10.5	12.7	0.713
153	10.3	12.7	0.716
154	9.6	12.7	0.750
155	9.4	12.7	0.716
156	8.9	12.7	0.694
157	8.5	12.7	0.643
158	7.8	12.7	0.565
159	7.5	12.7	0.515
160	7.5	12.7	0.480
161	8.2	12.7	0.499
162	8.6	12.7	0.619
163	9.3	12.6	0.691
164	9.4	12.6	0.855
165	10.0	12.6	0.878
166	10.1	12.6	0.819
167	10.7	12.6	0.493
168	10.9	12.6	0.309
169	8.9	12.6	0.214
170	8.8	12.6	0.115
171	8.9	12.6	0.045
172	8.5	12.6	0.033
173	8.4	12.6	0.098
174	8.0	12.6	0.246
175	8.0	12.6	0.666
176	10.0	12.6	0.713
177	10.0	12.6	0.716
178	9.7	12.6	0.750
179	9.2	12.6	0.716
180	8.7	12.6	0.694
181	8.9	12.6	0.643
182	8.6	12.5	0.565
183	8.9	12.5	0.515
184	8.8	12.5	0.480
185	8.7	12.5	0.499
186	8.8	12.5	0.619
187	9.0	12.5	0.691
188	8.5	12.5	0.855
189	8.2	12.5	0.878
190	8.2	12.5	0.819
191	7.8	12.5	0.493
192	7.5	12.5	0.309
193	4.9	12.5	0.214
194	4.9	12.5	0.115
195	5.2	12.5	0.045
196	5.3	12.4	0.033
197	5.0	12.4	0.098
198	4.6	12.4	0.246
199	4.9	12.4	0.666
200	7.0	12.4	0.713
201	7.2	12.4	0.716
202	6.6	12.4	0.750
203	6.5	12.4	0.716
204	6.6	12.4	0.694
205	6.5	12.4	0.643
206	6.0	12.4	0.565
207	5.4	12.4	0.515
208	5.3	12.4	0.480
209	5.4	12.4	0.499
210	5.2	12.4	0.619
211	5.3	12.4	0.691
212	5.3	12.4	0.855
213	5.2	12.3	0.878
214	5.2	12.3	0.819
215	5.1	12.3	0.493
216	4.8	12.3	0.309
217	2.8	12.3	0.214
218	3.0	12.3	0.115
219	3.2	12.3	0.045
220	3.4	12.3	0.033
221	3.7	12.3	0.098
222	4.0	12.3	0.246
223	4.4	12.3	0.666
224	6.7	12.3	0.713
225	6.7	12.3	0.716
226	6.8	12.3	0.750
227	6.9	12.3	0.716
228	6.7	12.2	0.694
229	6.5	12.2	0.643
230	6.6	12.2	0.565
231	6.5	12.2	0.515
232	7.2	12.2	0.480
233	7.6	12.2	0.499
234	8.2	12.2	0.619
235	8.3	12.2	0.691
236	8.7	12.2	0.855
237	9.3	12.2	0.878
238	10.1	12.2	0.819
239	10.6	12.1	0.493
240	11.0	12.1	0.309
241	9.3	12.1	0.214
242	9.3	12.1	0.115
243	9.3	12.1	0.045
244	9.3	12.1	0.033
245	9.3	12.1	0.098
246	9.2	12.1	0.246
247	9.1	12.1	0.666
248	11.1	12.1	0.713
249	11.3	12.1	0.716
250	10.8	12.1	0.750
251	10.8	12.1	0.716
252	9.9	12.1	0.694
253	9.7	12.0	0.643
254	9.0	12.0	0.565
255	9.1	12.0	0.515
256	9.5	12.0	0.480
257	10.3	12.0	0.499
258	10.2	12.0	0.619
259	10.4	12.0	0.691
260	10.8	12.0	0.855
261	11.1	12.0	0.878
262	11.5	12.0	0.819
263	11.4	12.0	0.493
264	11.5	12.0	0.309
265	9.4	12.0	0.214
266	9.6	11.9	0.115
267	9.5	11.9	0.045
268	9.5	11.9	0.033
269	9.2	11.9	0.098
270	9.4	11.9	0.246
271	9.3	11.9	0.666
272	11.5	11.9	0.713
273	11.6	11.9	0.716
274	11.2	11.9	0.750
275	10.8	11.9	0.716
276	10.2	11.9	0.694
277	9.6	11.9	0.643
278	9.3	11.9	0.565
279	9.0	11.9	0.515
280	9.0	11.8	0.480
281	8.9	11.8	0.499
282	9.1	11.8	0.619
283	9.2	11.8	0.691
284	9.2	11.8	0.855
285	9.5	11.8	0.878
286	9.6	11.8	0.819
287	9.6	11.8	0.493
288	9.7	11.8	0.309
289	7.2	11.8	0.214
290	7.2	11.8	0.115
291	7.2	11.8	0.045
292	7.2	11.8	0.033
293	7.3	11.7	0.098
294	7.4	11.7	0.246
295	7.2	11.7	0.666
296	9.3	11.7	0.713
297	9.3	11.7	0.716
298	9.2	11.7	0.750
299	8.7	11.7	0.716
300	8.4	11.7	0.694
301	8.0	11.7	0.643
302	7.9	11.7	0.565
303	7.8	11.7	0.515
304	7.5	11.7	0.480
305	7.9	11.7	0.499
306	7.8	11.7	0.619
307	7.8	11.7	0.691
308	8.0	11.7	0.855
309	8.1	11.6	0.878
310	8.6	11.6	0.819
311	8.5	11.6	0.493
312	8.7	11.6	0.309
313	6.7	11.6	0.214
314	6.6	11.6	0.115
315	6.6	11.6	0.045
316	6.3	11.6	0.033
317	6.2	11.6	0.098
318	6.0	11.6	0.246
319	6.2	11.6	0.666
320	8.5	11.6	0.713
321	8.6	11.6	0.716
322	8.4	11.6	0.750
323	8.3	11.6	0.716
324	8.4	11.6	0.694
325	8.1	11.5	0.643
326	7.9	11.5	0.565
327	7.4	11.5	0.515
328	7.0	11.5	0.480
329	7.4	11.5	0.499
330	7.5	11.5	0.619
331	7.8	11.5	0.691
332	8.0	11.5	0.855
333	8.0	11.5	0.878
334	8.1	11.5	0.819
335	8.3	11.5	0.493
336	8.1	11.5	0.309
337	6.0	11.5	0.214
338	6.2	11.5	0.115
339	6.4	11.5	0.045
340	6.8	11.5	0.033
341	6.9	11.5	0.098
342	6.9	11.5	0.246
343	6.9	11.5	0.666
344	9.4	11.5	0.713
345	9.5	11.5	0.716
346	9.7	11.5	0.750
347	9.4	11.4	0.716
348	9.2	11.4	0.694
349	9.1	11.4	0.643
350	9.4	11.4	0.565
351	9.4	11.4	0.515
352	9.5	11.4	0.480
353	9.8	11.4	0.499
354	10.2	11.4	0.619
355	10.2	11.4	0.691
356	10.6	11.4	0.855
357	10.6	11.4	0.878
358	10.9	11.4	0.819
359	10.9	11.4	0.493
360	10.6	11.4	0.309
361	8.4	11.4	0.214
362	8.6	11.4	0.115
363	8.8	11.3	0.045
364	8.7	11.3	0.033
365	8.6	11.3	0.098
366	9.1	11.3	0.246
367	9.2	11.3	0.666
368	11.5	11.3	0.713
369	11.4	11.3	0.716
370	11.5	11.3	0.750
371	10.7	11.3	0.716
372	10.5	11.3	0.694
373	10.2	11.3	0.643
374	10.0	11.3	0.565
375	10.1	11.3	0.515
376	10.6	11.3	0.480
377	11.3	11.3	0.499
378	11.8	11.3	0.619
379	12.1	11.3	0.691
380	12.4	11.3	0.855
381	12.6	11.3	0.878
382	13.1	11.3	0.819
383	13.6	11.3	0.493
384	14.0	11.3	0.309
385	12.5	11.3	0.214
386	12.7	11.3	0.115
387	12.7	11.2	0.045
388	12.6	11.2	0.033
389	12.6	11.2	0.098
390	12.4	11.2	0.246
391	12.4	11.2	0.666
392	14.4	11.2	0.713
393	13.7	11.2	0.716
394	13.1	11.2	0.750
395	12.5	11.2	0.716
396	11.8	11.2	0.694
397	10.9	11.2	0.643
398	10.2	11.2	0.565
399	10.3	11.2	0.515
400	10.0	11.2	0.480
401	9.9	11.2	0.499
402	10.2	11.2	0.619
403	10.1	11.1	0.691
404	10.0	11.1	0.855
405	10.7	11.1	0.878
406	10.3	11.1	0.819
407	10.3	11.1	0.493
408	10.2	11.1	0.309
409	7.4	11.1	0.214
410	7.7	11.1	0.115
411	8.0	11.1	0.045
412	8.0	11.1	0.033
413	8.1	11.1	0.098
414	8.1	11.1	0.246
415	8.5	11.1	0.666
416	10.8	11.1	0.713
417	10.6	11.1	0.716
418	10.2	11.1	0.750
419	10.3	11.1	0.716
420	10.0	11.1	0.694
421	9.7	11.1	0.643
422	9.7	11.1	0.565
423	9.7	11.1	0.515
424	10.1	11.1	0.480
425	10.3	11.1	0.499
426	10.3	11.1	0.619
427	10.8	11.1	0.691
428	10.9	11.0	0.855
429	11.5	11.0	0.878
430	11.6	11.0	0.819
431	11.6	11.0	0.493
432	11.4	11.0	0.309
433	9.5	11.0	0.214
434	9.8	11.0	0.115
435	10.2	11.0	0.045
436	10.5	11.0	0.033
437	10.2	11.0	0.098
438	10.1	11.0	0.246
439	9.9	11.0	0.666
440	12.1	11.0	0.713
441	11.9	11.0	0.716
442	11.9	11.0	0.750
443	12.0	11.0	0.716
444	11.5	11.0	0.694
445	11.3	11.0	0.643
446	10.9	10.9	0.565
447	10.4	10.9	0.515
448	10.6	10.9	0.480
449	10.6	10.9	0.499
450	10.4	10.9	0.619
451	10.8	10.9	0.691
452	11.1	10.9	0.855
453	11.5	10.9	0.878
454	11.8	10.9	0.819
455	11.5	10.9	0.493
456	11.3	10.9	0.309
457	9.3	10.9	0.214
458	9.8	10.9	0.115
459	9.8	10.9	0.045
460	10.2	10.9	0.033
461	10.1	10.9	0.098
462	10.2	10.9	0.246
463	10.2	10.9	0.666
464	12.4	10.9	0.713
465	12.5	10.9	0.716
466	11.9	10.9	0.750
467	11.5	10.8	0.716
468	11.1	10.8	0.694
469	10.7	10.8	0.643
470	10.4	10.8	0.565
471	10.1	10.8	0.515
472	9.8	10.8	0.480
473	10.0	10.8	0.499
474	9.8	10.8	0.619
475	10.0	10.8	0.691
476	10.4	10.8	0.855
477	10.2	10.8	0.878
478	10.5	10.8	0.819
479	10.6	10.8	0.493
480	10.6	10.8	0.309
481	8.4	10.8	0.214
482	9.0	10.8	0.115
483	9.0	10.8	0.045
484	9.4	10.8	0.033
485	9.3	10.8	0.098
486	9.3	10.8	0.246
487	9.4	10.8	0.666
488	11.4	10.8	0.713
489	11.2	10.8	0.716
490	10.8	10.8	0.750
491	10.4	10.8	0.716
492	9.7	10.8	0.694
493	9.9	10.8	0.643
494	9.5	10.8	0.565
495	9.5	10.7	0.515
496	9.5	10.7	0.480
497	9.5	10.7	0.499
498	10.0	10.7	0.619
499	10.2	10.7	0.691
500	10.7	10.7	0.855
501	10.6	10.7	0.878
502	11.1	10.7	0.819
503	11.3	10.7	0.493
504	11.6	10.7	0.309
505	9.6	10.7	0.214
506	9.4	10.7	0.115
507	9.4	10.7	0.045
508	9.5	10.7	0.033
509	9.7	10.7	0.098
510	10.1	10.7	0.246
511	10.4	10.7	0.666
512	12.7	10.7	0.713
513	12.4	10.7	0.716
514	12.0	10.7	0.750
515	11.6	10.7	0.716
516	11.2	10.7	0.694
517	11.1	10.7	0.643
518	10.8	10.7	0.565
