# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.0	19.0	0.299
2	10.2	18.9	0.162
3	10.8	18.3	0.063
4	10.6	18.2	0.046
5	10.7	18.1	0.138
6	10.8	18.1	0.345
7	10.6	18.0	0.933
8	13.0	17.9	0.998
9	13.1	17.8	1.002
10	12.3	17.8	1.050
11	12.4	17.7	1.002
12	11.7	17.7	0.972
13	11.3	17.7	0.900
14	11.4	17.6	0.791
15	11.3	17.6	0.721
16	11.7	17.6	0.673
17	12.4	17.5	0.699
18	13.4	17.5	0.867
19	14.3	17.5	0.968
20	14.5	17.4	1.197
21	14.7	17.4	1.230
22	15.2	17.4	1.147
23	15.5	17.4	0.690
24	16.1	17.3	0.432
25	14.0	17.3	0.299
26	13.6	17.3	0.162
27	13.7	17.2	0.063
28	13.7	17.2	0.046
29	13.5	17.2	0.138
30	13.3	17.2	0.345
31	13.6	17.1	0.933
32	16.3	17.1	0.998
33	15.9	17.1	1.002
34	15.6	17.0	1.050
35	15.1	17.0	1.002
36	14.5	17.0	0.972
37	14.2	17.0	0.900
38	14.0	16.9	0.791
39	13.5	16.9	0.721
40	13.8	16.9	0.673
41	14.4	16.9	0.699
42	15.1	16.9	0.867
43	15.2	16.9	0.968
44	15.3	16.8	1.197
45	15.5	16.7	1.230
46	15.5	16.7	1.147
47	15.5	16.7	0.690
48	15.5	16.6	0.432
49	13.0	16.6	0.299
50	13.0	16.6	0.162
51	13.1	16.5	0.063
52	13.4	16.5	0.046
53	13.5	16.5	0.138
54	13.3	16.5	0.345
55	13.8	16.5	0.933
56	16.1	16.4	0.998
57	15.9	16.4	1.002
58	16.0	16.4	1.050
59	15.6	16.4	1.002
60	15.5	16.3	0.972
61	14.8	16.3	0.900
62	14.5	16.3	0.791
63	14.2	16.3	0.721
64	14.1	16.2	0.673
65	14.3	16.2	0.699
66	14.9	16.2	0.867
67	15.4	16.1	0.968
68	15.7	16.1	1.197
69	16.2	16.1	1.230
70	16.6	16.1	1.147
71	16.9	16.0	0.690
72	17.1	16.0	0.432
73	14.8	16.0	0.299
74	14.8	16.0	0.162
75	14.7	16.0	0.063
76	14.8	15.9	0.046
77	14.7	15.9	0.138
78	14.7	15.9	0.345
79	14.3	15.9	0.933
80	16.3	15.9	0.998
81	15.8	15.9	1.002
82	15.0	15.9	1.050
83	13.6	15.8	1.002
84	12.6	15.8	0.972
85	11.6	15.8	0.900
86	11.2	15.8	0.791
