# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.8	3.4	0.125
2	1.8	3.4	0.068
3	1.9	3.3	0.026
4	1.9	3.3	0.019
5	1.9	3.3	0.057
6	1.9	3.3	0.144
7	1.9	3.2	0.390
8	2.3	3.2	0.417
9	2.4	3.2	0.419
10	2.2	3.2	0.439
11	2.2	3.2	0.419
12	2.1	3.2	0.406
13	2.0	3.2	0.376
14	2.1	3.2	0.330
15	2.0	3.2	0.301
16	2.1	3.2	0.281
17	2.2	3.2	0.292
18	2.4	3.1	0.362
19	2.6	3.1	0.404
20	2.6	3.1	0.500
21	2.7	3.1	0.514
22	2.7	3.1	0.479
23	2.8	3.1	0.288
24	2.9	3.1	0.181
25	2.5	3.1	0.125
26	2.5	3.1	0.068
27	2.5	3.1	0.026
28	2.5	3.1	0.019
29	2.4	3.1	0.057
30	2.4	3.1	0.144
31	2.5	3.1	0.390
32	3.0	3.1	0.417
33	2.9	3.1	0.419
34	2.8	3.1	0.439
35	2.7	3.1	0.419
36	2.6	3.1	0.406
37	2.6	3.1	0.376
38	2.5	3.1	0.330
39	2.4	3.1	0.301
40	2.5	3.0	0.281
41	2.6	3.0	0.292
42	2.7	3.0	0.362
43	2.7	3.0	0.404
44	2.8	3.0	0.500
45	2.8	3.0	0.514
46	2.8	3.0	0.479
47	2.8	3.0	0.288
48	2.8	3.0	0.181
49	2.3	3.0	0.125
50	2.3	3.0	0.068
51	2.4	3.0	0.026
52	2.4	3.0	0.019
53	2.4	3.0	0.057
54	2.4	3.0	0.144
55	2.5	3.0	0.390
56	2.9	3.0	0.417
57	2.9	3.0	0.419
58	2.9	2.9	0.439
59	2.8	2.9	0.419
60	2.8	2.9	0.406
61	2.7	2.9	0.376
62	2.6	2.9	0.330
63	2.6	2.9	0.301
64	2.6	2.9	0.281
65	2.6	2.9	0.292
66	2.7	2.9	0.362
67	2.8	2.9	0.404
68	2.8	2.9	0.500
69	2.9	2.9	0.514
70	3.0	2.9	0.479
71	3.1	2.9	0.288
72	3.1	2.9	0.181
73	2.7	2.9	0.125
74	2.7	2.9	0.068
75	2.6	2.9	0.026
76	2.7	2.9	0.019
77	2.7	2.9	0.057
78	2.6	2.9	0.144
79	2.6	2.9	0.390
80	2.9	2.8	0.417
81	2.9	2.8	0.419
82	2.7	2.8	0.439
83	2.5	2.8	0.419
84	2.3	2.8	0.406
85	2.1	2.8	0.376
86	2.0	2.8	0.330
87	2.0	2.8	0.301
88	2.0	2.8	0.281
89	2.1	2.8	0.292
90	2.1	2.8	0.362
91	2.1	2.8	0.404
92	2.0	2.8	0.500
93	2.1	2.8	0.514
94	2.1	2.8	0.479
95	2.2	2.8	0.288
96	2.2	2.8	0.181
97	1.7	2.8	0.125
98	1.7	2.8	0.068
99	1.8	2.8	0.026
100	1.9	2.8	0.019
101	1.9	2.8	0.057
102	2.0	2.8	0.144
103	2.1	2.8	0.390
104	2.5	2.8	0.417
105	2.6	2.8	0.419
106	2.6	2.8	0.439
107	2.6	2.8	0.419
