# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.6	18.3	0.246
2	9.9	18.2	0.133
3	10.4	17.5	0.052
4	10.2	17.4	0.038
5	10.3	17.4	0.113
6	10.4	17.4	0.284
7	10.2	17.3	0.767
8	12.5	17.2	0.821
9	12.6	17.1	0.824
10	11.9	17.1	0.864
11	11.9	17.0	0.824
12	11.2	17.0	0.799
13	10.9	17.0	0.740
14	11.0	16.9	0.650
15	10.9	16.9	0.593
16	11.3	16.9	0.553
17	12.0	16.8	0.575
18	12.9	16.8	0.713
19	13.8	16.8	0.796
20	14.0	16.7	0.984
21	14.1	16.7	1.011
22	14.6	16.7	0.943
23	14.9	16.7	0.568
24	15.5	16.7	0.356
25	13.5	16.7	0.246
26	13.1	16.6	0.133
27	13.2	16.6	0.052
28	13.2	16.6	0.038
29	13.0	16.5	0.113
30	12.8	16.5	0.284
31	13.1	16.5	0.767
32	15.7	16.4	0.821
33	15.3	16.4	0.824
34	15.0	16.4	0.864
35	14.5	16.4	0.824
36	14.0	16.4	0.799
37	13.6	16.4	0.740
38	13.5	16.3	0.650
39	13.0	16.3	0.593
40	13.3	16.3	0.553
41	13.9	16.3	0.575
42	14.5	16.3	0.713
43	14.7	16.3	0.796
44	14.7	16.1	0.984
45	14.9	16.1	1.011
46	14.9	16.0	0.943
47	15.0	16.0	0.568
48	15.0	16.0	0.356
49	12.5	15.9	0.246
50	12.5	15.9	0.133
51	12.6	15.9	0.052
52	12.9	15.9	0.038
53	13.0	15.8	0.113
54	12.8	15.8	0.284
55	13.3	15.8	0.767
56	15.5	15.8	0.821
57	15.4	15.8	0.824
58	15.5	15.7	0.864
59	15.0	15.7	0.824
60	14.9	15.7	0.799
61	14.3	15.7	0.740
62	13.9	15.7	0.650
63	13.7	15.6	0.593
64	13.6	15.6	0.553
65	13.8	15.6	0.575
66	14.3	15.6	0.713
67	14.8	15.5	0.796
68	15.2	15.5	0.984
69	15.6	15.5	1.011
70	16.0	15.5	0.943
71	16.3	15.4	0.568
72	16.5	15.4	0.356
73	14.3	15.4	0.246
74	14.3	15.4	0.133
75	14.1	15.3	0.052
76	14.2	15.3	0.038
77	14.2	15.3	0.113
78	14.1	15.3	0.284
79	13.8	15.3	0.767
80	15.7	15.3	0.821
81	15.2	15.2	0.824
