# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.4	4.6	0.205
2	2.5	4.6	0.111
3	2.6	4.4	0.043
4	2.6	4.4	0.031
5	2.6	4.4	0.094
6	2.6	4.4	0.236
7	2.6	4.4	0.638
8	3.2	4.3	0.683
9	3.2	4.3	0.686
10	3.0	4.3	0.719
11	3.0	4.3	0.686
12	2.9	4.3	0.665
13	2.8	4.3	0.615
14	2.8	4.3	0.541
15	2.8	4.3	0.493
16	2.9	4.3	0.460
17	3.0	4.3	0.478
18	3.3	4.2	0.593
19	3.5	4.2	0.662
20	3.6	4.2	0.819
21	3.6	4.2	0.841
22	3.7	4.2	0.784
23	3.8	4.2	0.472
24	3.9	4.2	0.296
25	3.4	4.2	0.205
26	3.3	4.2	0.111
27	3.4	4.2	0.043
28	3.4	4.2	0.031
29	3.3	4.2	0.094
30	3.3	4.2	0.236
31	3.3	4.2	0.638
32	4.0	4.2	0.683
33	3.9	4.2	0.686
34	3.8	4.1	0.719
35	3.7	4.1	0.686
36	3.5	4.1	0.665
37	3.5	4.1	0.615
38	3.4	4.1	0.541
39	3.3	4.1	0.493
40	3.4	4.1	0.460
41	3.5	4.1	0.478
42	3.7	4.1	0.593
43	3.7	4.1	0.662
44	3.7	4.1	0.819
45	3.8	4.1	0.841
46	3.8	4.0	0.784
47	3.8	4.0	0.472
48	3.8	4.0	0.296
49	3.2	4.0	0.205
50	3.2	4.0	0.111
51	3.2	4.0	0.043
52	3.3	4.0	0.031
53	3.3	4.0	0.094
54	3.3	4.0	0.236
55	3.4	4.0	0.638
56	3.9	4.0	0.683
57	3.9	4.0	0.686
58	3.9	4.0	0.719
59	3.8	4.0	0.686
60	3.8	4.0	0.665
61	3.6	4.0	0.615
62	3.5	4.0	0.541
63	3.5	3.9	0.493
64	3.5	3.9	0.460
65	3.5	3.9	0.478
66	3.6	3.9	0.593
67	3.8	3.9	0.662
68	3.9	3.9	0.819
69	4.0	3.9	0.841
70	4.1	3.9	0.784
71	4.1	3.9	0.472
72	4.2	3.9	0.296
73	3.6	3.9	0.205
74	3.6	3.9	0.111
75	3.6	3.9	0.043
76	3.6	3.9	0.031
77	3.6	3.9	0.094
78	3.6	3.9	0.236
79	3.5	3.9	0.638
80	4.0	3.8	0.683
81	3.9	3.8	0.686
82	3.7	3.8	0.719
83	3.3	3.8	0.686
84	3.1	3.8	0.665
85	2.8	3.8	0.615
86	2.7	3.8	0.541
87	2.8	3.8	0.493
88	2.8	3.8	0.460
89	2.8	3.8	0.478
90	2.8	3.8	0.593
91	2.8	3.8	0.662
92	2.8	3.8	0.819
93	2.8	3.8	0.841
94	2.9	3.8	0.784
95	2.9	3.8	0.472
96	2.9	3.8	0.296
97	2.3	3.8	0.205
98	2.3	3.8	0.111
99	2.5	3.8	0.043
100	2.5	3.8	0.031
101	2.6	3.8	0.094
102	2.7	3.8	0.236
103	2.8	3.8	0.638
104	3.4	3.8	0.683
105	3.5	3.8	0.686
106	3.5	3.8	0.719
107	3.6	3.8	0.686
108	3.6	3.8	0.665
109	3.6	3.8	0.615
110	3.7	3.8	0.541
111	3.9	3.8	0.493
112	3.9	3.8	0.460
113	4.0	3.8	0.478
114	4.2	3.8	0.593
115	4.2	3.8	0.662
116	4.2	3.8	0.819
117	4.3	3.8	0.841
118	4.4	3.8	0.784
119	4.6	3.7	0.472
120	4.6	3.7	0.296
121	4.1	3.7	0.205
122	4.1	3.7	0.111
123	4.0	3.7	0.043
124	4.0	3.7	0.031
125	3.8	3.7	0.094
126	3.7	3.7	0.236
127	3.6	3.7	0.638
128	4.2	3.7	0.683
129	4.2	3.7	0.686
130	4.0	3.7	0.719
131	3.8	3.7	0.686
132	3.6	3.7	0.665
133	3.3	3.7	0.615
134	3.1	3.7	0.541
135	3.0	3.7	0.493
136	2.8	3.7	0.460
137	2.8	3.7	0.478
138	2.9	3.7	0.593
139	2.8	3.7	0.662
140	2.8	3.7	0.819
141	2.8	3.7	0.841
142	2.8	3.7	0.784
143	2.8	3.7	0.472
144	2.8	3.7	0.296
145	2.1	3.7	0.205
146	2.2	3.7	0.111
147	2.2	3.6	0.043
148	2.3	3.6	0.031
149	2.4	3.6	0.094
150	2.3	3.6	0.236
151	2.3	3.6	0.638
152	3.0	3.6	0.683
153	3.0	3.6	0.686
154	2.8	3.6	0.719
155	2.7	3.6	0.686
156	2.6	3.6	0.665
157	2.5	3.6	0.615
158	2.2	3.6	0.541
159	2.2	3.6	0.493
160	2.2	3.6	0.460
161	2.4	3.6	0.478
162	2.5	3.6	0.593
163	2.7	3.6	0.662
164	2.7	3.6	0.819
165	2.9	3.6	0.841
166	2.9	3.6	0.784
167	3.1	3.6	0.472
168	3.1	3.6	0.296
169	2.6	3.6	0.205
170	2.5	3.6	0.111
171	2.6	3.6	0.043
172	2.5	3.6	0.031
173	2.4	3.6	0.094
174	2.3	3.6	0.236
175	2.3	3.6	0.638
176	2.9	3.6	0.683
177	2.9	3.6	0.686
178	2.8	3.6	0.719
179	2.6	3.6	0.686
180	2.5	3.6	0.665
181	2.6	3.6	0.615
182	2.5	3.6	0.541
183	2.5	3.6	0.493
184	2.5	3.6	0.460
185	2.5	3.6	0.478
186	2.5	3.6	0.593
187	2.6	3.6	0.662
188	2.4	3.6	0.819
189	2.4	3.6	0.841
190	2.4	3.6	0.784
191	2.2	3.6	0.472
192	2.2	3.6	0.296
193	1.4	3.6	0.205
194	1.4	3.5	0.111
195	1.5	3.5	0.043
196	1.5	3.5	0.031
197	1.4	3.5	0.094
198	1.3	3.5	0.236
199	1.4	3.5	0.638
200	2.0	3.5	0.683
201	2.1	3.5	0.686
202	1.9	3.5	0.719
203	1.9	3.5	0.686
204	1.9	3.5	0.665
205	1.9	3.5	0.615
206	1.7	3.5	0.541
207	1.6	3.5	0.493
208	1.5	3.5	0.460
209	1.5	3.5	0.478
210	1.5	3.5	0.593
