# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.3	0.5	0.012
2	0.3	0.5	0.007
3	0.3	0.5	0.003
4	0.3	0.5	0.002
5	0.3	0.5	0.006
6	0.3	0.5	0.014
7	0.3	0.5	0.038
8	0.4	0.5	0.040
9	0.4	0.5	0.041
10	0.3	0.5	0.043
11	0.3	0.5	0.041
12	0.3	0.5	0.039
13	0.3	0.5	0.036
14	0.3	0.5	0.032
15	0.3	0.5	0.029
16	0.3	0.5	0.027
17	0.3	0.5	0.028
18	0.4	0.5	0.035
19	0.4	0.5	0.039
20	0.4	0.5	0.048
21	0.4	0.5	0.050
22	0.4	0.5	0.046
23	0.4	0.5	0.028
24	0.4	0.5	0.018
25	0.4	0.5	0.012
26	0.4	0.5	0.007
27	0.4	0.5	0.003
28	0.4	0.5	0.002
29	0.4	0.5	0.006
30	0.4	0.5	0.014
31	0.4	0.5	0.038
32	0.4	0.5	0.040
33	0.4	0.5	0.041
34	0.4	0.5	0.043
35	0.4	0.5	0.041
36	0.4	0.5	0.039
37	0.4	0.5	0.036
38	0.4	0.5	0.032
39	0.4	0.5	0.029
40	0.4	0.5	0.027
41	0.4	0.5	0.028
42	0.4	0.5	0.035
43	0.4	0.5	0.039
44	0.4	0.5	0.048
45	0.4	0.5	0.050
46	0.4	0.5	0.046
47	0.4	0.5	0.028
48	0.4	0.5	0.018
49	0.4	0.5	0.012
50	0.4	0.5	0.007
51	0.4	0.5	0.003
52	0.4	0.5	0.002
53	0.4	0.5	0.006
54	0.4	0.4	0.014
55	0.4	0.4	0.038
56	0.4	0.4	0.040
57	0.4	0.4	0.041
58	0.4	0.4	0.043
59	0.4	0.4	0.041
60	0.4	0.4	0.039
61	0.4	0.4	0.036
62	0.4	0.4	0.032
63	0.4	0.4	0.029
64	0.4	0.4	0.027
65	0.4	0.4	0.028
66	0.4	0.4	0.035
67	0.4	0.4	0.039
68	0.4	0.4	0.048
69	0.4	0.4	0.050
70	0.5	0.4	0.046
71	0.5	0.4	0.028
72	0.5	0.4	0.018
73	0.4	0.4	0.012
74	0.4	0.4	0.007
75	0.4	0.4	0.003
76	0.4	0.4	0.002
77	0.4	0.4	0.006
78	0.4	0.4	0.014
79	0.4	0.4	0.038
80	0.4	0.4	0.040
81	0.4	0.4	0.041
82	0.4	0.4	0.043
83	0.4	0.4	0.041
84	0.3	0.4	0.039
85	0.3	0.4	0.036
86	0.3	0.4	0.032
87	0.3	0.4	0.029
88	0.3	0.4	0.027
89	0.3	0.4	0.028
90	0.3	0.4	0.035
91	0.3	0.4	0.039
92	0.3	0.4	0.048
93	0.3	0.4	0.050
94	0.3	0.4	0.046
95	0.3	0.4	0.028
96	0.3	0.4	0.018
97	0.3	0.4	0.012
98	0.3	0.4	0.007
99	0.3	0.4	0.003
100	0.3	0.4	0.002
101	0.3	0.4	0.006
102	0.3	0.4	0.014
103	0.3	0.4	0.038
104	0.4	0.4	0.040
105	0.4	0.4	0.041
106	0.4	0.4	0.043
107	0.4	0.4	0.041
108	0.4	0.4	0.039
109	0.4	0.4	0.036
110	0.4	0.4	0.032
111	0.4	0.4	0.029
112	0.4	0.4	0.027
113	0.4	0.4	0.028
114	0.5	0.4	0.035
115	0.5	0.4	0.039
116	0.5	0.4	0.048
117	0.5	0.4	0.050
118	0.5	0.4	0.046
119	0.5	0.4	0.028
120	0.5	0.4	0.018
121	0.5	0.4	0.012
122	0.5	0.4	0.007
123	0.4	0.4	0.003
124	0.4	0.4	0.002
125	0.4	0.4	0.006
126	0.4	0.4	0.014
127	0.4	0.4	0.038
128	0.5	0.4	0.040
129	0.5	0.4	0.041
130	0.4	0.4	0.043
131	0.4	0.4	0.041
132	0.4	0.4	0.039
133	0.4	0.4	0.036
134	0.3	0.4	0.032
135	0.3	0.4	0.029
136	0.3	0.4	0.027
137	0.3	0.4	0.028
138	0.3	0.4	0.035
139	0.3	0.4	0.039
140	0.3	0.4	0.048
141	0.3	0.4	0.050
142	0.3	0.4	0.046
143	0.3	0.4	0.028
144	0.3	0.4	0.018
145	0.2	0.4	0.012
146	0.2	0.4	0.007
147	0.2	0.4	0.003
148	0.3	0.4	0.002
149	0.3	0.4	0.006
150	0.3	0.4	0.014
151	0.3	0.4	0.038
152	0.3	0.4	0.040
153	0.3	0.4	0.041
154	0.3	0.4	0.043
155	0.3	0.4	0.041
